taxon	n_sampled_genomes	n_rt_positive_genomes	rank	n_exact_rt	n_physical_loci	prevalence_pct	prevalence_pct_ci_lo	prevalence_pct_ci_hi	loci_per_positive_genome	exact_rt_per_positive_genome	meets_min_sampled	unit	denominator
Edwardsbacteria	32	4	phylum	5	5	12.5	4.9701	28.0683	1.25	1.25	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA9089	31	11	phylum	14	15	35.4839	21.1167	53.052	1.3636	1.2727	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Aerophobota	30	7	phylum	11	11	23.3333	11.7924	40.9283	1.5714	1.5714	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CLD3	28	2	phylum	4	4	7.1429	1.9812	22.6454	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CG03	25	3	phylum	4	4	12.0	4.1668	29.9558	1.3333	1.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA4055	24	9	phylum	12	14	37.5	21.1594	57.29	1.5556	1.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA6262	23	2	phylum	3	3	8.6957	2.418	26.796	1.5	1.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Coprothermobacterota	22	0	phylum	0	0	0.0	0.0	14.8655			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Goldbacteria	22	1	phylum	1	1	4.5455	0.8069	21.798	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Dictyoglomota	21	0	phylum	0	0	0.0	0.0	15.4639			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBP14	21	2	phylum	4	4	9.5238	2.6519	28.9141	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
RBG-13-66-14	20	3	phylum	3	3	15.0	5.2369	36.0419	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA3054	20	5	phylum	6	6	25.0	11.1862	46.8701	1.2	1.2	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
BMS3Abin14	20	6	phylum	10	11	30.0	14.5477	51.8973	1.8333	1.6667	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Thermosulfidibacterota	19	0	phylum	0	0	0.0	0.0	16.8179			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
4484-113	18	2	phylum	2	2	11.1111	3.102	32.7998	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Lernaellota	17	9	phylum	12	18	52.9412	30.9632	73.8349	2.0	1.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBP15	17	2	phylum	3	3	11.7647	3.288	34.3364	1.5	1.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
DRYD01	17	11	phylum	7	12	64.7059	41.3004	82.6903	1.0909	0.6364	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Desulfobacterota_C	16	6	phylum	9	9	37.5	18.4812	61.359	1.5	1.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CAIWAD01	16	4	phylum	5	5	25.0	10.1821	49.4983	1.25	1.25	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA1439	16	1	phylum	1	1	6.25	1.1119	28.3287	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Bdellovibrionota_G	14	3	phylum	1	3	21.4286	7.5714	47.5892	1.0	0.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
FCPU426	14	2	phylum	3	3	14.2857	4.0094	39.9414	1.5	1.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CG2-30-53-67	13	5	phylum	7	9	38.4615	17.7097	64.4771	1.8	1.4	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Arandabacterota	12	5	phylum	7	9	41.6667	19.326	68.0489	1.8	1.4	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
