rt_seq_hash	n_placements	n_loci	n_species	n_databases	family	model	median_distance	n_ncrna_seqs	unit	denominator
50f85e4d03a9d39bdbf4b935f00fba36a7d4ae78cedfd9c7d95c6fe17c0b4338	3	2	1	2	RVT-UG23	TypeIX	-2567.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
23b56f278ec570a84e1bea470a99b86b14ddedc123a3e68a6538636fa93748c0	3	2	3	2	RVT-UG12	TypeIX	-362.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
ff90f9fc3ce3f1413e0b5f79d2e214c111c2e0cefeb886ca63c22758c597454f	3	2	2	2	RVT-GII	TypeIB1	-76.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
10a98a7325c446c8b326de69172bfdccee467023810340af94f6582c2a196814	3	2	1	3	RVT-GII	TypeXIIIB_Ne144	-2804.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
932e583c318976f2bc69b594f2e89e211addfc9a2b204074812aff893a552d5d	2	1	2	2	RVT-GII	TypeIA_IIAI	-735.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
9301e6b165ff78d8ade9d7f7465fdff3f3058f3b8a307840848bfdabaea00122	2	2	1	2	RVT-GII	TypeIIA3_firmi	-9189.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
d26d0403c8df66dfa1b4c4f9dc38c95a0bc452b3f5c537089e95f797e2308307	2	1	1	2	RVT-GII	OutgroupA	-7078.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
920bb5744161fee7470e590cfcea5a6cd67af8b32a0ebd032a770cd21627b32c	2	1	2	2	RVT-GII	TypeIA_IIAI	-9082.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
8c31ecbc298faa984a49e22bd60afaf558d8993b7136d0bcae6914fa85ee9739	2	1	2	2	RVT-GII	OutgroupA	-429.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
05a677712d63df4b085ceb8c10f8977a86d5ac61bd765d093c8af401e9448863	2	1	2	2	RVT-DGRs	TypeIIIA2	6376.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
82eef26d61c8f884648a6939d7859b5b89057e0acf8b56826e3cdf5f9330e6e5	2	1	2	2	RVT-GII	TypeIIIA1	7566.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
802742798ff6641d12b1e26045614b461333de3c196341dc6b5b3e924dfadb62	2	2	1	1	RVT-GII	TypeXIIIC_Mx162	-1197.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
14e504c2a15e7dfdd9be5e6955af84579d8b3ebff445998ee64000fd8376d765	2	1	2	2	RVT-UG26	TypeXIIIC_Mx162	1091.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
7d498fbba61efb8e9da502febb1aa14ef44cbb5b6df815c83edf3be5ec1cd3f7	2	1	2	2	RVT-GII	OutgroupA	-498.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
05a3a5fb5efc3ae03b9d5f60ec57a9be442a493fbabd8a852a5444e6a784297b	2	1	1	2	RVT-GII	OutgroupA	-498.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e273e455f26c8ab6cb0b6f353704d44f5e1ae840786e4bf99e6d5ff6b133a463	2	1	2	2	RVT-DGRs	TypeIIA2	-793.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
6ffb75c1a94ad926d31437ce9eef6abbf3ca8961e8ae6ddf1fd8347a02ab9098	2	1	2	2	RVT-DGRs	TypeIX	4274.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
6ab12ff88fa6f77491556534ef717862f905438d147781670561fb69c3c3eb31	2	1	2	2	RVT-GII	TypeIC1_IC2	-558.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
68de954febad8bb88074af4733829de453f4f310faa5501c6db3754a8e2c1354	2	1	2	2	RVT-GII	OutgroupA	-429.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
663e0c7b22e11ee0b2dcec442597986fb4b49773a6aec99cd4122e4bd36feffc	2	1	2	2	RVT-GII	TypeXIIIC_Mx162	-4753.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
7f5c9069827e5e71800517cd2ac72508509e2324f450691782b0cd147800db69	2	1	2	2	RVT-GII	TypeIIIA1	-2341.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
18f60d10b6a231a5c161ea83bbe89c58f93ffa7d239605239deff1f36b5d8be4	2	1	2	2	RVT-GII	TypeIA_IIAI	7672.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
65f931383300a04ae38c106467f94d26d98fdd5acebb4e8ecfb13a08a958a2d8	2	1	2	2	RVT-GII	OutgroupA	-429.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
ae64a9dcb048f3fe5dd995b4a9afd758a2fd5b939373c15ae253ca0606f1dcae	2	1	2	2	RVT-AbiP2	TypeIIIA2	2312.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
c132905f2f32d868ff2292119ba4a77691f1f2bb64dca6ad3b06fed80afbf0a4	2	2	1	1	RVT-GII	OutgroupA	-498.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
c165c9eef27b787ae0bcae313fc9d98c8724e13e5fdb4e6fd1d3b86f88c71cd1	2	1	2	2	RVT-DGRs	TypeIIA3_proteo	486.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
c1d561ca9064486ed5cbe751abdd0f90d5a737c0f98a8822435a020992981bf9	2	2	1	1	RVT-GII	TypeXIIIC_Mx162	-5175.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
b1db19dba07a9823c58d822775f2615fc117d254a87972d0cd2d9a50866e1b54	2	2	2	2	RVT-GII	OutgroupB	-8494.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
b04bb11bdc4cce0cdf0882953f9a15ea6ccd7052df0a69998c1f493d2fcf6c42	2	1	2	2	RVT-UG15	TypeIC1_IC2	2202.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
c57d8f7d189ac7aa3a5ea15d1eed78fef293d334eeb59ae02d4696d0516f3e68	2	2	1	1	RVT-UG3	TypeIIIA2	-243.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
c5dc0f3de867b7d04556cf3be0ad1a69f0b31dc6fdd85426822c9bd34d67f622	2	1	2	2	RVT-UG8	TypeXIIIC_Mx162	8495.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
cdfa08755027a451dd87775716490f84017faa3e5208997af33bbfaae55515cd	2	1	2	2	RVT-GII	TypeIIA2	7322.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
a877a9c4078863c8021f456573e96d0db65134f8238a3993a284c1508872e0d1	2	1	2	2	RVT-DGRs	TypeIIA2	-308.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
a5da0f7dc4634383eb7c8e46af57d96368f86a0a94306e2c0239428a472c1161	2	1	2	2	RVT-GII	OutgroupA	246.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
cb797aa8f6763c67ce99833ad47fe0b1a38c729b73c24d1c547c2db3678ecc33	2	1	2	2	RVT-GII	OutgroupA	-429.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
9cb2c0f38a82f8cfeea22e7d1a98f7cf1db2fd374ecc03ad58f5a8c2b3da8574	2	1	2	2	RVT-GII	TypeIA_IIAI	6261.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
05ac368b699bae6cfae832f1e60347db4869ad70931e615484418499c4708472	2	2	1	1	MULTI	Ec107_like	8627.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
cdaf6c8ac362971849099efc7d0ecd11ec2d4df85cfe79e410c89769cce83f28	2	1	2	2	RVT-DGRs	TypeIA_IIAI	-5958.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e59341b4e4178877cda23f43bbf21685252267014a47a5b2b2ffd63771519b6a	2	1	2	2	RVT-DGRs	TypeIIIA1	-1351.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e3d6b238e80e5e6c3a402f991c5dc842181d28ac0ba63cf691ad0d59336fae4e	2	1	2	2	RVT-GII	OutgroupA	-5497.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e69b6a6a843006dbf8dc3a01f5a2fe7e54b7e4bd56e71497a2a455e058e789df	2	1	1	2	RVT-UG5	TypeIA_IIAI	2271.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
ed5ae3c7579f71292be66071b888760b7e7bbfb2a7a3b507eda975a795eddc39	2	2	2	2	RVT-GII	TypeIB1	8424.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
5df3153a8b8f26a3f7943216dcc94f416d25f36abaffc70d821d2119f9801338	2	1	2	2	RVT-DGRs	TypeIIA2	3332.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
ef6879546985b52543eadf93695d7c45ca495b1fbace6688fa9af83e0d15395d	2	1	2	2	RVT-GII	TypeIIIA2	3309.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
3acb9d7f0083b5116e65ef6575d9af166c4f2ecddb48f4ea511c5255f24b2bb8	2	1	2	2	RVT-DGRs	TypeIX	2149.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
37b39adc7a3ac40e2f68969572346239eed0f7524eb6a802d9a35e9ed017d711	2	1	2	2	RVT-DGRs	TypeIIIA2	2665.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
f189f86e85c4084fcb738db5904a6f16654812029e0ec3929de2123416d1e476	2	1	2	2	RVT-GII	TypeIX	6325.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
2f36a46a5f8e670068af12258e813eb21752c7d589b08d32365c8eb3df298f86	2	2	2	2	RVT-GII	TypeIIIA3	-6171.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
f629d04947604871fe6eee4e414b6806a39d70d86299309df3fec36566c3a93b	2	1	2	2	RVT-GII	TypeXIIIC_Mx162	-3971.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
f7f2db47497d3062ee7644d1cc48398b6a9b4d3636966552117fd177204c3318	2	1	2	2	RVT-UG10	TypeIV	-674.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
25122b22dec9a3a248f571594cba77bf2630e9a3c83b08ba9a3bc90e1be3f5a0	2	1	2	2	RVT-DGRs	TypeIIIA3	-1767.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
24511df4cb770435cf362b8f06d1d1cd9f1c86b9bfddccf2cda23b99e6481242	2	2	1	1	RVT-GII	TypeIA_IIAI	7201.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
11c5bca063de86d0ad9c4857f70992c7a55f7a8fff200a3a694e488f64b932e2	2	1	2	2	RVT-DGRs	TypeIX	4287.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
13f4312c598b0bf946044abf3a6ef07df448e5e03b61979b09f74ba98452a559	2	1	2	2	RVT-G2L4	TypeIC1_IC2	142.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
f8f3830d8f99a8d8e58ca9f160db094bf58cdcaf91e9cbab529f15d33b7addef	2	1	2	2	RVT-GII	TypeIB1	-3943.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
1a6b8bbf4ccd9ea60c58ca5dc254643b625a93193e1e01bab2439e478150700e	2	2	1	1	RVT-GII	Ec107_like	8627.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
fa991b46d3748608276b446a4c99f7928094f25e3327544f2e03e92f41022008	2	1	2	2	RVT-GII	OutgroupB	-432.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
42911e094ed01a6c54f372fe5499c14925037acdb97c4f87d217b483dedd4f20	2	1	2	2	RVT-GII	OutgroupA	-426.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
ba194de706ca73ffd19696f7e90682d67dfb1dfae63192714db35507d7fd0d12	2	2	2	2	RVT-GII	TypeXIIIC_Mx162	6531.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
51c65a369c2762ffcc6e9e151ea93f29336d39966a082d59190e9ae80d0a5825	2	1	1	2	RVT-UG2	TypeIIA3_firmi	-7519.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
4581370e582cbbc7ce9a04abac03ed7e64eb5a0834db6679ee8cfe8308f3d4b5	2	1	2	2	RVT-GII	TypeXIIIC_Mx162	-2600.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
ebd80c8830484c0f221dd1c843c5413ea2e0b7fd28e6077a73573687f85caf74	2	1	2	2	RVT-GII	TypeIIA2	-4875.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
56ec5ad66e9560a28049fd69d8f1ab3a7199f142c67ab0b69ed1c3087203f94b	2	1	1	2	RVT-GII	TypeIIA3_firmi	-4305.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e8d99fb1115e316c87faadea8ba40e60b26f91f8b08097181729edfba1cb1035	2	1	2	2	RVT-GII	TypeXIIIC_Mx162	-1836.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
4a5a78932484813982675e8bd5560c6a8ddcd24d11d6b121980731de4e18a696	2	2	2	2	RVT-CRISPR-like	TypeIX	-8973.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e9333a91cd765a1704e0d258a9b60311066d444077900367ca7e74d3d17854b7	2	1	2	2	RVT-UG26	TypeIX	2478.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
eaa8e77b393e7b38c4e7a8abdd5b12e553839881e7051d6cbac471dfeca9e377	2	1	2	2	RVT-DGRs	TypeIA_IIAI	-733.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
4d17ec3f39404885052d772a0d18c5fc5987b0db1599d226157bb88eb4a7972e	2	1	2	2	RVT-GII	TypeIIA2	-3407.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
52be9813501bf1953e0796d82a1db4492ac4efd5746c86988cc04c60546c2ec4	2	1	2	2	RVT-GII	Ec107_like	11.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
0f27c1c302a52a084508cf79056d82fe3af47a9ed0e8021ad055d6391989707b	2	1	2	2	RVT-UG7	TypeIB1	-566.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
d503f59320b282578cbba70b30515f7c0093c363db1d15f5ebd0ae8d7af56ee6	1	1	1	1	MULTI	TypeIIA2	8952.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
fa6f3e9d59191af12068edd428c72f54c7aa58f85092c74e375aa8732efe0e61	1	1	1	1	RVT-GII	TypeIIIA3	5775.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
c0d9c5b60c0d42ad56fd0f40102cb3d462f4dda12279681dd5daa2768bf7362d	1	1	1	1	RVT-UG12	TypeIX	1809.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e26dbd5ff81310f74de2266048312810648d414d1e7a2ca0039e232fe66f5a53	1	1	1	1	MULTI	TypeIIIA3	-7375.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
f348a695c07825bbb65faee65511d62b17c6c51c024eaa2d56eebaeb602a4154	1	1	1	1	RVT-GII	OutgroupA	-357.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
c60a12825a3697a570380a6634f79062d326491f86c7333a61d84575c64d0cca	1	1	1	1	RVT-UG10	TypeIV	-674.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
d4066df8eab9593a47c3dfd4101ec99bf1d6cbdc4ff1e469bf027a52110ad60a	1	1	1	1	RVT-AbiP2	TypeIV	-348.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
f23042f164efcd5d668eb27cc68ce57ce29194b74430fe242af0ab4c6292712d	1	1	1	1	RVT-DGRs	TypeIIA2	-820.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
cd361824a57c0ae5404a18a208be5605b974690e3e2fb7ba29a2ec7c5c712374	1	1	1	1	RVT-DGRs	TypeIIIA2	2665.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
dd5b5d58fad46398d2972f88d34c0c34bebdfb289cac214d2fd0fa06d1152778	1	1	1	1	RVT-AbiP2	TypeIV	-348.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
d264ba41757914909abf1a1feab98bbcf687573aaa14c3497df0a9b995aad144	1	1	1	1	RVT-DGRs	TypeIIA3_firmi	39.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
eac8546bbd719c69d28889fdf3fcd264bf6417d9c60dbd7dfe42c8071564ec94	1	1	1	1	RVT-GII	TypeIIA3_proteo	166.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
da052a9b3239db31c510aabba54b81ecfdab69383d669a9b382e321d1d263431	1	1	1	1	RVT-GII	TypeIX	0.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
eed37a5b2a1467771f601134b3435c9375811a11ebbdccf0f29e93ec15e90690	1	1	1	1	RVT-DGRs	TypeIIIA1	0.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
9496b4d42d7e9bdf593655c87fe7ecc884fa89e23a38573f7a52bd4a11639526	1	1	1	1	RVT-GII	TypeXIIIC_Mx162	6957.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
b8e3ebeafb86035f27972ced3e6488a942166c690d7918e12613c884abd19da1	1	1	1	1	RVT-AbiP2	TypeIV	-348.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
682b9ff2d42da4cdabee5ba9f2a64b35bf0426153802fe8ee79e980b4a401972	1	1	1	1	RVT-AbiP2	TypeIV	-438.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
62cc5c07cb849ebe928f9aad1b6543fbac7148412cd556c77d375befe9d65c5f	1	1	1	1	RVT-GII	TypeIIA3_firmi	-811.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
5612b195158188c6642cad38529509410fd3c4c40b1ef9a17fb982b4a25b16ae	1	1	1	1	RVT-GII	Ec107_like	8980.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
53726e5945ac70044c229c54ecdd65ce48c01ec6dbd9b619cbd796f231b977b0	1	1	1	1	RVT-DGRs	TypeIIIA2	2665.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
52ec875b064a91e258f20fdd68816e909fd0d6c29f7b3ac42137b96a95ad5b8c	1	1	1	1	RVT-GII	OutgroupA	75.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
4a41f06a1c3087a485ebb768a09e21112a56d1b46df5e3ee774a76088be2f6e6	1	1	1	1	RVT-GII	TypeIX	-2273.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
0ff8bf647bf289069e83c265387a9de150954b1282985027bfcff9a3802a553a	1	1	1	1	RVT-DGRs	TypeIA_IIAI	860.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
44b1ad1ae6c8e61e5ca2ed36cd441e9955ec4792ae4d990e47c3712a0b281a03	1	1	1	1	RVT-GII	OutgroupA	-398.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
40cc9d5d0c38546fa8f4de1955da3097ac5436ca545456624625765500a6c292	1	1	1	1	RVT-GII	TypeIIA2	7291.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
3e675de0212536ca575b54452d6f8e1d9f90986412a6adb0916a1bf3f2f1583b	1	1	1	1	RVT-GII	OutgroupB	7590.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
37ac01dce6bbe6fb1b1032259ece15a6ec60fae47b9782c0f432aa4fbf6537f6	1	1	1	1	MULTI	TypeIIA2	-8038.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
33ceeafb5aeefa545c635ad95197e3e08dac925288d91dbf38e65b4384e27d14	1	1	1	1	RVT-GII	TypeXIIIC_Mx162	-4307.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
2f118d12ea00a39f7ae2d0f867c2fd9caacf4a5b34d766600d7da8e8ba55d758	1	1	1	1	RVT-GII	OutgroupA	-1136.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
2d033fadbdc683c73fe9f5d6ee41c14da2e34e2dda6f8ba08db98ff9a1094488	1	1	1	1	RVT-GII	TypeXIIIC_Mx162	110.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
25d50dcf0b2dc0956d8f6ab31c1893b2ab9c1e9a7b600ad8994fcb5396edeafc	1	1	1	1	RVT-AbiP2	TypeIV	-438.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
227406d16aae073dd6a5e52da6c3d0c5026e469302e6626522cd2dd9a3cad65b	1	1	1	1	RVT-UG8	TypeIIA2	3317.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
1a08512538112c2abcafc597619ba7078c02a4acf643c648af7556faee594ae5	1	1	1	1	RVT-GII	TypeXIIIC_Mx162	1869.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
19a825085a0d480668f073eced0ba6e49bfc3fd5e6b428769e56c15c1682c158	1	1	1	1	RVT-GII	OutgroupA	-420.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
0eef84639f2f2b813991a1fd52ceddbd67016895072e06b3b11bcf7bb9b94766	1	1	1	1	RVT-AbiP2	TypeIV	-348.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
08671a253ed329d7da38025729789ef35cc20ea4d2923aa1bd69c05a6841500b	1	1	1	1	RVT-GII	OutgroupA	-600.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
b439f64772d4cc4323fc51c1d246b8d33145389d13e57b1fa8f53d7253e553c6	1	1	1	1	RVT-GII	OutgroupB	428.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
72773e477872de99b3ed7ee6ee2e69c1957067db9d18c46baf8a0ebee08bdeb1	1	1	1	1	RVT-GII	TypeXIIIC_Mx162	-7686.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
b2a7842a1c0dbbc52b626a86c58cdc3882cb436aefa282195dfd4b37a0d590ca	1	1	1	1	RVT-GII	TypeIIIA2	-3736.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
af0f43f6efa17bf0e661a39479a33572f2c40c812da4c81c9c19914596ec5836	1	1	1	1	RVT-GII	TypeIIA3_firmi	-4272.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
aac865cf91601cf732fbc1e2501a743f010bf88144f617ad13b39284ed9d88ef	1	1	1	1	RVT-GII	OutgroupA	-329.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
a7d7c16d7bd7d678732938b4aefcddc6167d0e8cab256f56e96a68b8fa601d61	1	1	1	1	RVT-DGRs	TypeIIIA3	5854.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
a5d3ea5fca562723d8d4e7942149af10e9f98a1678d343630413ce63dd2ee408	1	1	1	1	RVT-GII	OutgroupA	-6136.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
9afc6bc1991fa29856a86221ab6fd7f72828fe460dbed93c049bcec3ba8ccd5d	1	1	1	1	RVT-G2L4	TypeXIIIC_Mx162	1550.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
9a33cd5e6ef81472a43632cc7caa7d4686510fe7fff1f770039f89e60f109b7c	1	1	1	1	RVT-DGRs	OutgroupA	-7760.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
98ac9a958265cafc28d231f7b54476bce0c3471c58e2a6994fdd7189ff75b0a5	1	1	1	1	RVT-DGRs	TypeIIA2	6579.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
985afe8b32c0d757832512682998f07505a01bb122753f851ee330774846f2a4	1	1	1	1	RVT-UG14	TypeIX	-435.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
0668fc9eb06a985c9c4bab3cbe90b8d731856c46d40028cae8af83751fcc4e1f	1	1	1	1	RVT-GII	OutgroupB	26.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
92b9a00e0f5bc081c3691ba8c2b6d3de2ff4ae1f098720861fdc8ffd59e2adb7	1	1	1	1	RVT-GII	TypeIIA3_firmi	-2.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
