sequence_id	family	role	length_aa	has_dyad	n_dyad_hits
EQL86843.1_Retrons	Retrons	challenge	384	NO	0
EQV07026.1_Retrons	Retrons	derivation	393	NO	0
ERC54366.1_Retrons	Retrons	development	381	YES	1
ERE33866.1_Retrons	Retrons	challenge	298	YES	1
ESQ08042.1_CRISPR	CRISPR	challenge	985	YES	2
ESQ15779.1_CRISPR	CRISPR	challenge	310	YES	2
ETR69258.1_CRISPR	CRISPR	challenge	549	YES	1
Eu.re.I1|CL1|IIB1|Eubacterium_GII	GII	derivation	554	YES	1
Gb.sp.I1|Bacterial_GII	GII	development	420	YES	1
Ge.ur.I2|Bacterial_GII	GII	development	467	YES	1
H.s.I1|CL1|IIB1|Haemophilus_GII	GII	derivation	575	YES	1
Ha.ch.I1|CL1|IIB1|Hahella_GII	GII	derivation	568	YES	1
Ha.ch.I2|Bacterial_GII	GII	development	462	YES	1
Hm.ar.I1|CL1|IIB1|Herminiimonas_GII	GII	derivation	567	YES	1
Hp.au.I1|CL1|IIB1|Herpetosiphon_GII	GII	derivation	560	YES	1
KFZ44108.1_CRISPR	CRISPR	derivation	560	YES	1
KHE91657.1_CRISPR	CRISPR	derivation	768	YES	2
KKO19838.1_CRISPR	CRISPR	derivation	688	YES	2
KMU71029.1_UG5	UG5	derivation	1014	YES	1
KPA10619.1_CRISPR	CRISPR	challenge	768	YES	1
KPQ33062.1_CRISPR	CRISPR	derivation	656	YES	1
KUI97421.1_CRISPR	CRISPR	development	928	YES	1
KWV78189.1_UG5	UG5	challenge	648	YES	1
KXK58998.1_CRISPR	CRISPR	challenge	558	YES	1
KYC43938.1_CRISPR	CRISPR	derivation	673	YES	1
Kl.pn.I2|CL1|IIB1|Klebsiella_GII	GII	derivation	561	YES	1
LBOJ01000014.1_17779_18654_+_DGRs	DGRs	challenge	291	YES	1
LBOS01000005.1_16717_17802_-_DGRs	DGRs	challenge	361	YES	1
LBPL01000001.1_46258_47253_+_DGRs	DGRs	derivation	331	YES	1
LBPW01000029.1_6965_8005_-_DGRs	DGRs	challenge	346	YES	1
LBQA01000003.1_19911_20978_-_DGRs	DGRs	challenge	355	YES	1
LBQM01000001.1_36313_37389_+_DGRs	DGRs	derivation	358	YES	1
LBQO01000039.1_3482_4519_+_DGRs	DGRs	derivation	345	YES	1
LBQP01000024.1_2225_3211_+_DGRs	DGRs	challenge	328	YES	1
LBRD01000004.1_799_1854_-_DGRs	DGRs	derivation	351	YES	1
LBSI01000002.1_13876_14961_+_DGRs	DGRs	derivation	361	YES	1
LBSX01000014.1_41689_42816_+_DGRs	DGRs	derivation	375	YES	1
LBSY01000044.1_7966_9009_+_DGRs	DGRs	challenge	347	YES	1
LBTF01000004.1_2284_3204_+_DGRs	DGRs	derivation	306	YES	1
LBUR01000007.1_43988_44989_-_DGRs	DGRs	derivation	333	YES	1
LBVD01000002.1_37705_38709_+_DGRs	DGRs	derivation	334	YES	1
LBVH01000036.1_2650_3507_+_DGRs	DGRs	challenge	285	YES	1
LBVK01000014.1_3978_4949_-_DGRs	DGRs	derivation	323	YES	2
LBVX01000030.1_10948_11946_+_DGRs	DGRs	challenge	332	YES	1
LBWF01000003.1_35916_36902_-_DGRs	DGRs	derivation	328	YES	1
LBXP01000008.1_9612_10571_+_DGRs	DGRs	derivation	319	YES	1
LBYE01000042.1_11417_12412_+_DGRs	DGRs	derivation	331	YES	1
LBYL01000001.1_24164_25285_+_DGRs	DGRs	challenge	373	YES	1
LBYZ01000002.1_34327_35337_+_DGRs	DGRs	challenge	336	YES	1
LBZV01000004.1_41266_42306_-_DGRs	DGRs	challenge	346	YES	1
LCAV01000017.1_6696_7766_+_DGRs	DGRs	derivation	356	YES	1
LCBC01000017.1_31906_32946_+_DGRs	DGRs	challenge	346	YES	1
LCBN01000004.1_12051_13103_+_DGRs	DGRs	challenge	350	YES	2
LCBQ01000036.1_2540_3460_+_DGRs	DGRs	challenge	306	YES	1
LCCP01000016.1_39804_40850_+_DGRs	DGRs	derivation	348	YES	1
LCCQ01000001.1_23681_24700_+_DGRs	DGRs	challenge	339	YES	1
LCCW01000010.1_4570_5592_-_DGRs	DGRs	derivation	340	YES	1
LCDB01000024.1_1946_2926_+_DGRs	DGRs	derivation	326	YES	1
LCDF01000006.1_56669_57685_-_DGRs	DGRs	derivation	338	YES	1
LCDS01000041.1_1483_2559_-_DGRs	DGRs	derivation	358	YES	1
LCEC01000049.1_5201_6196_+_DGRs	DGRs	derivation	331	YES	1
LCEI01000004.1_10547_11527_-_DGRs	DGRs	derivation	326	YES	1
LCEP01000014.1_2451_3284_-_DGRs	DGRs	derivation	277	YES	1
LCES01000001.1_68854_69879_-_DGRs	DGRs	derivation	341	YES	1
LCES01000001.1_6886_7887_-_DGRs	DGRs	challenge	333	YES	1
LCES01000003.1_41140_42144_+_DGRs	DGRs	derivation	334	YES	1
LCEZ01000045.1_2817_3845_-_DGRs	DGRs	derivation	342	YES	1
LCFI01000001.1_301934_303028_+_DGRs	DGRs	derivation	364	YES	1
LCFO01000002.1_110954_111940_+_DGRs	DGRs	derivation	328	YES	2
LCGK01000002.1_14337_15302_+_DGRs	DGRs	derivation	321	YES	1
LCGL01000001.1_113132_114130_-_DGRs	DGRs	challenge	332	YES	1
LCGO01000005.1_18116_19192_+_DGRs	DGRs	challenge	358	YES	1
LCGO01000017.1_5440_6429_+_DGRs	DGRs	derivation	329	YES	1
LCGW01000009.1_12378_13469_-_DGRs	DGRs	derivation	363	YES	1
LCHE01000003.1_7781_8833_-_DGRs	DGRs	challenge	350	YES	1
LCHF01000020.1_345_1292_-_DGRs	DGRs	derivation	315	YES	1
LCHJ01000007.1_55421_56461_+_DGRs	DGRs	derivation	346	YES	1
LCHS01000040.1_3189_4106_-_DGRs	DGRs	challenge	305	YES	1
LCHU01000008.1_139_1131_+_DGRs	DGRs	derivation	330	YES	1
LCIN01000007.1_40901_41896_+_DGRs	DGRs	challenge	331	YES	1
LCJR01000002.1_32221_33213_-_DGRs	DGRs	derivation	330	YES	1
LCKI01000003.1_5826_6689_-_DGRs	DGRs	derivation	287	YES	1
LCLM01000019.1_663_1664_-_DGRs	DGRs	challenge	333	YES	1
LCLQ01000001.1_16208_17227_-_DGRs	DGRs	derivation	339	YES	1
LCMK01000005.1_17128_18120_+_DGRs	DGRs	derivation	330	YES	3
LCML01000001.1_107977_108996_+_DGRs	DGRs	challenge	339	YES	1
LCNF01000002.1_88892_89761_-_DGRs	DGRs	derivation	289	YES	1
LCNL01000022.1_5698_6732_+_DGRs	DGRs	derivation	344	YES	1
LCOG01000012.1_5870_6943_-_DGRs	DGRs	derivation	357	YES	1
LCOL01000016.1_7709_8707_-_DGRs	DGRs	derivation	332	YES	1
LCOR01000029.1_4676_5674_-_DGRs	DGRs	derivation	332	YES	1
LCPI01000003.1_234171_235154_-_DGRs	DGRs	derivation	327	YES	1
LCPM01000004.1_11746_12786_-_DGRs	DGRs	derivation	346	YES	1
LCQC01000006.1_16023_16868_+_DGRs	DGRs	derivation	281	YES	1
LCQW01000004.1_10322_11551_-_DGRs	DGRs	derivation	409	YES	1
LCRC01000045.1_337_1233_-_DGRs	DGRs	challenge	298	YES	1
LCRK01000003.1_86678_87700_-_DGRs	DGRs	derivation	340	YES	1
LCRU01000019.1_798_1847_-_DGRs	DGRs	derivation	349	YES	1
LFCO01000003.1_78748_79728_-_DGRs	DGRs	derivation	326	YES	1
LR134264.1_35945_37807_+_NewM_AbiA	AbiA	challenge	620	YES	1
M.a.I5|Bacterial_GII	GII	challenge	415	YES	1
Ma.mr.I3|Bacterial_GII	GII	challenge	417	YES	1
NP_617021.1_Retrons	Retrons	derivation	563	YES	1
NP_782489.1_Retrons	Retrons	derivation	385	YES	1
NP_793699.1_Retrons	Retrons	derivation	393	NO	0
NP_875004.1_Retrons	Retrons	challenge	472	YES	1
NP_928428.1_GII	GII	challenge	469	YES	1
NP_932029.1_Retrons	Retrons	derivation	393	NO	0
NP_934564.1_Retrons	Retrons	development	381	YES	1
NZ_CAFN01000268.1_3462_4520_+_DGRs	DGRs	development	352	YES	1
O.i.I1|Bacterial_GII	GII	development	419	YES	1
OEU51672.1_UG5	UG5	derivation	996	YES	1
OGB14237.1_UG3	UG3	derivation	448	YES	1
OGT94063.1_UG5	UG5	derivation	1012	YES	1
OJI32437.1_UG3	UG3	derivation	406	YES	1
OMG53258.1_UG3	UG3	derivation	449	YES	1
OYY74881.1_UG5	UG5	derivation	998	YES	2
Oc.an.I1|Bacterial_GII	GII	development	467	YES	1
P.a.I1|Bacterial_GII	GII	development	465	YES	1
P.ae.I2|CL1|IIB1|Pseudomonas_GII	GII	derivation	561	YES	1
P.ae.I3|Bacterial_GII	GII	challenge	419	YES	1
P.p.I2|CL1|IIB1|Pseudomonas_GII	GII	derivation	494	YES	1
Pa.de.I1|Bacterial_GII	GII	challenge	413	YES	1
Pbu.ph.I1|CL1|IIB1|Paraburkholderia_GII	GII	derivation	568	YES	1
Pbu.ph.I2|CL1|IIB1|Paraburkholderia_GII	GII	derivation	503	YES	1
Pey.ph.I1|Bacterial_GII	GII	challenge	413	YES	1
Pr.ae.I3|Bacterial_GII	GII	challenge	413	YES	1
SDD91534.1_UG5	UG5	derivation	1042	YES	1
SDP55858.1_UG3	UG3	challenge	371	YES	1
SDY00544.1_UG3	UG3	derivation	465	YES	1
SEM11695.1_UG5	UG5	derivation	999	YES	2
SEP07538.1_UG3	UG3	development	401	YES	1
SER30883.1_UG3	UG3	challenge	411	YES	1
SHM72985.1_UG3	UG3	derivation	411	YES	2
Sb.mo.I1|CL1|IIB1|Streptobacillus_GII	GII	derivation	544	YES	1
Sh.ba.I1|CL1|IIB1|Shewanella_GII	GII	derivation	490	YES	1
Sh.sp.I1|CL1|IIB1|Shewanella_GII	GII	derivation	490	YES	1
Sh.sp.I2|CL1|IIB1|Shewanella_GII	GII	derivation	549	YES	1
Syb.fu.I1|Bacterial_GII	GII	development	467	YES	1
Th.e.I1|CL1|IIB1|Thermosynechococcus_GII	GII	derivation	567	YES	1
UA.I2|CL1|IIB|uncultured_GII	GII	derivation	448	YES	1
Vi.ha.I2|CL1|IIB1|Vibrio_GII	GII	derivation	490	YES	1
WP_000623838.1_UG5	UG5	challenge	961	YES	1
WP_000934358.1_UG3	UG3	development	398	YES	1
WP_001530977.1_UG3	UG3	derivation	424	YES	1
WP_001696754.1_UG3	UG3	derivation	420	YES	1
WP_002135326.1_UG3	UG3	challenge	420	YES	1
WP_002469143.1_AbiA	AbiA	challenge	621	YES	2
WP_003205567.1_UG3	UG3	derivation	421	YES	1
WP_003431804.1_UG3	UG3	challenge	422	YES	1
WP_005873073.1_CRISPR	CRISPR	challenge	731	YES	1
WP_006063846.1_CRISPR	CRISPR	derivation	630	YES	1
WP_006515493.1_CRISPR	CRISPR	derivation	620	YES	2
WP_007041721.1_UG3	UG3	development	412	YES	1
WP_007184993.1_UG5	UG5	derivation	986	YES	1
WP_007220853.1_CRISPR	CRISPR	derivation	771	YES	1
WP_007355619.1_CRISPR	CRISPR	derivation	667	YES	1
WP_007481073.1_CRISPR	CRISPR	derivation	757	YES	1
WP_007642849.1_UG3	UG3	challenge	408	YES	1
WP_007919061.1_UG3	UG3	derivation	448	YES	1
WP_008312855.1_CRISPR	CRISPR	derivation	659	YES	1
WP_009286519.1_UG5	UG5	derivation	1002	YES	1
WP_009634061.1_AbiA	AbiA	derivation	651	YES	1
WP_010993357.1_UG5	UG5	development	1000	YES	1
WP_010995638.1_CRISPR	CRISPR	derivation	668	YES	1
WP_011152750.1_CRISPR	CRISPR	development	690	YES	2
WP_011568668.1_UG3	UG3	derivation	426	YES	1
WP_011610793.1_DGRs	DGRs	development	288	YES	2
WP_011815837.1_UG3	UG3	challenge	406	YES	1
WP_012197556.1_UG5	UG5	challenge	1002	YES	1
WP_012441931.1_UG3	UG3	derivation	423	YES	1
WP_012599795.1_CRISPR	CRISPR	derivation	309	YES	1
WP_012973664.1_CRISPR	CRISPR	derivation	665	YES	2
WP_013232091.1_UG5	UG5	derivation	1022	YES	1
WP_013316246.1_UG3	UG3	derivation	447	YES	1
WP_013740480.1_AbiA	AbiA	derivation	635	YES	2
WP_014068328.1_UG3	UG3	derivation	410	YES	1
WP_014188713.1_CRISPR	CRISPR	derivation	672	YES	2
WP_014275551.1_CRISPR	CRISPR	derivation	599	YES	1
WP_014455097.1_UG3	UG3	development	451	YES	1
WP_014704105.1_UG3	UG3	derivation	448	YES	1
WP_014796216.1_UG3	UG3	derivation	501	YES	1
WP_014972583.1_UG3	UG3	challenge	383	YES	1
WP_014989234.1_UG5	UG5	derivation	1005	YES	1
WP_015201683.1_CRISPR	CRISPR	derivation	347	YES	1
WP_015334627.1_CRISPR	CRISPR	challenge	875	YES	1
WP_015886918.1_GII	GII	challenge	430	YES	1
WP_016253322.1_UG5	UG5	derivation	1015	YES	1
WP_017302244.1_CRISPR	CRISPR	derivation	701	YES	2
WP_017511345.1_GII	GII	challenge	414	YES	1
WP_017559367.1_CRISPR	CRISPR	challenge	608	YES	1
WP_018158292.1_CRISPR	CRISPR	challenge	293	YES	2
WP_018212776.1_AbiA	AbiA	challenge	626	YES	1
WP_018870803.1_CRISPR	CRISPR	challenge	285	YES	1
WP_020380191.1_CRISPR	CRISPR	challenge	310	YES	1
WP_021087740.1_CRISPR	CRISPR	challenge	731	YES	1
WP_021271990.1_UG3	UG3	derivation	420	YES	1
WP_022296758.1_UG3	UG3	derivation	423	YES	1
WP_023191260.1_AbiA	AbiA	derivation	653	YES	1
WP_023286065.1_UG3	UG3	development	427	YES	1
WP_023301376.1_UG5	UG5	derivation	1005	YES	1
WP_023599690.1_AbiA	AbiA	challenge	788	YES	1
WP_024228187.1_UG5	UG5	challenge	958	YES	1
WP_024971209.1_CRISPR	CRISPR	derivation	658	YES	1
WP_025510150.1_UG5	UG5	challenge	1064	YES	2
WP_027180402.1_CRISPR	CRISPR	challenge	874	YES	2
WP_028302067.1_CRISPR	CRISPR	development	938	YES	1
WP_028490526.1_CRISPR	CRISPR	challenge	275	YES	1
WP_029630506.1_CRISPR	CRISPR	derivation	669	YES	1
WP_030008160.1_CRISPR	CRISPR	derivation	703	YES	2
WP_031976972.1_UG3	UG3	challenge	413	YES	1
WP_032556864.1_CRISPR	CRISPR	derivation	756	YES	1
WP_032822382.1_UG3	UG3	challenge	257	YES	1
WP_032838654.1_UG5	UG5	derivation	991	YES	2
WP_033102647.1_UG3	UG3	derivation	437	YES	1
WP_033453131.1_UG5	UG5	derivation	1012	YES	1
WP_033487522.1_UG3	UG3	development	420	YES	1
WP_034915076.1_UG3	UG3	challenge	407	YES	1
WP_036885018.1_CRISPR	CRISPR	derivation	1030	YES	1
WP_036978216.1_UG3	UG3	challenge	412	YES	2
WP_038188758.1_CRISPR	CRISPR	challenge	936	YES	1
WP_038884984.1_CRISPR	CRISPR	development	690	YES	2
WP_039443024.1_CRISPR	CRISPR	derivation	1032	YES	1
WP_039628364.1_UG3	UG3	derivation	441	YES	1
WP_041039832.1_CRISPR	CRISPR	derivation	668	YES	1
WP_044448019.1_CRISPR	CRISPR	derivation	668	YES	1
WP_045166527.1_UG3	UG3	derivation	396	YES	1
WP_045167831.1_UG3	UG3	challenge	486	YES	1
WP_046049600.1_UG5	UG5	derivation	1008	YES	2
WP_047212465.1_UG5	UG5	derivation	1002	YES	1
WP_047875592.1_CRISPR	CRISPR	challenge	953	YES	1
WP_047997769.1_UG3	UG3	derivation	458	YES	2
WP_049110871.1_UG3	UG3	development	417	YES	1
WP_050289471.1_UG5	UG5	development	1000	YES	1
WP_050595161.1_UG5	UG5	challenge	1000	YES	1
WP_051209229.1_CRISPR	CRISPR	derivation	543	YES	1
WP_052271646.1_UG5	UG5	challenge	957	YES	1
WP_052396493.1_CRISPR	CRISPR	challenge	624	YES	1
WP_052565451.1_CRISPR	CRISPR	derivation	330	YES	1
WP_053009538.1_UG5	UG5	challenge	959	YES	2
WP_053587381.1_CRISPR	CRISPR	development	712	YES	2
WP_054989884.1_UG3	UG3	challenge	425	YES	1
WP_055043549.1_CRISPR	CRISPR	challenge	938	YES	1
WP_055268636.1_UG3	UG3	derivation	474	YES	2
WP_055298194.1_UG3	UG3	development	467	YES	2
WP_056323960.1_UG3	UG3	derivation	448	YES	1
WP_056840940.1_UG5	UG5	derivation	999	YES	1
WP_057534979.1_UG5	UG5	challenge	1274	YES	1
WP_058182825.1_UG5	UG5	derivation	1012	YES	2
WP_059169679.1_UG5	UG5	derivation	1027	YES	1
WP_059874130.1_UG5	UG5	derivation	1005	YES	1
WP_060836241.1_CRISPR	CRISPR	derivation	661	YES	1
WP_061057569.1_UG5	UG5	challenge	968	YES	1
WP_061103821.1_UG3	UG3	derivation	425	YES	1
WP_061524151.1_UG5	UG5	derivation	1030	YES	1
WP_062460344.1_UG3	UG3	challenge	408	YES	1
WP_063252416.1_UG3	UG3	challenge	408	YES	1
WP_063857687.1_UG3	UG3	derivation	449	YES	1
WP_063927915.1_UG5	UG5	challenge	669	YES	1
WP_064615106.1_UG3	UG3	derivation	448	YES	1
WP_064718300.1_UG3	UG3	derivation	393	YES	2
WP_064977121.1_UG3	UG3	derivation	427	YES	1
WP_073291237.1_UG5	UG5	development	1007	YES	2
WP_073311116.1_UG5	UG5	challenge	1018	YES	1
WP_073442822.1_UG5	UG5	derivation	994	YES	2
WP_074822589.1_UG3	UG3	development	408	YES	2
WP_074890057.1_UG3	UG3	challenge	416	YES	1
WP_075304188.1_UG5	UG5	derivation	1008	YES	1
WP_075384215.1_UG5	UG5	challenge	963	YES	1
WP_076352042.1_UG3	UG3	derivation	488	YES	2
WP_076527827.1_UG3	UG3	derivation	430	YES	1
WP_076964273.1_UG3	UG3	challenge	407	YES	1
WP_077869186.1_UG5	UG5	development	1244	YES	1
WP_078746499.1_UG3	UG3	development	417	YES	1
WP_080954965.1_UG3	UG3	derivation	481	YES	1
WP_081839646.1_UG3	UG3	challenge	431	YES	1
WP_082127853.1_UG3	UG3	derivation	420	YES	1
WP_082406179.1_UG3	UG3	development	422	YES	1
WP_082674220.1_CRISPR	CRISPR	challenge	309	YES	1
WP_083204281.1_UG3	UG3	derivation	425	YES	1
