claim_id	level	claim	supporting_analysis	dataset_population	inferential_unit	result_estimate	limitations	status	source_bundle_and_commit
C-11	2 RT-specific association	RT conditioning does not improve the marginal realism of generated ncRNA relative to type conditioning	X1 generation analysis (descriptive, run after likelihoods were frozen): 200 test RTs x 4 samples	test fold RTs	generated sequence (descriptive)	3-mer JSD vs real test ncRNA: T 0.00256, R 0.00428, U 0.02812; R over-generates length (median 178 vs real 156); all arms less structured than real (MFE -25/-39/-43 vs -58.7)	Temperature-1.0 sampling; marginal composition is not a partner-specificity endpoint; no generated RNA is claimed functional.	SUPPORTED (as a descriptive negative)	results/embed_x1_conditional_pilot @ 8bf7207
C-12	methodological	Pair counts overstate the independent sample size in this universe by more than two orders of magnitude; the effective number of independent units is what bounds inference	Inverse-Simpson n_eff over relatedness components, computed for every fold and every threshold combination	PAIR-ELIG and all 12 candidate splits	relatedness component	frozen test fold: 4,638 pairs, 357 components, n_eff 14.1; giant component 5,711 pairs (18.5 %); TypeIC1_IC2 has 6,277 pairs at n_eff 1.2	n_eff is a property of the component-size distribution; it cannot be improved by re-folding the same data.	SUPPORTED	results/embed_g2a_split_selection @ fd5efc9; results/embed_g2b_frozen_split @ 15e00b8
C-13	methodological	A leakage-aware split must be joint over both modalities: protein-only or RNA-only blocking cannot control this bipartite relation	Split construction and multiplicity census	PAIR-ELIG	pair / cluster / component	one ncRNA is observed with 705 distinct RTs; 17.72 % of ncRNAs have >1 RT partner; 3.15 % of RTs have >1 ncRNA partner (max 176); only the bipartite connected component is closed under both relations	The component is indivisible, which is what forces the low n_eff; the trade-off is structural, not a tuning choice.	SUPPORTED	results/embed_g0_input_contract @ fe6e1a3 (maxima 705/176, g0_multiplicity.tsv); percentages 17.72 %/3.15 % quoted from RT_NCRNA_EMBEDDING_REPORT.md @ 4f56519 (derived document - re-derive before thesis use); results/embed_g2b_frozen_split @ 15e00b8
C-14	methodological	The retrieval and conditional-likelihood effects are not driven by the residual near-duplicate fragment channel	Pre-declared near-duplicate sensitivity population (local identity >= 0.90 AND aligned coverage >= 0.30, max-coverage symmetrization), whole affected components excluded	1,525 pairs / 284 components (n_eff 24.5)	relatedness component	embed_g2 rung-1 MRR 0.4329 [0.3910, 0.4751] vs 0.4407 on the full fold (change -0.008); X1 R - T = -0.01809 [-0.02530, -0.00992] vs -0.01778	The ncRNA near-duplicate channel (263 of 2,756 held-out ncRNAs) is accepted and reported, not eliminated.	SUPPORTED	results/embed_g2_frozen_baseline @ 2c9127b; results/embed_x1_conditional_pilot @ 8bf7207
C-15	methodological	A confirmatory WITHIN-retron-type partner-specificity test is currently infeasible for this population; the binding constraint is independent components, not model capacity or pair count	Within-type feasibility audit under four pre-declared criteria (pool >= 50, >= 30 components, n_eff >= 10, >= 100 T3 pairs)	all 21 retron types in PAIR-ELIG	retron type (population audit)	2 of 21 types pass (TypeIIIA3, TypeIB1); their TEST-fold n_eff are 3.7 and 4.6; 19 of 21 fail on the n_eff criterion	An audit, not an experiment; the criteria are ours and could be re-declared, but loosening them would not create independent units.	SUPPORTED	results/embed_g2c_atlas @ 9154972
C-16	2 RT-specific association	The R - T advantage replicates under component-blocked 5-fold cross-fitting with every component evaluated out-of-fold exactly once	X2 primary endpoint (pooled out-of-fold component-level R - T), design frozen before any X2 number	all 1,075 components of PAIR-ELIG, out-of-fold	relatedness component (pooled out-of-fold)	PENDING - do not anticipate. Outcome classes X2-A/B/C/D are frozen in DESIGN.md	Internal cross-fitted confirmation, not external validation: no new data exist. Cross-fitting buys coverage, not power (whole-population n_eff 12.5 vs 14.1 in the single frozen test fold).	PENDING	ARIS_OUTPUT/embed_x2_confirmation/DESIGN.md (running, uncommitted)
C-17	2 RT-specific association	The advantage is not explained by coarse RT lineage (conditioning on the 50 %-identity cluster representative's ESM-C representation)	X2 arm G vs arm R; reported on all pairs and on the 28,450 pairs where G genuinely differs from R	out-of-fold components; 2,455 RT clusters	relatedness component	PENDING	G is forced to use the representative's frozen embedding because a learned per-cluster table would be untrained for every evaluation cluster.	PENDING	ARIS_OUTPUT/embed_x2_confirmation/DESIGN.md
C-18	2 RT-specific association	The advantage requires the observed RT-ncRNA correspondence rather than merely an RT from the right structural population	X2 falsification arm P: within-type derangement of the RT assigned to each TRAINING pair; validation and test condition on the true RT	out-of-fold components	relatedness component	PENDING	20 of 18,554 training pairs unavoidably keep their own RT in singleton types; P is reported separately from U/T/G/R.	PENDING	ARIS_OUTPUT/embed_x2_confirmation/DESIGN.md
C-19	2 RT-specific association	The observed RT beats stringent counterfactual conditioning controls: length-matched (C2), nearest ESM-C neighbours (C3) and within the same 50 %-identity RT cluster (C4)	X2 counterfactual tiers C1-C4, admissibility and similarity rules frozen in COUNTERFACTUAL_RULES.md	out-of-fold eligible pairs per tier	relatedness component	PENDING	A tier spanning fewer than 30 independent components is reported UNDETERMINED, not as a null. Counterfactual RTs are never biological negatives.	PENDING	ARIS_OUTPUT/embed_x2_confirmation/COUNTERFACTUAL_RULES.md
C-20	3 functional compatibility	Naturally associated RT and ncRNA are functionally compatible, bind, are co-evolved, or are orthogonal to other pairs	None. No analysis in this project addresses it and none can with sequence data and natural co-occurrence alone	-	-	No estimate exists	Requires biochemical/structural/functional assay or equivalent independent evidence. Natural pairing is co-occurrence, not demonstrated function.	NOT_SUPPORTED (out of scope for the present data)	LAUNCHER_03 interpretation boundary @ 89d06b1; RT_NCRNA_EMBEDDING_REPORT.md section 1
C-21	3 functional compatibility	RT-ncRNA combinations absent from the corpus are incompatible	None. Corpus absence is a sampling and detection statement	PAIR-ELIG and the mining corpus	-	No estimate exists	Every ncRNA call in the corpus comes from covariance models (nc_source = 'infernal'); undetected ncRNAs are invisible by construction, disproportionately in divergent lineages.	NOT_SUPPORTED (not testable from these data)	results/embed_g0_input_contract @ fe6e1a3
C-22	3 functional compatibility (prospective)	Model scores can prioritise candidate RT-ncRNA pairs with low predicted cross-reactivity for laboratory testing	Designed, not executed: CANDIDATE_SELECTION_DESIGN.md (native-vs-counterfactual margin over an RT x ncRNA score matrix, with in-distribution and replicate-consistency gates)	would be a named, experimentally tractable subset - not yet defined	candidate pair SET (not individual pair)	No score has been computed. F7 is a methods schematic with synthetic values.	Prerequisites are unmet (see C-15, C-16..C-19). A predicted pairing score is a hypothesis-generating device, never evidence of orthogonality.	PENDING (design only)	analysis/embedding_report/CANDIDATE_SELECTION_DESIGN.md (this workbench)
C-23	external precedent	A protein-conditioned RT->ncRNA generator trained in this lab performed family recognition rather than partner recognition, and its contrastive arm degraded the rank statistic while inflating the optimised metric	Leave-one-family-out with a row-matched control; InfoNCE arm vs baseline (prior project, audited not re-run)	/home/borg/openCRISPR_for_retrons/ population - NOT PAIR-ELIG	family / scoring row	LOFO row 2AFC 0.5020-0.6474 vs row-matched control 0.6115-0.7419; 78 % of the gap attributed to family identity, 22 % to training volume; InfoNCE: enrichment +0.3692 -> +15.9562 while row 2AFC 0.9532 -> 0.9072 (t = -21.01)	Different population, split and metric; precedent and engineering, never numeric authority over a frozen bundle.	SUPPORTED (as external precedent)	analysis/embedding_rt_ncrna/HISTORICAL_MODEL_ASSET_AUDIT.md @ 506cca2
C-24	decision	Escalation to contrastive / InfoNCE partner-specificity modelling is not currently justified as a confirmatory test - the constraint is the evaluation, not the architecture	Pre-registered escalation rule in LAUNCHER_03 section 7 applied to the frozen rung-3 readout; closure decision record	frozen test fold	relatedness component	rung-3 difference +0.0298 [-0.0048, +0.0633] does not clear the declared margin; status recorded as NOT YET JUSTIFIED AS A CONFIRMATORY PARTNER-SPECIFIC TEST, not METHOD REJECTED	A decision, not a measurement about the methods themselves; five explicit reopening triggers are recorded.	SUPPORTED (decision recorded)	docs/decisions/2026-09-18_embed_g2_closure.md @ 9154972
