source_id	pdb_ids	protein	citation	pmid	pmcid	doi	retrieval_status	cache_file	sha256	boundaries_found	why_used_or_not
SRC-ZHAO16	5HHJ;5HHK;5HHL	R.i. / E.r. group II intron maturases	Zhao C, Pyle AM. Crystal structures of a group II intron maturase... Nat Struct Mol Biol 2016;23:558-565.	27136328	PMC4899126	10.1038/nsmb.3224	FULL_TEXT	PMC4899126.txt	e909ed2ba5462288ed6d5fc5eb95c6f23f6a74069a0f6e5f75aaf73e256e7fd7	3 construct/RT-domain extents + 1 third-party HIV statement	PRIMARY for 5HHJ/5HHK/5HHL. Fingers/palm/RT0/IFD are FIGURE_ONLY_NO_NUMBERS; only whole-RT-domain and construct extents are numbered.
SRC-STAMOS17	6AR1	GsI-IIC RT	Stamos JL, Lentzsch AM, Lambowitz AM. Mol Cell 2017;68:926-939.	29153391	PMC5728383	10.1016/j.molcel.2017.10.024	FULL_TEXT	PMC5728383.txt	09977f877ea338119174329da17ec3a5a2e4886b2e7e3fedcbfd8d753ac68b05	1 (RT0 loop)	PRIMARY for 6AR1. Fingers/insertions/palm/thumb/D domain = FIGURE_ONLY_NO_NUMBERS (Fig. 2A legend lists them as colours). Supplementary Fig. S1 not retrieved.
SRC-CHUNG22	7UIM;7UIN	group II intron maturase (A0A173ZME3)	Chung K, Xu L, Chai P, Peng J, Devarkar SC, Pyle AM. Structures of a mobile intron retroelement poised to attack its structured DNA target. Science 2022;378:627-634.	36356138	PMC10190682	10.1126/science.abq2844	FULL_TEXT	PMC10190682.txt	1b33f5730185a1d3cd645147c2b5018a932c8ff929807a603073931879aafb58	none	PRIMARY for 7UIM/7UIN. Thumb, DBD, IFD, RT0, palm are all named but NEVER numbered => FIGURE_ONLY_NO_NUMBERS.
SRC-HAACK19	6ME0;6MEC	group II intron maturase (Q8DMK2)	Haack DB, Yan X, Zhang C, et al. Cryo-EM structures of a group II intron reverse splicing into DNA. Cell 2019;178:612-623.	31348888	PMC6662634	10.1016/j.cell.2019.06.035	FULL_TEXT	PMC6662634.txt	5d7ceaaf70bb7fea6ebcf8a3004ad9d7d9dc04f2f8d9568a2874a709f42f6983	none	PRIMARY for 6ME0/6MEC. Uses the term "thumb/X domain" repeatedly but gives no residue numbers => FIGURE_ONLY_NO_NUMBERS.
SRC-HAACK24	8FLI	group II intron maturase (Q8DMK2)	Haack DB, Rudolfs B, Zhang C, Lyumkis D, Toor N. Structural basis of branching during RNA splicing. Nat Struct Mol Biol 2024;31:179-189.	38057551	PMC10968580	10.1038/s41594-023-01150-0	FULL_TEXT	PMC10968580.txt	66d8744f861c747d93e8a5819a0df1e3946fe3b249c19b3954f4b03d7188e927	none	PRIMARY for 8FLI. RNA-focused; no protein subdomain residue numbers.
SRC-PARK25	9D4S;9D5X	G2L4 RT	Park SK, et al. PNAS 2025;122:e2504208122.	40729381	PMC12337344	10.1073/pnas.2504208122	FULL_TEXT	PMC12337344.txt	8e47e2e1afbc31139bd0bd7d1c8693b70e33776b226e8b7aa012d0ee4280b9a5	2 (thumb C-terminal extension; RT3a helix)	PRIMARY. Fingers/palm/thumb/NTE/RT0/RT2a/RT3a shown as colours in Fig. 1 => FIGURE_ONLY_NO_NUMBERS for the subdomains themselves.
SRC-WANG22-EC86	7V9U;7XJG	Retron Ec86 RT	Wang Y, Guan Z, Wang C, et al. Cryo-EM structures of Escherichia coli Ec86 retron complexes... Nat Microbiol 2022;7:1480-1489.	35982312		10.1038/s41564-022-01197-7	NOT_RETRIEVED		NA	none	PRIMARY for 7V9U/7XJG. Not in PMC (inEPMC=N); nature.com redirects to an authentication endpoint (paywall). NO Ec86 subdomain boundaries could be read verbatim. 7V9U chain A author numbering is 1-320.
SRC-7V9X	7V9X	Retron Ec86 RT	"Structural insight into anti-phage Retron-Ec86 complex" - To Be Published (no primary citation in RCSB).				NOT_SEARCHED		NA	none	RCSB lists no primary publication; nothing to audit.
SRC-CARABIAS24	8QBK;8QBL;8QBM	Retron-Eco1 (Ec86) RT	Carabias A, Camara-Wilpert S, Mestre MR, et al. Retron-Eco1 assembles NAD+-hydrolyzing filaments... Mol Cell 2024;84:2185-2202.	38788717		10.1016/j.molcel.2024.05.001	NOT_RETRIEVED		NA	none	PRIMARY for 8QBK/8QBL/8QBM. Not in PMC; cell.com 403 for curl and WebFetch.
SRC-JAS26	9I2F;9I2G;9S1F	Retron Eco2 (Ec67)	Jasnauskaite M, et al. Structure and mechanism of antiphage retron Eco2. Nat Struct Mol Biol 2026.	41709047	PMC12916289	10.1038/s41594-026-01754-2	FULL_TEXT	PMC12916289.txt	85e91be6c12180aad19b2a04209a3206609a213d0d63e912685d37c37f5b02e5	2 (trimerization loop; YADD)	PRIMARY for 9I2F/9I2G/9S1F. Fingers/palm/thumb FIGURE_ONLY_NO_NUMBERS.
SRC-WANGEC2-25	(Eco2/Ec67, other PDB entries)	Retron Eco2 RT	Wang Y, Wang C, Yin Y, Cui Y, et al. Structural basis of the RNA-mediated Retron-Eco2 oligomerization. 2025.	40897710	PMC12405507		FULL_TEXT	PMC12405507.txt	334aa7dfaae0c1abc2f21107ab2a1e85bbb3426732996e71cd5badc9b98f0003	none	Second, independent Eco2/Ec67 structure paper, retrieved as a cross-check. Palm/fingers/thumb are colour-coded in Fig. 3a only => FIGURE_ONLY_NO_NUMBERS.
SRC-XIONG26	9X94;9X9B	Retron-Eco8 RT	Xiong C, et al. Structural basis of Retron-Eco8-mediated antiphage defense. Nucleic Acids Res 2026.	41665008	PMC12887533	10.1093/nar/gkag111	FULL_TEXT	PMC12887533.txt	32d271d14030aa05cf3c1bb3182c31006d89f8d5fdb21464b2ebc22b9ce70f36	3 (fingers,palm,thumb)	PRIMARY. Conflicts with Ji et al. 2026 (see AUDIT_NOTES).
SRC-JI26	23OR;9LBQ;9WN8	Retron-Eco8 RT + effector	Ji CG, et al. Mechanistic insights into activation of bacterial Retron-Eco8 immunity by phage protein SSB. Nat Commun 2026.	42270618	PMC13402713	10.1038/s41467-026-74106-9	FULL_TEXT	PMC13402713.txt	7581794f9ad55c97faea2e24caa488a315c217183ac74c00e671518c438e25d3	6	PRIMARY. Conflicts with Xiong et al. 2026.
SRC-YUAN25	9LPA	Retron-Eco8	Yuan L, Xu L, Wu B, et al. Molecular mechanism of Eco8-mediated anti-phage defense. Mol Cell 2025.	41172990		10.1016/j.molcel.2025.09.029	NOT_RETRIEVED		NA	none	Third Eco8 paper (would be a valuable third opinion on the Eco8 fingers/palm split). Not in PMC; cell.com blocked.
SRC-LI25-EC78	9L7P	Retron Ec78 RT + PtuAB	Li X, et al. Architecture and mechanism of a dual-enzyme retron system... Nat Commun 2025.	41354673	PMC12804668	10.1038/s41467-025-67175-9	FULL_TEXT	PMC12804668.txt	80451c41d4f9f299a811a07c744301e55b91225d5de375dad5bbe990463b3b09	2 (RT sensing loop; PtuA NTD/CC/CTD)	PRIMARY for 9L7P. RT subdomains FIGURE_ONLY_NO_NUMBERS.
SRC-WANGB25	9NNB	Retron Ec78 RT + PtuA	Wang B, Hoffman RD, Hou YM, Li H. Structural basis for retron co-option of anti-phage ATPase-nuclease. Nat Struct Mol Biol 2026.	41174277	PMC12819146	10.1038/s41594-025-01702-6	FULL_TEXT	PMC12819146.txt	74b89e1757188d6090b458c48a2225cdf6864710b261252cc0f926339385f94c	none	PRIMARY for 9NNB. Finger/Thumb/Palm named ("comprising three distinct subdomains-Finger, Thumb and Palm") but never numbered => FIGURE_ONLY_NO_NUMBERS.
SRC-DAI25	9VHE;9VHL	Retron-Eco7 (Ec78)	Dai Z, et al. Nucleic Acids Res 2025.	41277685	PMC12640716	10.1093/nar/gkaf1173	FULL_TEXT	PMC12640716.txt	4e51545cfd389f974ae3b2f4c8bd664de02fecb7c8e1173abc6ba898b4819665	4 (YADD, NAxxH, VTG motifs; PtuA CTD)	PRIMARY for 9VHE/9VHL. RT subdomains FIGURE_ONLY_NO_NUMBERS.
SRC-WANGC25	9E8Z	Retron-Septu (Ec83)	Wang C, et al. Disassembly activates Retron-Septu for antiphage defense. Science 2025.	40504952	PMC12240667	10.1126/science.adv3344	FULL_TEXT	PMC12240667.txt	62816d5468a731cddd4040d5520a6664890e6699d034768b3017be78729dace3	1 (YADD)	PRIMARY for 9E8Z. Fingers/palm/thumb named, not numbered.
SRC-GEORGE25	9N69	retron RT with ATPase	George JT, Burman N, Wilkinson RA, de Silva, et al. Structural basis of antiphage defence by an ATPase-associated reverse transcriptase. Nat Commun 2025.	41006229	PMC12475279	10.1038/s41467-025-63285-6	FULL_TEXT	PMC12475279.txt	f9051ec9dd87f8c8184938021dfc3d8980e1345488a3ec2e2c0cf2140bfe7481	none	PRIMARY for 9N69. Thumb/palm/finger discussed extensively without residue numbers => FIGURE_ONLY_NO_NUMBERS.
SRC-FIGIEL22	7R06;7R08	AbiK; AbiP2	Figiel M, et al. Nucleic Acids Res 2022;50:10026-10043.	36107766	PMC9508834	10.1093/nar/gkac772	FULL_TEXT	PMC9508834.txt	efbf6da1286abad66dd2d8a4177b5322b186c28c28414c01c1ae017ac4abcff6	3 (constructs/loops)	PRIMARY. Palm/fingers/helical domain FIGURE_ONLY_NO_NUMBERS.
SRC-GAPINSKA24	8OZ7	AbiA	Gapinska M, et al. Nucleic Acids Res 2024;52:4723-4738.	38587192	PMC11077055	10.1093/nar/gkae230	FULL_TEXT	PMC11077055.txt	39e55a0d48934866cb326ff91c446b6d5a4e23a705831be0562ba09c720c686a	6	PRIMARY. Fig. 1A legend says "Numbers indicate residues at the domain boundaries" but the numbers are drawn on the figure only => explicit FIGURE_ONLY_NO_NUMBERS row recorded.
SRC-WANGJY21	7KFT	Cas6-RT-Cas1 (CRISPR-associated RT)	Wang JY, et al. Nat Commun 2021;12:2571.	33958590	PMC8102632	10.1038/s41467-021-22900-y	FULL_TEXT	PMC8102632.txt	d44e35a066c3955f5821315bc2c306f97dc3123bd8dc02c773991c0b45765338	1 (modelled/unmodelled ranges)	PRIMARY. Palm/fingers/missing thumb-X described without numbers.
SRC-HANDA25	8UB7;8UBD	DGR bRT (Q775D8)	Handa S, Biswas T, Chakraborty J, Ghosh G, et al. RNA control of reverse transcription in a diversity-generating retroelement. Nature 2025.	39779855	PMC11995886	10.1038/s41586-024-08405-w	FULL_TEXT	PMC11995886.txt	de10f8550c0240100d693a1455a5b7c05829e2b2584a8b19b76396340a8a443c	none	PRIMARY for 8UB7/8UBD. NTE, finger, palm and thumb are named but all numbered ranges in the paper are RNA (Sp/TR nucleotides), not protein residues => FIGURE_ONLY_NO_NUMBERS for the protein subdomains.
SRC-WILKINSON24	9C0I	DRT2 (UG2)	Wilkinson ME, Li D, Gao A, Macrae RK, Zhang F. Phage-triggered reverse transcription assembles a toxic repetitive gene from a noncoding RNA. Science 2024.	39208082	PMC12039810	10.1126/science.adq3977	FULL_TEXT	PMC12039810.txt	c6af461a823235bfe50d37cddec04f5c43ee739c74bcd7d6770ec63fe5f28fad	none	PRIMARY for 9C0I. Thumb, fingers and a fingers insertion are named without residue numbers => FIGURE_ONLY_NO_NUMBERS.
SRC-XIA26-DRT2	9LJE	DRT2 (UG2)	Xia Y, Qi H, Wei XY, et al. Dual sensing activates antiviral reverse transcriptase for membrane targeting. Cell Host Microbe 2026.	42685694		10.1016/j.chom.2026.08.006	NOT_RETRIEVED		NA	none	PRIMARY for 9LJE. Not in PMC; cell.com blocked.
SRC-NEVILLE26	9YFD	DRT1	Neville N, et al. Nat Struct Mol Biol 2026.	42271041	PMC13275509	10.1038/s41594-026-01813-8	FULL_TEXT	PMC13275509.txt	5af23e949e30da054529dc82df44cc8aeb4291f9bf55aeecd2df74c4aa228f39	2 (nitrilase domain; unresolved regions)	PRIMARY for 9YFD. RT subdomains not numbered.
SRC-DENG26	9Z6Y;9Z6Z	EcDRT3a/EcDRT3b	Deng P, Lee H, Armijo C, Wang H, Gao A. Science 2026.	41990131	PMC13533446	10.1126/science.aed1656	FULL_TEXT	PMC13533446.txt	c5907800a139e6d3367e7853963a05dd1e8e4c3bb17aff909ab4bfd27e155dbf	3	PRIMARY for 9Z6Y/9Z6Z. Fingers-palm-thumb named as a fold, not numbered.
SRC-ZABRADY23	8BGJ	CART-CAPP RT (task list: UG26)	Zabrady M, Zabrady K, Li AWH, Doherty AJ. Reverse transcriptases prime DNA synthesis. Nucleic Acids Res 2023;51:7125-7142.	37279911	PMC10415136	10.1093/nar/gkad478	FULL_TEXT	PMC10415136.txt	1a7b9da2b0ef9dbb67df88746c1c2306b8c0dff7a295fbfb86ed3ed9efdebccc	3 (RT fingers-palm 1-204; PP; LtrA RT)	PRIMARY for 8BGJ. Fingers and palm are only defined jointly (aa 1-204).
SRC-RONG26	24NC	DRT4 (UG15)	Rong X, Xiao J, Zhao X, et al. DNA polymerization activates RNA cleavage of a reverse transcriptase-like antiviral enzyme. Science 2026.	42166559		10.1126/science.aef3178	NOT_RETRIEVED		NA	none	PRIMARY for 24NC; not in PMC, science.org blocked.
SRC-26CZ	26CZ	UG8 / DRT3b hexamer	"Cryo-EM structure of the hexameric DRT3b complex" - To Be Published.				NOT_SEARCHED		NA	none	No primary citation in RCSB. NOTE: 26CZ entity 1 is a SUMO(Q12306)-RT fusion; author numbering runs -107..667, so the RT is numbered natively 1-667 and the SUMO tag carries negative numbers.
SRC-SONG25	9IOA	UG28	Song XY, Xia Y, Zhang JT, et al. Bacterial reverse transcriptase synthesizes long poly(A)-rich cDNA for antiphage defense. Science 2025.	40310939		10.1126/science.ads4639	NOT_RETRIEVED		NA	none	PRIMARY for 9IOA; not in PMC, science.org blocked.
SRC-WANGY25-DRT6	9WY8	DRT6 (MBP fusion construct)	Wang Y, Wu H, Li J, Tian Z, Deng Z. Cryo-EM structure of the bacterial anti-phage defense system DRT6. Biochem Biophys Res Commun 2025.	41223699		10.1016/j.bbrc.2025.152955	NOT_RETRIEVED		NA	none	PRIMARY for 9WY8; Elsevier, not OA. NOTE from RCSB: entity is an MBP(P0AEX9)-RT fusion; author numbering runs -397..564, i.e. the RT is numbered natively 1-564 and MBP/tag residues are negative.
SRC-BALDWIN24	8C8J;8SXT	LINE-1 ORF2p	Baldwin ET, et al. Nature 2024;626:194-206.	38096902	PMC10830420	10.1038/s41586-023-06947-z	FULL_TEXT	PMC10830420.txt	ef5957360401523a0b42f06ee48edef771de12bd6067bc1c919239d76ccfcf2f	11	PRIMARY for 8C8J/8SXT. Numbers exist for the new domains (tower, wrist and their parts) but NOT for fingers/palm/thumb.
SRC-THAWANI24	8UW3	LINE-1 ORF2p	Thawani A, Florez Ariza AJ, Nogales E, Collins K. Template and target-site recognition by human LINE-1 in retrotransposition. Nature 2024;626:186-193.	38096901	PMC10830416	10.1038/s41586-023-06933-5	FULL_TEXT	PMC10830416.txt	cad88c9b4fdb0d4770e6aa8a73481d67af76babcadbd93ab658f1a7681482667	none	PRIMARY for 8UW3. Defines the domain scheme (EN, EN linker, NTE/Z, RT = palm+fingers, thumb, RBD, CTS) entirely in words and colours; residue numbers appear only for individual contact residues and for the deletion mutants => FIGURE_ONLY_NO_NUMBERS.
SRC-GHANIM25	9HDO	LINE-1 ORF2p	Ghanim GE, Hu H, Boulanger J, Nguyen THD. Science 2025.	40048554	PMC7617806	10.1126/science.ads8412	FULL_TEXT	PMC7617806.txt	684f7887d8ba113b0d17456668d18c81cffc2be0b7f3bc89a90f4b92013ea74b	4	PRIMARY for 9HDO. Fingers/palm/thumb again not numbered; tower/NTE-1/PIP/PAB are.
SRC-JIN25	9K6G	LINE-1 ORF2p	Jin W, Yu C, Zhang Y, Cao C, Xia T, Song, et al. Mechanism of DNA targeting by human LINE-1. Science 2025.	41066570		10.1126/science.adu3433	NOT_RETRIEVED		NA	none	PRIMARY for 9K6G; not in PMC, science.org blocked.
SRC-WILKINSON23	8GH6	R2Bm	Wilkinson ME, Frangieh CJ, Macrae RK, Zhang F. Structure of the R2 non-LTR retrotransposon initiating target-primed reverse transcription. Science 2023;380:301-308.	37023171	PMC10499050	10.1126/science.adg7883	FULL_TEXT	PMC10499050.txt	2adf85e80782970055d01a6cf2a20a1055bc4e68c3b9fac87fe4802a60dcbac6	none	PRIMARY for 8GH6. Domain scheme (N-ZnF, Myb, NTE-1, NTE0, RT, thumb, linker, ZnF, RLE, insertion 6a) described fully in words; NO residue numbers for any domain => FIGURE_ONLY_NO_NUMBERS. Third-party numbers for R2Bm regions exist in Baldwin 2024 (tower-like 305-374).
SRC-THAWANI25	9NL2;9NL3	R2Tg; R2Pm	Thawani A, Rodriguez-Vargas A, Van Treeck B, et al. Structures of vertebrate R2 retrotransposon complexes... Sci Adv 2025;11:eadu5533.	40540573	PMC12180492	10.1126/sciadv.adu5533	FULL_TEXT	PMC12180492.txt	9594a540d358a8242e8c5d3551dd116282ea22ec6178d79a374f850381596064	none	PRIMARY for 9NL2/9NL3. NTE-2/-1/0, RT fingers+palm, Thumb, Linker, ZnK, RLE, ZnF1-3, Myb, Spacer all named without residue numbers => FIGURE_ONLY_NO_NUMBERS.
SRC-EDMONDS25	9DOU	R2Tg	Edmonds KK, Wilkinson ME, Strebinger D, et al. Nat Commun 2025;16:6009.	40603868	PMC12222951	10.1038/s41467-025-61321-z	FULL_TEXT	PMC12222951.txt	972310281058f985ed7f45526baf33f99179b0ca5f3538ba62c2e94770811e17	1 (construct 212-1390)	PRIMARY for 9DOU. Domains FIGURE_ONLY_NO_NUMBERS; explicit warning that ORF numbering starts from "the earliest plausible start codon".
