buffington_id	rt_exact_present	ncrna_exact_present	reconciliation_state	x1b_overlap_class_RETRACTED
NRT-29	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-30	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-31	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-32	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-33	1	1	PAIR_EXACT_PRESENT	PAIR_EXACT_PRESENT
NRT-34	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-35	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-36	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-37	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-38	1	1	PAIR_EXACT_PRESENT	PAIR_EXACT_PRESENT
NRT-39	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-40	1	1	PAIR_EXACT_PRESENT	PAIR_EXACT_PRESENT
NRT-41	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-42	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-43	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-44	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-45	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-46	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-47	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-48	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-49	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-50	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-51	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-52	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-53	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-54	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-55	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-56	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-57	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-58	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-59	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-60	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-61	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-62	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-63	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-64	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-65	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-66	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-67	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-68	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-69	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-70	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-71	0	1	NCRNA_ONLY_EXACT_PRESENT	EXTERNAL_NEW
NRT-72	0	1	NCRNA_ONLY_EXACT_PRESENT	EXTERNAL_NEW
NRT-73	1	1	PAIR_EXACT_PRESENT	PAIR_EXACT_PRESENT
NRT-74	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-75	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-76	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-77	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-78	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-79	0	1	NCRNA_ONLY_EXACT_PRESENT	EXTERNAL_NEW
NRT-80	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-81	0	1	NCRNA_ONLY_EXACT_PRESENT	EXTERNAL_NEW
NRT-82	1	1	PAIR_EXACT_PRESENT	PAIR_EXACT_PRESENT
NRT-83	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-84	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-85	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-86	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-87	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-88	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-89	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-90	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-91	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-92	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-93	0	1	NCRNA_ONLY_EXACT_PRESENT	EXTERNAL_NEW
NRT-94	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-95	0	1	NCRNA_ONLY_EXACT_PRESENT	EXTERNAL_NEW
NRT-96	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-97	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-98	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-99	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-100	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-101	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-102	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-103	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-104	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-105	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
