toro_index	toro_header	s1_rt_phylogeny	mestre_terminal	mestre_accession	clade_EVALUATION_ONLY	fident	extract_coverage	exact_substring	mapped	toro_stated_start	toro_stated_end	extract_len	extract_sha256	mestre_protein_sha256
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1863	fig|1445613.3.peg.3490	11	0.41	0.2803	False	False	105	369	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	a096e4ae9b62a0ae652185402f75ed4dbedf487133260524b5304fa0acca853e
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1822	fig|1132441.3.peg.1888	11	0.302	0.6288	False	False	126	387	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	de0fc2bf44941e6ce4d51ede7cf324b0aa4d54a44440d56cef35f8c97a992572
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_878	fig|1219041.3.peg.4613	8	0.244	0.8447	False	False	2	258	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	2e9c8a9170b838e6d2aeaf72563cd1b5803fe04fc4ff148f49d9d79279ed7af1
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1527	WP_069150959.1	9	0.241	0.7803	False	False	9	245	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	8776c01335df8cb421bd91ae1d4b60dfb70b3988df7e1376c9516f4822ae0786
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1846	BAK35674.1	11	0.269	0.6326	False	False	113	379	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	c335f6670f149e2fb558603349f4179c2efd85ecbfb0b0ba3ca5e1aa7176e381
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_414	fig|1505.32.peg.2959	2	0.298	0.3258	False	False	7	271	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	b4e1e5eefd803e6fe6f36af69fea3623064ccdf7c83150ad064b27b8294593b4
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_966	fig|1434232.4.peg.2927	8	0.238	0.7841	False	False	1	246	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	49fb9b77165f640472a3de17605f4777fe1aecf54e9c87f8e8209b6dc1c6572b
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1885	fig|1382595.4.peg.3164	11	0.24	0.7121	False	False	172	438	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	0c4046a4a4a0a695c32b22aa4fb82d200ec40950e442af47046bcaab25e8a350
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_768	fig|588581.3.peg.3589	3	0.326	0.3447	False	False	1	235	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	26417b0927c88392c533b3ab1366c1a0ee9ef72468e3cd6bc3e021eec95d9954
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1523	fig|1395513.3.peg.363	9	0.36	0.2803	False	False	1	247	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	f44bd4ac8fc887e7094c36ec185be7f3d036f5c5d0f445f2d9423f2e9914cc77
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1518	fig|1428.574.peg.3351	9	0.309	0.3144	False	False	1	248	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	537f6ffd3b90206aed0997581da7bf9c94832a6c15c1a3e54567886ba12e62ab
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1330	fig|1884373.3.peg.3317	9	0.295	0.6326	False	False	38	301	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	6f26b0a9e9b98537d98b88d65ab13f10cb688709b9fc84e91541db74f45216de
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1351	fig|40324.357.peg.1426	9	0.353	0.2917	False	False	22	288	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	404f6aaec4661ef76d428813b849aedd9509f2cca1b5477bc60f2306443d248c
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1348	fig|1706231.5.peg.1557	9	0.231	0.6742	False	False	1	238	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	29b4fec053e481f5b94ab5ec3375ee9f2099359ca7bc1b37499fe506cc07fae1
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1547	fig|1953262.3.peg.783	9	0.241	0.7803	False	False	6	241	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	61f7097ada47cf79a39d467b4e4cc125e09e8b241dac7f35cf1d52b6abe03aed
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1326	fig|1736380.3.peg.1842	9	0.266	0.5303	False	False	38	308	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	9a62e6abf7d8032c89ce4512fd3d68e3918d324457e43a0199b9438b0de3bcf6
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1521	fig|1122203.4.peg.2283	9	0.304	0.3447	False	False	1	231	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	87f73f58e3c94614ce7c534bd24e852feb1be3a6891c24660536a08c73257e87
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1833	fig|1267973.3.peg.3479	11	0.276	0.75	False	False	65	329	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	857187ce322b58368c98b7ccafec0135921e2a6578a19a4fea503a611fcb37fc
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1549	fig|1953111.3.peg.2436	9	0.363	0.2879	False	False	1	236	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	c645ed63fae596f5c11317e9ff4aadb90b07ba87a9da6cfbe975de731fdd62d4
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_771	fig|1465.16.peg.946	3	0.333	0.3144	False	False	1	242	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	b7048f97f68850d70ede45396b5ba0bfabe46e03d454de8f27c3e0984b4e913b
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1517	fig|1428.517.peg.2380	9	0.23	0.7803	False	False	11	248	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	7d729c9dbb1ab3b2a068354abe0e0389fe87b815c09d93c09e5b9d425de57ef8
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1928	fig|1303689.4.peg.2934	11	0.296	0.3068	False	False	105	366	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	3b13f6a885b78fb09f9d39da5f6fbfbd8d04a7a0dca7cc00334ebfecafda4a05
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1203	fig|93684.8.peg.518	8	0.282	0.2879	False	False	1	274	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	722fbc5461d9b27ad9c9048473cbe360bf59238ff9d68713567b2434441f45d9
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1895	GAB07179.1	11	0.298	0.3295	False	False	98	359	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	986fc17cf1a74a567db21d4389f7ed53b86af6a650882e5282a87a0ade2e40a6
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1199	fig|1116369.3.peg.182	8	0.364	0.2879	False	False	1	230	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	80afd8df64e917460136219f2c2db0402e242f579c2020ecbbe222c627da6c45
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1004	fig|587851.4.peg.1470	8	0.294	0.3447	False	False	16	287	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	3ca8b16be3477c878f9ad81a874a9367ba3817b2b1e9f89960d0f9061f912a5f
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_905	fig|1395608.4.peg.211	8	0.233	0.6591	False	False	4	249	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	661a9ad4ff9392f926634539e676d212ee49169448c4352752945d1078f8fe1f
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1847	fig|1380390.4.peg.72	11	0.274	0.7235	False	False	110	379	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	b2e52768682e3688f23e06c485694be45c801c07fab8909c4b34b64c9d253bc2
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1427	fig|1263083.3.peg.558	9	0.37	0.3068	False	False	2	262	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	b642412aa367d5524599c5ca47f2bc5721974ae0ce32e890513e4f93a42e5601
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1541	fig|1305675.3.peg.2174	9	0.283	0.7992	False	False	1	218	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	eeee1098bcf99f79d060b949f9e0bd447b8840316bd8ce776459a19852cea8c6
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1429	fig|1619244.3.peg.1323	9	0.372	0.3068	False	False	2	262	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	0654a1d688d2cf495fbe19c28eb1871227f55c0383e8180f860acd1057cc9362
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1819	fig|1494608.3.peg.465	11	0.278	0.7576	False	False	170	434	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	ef9a4018ad1e19c557ce5efe78e30863196ac6d9d84e22cbcdf724c6291dc8e3
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_831	fig|670.1220.peg.4688	7	0.365	0.3106	False	False	7	268	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	85873f5ed43feb6aea85282be52beb8bb7dce21f7b46f735751e4dbfcf6bd1fe
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1649	fig|1499501.3.peg.459	10	0.258	0.8902	False	False	146	405	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	e469dadd3e672bec30a2ee200d8dfd06c71eb2a67427f959a5105493ce3f62d3
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1822	fig|1132441.3.peg.1888	11	0.284	0.7576	False	False	126	390	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	de0fc2bf44941e6ce4d51ede7cf324b0aa4d54a44440d56cef35f8c97a992572
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1513	fig|1947145.3.peg.376	9	0.358	0.2917	False	False	32	293	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	76a9be639d3da15c8c7218d468debbe88fbbe739447aad4ac5991937863f342a
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1518	fig|1428.574.peg.3351	9	0.329	0.2955	False	False	1	248	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	537f6ffd3b90206aed0997581da7bf9c94832a6c15c1a3e54567886ba12e62ab
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1894	fig|1220583.3.peg.1582	11	0.375	0.322	False	False	95	356	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	1ab25fd54547d3ee5b26547582108f0adc17b6290bfdeacb6401f870874b645a
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1527	WP_069150959.1	9	0.259	0.8371	False	False	8	245	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	8776c01335df8cb421bd91ae1d4b60dfb70b3988df7e1376c9516f4822ae0786
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_771	fig|1465.16.peg.946	3	0.371	0.2841	False	False	1	250	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	b7048f97f68850d70ede45396b5ba0bfabe46e03d454de8f27c3e0984b4e913b
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1846	BAK35674.1	11	0.273	0.6364	False	False	113	379	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	c335f6670f149e2fb558603349f4179c2efd85ecbfb0b0ba3ca5e1aa7176e381
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1351	fig|40324.357.peg.1426	9	0.304	0.5455	False	False	17	288	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	404f6aaec4661ef76d428813b849aedd9509f2cca1b5477bc60f2306443d248c
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1521	fig|1122203.4.peg.2283	9	0.35	0.2955	False	False	1	232	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	87f73f58e3c94614ce7c534bd24e852feb1be3a6891c24660536a08c73257e87
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1863	fig|1445613.3.peg.3490	11	0.387	0.2879	False	False	105	369	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	a096e4ae9b62a0ae652185402f75ed4dbedf487133260524b5304fa0acca853e
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1335	fig|1842535.30.peg.6	9	0.392	0.2955	False	False	83	349	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	6ce60f576140051370d02a146a40b94efc21f721079143a1a1cf89d208fbe326
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1523	fig|1395513.3.peg.363	9	0.341	0.3068	False	False	1	247	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	f44bd4ac8fc887e7094c36ec185be7f3d036f5c5d0f445f2d9423f2e9914cc77
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_878	fig|1219041.3.peg.4613	8	0.246	0.7879	False	False	2	259	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	2e9c8a9170b838e6d2aeaf72563cd1b5803fe04fc4ff148f49d9d79279ed7af1
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1517	fig|1428.517.peg.2380	9	0.291	0.2955	False	False	1	248	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	7d729c9dbb1ab3b2a068354abe0e0389fe87b815c09d93c09e5b9d425de57ef8
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1348	fig|1706231.5.peg.1557	9	0.231	0.6742	False	False	1	238	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	29b4fec053e481f5b94ab5ec3375ee9f2099359ca7bc1b37499fe506cc07fae1
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_768	fig|588581.3.peg.3589	3	0.38	0.303	False	False	1	244	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	26417b0927c88392c533b3ab1366c1a0ee9ef72468e3cd6bc3e021eec95d9954
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1905	fig|1603258.4.peg.1828	11	0.321	0.3182	False	False	91	352	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	fd7f4b1a23b64e1bfd33bc2488ee80d9eb4ad09ad44073fc1c1a1d60ebd86c31
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1893	WP_007238159.1	11	0.341	0.322	False	False	100	361	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	6ae26045bd6a02b4bdf8ca9e9824ba8948c4e8de40963b85e7648a44aa8d00bc
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1899	AFR49048.1	11	0.329	0.3182	False	False	139	400	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	7ea60f0338311efdaf94f947f0da5d718f22d111b2af898a2a0a05a6a07504ee
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1519	fig|1428.590.peg.5685	9	0.325	0.2955	False	False	1	248	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	b3d225ec1c5154f76393dc68eb20078733dfda329b3505ee19aedad471e8596a
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1392	fig|1917164.4.peg.2739	9	0.221	0.8144	False	False	33	302	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	eb7f7986ac9cfda464fa1e4e68427a056aa0e7e93155327f3b48cf503f1c69c2
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1897	fig|1223540.3.peg.3237	11	0.31	0.3182	False	False	92	353	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	1114e0050ba1e9de81793b77bd254bc15d804f57d082816063c2b22d59300d0a
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1330	fig|1884373.3.peg.3317	9	0.267	0.6364	False	False	38	301	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	6f26b0a9e9b98537d98b88d65ab13f10cb688709b9fc84e91541db74f45216de
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_897	fig|1946997.3.peg.3049	8	0.291	0.2917	False	False	1	266	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	d4ae40b60a93d75b4d49e4bc69a15ad551b350985c7b05f629ba8b1856f66255
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1928	fig|1303689.4.peg.2934	11	0.308	0.3068	False	False	105	366	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	3b13f6a885b78fb09f9d39da5f6fbfbd8d04a7a0dca7cc00334ebfecafda4a05
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1203	fig|93684.8.peg.518	8	0.294	0.2992	False	False	1	274	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	722fbc5461d9b27ad9c9048473cbe360bf59238ff9d68713567b2434441f45d9
2	Pe.ca.I3/CP000142.2/2649551..2651540/Pelobacter_extraction	Group II Intron	terminal_1903	fig|1463823.3.peg.3407	11	0.294	0.3182	False	False	107	368	264	b15b5490c3bfeb19b14cc0477f866b343b1edfe2348cd0352771fa3ae917ab97	2b66eab3e736f3200d6a15b1170254c80840b0f70b63c0597cfa442a6f91c6b7
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1428	fig|57706.9.peg.1106	9	0.255	0.8061	False	False	29	262	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	54c4d9e2cf3b887de58e7af1c74d9004f9efdc7a2686567832c912ec030adef2
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1596	fig|135461.47.peg.1552	9	0.267	0.8023	False	False	30	263	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	b521bad8fe4c083a659101a677c24ba6a355a3473acb848d80f60f30c9a1fcf6
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1822	fig|1132441.3.peg.1888	11	0.31	0.7567	False	False	126	390	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	de0fc2bf44941e6ce4d51ede7cf324b0aa4d54a44440d56cef35f8c97a992572
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1427	fig|1263083.3.peg.558	9	0.382	0.3042	False	False	2	262	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	b642412aa367d5524599c5ca47f2bc5721974ae0ce32e890513e4f93a42e5601
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1590	fig|1897004.3.peg.2166	9	0.258	0.7757	False	False	29	263	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	95e0b83426a7acd4bf2358ffb643a60aa50d78ac3def5b65b089340d542c15c8
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_379	fig|980584.3.peg.2930	2	0.368	0.289	False	False	8	268	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	6011e4222027cc9a67e56e5b9e6e5f03672d2856ad68b5ec87ca3d9f27408557
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1521	fig|1122203.4.peg.2283	9	0.41	0.2776	False	False	1	232	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	87f73f58e3c94614ce7c534bd24e852feb1be3a6891c24660536a08c73257e87
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1429	fig|1619244.3.peg.1323	9	0.4	0.2928	False	False	2	262	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	0654a1d688d2cf495fbe19c28eb1871227f55c0383e8180f860acd1057cc9362
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1547	fig|1953262.3.peg.783	9	0.264	0.7795	False	False	6	241	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	61f7097ada47cf79a39d467b4e4cc125e09e8b241dac7f35cf1d52b6abe03aed
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1518	fig|1428.574.peg.3351	9	0.345	0.289	False	False	1	248	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	537f6ffd3b90206aed0997581da7bf9c94832a6c15c1a3e54567886ba12e62ab
3	gi|350554847|ref|ZP_08923874.1|_extraction	Group II Intron	terminal_1534	fig|1509.24.peg.2487	9	0.239	0.6768	False	False	15	250	263	93b83c8fd432173d165495c0a9edaab96d91908afdab6d7daf3761a8214bc01f	8a59766e184c9c58edf5a2dcafcef4558c0026ec4f6945685cb7a3c73fea51e2
