mcc	mestre_terminal	toro_index	fident	mcc_status	toro_start	toro_end	mcc_window_start	mcc_window_end	d_window_start	d_window_end	core_start	core_end	core_inside_toro
v1	terminal_983	601	0.957	EXTRACTABLE	50	309	61	308	11	-1	64.0	308.0	True
v1	terminal_467	596	0.955	EXTRACTABLE	38	239	36	237	-2	-2	42.0	237.0	True
v1	terminal_466	596	0.955	EXTRACTABLE	34	235	32	233	-2	-2	38.0	233.0	True
v2	terminal_612	667	1.0	EXTRACTABLE	19	237	17	229	-2	-8	54.0	229.0	True
v2	terminal_296	630	1.0	EXTRACTABLE	8	243	22	242	14	-1	39.0	232.0	True
v2	terminal_748	656	1.0	N_TRUNCATED	30	251							False
v2	terminal_359	616	1.0	EXTRACTABLE	174	415	212	414	38	-1	229.0	405.0	True
v2	terminal_1338	617	1.0	EXTRACTABLE	55	303	60	300	5	-3	86.0	293.0	True
v2	terminal_1339	618	1.0	EXTRACTABLE	55	303	59	300	4	-3	86.0	293.0	True
v2	terminal_772	658	1.0	EXTRACTABLE	22	246	28	238	6	-8	45.0	238.0	True
v2	terminal_206	622	1.0	EXTRACTABLE	13	237	16	235	3	-2	41.0	227.0	True
v2	terminal_170	623	1.0	EXTRACTABLE	17	243	30	241	13	-2	46.0	233.0	True
v2	terminal_87	624	1.0	EXTRACTABLE	24	252	37	251	13	-1	52.0	242.0	True
v2	terminal_141	625	1.0	EXTRACTABLE	16	239	17	238	1	-1	41.0	229.0	True
v2	terminal_115	626	1.0	EXTRACTABLE	16	239	21	238	5	-1	41.0	229.0	True
v2	terminal_112	627	1.0	EXTRACTABLE	15	237	24	236	9	-1	40.0	227.0	True
v2	terminal_154	628	1.0	EXTRACTABLE	16	239	16	237	0	-2	41.0	229.0	True
v2	terminal_177	629	1.0	EXTRACTABLE	15	240	19	239	4	-1	39.0	230.0	True
v2	terminal_843	631	1.0	EXTRACTABLE	59	275	68	274	9	-1	84.0	265.0	True
v2	terminal_1256	610	1.0	EXTRACTABLE	12	259	38	258	26	-1	54.0	249.0	True
v2	terminal_526	633	1.0	EXTRACTABLE	31	261	32	254	1	-7	55.0	250.0	True
v2	terminal_514	635	1.0	EXTRACTABLE	29	256	39	255	10	-1	54.0	245.0	True
v2	terminal_488	636	1.0	EXTRACTABLE	43	269	53	268	10	-1	68.0	258.0	True
v2	terminal_534	641	1.0	EXTRACTABLE	28	250	37	247	9	-3	52.0	237.0	True
v2	terminal_542	643	1.0	EXTRACTABLE	26	247	34	245	8	-2	49.0	234.0	True
v2	terminal_541	644	1.0	EXTRACTABLE	26	247	34	239	8	-8	49.0	234.0	True
v2	terminal_601	645	1.0	EXTRACTABLE	26	260	35	238	9	-22	55.0	238.0	True
v2	terminal_567	649	1.0	EXTRACTABLE	27	243	38	240	11	-3	52.0	233.0	True
v2	terminal_1138	650	1.0	C_TRUNCATED	78	351							False
v2	terminal_321	651	1.0	EXTRACTABLE	18	240	37	240	19	0	40.0	230.0	True
v2	terminal_323	652	1.0	N_TRUNCATED	15	235							False
v2	terminal_326	653	1.0	EXTRACTABLE	17	236	39	234	22	-2	39.0	226.0	True
v2	terminal_733	654	1.0	N_TRUNCATED	33	267							False
v2	terminal_1520	613	1.0	EXTRACTABLE	19	250	44	249	25	-1	61.0	240.0	True
v2	terminal_298	614	1.0	EXTRACTABLE	19	234	24	232	5	-2	39.0	224.0	True
v2	terminal_1165	606	1.0	EXTRACTABLE	15	251	31	250	16	-1	53.0	241.0	True
v2	terminal_1886	593	1.0	EXTRACTABLE	83	333	127	341	44	8	133.0	333.0	True
v2	terminal_1801	570	1.0	EXTRACTABLE	124	374	150	373	26	-1	167.0	364.0	True
v2	terminal_1762	571	1.0	EXTRACTABLE	136	397	170	396	34	-1	188.0	387.0	True
v2	terminal_1718	572	1.0	EXTRACTABLE	161	396	170	395	9	-1	189.0	386.0	True
v2	terminal_1765	573	1.0	EXTRACTABLE	102	411	174	393	72	-18	189.0	384.0	True
v2	terminal_1735	574	1.0	EXTRACTABLE	139	387	171	395	32	8	188.0	385.0	True
v2	terminal_1754	575	1.0	EXTRACTABLE	139	387	174	395	35	8	188.0	386.0	True
v2	terminal_1669	576	1.0	EXTRACTABLE	134	407	157	405	23	-2	186.0	397.0	True
v2	terminal_1727	577	1.0	EXTRACTABLE	30	272	58	279	28	7	77.0	271.0	True
v2	terminal_1649	580	1.0	EXTRACTABLE	146	404	165	402	19	-2	198.0	394.0	True
v2	terminal_1648	581	1.0	EXTRACTABLE	151	406	182	413	31	7	200.0	405.0	True
v2	terminal_1483	583	1.0	EXTRACTABLE	55	264	63	254	8	-10	79.0	254.0	True
v2	terminal_412	584	1.0	EXTRACTABLE	41	268	62	262	21	-6	83.0	258.0	True
v2	terminal_1277	605	1.0	EXTRACTABLE	25	251	31	249	6	-2	49.0	241.0	True
v2	terminal_1885	591	1.0	EXTRACTABLE	167	427	208	427	41	0	221.0	427.0	True
v2	terminal_1875	587	1.0	EXTRACTABLE	107	376	142	368	35	-8	157.0	366.0	True
v2	terminal_1440	594	1.0	EXTRACTABLE	57	266	65	263	8	-3	81.0	256.0	True
v2	terminal_1550	595	1.0	EXTRACTABLE	11	248	42	247	31	-1	61.0	238.0	True
v2	terminal_982	604	1.0	EXTRACTABLE	96	429	29	261	-67	-168	51.0	258.0	False
v2	terminal_1034	603	1.0	EXTRACTABLE	26	261	37	260	11	-1	52.0	251.0	True
v2	terminal_1022	602	1.0	EXTRACTABLE	28	265	43	257	15	-8	58.0	255.0	True
v2	terminal_719	663	1.0	EXTRACTABLE	1	244	24	234	23	-10	32.0	234.0	True
v2	terminal_1899	599	1.0	EXTRACTABLE	141	389	177	389	36	0	194.0	389.0	True
v2	terminal_1898	598	1.0	EXTRACTABLE	101	349	138	351	37	2	154.0	349.0	True
v2	terminal_1551	595	1.0	EXTRACTABLE	11	248	42	247	31	-1	61.0	238.0	True
v2	terminal_740	655	1.0	N_TRUNCATED	34	264							False
v2	terminal_1601	600	0.995	EXTRACTABLE	27	239	32	239	5	0	56.0	231.0	True
v2	terminal_674	661	0.995	EXTRACTABLE	41	249	49	249	8	0	64.0	239.0	True
v2	terminal_613	666	0.995	EXTRACTABLE	32	250	32	242	0	-8	67.0	242.0	True
v2	terminal_515	634	0.995	EXTRACTABLE	29	256	32	254	3	-2	55.0	245.0	True
v2	terminal_714	665	0.993	EXTRACTABLE	73	232	24	232	-49	0	55.0	232.0	False
v2	terminal_576	647	0.993	EXTRACTABLE	82	247	52	237	-30	-10	56.0	237.0	False
v2	terminal_459	597	0.991	EXTRACTABLE	27	257	51	256	24	-1	71.0	247.0	True
v2	terminal_487	636	0.991	EXTRACTABLE	43	269	53	268	10	-1	68.0	258.0	True
v2	terminal_531	637	0.986	EXTRACTABLE	30	251	40	250	10	-1	56.0	239.0	True
v2	terminal_1795	568	0.985	EXTRACTABLE	137	407	168	405	31	-2	190.0	397.0	True
v2	terminal_1352	621	0.983	EXTRACTABLE	58	304	66	303	8	-1	84.0	294.0	True
v2	terminal_701	664	0.983	EXTRACTABLE	31	212	33	236	2	24	53.0	236.0	False
v2	terminal_1346	620	0.983	EXTRACTABLE	58	305	66	302	8	-3	89.0	295.0	True
v2	terminal_1793	569	0.981	EXTRACTABLE	140	407	177	405	37	-2	192.0	397.0	True
v2	terminal_983	601	0.957	EXTRACTABLE	50	309	61	308	11	-1	76.0	299.0	True
v2	terminal_467	596	0.955	EXTRACTABLE	38	239	36	237	-2	-2	54.0	230.0	True
v2	terminal_466	596	0.955	EXTRACTABLE	34	235	32	233	-2	-2	50.0	226.0	True
