terminal	set	protein_len	tte_status	tte_template	tte_template_identity	tte_start	tte_end	mcc2_status	mcc2_start	mcc2_end	mcc2_core_start	mcc2_core_end	toro_stated_start	toro_stated_end
terminal_36	CLEAN	307	TTE_EXTRACTED	T627	0.511	16	238	EXTRACTABLE	21	237	40.0	228.0		
terminal_37	CLEAN	307	TTE_EXTRACTED	T627	0.517	16	238	EXTRACTABLE	7	237	40.0	228.0		
terminal_38	CLEAN	310	TTE_EXTRACTED	T624	0.48	12	238	EXTRACTABLE	16	238	40.0	228.0		
terminal_39	CLEAN	310	TTE_EXTRACTED	T624	0.509	12	238	EXTRACTABLE	21	238	40.0	228.0		
terminal_40	CLEAN	321	TTE_EXTRACTED	T627	0.528	27	249	EXTRACTABLE	23	249	51.0	239.0		
terminal_41	CLEAN	310	TTE_EXTRACTED	T627	0.542	16	238	EXTRACTABLE	12	238	40.0	228.0		
terminal_42	CLEAN	307	TTE_EXTRACTED	T627	0.517	16	238	EXTRACTABLE	10	238	40.0	228.0		
terminal_43	CLEAN	310	TTE_EXTRACTED	T626	0.515	16	238	EXTRACTABLE	25	238	40.0	228.0		
terminal_44	CLEAN	350	TTE_EXTRACTED	T627	0.538	56	278	EXTRACTABLE	44	278	80.0	268.0		
terminal_45	CLEAN	310	TTE_EXTRACTED	T624	0.49	12	238	EXTRACTABLE	7	238	40.0	228.0		
terminal_46	CLEAN	310	TTE_EXTRACTED	T624	0.514	12	238	EXTRACTABLE	20	237	40.0	228.0		
terminal_47	CLEAN	310	TTE_EXTRACTED	T624	0.502	12	238	EXTRACTABLE	23	238	40.0	228.0		
terminal_48	CLEAN	308	TTE_EXTRACTED	T624	0.478	12	236	EXTRACTABLE	17	236	40.0	226.0		
terminal_49	CLEAN	312	TTE_EXTRACTED	T626	0.508	19	242	EXTRACTABLE	24	242	43.0	232.0		
terminal_50	CLEAN	312	TTE_EXTRACTED	T624	0.513	15	242	EXTRACTABLE	28	242	43.0	232.0		
terminal_51	CLEAN	315	TTE_EXTRACTED	T626	0.509	22	245	EXTRACTABLE	27	245	46.0	235.0		
terminal_52	OTHER_SUBSTITUTE	315	TTE_EXTRACTED	T624	0.518	15	242	EXTRACTABLE	27	241	43.0	232.0		
terminal_53	CLEAN	315	TTE_EXTRACTED	T624	0.565	15	244	EXTRACTABLE	18	244	43.0	234.0		
terminal_54	CLEAN	312	TTE_EXTRACTED	T626	0.52	16	240	EXTRACTABLE	22	240	40.0	230.0		
terminal_55	CLEAN	308	TTE_EXTRACTED	T626	0.449	16	240	EXTRACTABLE	26	238	40.0	230.0		
terminal_56	CLEAN	312	TTE_EXTRACTED	T624	0.492	12	240	EXTRACTABLE	13	238	40.0	230.0		
terminal_57	CLEAN	313	TTE_EXTRACTED	T626	0.488	16	240	EXTRACTABLE	13	238	40.0	230.0		
terminal_58	CLEAN	313	TTE_EXTRACTED	T626	0.506	17	241	EXTRACTABLE	20	239	41.0	231.0		
terminal_59	CLEAN	315	TTE_EXTRACTED	T624	0.506	12	241	EXTRACTABLE	26	241	41.0	231.0		
terminal_60	CLEAN	315	TTE_EXTRACTED	T624	0.5	13	241	EXTRACTABLE	26	240	41.0	231.0		
terminal_61	CLEAN	370	TTE_EXTRACTED	T624	0.49	68	296	EXTRACTABLE	76	295	96.0	286.0		
terminal_62	CLEAN	315	TTE_EXTRACTED	T624	0.556	11	239	EXTRACTABLE	16	238	39.0	229.0		
terminal_63	CLEAN	320	TTE_EXTRACTED	T624	0.472	11	239	EXTRACTABLE	21	238	39.0	229.0		
terminal_64	CLEAN	312	TTE_EXTRACTED	T624	0.472	11	239	EXTRACTABLE	22	238	39.0	229.0		
terminal_65	CLEAN	312	TTE_EXTRACTED	T624	0.486	11	239	EXTRACTABLE	11	238	39.0	229.0		
terminal_66	CLEAN	314	TTE_EXTRACTED	T624	0.485	11	239	EXTRACTABLE	22	238	39.0	229.0		
terminal_67	CLEAN	314	TTE_EXTRACTED	T624	0.513	11	239	EXTRACTABLE	21	238	39.0	229.0		
terminal_68	CLEAN	312	TTE_EXTRACTED	T624	0.52	11	239	EXTRACTABLE	21	239	39.0	229.0		
terminal_69	CLEAN	332	TTE_EXTRACTED	T624	0.514	28	256	EXTRACTABLE	38	255	56.0	246.0		
terminal_70	CLEAN	312	TTE_EXTRACTED	T624	0.495	11	239	EXTRACTABLE	22	238	39.0	229.0		
terminal_71	CLEAN	313	TTE_EXTRACTED	T624	0.511	10	239	EXTRACTABLE	23	238	39.0	229.0		
terminal_72	CLEAN	318	TTE_EXTRACTED	T624	0.49	11	239	EXTRACTABLE	23	237	39.0	229.0		
terminal_73	CLEAN	310	TTE_EXTRACTED	T624	0.504	11	239	EXTRACTABLE	22	238	39.0	229.0		
terminal_74	CLEAN	306	TTE_EXTRACTED	T628	0.486	16	239	EXTRACTABLE	19	237	41.0	229.0		
terminal_75	CLEAN	314	TTE_EXTRACTED	T624	0.506	12	240	EXTRACTABLE	18	239	40.0	230.0		
terminal_76	CLEAN	312	TTE_EXTRACTED	T627	0.515	16	239	EXTRACTABLE	20	239	40.0	229.0		
terminal_77	CLEAN	337	TTE_EXTRACTED	T627	0.511	41	264	EXTRACTABLE	36	264	65.0	254.0		
terminal_78	CLEAN	339	TTE_EXTRACTED	T627	0.484	44	267	EXTRACTABLE	49	267	68.0	257.0		
terminal_79	CLEAN	311	TTE_EXTRACTED	T624	0.506	12	239	EXTRACTABLE	14	238	40.0	229.0		
terminal_80	CLEAN	309	TTE_EXTRACTED	T626	0.542	16	239	EXTRACTABLE	25	239	40.0	229.0		
terminal_81	CLEAN	311	TTE_EXTRACTED	T627	0.526	16	239	EXTRACTABLE	22	238	40.0	229.0		
terminal_82	CLEAN	311	TTE_EXTRACTED	T627	0.537	16	239	EXTRACTABLE	16	238	40.0	229.0		
terminal_83	CLEAN	309	TTE_EXTRACTED	T626	0.524	16	239	EXTRACTABLE	20	238	40.0	229.0		
terminal_84	CLEAN	310	TTE_EXTRACTED	T624	0.533	12	240	EXTRACTABLE	22	240	40.0	230.0		
terminal_85	CLEAN	316	TTE_EXTRACTED	T624	0.528	12	240	EXTRACTABLE	25	239	40.0	230.0		
terminal_86	OTHER_SUBSTITUTE	216	TTE_NO_TEMPLATE					N_TRUNCATED						
terminal_87	CLEAN	274	TTE_EXTRACTED	T626	0.52	28	252	EXTRACTABLE	37	251	52.0	242.0	24	252
terminal_88	CLEAN	315	TTE_EXTRACTED	T624	0.669	16	244	EXTRACTABLE	30	244	44.0	234.0		
terminal_89	CLEAN	320	TTE_EXTRACTED	T627	0.565	18	242	EXTRACTABLE	18	241	42.0	232.0		
terminal_90	CLEAN	320	TTE_EXTRACTED	T627	0.533	18	242	EXTRACTABLE	21	241	42.0	232.0		
terminal_91	CLEAN	321	TTE_EXTRACTED	T627	0.547	18	242	EXTRACTABLE	23	241	42.0	232.0		
terminal_92	CLEAN	321	TTE_EXTRACTED	T624	0.5	14	242	EXTRACTABLE	25	241	42.0	232.0		
terminal_93	CLEAN	320	TTE_EXTRACTED	T624	0.523	14	242	EXTRACTABLE	24	242	42.0	232.0		
terminal_94	CLEAN	316	TTE_EXTRACTED	T624	0.523	14	242	EXTRACTABLE	23	242	42.0	232.0		
terminal_95	CLEAN	316	TTE_EXTRACTED	T624	0.5	14	242	EXTRACTABLE	18	242	42.0	232.0		
terminal_96	CLEAN	320	TTE_EXTRACTED	T624	0.518	14	242	EXTRACTABLE	13	241	42.0	232.0		
terminal_97	CLEAN	316	TTE_EXTRACTED	T624	0.537	14	242	EXTRACTABLE	13	242	42.0	232.0		
terminal_98	CLEAN	313	TTE_EXTRACTED	T627	0.549	18	242	EXTRACTABLE	22	242	42.0	232.0		
terminal_99	CLEAN	316	TTE_EXTRACTED	T627	0.574	18	242	EXTRACTABLE	20	242	42.0	232.0		
terminal_100	CLEAN	320	TTE_EXTRACTED	T627	0.533	25	249	EXTRACTABLE	34	249	49.0	239.0		
terminal_101	CLEAN	318	TTE_EXTRACTED	T627	0.542	21	245	EXTRACTABLE	28	244	45.0	235.0		
terminal_102	CLEAN	310	TTE_EXTRACTED	T624	0.522	14	242	EXTRACTABLE	17	242	42.0	232.0		
terminal_103	CLEAN	380	TTE_EXTRACTED	T627	0.529	83	307	EXTRACTABLE	85	306	107.0	297.0		
terminal_104	CLEAN	379	TTE_EXTRACTED	T627	0.522	82	306	EXTRACTABLE	83	305	106.0	296.0		
terminal_105	CLEAN	338	TTE_EXTRACTED	T624	0.493	36	262	EXTRACTABLE	31	262	64.0	252.0		
terminal_106	CLEAN	342	TTE_EXTRACTED	T624	0.504	36	264	EXTRACTABLE	49	264	64.0	254.0		
terminal_107	CLEAN	327	TTE_EXTRACTED	T624	0.504	28	256	EXTRACTABLE	35	248	56.0	246.0		
terminal_108	CLEAN	339	TTE_EXTRACTED	T624	0.472	39	266	EXTRACTABLE	52	265	67.0	256.0		
terminal_109	CLEAN	314	TTE_EXTRACTED	T624	0.488	14	244	EXTRACTABLE	24	237	42.0	234.0		
terminal_110	CLEAN	318	TTE_EXTRACTED	T624	0.488	20	248	EXTRACTABLE	23	241	48.0	238.0		
terminal_111	OTHER_SUBSTITUTE	455	TTE_EXTRACTED	T575	0.302	58	300	EXTRACTABLE	62	308	107.0	299.0		
terminal_112	CLEAN	310	TTE_EXTRACTED	T626	0.569	15	237	EXTRACTABLE	24	236	40.0	227.0	15	237
terminal_113	CLEAN	310	TTE_EXTRACTED	T627	0.689	15	237	EXTRACTABLE	23	236	40.0	227.0		
terminal_114	CLEAN	310	TTE_EXTRACTED	T627	0.693	15	237	EXTRACTABLE	24	236	40.0	227.0		
terminal_115	CLEAN	311	TTE_EXTRACTED	T627	0.569	16	239	EXTRACTABLE	21	238	41.0	229.0	16	239
terminal_116	RNAP_SUBSTITUTE	48	TTE_NO_TEMPLATE					NO_HIT						
terminal_117	CLEAN	316	TTE_EXTRACTED	T626	0.609	16	239	EXTRACTABLE	25	238	41.0	229.0		
terminal_118	CLEAN	309	TTE_EXTRACTED	T627	0.6	16	239	EXTRACTABLE	23	238	41.0	229.0		
terminal_119	CLEAN	308	TTE_EXTRACTED	T627	0.595	16	239	EXTRACTABLE	22	238	41.0	229.0		
terminal_120	CLEAN	308	TTE_EXTRACTED	T626	0.52	16	239	EXTRACTABLE	16	238	41.0	229.0		
terminal_121	CLEAN	320	TTE_EXTRACTED	T626	0.584	16	239	EXTRACTABLE	25	238	41.0	229.0		
terminal_122	CLEAN	313	TTE_EXTRACTED	T626	0.582	16	239	EXTRACTABLE	23	238	41.0	229.0		
terminal_123	CLEAN	309	TTE_EXTRACTED	T626	0.526	16	239	EXTRACTABLE	9	239	41.0	229.0		
terminal_124	CLEAN	307	TTE_EXTRACTED	T627	0.591	16	239	EXTRACTABLE	22	237	41.0	229.0		
terminal_125	CLEAN	312	TTE_EXTRACTED	T626	0.527	21	244	EXTRACTABLE	26	244	46.0	234.0		
terminal_126	OTHER_SUBSTITUTE	316	TTE_EXTRACTED	T626	0.525	25	248	EXTRACTABLE	7	248	50.0	238.0		
terminal_127	CLEAN	315	TTE_EXTRACTED	T627	0.542	18	240	EXTRACTABLE	27	239	42.0	230.0		
terminal_128	CLEAN	315	TTE_EXTRACTED	T626	0.511	18	240	EXTRACTABLE	16	238	42.0	230.0		
terminal_129	CLEAN	310	TTE_EXTRACTED	T625	0.569	16	239	EXTRACTABLE	21	239	41.0	229.0		
terminal_130	CLEAN	312	TTE_EXTRACTED	T625	0.573	16	239	EXTRACTABLE	21	239	41.0	229.0		
terminal_131	CLEAN	310	TTE_EXTRACTED	T625	0.54	16	239	EXTRACTABLE	19	239	41.0	229.0		
terminal_132	CLEAN	309	TTE_EXTRACTED	T625	0.553	16	238	EXTRACTABLE	21	237	40.0	228.0		
terminal_133	CLEAN	311	TTE_EXTRACTED	T625	0.6	16	239	EXTRACTABLE	18	238	41.0	229.0		
terminal_134	CLEAN	309	TTE_EXTRACTED	T625	0.593	16	238	EXTRACTABLE	21	237	40.0	228.0		
terminal_135	CLEAN	313	TTE_EXTRACTED	T627	0.527	16	240	EXTRACTABLE	25	240	41.0	230.0		
terminal_136	CLEAN	313	TTE_EXTRACTED	T627	0.527	16	240	EXTRACTABLE	25	240	41.0	230.0		
terminal_137	CLEAN	313	TTE_EXTRACTED	T625	0.556	17	240	EXTRACTABLE	20	239	42.0	230.0		
terminal_138	CLEAN	314	TTE_EXTRACTED	T625	0.56	17	240	EXTRACTABLE	16	240	42.0	230.0		
terminal_139	CLEAN	315	TTE_EXTRACTED	T625	0.531	16	239	EXTRACTABLE	19	237	41.0	229.0		
terminal_140	CLEAN	312	TTE_EXTRACTED	T627	0.598	16	239	EXTRACTABLE	25	239	41.0	229.0		
terminal_141	CLEAN	314	TTE_EXTRACTED	T626	0.556	16	239	EXTRACTABLE	17	238	41.0	229.0	16	239
terminal_142	CLEAN	236	TTE_EXTRACTED	T625	0.642	16	236	C_TRUNCATED						
terminal_143	CLEAN	315	TTE_EXTRACTED	T627	0.466	19	242	EXTRACTABLE	25	242	44.0	232.0		
terminal_144	CLEAN	313	TTE_EXTRACTED	T626	0.445	19	242	EXTRACTABLE	26	242	44.0	232.0		
terminal_145	CLEAN	335	TTE_EXTRACTED	T626	0.443	42	265	EXTRACTABLE	42	260	67.0	255.0		
terminal_146	CLEAN	312	TTE_EXTRACTED	T626	0.527	16	239	EXTRACTABLE	23	238	41.0	229.0		
terminal_147	CLEAN	308	TTE_EXTRACTED	T628	0.459	16	238	EXTRACTABLE	24	237	40.0	228.0		
terminal_148	CLEAN	308	TTE_EXTRACTED	T628	0.484	16	238	EXTRACTABLE	24	237	40.0	228.0		
terminal_149	CLEAN	310	TTE_EXTRACTED	T628	0.479	16	238	EXTRACTABLE	25	237	40.0	228.0		
terminal_150	CLEAN	314	TTE_EXTRACTED	T628	0.484	16	242	EXTRACTABLE	20	241	41.0	232.0		
terminal_151	CLEAN	312	TTE_EXTRACTED	T628	0.587	16	239	EXTRACTABLE	22	237	41.0	229.0		
terminal_152	CLEAN	312	TTE_EXTRACTED	T628	0.636	16	239	EXTRACTABLE	16	237	41.0	229.0		
terminal_153	CLEAN	321	TTE_EXTRACTED	T628	0.593	16	239	EXTRACTABLE	22	238	41.0	229.0		
terminal_154	CLEAN	312	TTE_EXTRACTED	T627	0.495	16	239	EXTRACTABLE	16	237	41.0	229.0	16	239
terminal_155	CLEAN	324	TTE_EXTRACTED	T628	0.547	16	239	EXTRACTABLE	22	239	41.0	229.0		
terminal_156	CLEAN	310	TTE_EXTRACTED	T628	0.533	16	239	EXTRACTABLE	22	238	41.0	229.0		
terminal_157	CLEAN	304	TTE_EXTRACTED	T626	0.488	16	238	EXTRACTABLE	25	238	41.0	228.0		
terminal_158	CLEAN	311	TTE_EXTRACTED	T628	0.477	16	237	EXTRACTABLE	24	236	40.0	227.0		
terminal_159	CLEAN	323	TTE_EXTRACTED	T626	0.484	26	247	EXTRACTABLE	29	247	50.0	237.0		
terminal_160	CLEAN	318	TTE_EXTRACTED	T626	0.493	23	242	EXTRACTABLE	32	242	47.0	232.0		
terminal_161	CLEAN	310	TTE_EXTRACTED	T623	0.502	12	238	EXTRACTABLE	23	235	41.0	228.0		
terminal_162	CLEAN	316	TTE_EXTRACTED	T623	0.502	12	238	EXTRACTABLE	25	236	41.0	228.0		
terminal_163	CLEAN	314	TTE_EXTRACTED	T623	0.475	12	238	EXTRACTABLE	25	236	41.0	228.0		
terminal_164	CLEAN	323	TTE_EXTRACTED	T623	0.431	17	242	EXTRACTABLE	33	239	46.0	232.0		
terminal_165	CLEAN	307	TTE_EXTRACTED	T623	0.497	12	238	EXTRACTABLE	26	236	41.0	228.0		
terminal_166	CLEAN	308	TTE_EXTRACTED	T628	0.497	16	238	EXTRACTABLE	25	230	41.0	228.0		
terminal_167	CLEAN	309	TTE_EXTRACTED	T628	0.479	16	238	EXTRACTABLE	23	235	41.0	228.0		
terminal_168	CLEAN	307	TTE_EXTRACTED	T628	0.441	16	238	EXTRACTABLE	25	237	40.0	228.0		
terminal_169	CLEAN	308	TTE_EXTRACTED	T629	0.493	17	239	EXTRACTABLE	23	238	42.0	229.0		
terminal_170	CLEAN	315	TTE_EXTRACTED	T628	0.417	21	243	EXTRACTABLE	30	241	46.0	233.0	17	243
terminal_171	CLEAN	317	TTE_EXTRACTED	T623	0.594	17	243	EXTRACTABLE	30	241	46.0	233.0		
terminal_172	CLEAN	319	TTE_EXTRACTED	T623	0.634	17	243	EXTRACTABLE	30	240	46.0	233.0		
terminal_173	CLEAN	330	TTE_EXTRACTED	T623	0.577	17	243	EXTRACTABLE	29	239	46.0	233.0		
terminal_174	CLEAN	312	TTE_EXTRACTED	T623	0.578	17	244	EXTRACTABLE	29	234	46.0	234.0		
terminal_175	CLEAN	298	TTE_EXTRACTED	T629	0.666	15	238	EXTRACTABLE	21	237	39.0	228.0		
terminal_176	CLEAN	296	TTE_EXTRACTED	T629	0.675	15	236	EXTRACTABLE	21	235	39.0	226.0		
terminal_177	CLEAN	300	TTE_EXTRACTED	T628	0.488	15	240	EXTRACTABLE	19	239	39.0	230.0	15	240
terminal_178	OTHER_SUBSTITUTE	302	TTE_EXTRACTED	T629	0.579	17	239	EXTRACTABLE	24	238	41.0	229.0		
terminal_179	CLEAN	307	TTE_EXTRACTED	T629	0.57	17	239	EXTRACTABLE	25	238	41.0	229.0		
terminal_180	CLEAN	315	TTE_EXTRACTED	T628	0.432	15	236	EXTRACTABLE	24	233	40.0	226.0		
terminal_181	CLEAN	320	TTE_EXTRACTED	T628	0.437	16	240	EXTRACTABLE	22	238	41.0	230.0		
terminal_182	CLEAN	309	TTE_EXTRACTED	T628	0.435	18	242	C_TRUNCATED						
terminal_183	CLEAN	316	TTE_EXTRACTED	T628	0.473	17	240	EXTRACTABLE	24	237	41.0	230.0		
terminal_184	CLEAN	317	TTE_EXTRACTED	T628	0.409	17	239	EXTRACTABLE	26	236	41.0	229.0		
terminal_185	CLEAN	308	TTE_EXTRACTED	T628	0.429	11	234	EXTRACTABLE	20	229	35.0	224.0		
terminal_186	CLEAN	311	TTE_EXTRACTED	T628	0.448	17	239	EXTRACTABLE	23	237	41.0	229.0		
terminal_187	CLEAN	313	TTE_EXTRACTED	T628	0.45	17	238	EXTRACTABLE	26	236	41.0	228.0		
terminal_188	CLEAN	327	TTE_EXTRACTED	T628	0.431	17	239	EXTRACTABLE	24	236	41.0	229.0		
terminal_189	CLEAN	327	TTE_EXTRACTED	T623	0.435	11	239	EXTRACTABLE	24	236	41.0	229.0		
terminal_190	CLEAN	328	TTE_EXTRACTED	T628	0.437	17	239	EXTRACTABLE	24	236	41.0	229.0		
terminal_191	CLEAN	328	TTE_EXTRACTED	T628	0.441	17	239	EXTRACTABLE	25	237	41.0	229.0		
terminal_192	OTHER_SUBSTITUTE	318	TTE_EXTRACTED	T628	0.458	18	240	EXTRACTABLE	27	239	42.0	231.0		
terminal_193	CLEAN	315	TTE_EXTRACTED	T628	0.422	16	239	EXTRACTABLE	25	238	41.0	230.0		
terminal_194	CLEAN	315	TTE_EXTRACTED	T628	0.435	17	239	EXTRACTABLE	22	238	41.0	230.0		
terminal_195	OTHER_SUBSTITUTE	326	TTE_EXTRACTED	T628	0.466	17	239	EXTRACTABLE	24	238	41.0	229.0		
terminal_196	CLEAN	328	TTE_EXTRACTED	T628	0.442	17	239	EXTRACTABLE	25	238	41.0	229.0		
terminal_197	CLEAN	325	TTE_EXTRACTED	T628	0.413	17	239	EXTRACTABLE	16	238	41.0	229.0		
terminal_198	CLEAN	328	TTE_EXTRACTED	T628	0.405	18	241	EXTRACTABLE	27	241	43.0	231.0		
terminal_199	CLEAN	319	TTE_EXTRACTED	T629	0.368	4	229	EXTRACTABLE	12	229	29.0	219.0		
terminal_200	CLEAN	316	TTE_EXTRACTED	T628	0.488	17	240	EXTRACTABLE	25	238	42.0	230.0		
terminal_201	CLEAN	309	TTE_EXTRACTED	T628	0.426	17	238	EXTRACTABLE	24	236	41.0	228.0		
terminal_202	CLEAN	310	TTE_EXTRACTED	T628	0.448	17	238	EXTRACTABLE	24	237	41.0	228.0		
terminal_203	CLEAN	306	TTE_EXTRACTED	T628	0.448	17	238	EXTRACTABLE	23	236	41.0	228.0		
terminal_204	CLEAN	322	TTE_EXTRACTED	T628	0.431	17	239	EXTRACTABLE	24	237	41.0	230.0		
terminal_205	CLEAN	321	TTE_EXTRACTED	T622	0.626	13	237	EXTRACTABLE	15	235	41.0	227.0		
terminal_206	CLEAN	321	TTE_EXTRACTED	T627	0.417	17	237	EXTRACTABLE	16	235	41.0	227.0	13	237
terminal_207	CLEAN	318	TTE_EXTRACTED	T622	0.509	16	240	EXTRACTABLE	17	239	43.0	230.0		
terminal_208	CLEAN	318	TTE_EXTRACTED	T622	0.5	12	239	EXTRACTABLE	20	238	41.0	229.0		
terminal_209	CLEAN	323	TTE_EXTRACTED	T622	0.469	12	239	EXTRACTABLE	7	237	41.0	229.0		
terminal_210	CLEAN	337	TTE_EXTRACTED	T622	0.431	12	238	EXTRACTABLE	16	227	40.0	227.0		
terminal_211	CLEAN	320	TTE_EXTRACTED	T622	0.433	12	238	C_TRUNCATED						
terminal_212	CLEAN	326	TTE_EXTRACTED	T622	0.408	12	238	C_TRUNCATED						
terminal_213	CLEAN	314	TTE_EXTRACTED	T628	0.445	18	242	EXTRACTABLE	27	241	43.0	233.0		
terminal_214	CLEAN	318	TTE_EXTRACTED	T628	0.427	18	242	EXTRACTABLE	25	242	43.0	233.0		
terminal_215	CLEAN	311	TTE_EXTRACTED	T628	0.464	18	241	EXTRACTABLE	27	230	42.0	230.0		
terminal_216	CLEAN	317	TTE_EXTRACTED	T628	0.444	19	242	EXTRACTABLE	28	240	43.0	232.0		
terminal_217	CLEAN	317	TTE_EXTRACTED	T628	0.438	19	242	EXTRACTABLE	28	240	43.0	232.0		
terminal_218	CLEAN	317	TTE_EXTRACTED	T628	0.451	19	242	EXTRACTABLE	28	240	43.0	232.0		
terminal_219	CLEAN	317	TTE_EXTRACTED	T628	0.453	19	242	EXTRACTABLE	28	240	43.0	232.0		
terminal_220	CLEAN	317	TTE_EXTRACTED	T628	0.46	19	242	EXTRACTABLE	28	240	43.0	232.0		
terminal_221	CLEAN	317	TTE_EXTRACTED	T628	0.455	19	242	EXTRACTABLE	24	240	43.0	232.0		
terminal_222	OTHER_SUBSTITUTE	315	TTE_EXTRACTED	T628	0.42	19	242	EXTRACTABLE	28	240	43.0	233.0		
terminal_223	CLEAN	318	TTE_EXTRACTED	T628	0.458	19	242	EXTRACTABLE	28	240	43.0	232.0		
terminal_224	CLEAN	321	TTE_EXTRACTED	T628	0.446	19	242	EXTRACTABLE	25	241	43.0	232.0		
terminal_225	CLEAN	319	TTE_EXTRACTED	T628	0.457	19	242	EXTRACTABLE	26	240	43.0	232.0		
terminal_226	CLEAN	319	TTE_EXTRACTED	T628	0.446	19	242	EXTRACTABLE	25	240	43.0	232.0		
terminal_227	OTHER_SUBSTITUTE	317	TTE_EXTRACTED	T586	0.293	60	294	EXTRACTABLE	48	292	93.0	284.0		
terminal_228	CLEAN	301	TTE_EXTRACTED	T628	0.426	10	230	EXTRACTABLE	17	228	34.0	220.0		
terminal_229	CLEAN	315	TTE_EXTRACTED	T628	0.426	18	240	EXTRACTABLE	27	238	42.0	230.0		
