population	cosine
type_matched_decoy	0.27087915
length_gc_matched_decoy	0.25587773
random_decoy	0.24984778
length_gc_matched_decoy	0.025853202
length_gc_matched_decoy	0.5115097
type_matched_decoy	0.49515566
random_decoy	-0.05787845
random_decoy	0.3295856
length_gc_matched_decoy	0.118452266
type_matched_decoy	0.35551375
random_decoy	0.038495604
length_gc_matched_decoy	0.30138218
random_decoy	0.31542656
type_matched_decoy	0.38343585
type_matched_decoy	0.2769608
type_matched_decoy	0.23294376
random_decoy	0.19948228
random_decoy	0.33075306
type_matched_decoy	0.5393781
random_decoy	0.1473512
length_gc_matched_decoy	0.5707088
random_decoy	0.13308533
type_matched_decoy	0.27085716
random_decoy	0.30594623
random_decoy	-0.03863067
length_gc_matched_decoy	0.024552062
type_matched_decoy	0.35915437
length_gc_matched_decoy	0.39212877
random_decoy	-0.036095858
length_gc_matched_decoy	-0.03664251
length_gc_matched_decoy	0.13115948
length_gc_matched_decoy	0.16120076
type_matched_decoy	0.30999207
random_decoy	0.22377484
random_decoy	0.15796569
random_decoy	-0.29226062
length_gc_matched_decoy	0.28097495
type_matched_decoy	0.27334112
length_gc_matched_decoy	0.47502145
type_matched_decoy	0.50573057
type_matched_decoy	0.34888688
type_matched_decoy	0.62605673
random_decoy	-0.013045348
random_decoy	0.10380499
random_decoy	0.23925641
random_decoy	0.395001
random_decoy	-0.016011715
type_matched_decoy	0.20136502
type_matched_decoy	0.23971
type_matched_decoy	-0.12423442
random_decoy	0.047338128
length_gc_matched_decoy	0.072048806
length_gc_matched_decoy	0.30086046
type_matched_decoy	0.3824377
random_decoy	0.10202291
length_gc_matched_decoy	0.41549763
random_decoy	0.36982766
random_decoy	-0.19300066
length_gc_matched_decoy	0.21238828
random_decoy	0.18357405
length_gc_matched_decoy	0.49188754
length_gc_matched_decoy	-0.33582982
random_decoy	-0.0857216
type_matched_decoy	0.46375394
random_decoy	-0.23241776
length_gc_matched_decoy	0.51111805
type_matched_decoy	0.5644186
random_decoy	-0.07718788
length_gc_matched_decoy	0.019694857
type_matched_decoy	0.21350572
random_decoy	-0.017948808
type_matched_decoy	-0.021256905
length_gc_matched_decoy	0.35792804
random_decoy	0.22288126
length_gc_matched_decoy	-0.06156015
length_gc_matched_decoy	0.009676139
length_gc_matched_decoy	0.059471145
random_decoy	0.04436977
length_gc_matched_decoy	0.48437256
random_decoy	-0.08157949
length_gc_matched_decoy	0.42737916
length_gc_matched_decoy	0.22594246
type_matched_decoy	0.02539292
length_gc_matched_decoy	0.26736385
length_gc_matched_decoy	0.33584327
random_decoy	0.51485825
length_gc_matched_decoy	0.23743846
length_gc_matched_decoy	0.20941995
type_matched_decoy	0.5480177
random_decoy	0.16443495
type_matched_decoy	0.34046635
random_decoy	-0.01610127
type_matched_decoy	0.67180824
type_matched_decoy	0.21476416
type_matched_decoy	0.11211395
length_gc_matched_decoy	0.19459021
length_gc_matched_decoy	0.39458227
random_decoy	-0.10450802
random_decoy	-0.3537429
length_gc_matched_decoy	0.29238856
type_matched_decoy	0.44576854
random_decoy	0.17065473
random_decoy	0.07680077
length_gc_matched_decoy	0.0752307
length_gc_matched_decoy	0.016493268
type_matched_decoy	-0.0032817945
length_gc_matched_decoy	0.48551247
random_decoy	0.08083625
type_matched_decoy	0.2613423
random_decoy	0.48761207
length_gc_matched_decoy	0.30064702
length_gc_matched_decoy	0.25095177
random_decoy	0.71604466
type_matched_decoy	0.56723744
length_gc_matched_decoy	-0.17048356
type_matched_decoy	0.8288728
random_decoy	0.32708317
random_decoy	0.39645445
type_matched_decoy	0.22714886
type_matched_decoy	0.58812207
random_decoy	0.22252958
type_matched_decoy	0.38090786
length_gc_matched_decoy	0.11402067
length_gc_matched_decoy	0.22113797
length_gc_matched_decoy	0.24465315
type_matched_decoy	-0.04319375
length_gc_matched_decoy	0.60710996
random_decoy	0.07024434
length_gc_matched_decoy	0.6352323
random_decoy	0.35646275
type_matched_decoy	0.39929104
random_decoy	0.19191921
type_matched_decoy	0.4565387
length_gc_matched_decoy	-0.034268565
length_gc_matched_decoy	0.11344876
random_decoy	0.09392175
random_decoy	-0.06377718
type_matched_decoy	0.11963214
random_decoy	0.34084392
length_gc_matched_decoy	0.15130977
length_gc_matched_decoy	0.4519719
length_gc_matched_decoy	0.28246385
type_matched_decoy	0.0152953565
random_decoy	-0.05192927
length_gc_matched_decoy	-0.20438363
length_gc_matched_decoy	0.21673022
type_matched_decoy	0.5477604
length_gc_matched_decoy	0.43254802
type_matched_decoy	0.099486805
random_decoy	0.1788016
length_gc_matched_decoy	0.18904004
type_matched_decoy	0.58921707
random_decoy	0.11845707
length_gc_matched_decoy	-0.059923455
type_matched_decoy	0.19190836
type_matched_decoy	0.3379293
type_matched_decoy	0.24781424
random_decoy	-0.027426057
type_matched_decoy	0.16798443
random_decoy	0.06965001
type_matched_decoy	0.17034334
length_gc_matched_decoy	0.55070734
type_matched_decoy	-0.0877237
length_gc_matched_decoy	0.08699812
length_gc_matched_decoy	0.66434216
type_matched_decoy	0.36045712
length_gc_matched_decoy	0.17484471
random_decoy	0.036011867
length_gc_matched_decoy	0.03971604
length_gc_matched_decoy	-0.034745157
type_matched_decoy	0.588025
random_decoy	-0.21743251
random_decoy	-0.31957006
length_gc_matched_decoy	0.37068725
length_gc_matched_decoy	0.3949501
length_gc_matched_decoy	0.8632207
type_matched_decoy	0.20058098
length_gc_matched_decoy	0.65153086
length_gc_matched_decoy	0.35534868
type_matched_decoy	0.8111293
random_decoy	-0.085098326
length_gc_matched_decoy	0.3741144
type_matched_decoy	0.5146496
random_decoy	0.30460083
type_matched_decoy	0.47929
length_gc_matched_decoy	-0.010024816
length_gc_matched_decoy	0.1727208
random_decoy	-0.1153253
type_matched_decoy	-0.0051830225
type_matched_decoy	0.1650962
length_gc_matched_decoy	0.3131967
random_decoy	0.063136555
length_gc_matched_decoy	0.09552123
type_matched_decoy	0.6880676
random_decoy	-0.14011043
length_gc_matched_decoy	0.5328032
type_matched_decoy	0.13933279
random_decoy	-0.015407303
random_decoy	0.012562443
length_gc_matched_decoy	0.25102678
random_decoy	-0.19003752
length_gc_matched_decoy	0.006524857
length_gc_matched_decoy	0.63631797
random_decoy	-0.01026291
random_decoy	0.32237148
length_gc_matched_decoy	0.7432075
random_decoy	0.36067402
length_gc_matched_decoy	-0.11887118
length_gc_matched_decoy	0.44398838
length_gc_matched_decoy	0.46798784
random_decoy	0.3930861
type_matched_decoy	0.18191332
random_decoy	0.08773335
type_matched_decoy	0.31066063
random_decoy	0.014637515
type_matched_decoy	0.29500735
type_matched_decoy	0.12289871
type_matched_decoy	0.12847078
random_decoy	0.18541595
length_gc_matched_decoy	0.19556014
random_decoy	0.06708175
length_gc_matched_decoy	0.33919525
random_decoy	0.27023795
random_decoy	0.3633451
length_gc_matched_decoy	0.22463652
length_gc_matched_decoy	0.67391837
random_decoy	0.23890111
length_gc_matched_decoy	0.33086425
length_gc_matched_decoy	0.40120375
length_gc_matched_decoy	0.49583176
random_decoy	0.099590845
random_decoy	0.1865316
type_matched_decoy	0.41728985
type_matched_decoy	0.23736297
length_gc_matched_decoy	-0.054241866
type_matched_decoy	0.20278226
length_gc_matched_decoy	0.4110018
length_gc_matched_decoy	0.7694303
random_decoy	-0.03761006
type_matched_decoy	0.29732484
type_matched_decoy	0.37199426
random_decoy	-0.12482332
type_matched_decoy	0.6710759
observed_pair	-0.11643039
random_decoy	0.0058749765
observed_pair	0.57807714
length_gc_matched_decoy	0.40016356
type_matched_decoy	0.57225955
type_matched_decoy	-0.14839593
random_decoy	0.033298984
type_matched_decoy	0.27466458
length_gc_matched_decoy	0.63467234
random_decoy	0.25032216
type_matched_decoy	0.19692454
type_matched_decoy	0.7684119
random_decoy	0.11387721
type_matched_decoy	0.31687447
random_decoy	0.07797009
random_decoy	-0.17300393
type_matched_decoy	0.38959324
length_gc_matched_decoy	0.59481287
type_matched_decoy	0.22988099
type_matched_decoy	0.534369
random_decoy	0.07579504
length_gc_matched_decoy	0.46159142
type_matched_decoy	0.48916262
length_gc_matched_decoy	0.1757942
type_matched_decoy	0.0024262853
length_gc_matched_decoy	0.06840998
random_decoy	0.43400264
type_matched_decoy	0.2102789
type_matched_decoy	0.4092368
type_matched_decoy	0.3386959
type_matched_decoy	0.6684445
type_matched_decoy	0.117103636
length_gc_matched_decoy	0.29912284
length_gc_matched_decoy	0.0074851215
random_decoy	0.10576588
type_matched_decoy	-0.000428739
length_gc_matched_decoy	0.27781996
random_decoy	0.46858567
length_gc_matched_decoy	0.29530534
type_matched_decoy	0.35223097
length_gc_matched_decoy	0.37243766
type_matched_decoy	0.334718
random_decoy	-0.10183727
random_decoy	0.096119925
type_matched_decoy	0.04598055
length_gc_matched_decoy	0.39570892
random_decoy	-0.14443272
type_matched_decoy	0.28872892
random_decoy	0.24306065
type_matched_decoy	0.37683558
random_decoy	0.12762666
type_matched_decoy	0.24254763
random_decoy	0.05573065
random_decoy	-0.15687923
random_decoy	0.40095013
random_decoy	-0.20315453
length_gc_matched_decoy	0.35719678
type_matched_decoy	0.86607623
length_gc_matched_decoy	0.31160057
random_decoy	0.20878737
type_matched_decoy	0.37695208
length_gc_matched_decoy	0.75104326
type_matched_decoy	0.17408685
length_gc_matched_decoy	0.11450358
type_matched_decoy	0.3590647
random_decoy	0.06635996
type_matched_decoy	0.3365181
type_matched_decoy	0.36939925
random_decoy	-0.18319207
length_gc_matched_decoy	-0.126916
type_matched_decoy	0.21402425
random_decoy	-0.39223662
type_matched_decoy	0.04519759
length_gc_matched_decoy	0.18194954
length_gc_matched_decoy	-0.31669405
type_matched_decoy	0.33807987
length_gc_matched_decoy	0.0707981
length_gc_matched_decoy	0.35383806
type_matched_decoy	0.018372253
type_matched_decoy	0.40342933
type_matched_decoy	0.34898758
random_decoy	-0.047277518
length_gc_matched_decoy	0.8039272
length_gc_matched_decoy	0.6988661
random_decoy	0.03305246
random_decoy	0.0917249
random_decoy	0.075656146
random_decoy	0.097275354
random_decoy	0.14635688
length_gc_matched_decoy	0.53086483
random_decoy	-0.008582167
type_matched_decoy	0.260657
length_gc_matched_decoy	-0.16285187
random_decoy	-0.1558578
type_matched_decoy	-0.03588052
type_matched_decoy	0.2192387
type_matched_decoy	0.29674056
type_matched_decoy	0.14010099
length_gc_matched_decoy	0.23050818
random_decoy	0.06354242
type_matched_decoy	0.3208705
random_decoy	0.22245407
length_gc_matched_decoy	0.15420628
random_decoy	0.20381057
type_matched_decoy	0.6304822
random_decoy	-0.1508998
length_gc_matched_decoy	0.45195788
observed_pair	0.37022966
random_decoy	-0.1820346
length_gc_matched_decoy	0.18377477
random_decoy	-0.10371764
length_gc_matched_decoy	0.3133748
random_decoy	0.055347297
length_gc_matched_decoy	0.45459697
random_decoy	0.19623016
length_gc_matched_decoy	0.31685364
length_gc_matched_decoy	0.1969321
random_decoy	-0.40430263
type_matched_decoy	0.4105412
random_decoy	0.20150135
length_gc_matched_decoy	0.3928485
type_matched_decoy	0.4283461
random_decoy	0.24342297
random_decoy	0.045115106
random_decoy	0.23012412
length_gc_matched_decoy	0.28007928
type_matched_decoy	0.3470983
type_matched_decoy	0.33973122
random_decoy	0.15055674
length_gc_matched_decoy	0.42785478
random_decoy	-0.08026813
length_gc_matched_decoy	-0.1962443
random_decoy	0.17963512
random_decoy	0.10763423
length_gc_matched_decoy	0.51299787
type_matched_decoy	0.47657868
random_decoy	-0.06708448
length_gc_matched_decoy	0.8544048
type_matched_decoy	0.34780094
type_matched_decoy	0.304092
length_gc_matched_decoy	0.06716785
type_matched_decoy	0.35582045
type_matched_decoy	0.094954565
random_decoy	0.48527223
random_decoy	0.43931264
length_gc_matched_decoy	0.592537
length_gc_matched_decoy	0.30557576
length_gc_matched_decoy	0.25790054
length_gc_matched_decoy	0.21715638
length_gc_matched_decoy	-0.031807765
length_gc_matched_decoy	0.25165123
type_matched_decoy	0.48802167
random_decoy	0.020783562
random_decoy	-0.016540414
length_gc_matched_decoy	0.077825636
length_gc_matched_decoy	0.34012228
length_gc_matched_decoy	0.15681867
random_decoy	0.00898046
length_gc_matched_decoy	0.2962461
random_decoy	-0.20858426
type_matched_decoy	0.25184998
random_decoy	-0.087510675
random_decoy	-0.06472288
length_gc_matched_decoy	0.42097944
type_matched_decoy	0.4904546
type_matched_decoy	0.35477924
random_decoy	-0.033949226
length_gc_matched_decoy	0.43852216
type_matched_decoy	0.1417033
type_matched_decoy	0.08315259
type_matched_decoy	0.31665668
random_decoy	0.047912247
length_gc_matched_decoy	0.18822196
type_matched_decoy	0.08995503
length_gc_matched_decoy	0.7120286
length_gc_matched_decoy	0.6068151
random_decoy	-0.3545044
type_matched_decoy	0.37148124
type_matched_decoy	0.47785038
type_matched_decoy	0.20017289
random_decoy	-0.081573665
length_gc_matched_decoy	0.10301052
length_gc_matched_decoy	0.36440212
length_gc_matched_decoy	0.13447137
random_decoy	0.108349144
length_gc_matched_decoy	0.041746035
length_gc_matched_decoy	0.35753602
length_gc_matched_decoy	0.24575037
random_decoy	0.13768747
length_gc_matched_decoy	0.12927036
length_gc_matched_decoy	0.27557334
length_gc_matched_decoy	0.3171897
type_matched_decoy	0.124593526
type_matched_decoy	0.37839767
length_gc_matched_decoy	0.031223267
length_gc_matched_decoy	0.07829541
type_matched_decoy	0.3543511
type_matched_decoy	0.77704793
random_decoy	-0.11690764
random_decoy	-0.07793366
random_decoy	-0.105666116
type_matched_decoy	0.35088432
length_gc_matched_decoy	0.56464434
length_gc_matched_decoy	0.6015845
random_decoy	-0.17039558
length_gc_matched_decoy	0.7288884
type_matched_decoy	0.44833654
type_matched_decoy	0.2388685
type_matched_decoy	0.39504007
type_matched_decoy	0.08774869
length_gc_matched_decoy	0.26494414
random_decoy	0.7585688
type_matched_decoy	0.24239674
random_decoy	-0.022538334
length_gc_matched_decoy	0.20537508
type_matched_decoy	0.4157532
type_matched_decoy	0.61863244
length_gc_matched_decoy	0.11279712
random_decoy	0.40722188
random_decoy	0.43612206
random_decoy	0.17641039
random_decoy	-0.0504743
length_gc_matched_decoy	0.5800756
random_decoy	0.097158894
random_decoy	0.22682449
random_decoy	0.23111467
random_decoy	0.122308284
length_gc_matched_decoy	0.24769115
random_decoy	0.098244384
random_decoy	-0.054643333
length_gc_matched_decoy	0.23823018
type_matched_decoy	0.03774625
length_gc_matched_decoy	-0.12584361
length_gc_matched_decoy	0.09604731
random_decoy	0.14217255
random_decoy	-0.065871656
length_gc_matched_decoy	0.22653745
type_matched_decoy	0.20935689
length_gc_matched_decoy	0.23428595
type_matched_decoy	0.13772637
random_decoy	-0.07469504
length_gc_matched_decoy	-0.05307874
length_gc_matched_decoy	0.34624586
random_decoy	0.09970552
length_gc_matched_decoy	0.053563885
type_matched_decoy	0.2943143
type_matched_decoy	0.41124475
length_gc_matched_decoy	0.543082
length_gc_matched_decoy	0.024784997
type_matched_decoy	0.78765976
type_matched_decoy	0.30242532
type_matched_decoy	0.29207137
type_matched_decoy	0.06499157
type_matched_decoy	0.16627243
random_decoy	0.17299578
length_gc_matched_decoy	0.2098682
type_matched_decoy	0.41491562
length_gc_matched_decoy	0.5105847
type_matched_decoy	0.4177035
random_decoy	-0.08073161
length_gc_matched_decoy	-0.1365899
random_decoy	0.02110026
type_matched_decoy	0.40398985
length_gc_matched_decoy	-0.15040559
random_decoy	-0.07803826
length_gc_matched_decoy	0.16806132
type_matched_decoy	0.33924818
type_matched_decoy	0.4839636
length_gc_matched_decoy	0.02709861
length_gc_matched_decoy	0.45075837
length_gc_matched_decoy	0.19203104
random_decoy	-0.05289125
type_matched_decoy	0.31559953
random_decoy	0.3675957
random_decoy	0.14580783
random_decoy	-0.011941843
type_matched_decoy	0.11100087
random_decoy	-0.16763027
length_gc_matched_decoy	0.5175398
length_gc_matched_decoy	0.067169495
random_decoy	0.15723908
length_gc_matched_decoy	0.49464044
type_matched_decoy	0.2332624
random_decoy	0.20454882
length_gc_matched_decoy	0.6850264
type_matched_decoy	0.25558794
length_gc_matched_decoy	0.64480215
length_gc_matched_decoy	0.57673115
length_gc_matched_decoy	0.1231632
random_decoy	-0.119814605
length_gc_matched_decoy	0.08992297
random_decoy	0.16954476
type_matched_decoy	0.4075975
type_matched_decoy	0.19039673
type_matched_decoy	0.37567645
random_decoy	0.12165149
type_matched_decoy	0.2166999
type_matched_decoy	-0.028553065
length_gc_matched_decoy	0.107641
random_decoy	-0.06466822
type_matched_decoy	0.37222525
random_decoy	0.026308477
random_decoy	-0.078647226
type_matched_decoy	0.2938005
type_matched_decoy	0.6146025
random_decoy	0.22635177
random_decoy	0.40076572
random_decoy	-0.061844014
length_gc_matched_decoy	0.41756326
length_gc_matched_decoy	0.10419245
random_decoy	0.49329615
type_matched_decoy	0.34778234
type_matched_decoy	0.79539144
length_gc_matched_decoy	0.14244331
random_decoy	0.0031293407
length_gc_matched_decoy	0.37036985
length_gc_matched_decoy	0.44241482
type_matched_decoy	0.39919668
random_decoy	-0.027460117
type_matched_decoy	0.2960362
random_decoy	0.16750988
random_decoy	-0.03081904
length_gc_matched_decoy	0.29314348
random_decoy	0.06106591
type_matched_decoy	0.057393387
type_matched_decoy	0.32165807
type_matched_decoy	0.072632276
random_decoy	0.4920795
length_gc_matched_decoy	0.33332682
random_decoy	0.13664244
type_matched_decoy	0.64702517
random_decoy	-0.038304955
random_decoy	-0.0032826215
type_matched_decoy	0.4294495
random_decoy	0.0049494617
type_matched_decoy	0.53178537
type_matched_decoy	-0.023360714
random_decoy	-0.08896513
type_matched_decoy	0.35638484
length_gc_matched_decoy	0.13195847
type_matched_decoy	0.61133444
type_matched_decoy	0.34418276
type_matched_decoy	0.4782851
length_gc_matched_decoy	0.5538951
observed_pair	0.42085195
length_gc_matched_decoy	0.22285289
type_matched_decoy	0.19723247
type_matched_decoy	0.43407652
type_matched_decoy	0.35676157
random_decoy	-0.08501581
random_decoy	-0.3181889
random_decoy	0.15562907
type_matched_decoy	0.1316764
type_matched_decoy	0.2512974
length_gc_matched_decoy	0.44509262
type_matched_decoy	0.2798764
random_decoy	0.12586685
type_matched_decoy	-0.0963922
random_decoy	0.37327576
type_matched_decoy	0.1319671
type_matched_decoy	0.110240616
length_gc_matched_decoy	0.2342878
random_decoy	-0.043814998
type_matched_decoy	-0.039398428
length_gc_matched_decoy	0.116263926
random_decoy	0.13757673
length_gc_matched_decoy	0.33536237
type_matched_decoy	0.7212236
type_matched_decoy	0.7203467
length_gc_matched_decoy	0.20531313
type_matched_decoy	0.8169997
length_gc_matched_decoy	0.12552333
random_decoy	0.28796768
random_decoy	-0.06489672
type_matched_decoy	0.45207223
random_decoy	-0.029387474
length_gc_matched_decoy	0.19397801
length_gc_matched_decoy	-0.29221064
length_gc_matched_decoy	0.05264716
type_matched_decoy	0.17752269
random_decoy	0.08795117
random_decoy	-0.1242044
type_matched_decoy	0.66178054
random_decoy	0.4719807
length_gc_matched_decoy	0.8275252
type_matched_decoy	0.6957079
type_matched_decoy	0.310509
length_gc_matched_decoy	0.31946355
length_gc_matched_decoy	0.086882025
random_decoy	0.015220486
type_matched_decoy	0.171577
length_gc_matched_decoy	-0.046177372
length_gc_matched_decoy	0.4849313
type_matched_decoy	0.2692114
type_matched_decoy	0.14674431
type_matched_decoy	0.21904156
random_decoy	-0.07344922
observed_pair	0.45699233
length_gc_matched_decoy	0.4540773
random_decoy	0.070629984
random_decoy	-0.27881777
length_gc_matched_decoy	0.40823954
type_matched_decoy	0.4483431
random_decoy	-0.17951113
type_matched_decoy	0.027145717
type_matched_decoy	0.101445764
random_decoy	0.069137946
length_gc_matched_decoy	0.12611227
type_matched_decoy	0.61863494
random_decoy	0.29472095
length_gc_matched_decoy	-0.013280842
random_decoy	-0.123821765
length_gc_matched_decoy	0.12181414
type_matched_decoy	0.08522323
length_gc_matched_decoy	0.5113245
length_gc_matched_decoy	0.2975379
length_gc_matched_decoy	0.042052276
length_gc_matched_decoy	0.07309111
random_decoy	-0.23783879
type_matched_decoy	0.2597724
random_decoy	0.08771579
type_matched_decoy	0.29166114
random_decoy	0.122728184
type_matched_decoy	-0.09308308
type_matched_decoy	0.4876539
length_gc_matched_decoy	0.27853277
random_decoy	0.36818272
random_decoy	0.15165286
random_decoy	-0.079187155
type_matched_decoy	0.27545744
length_gc_matched_decoy	-0.001007393
random_decoy	0.31740367
random_decoy	0.064687416
type_matched_decoy	0.39513847
random_decoy	0.19913611
type_matched_decoy	0.09244014
length_gc_matched_decoy	0.81987774
length_gc_matched_decoy	0.4985814
random_decoy	-0.061711628
type_matched_decoy	0.66713035
random_decoy	0.30869082
length_gc_matched_decoy	-0.038238987
length_gc_matched_decoy	0.33615837
random_decoy	-0.10944354
length_gc_matched_decoy	0.41022104
length_gc_matched_decoy	0.37607872
type_matched_decoy	0.18521048
type_matched_decoy	0.38224262
random_decoy	-0.09899854
length_gc_matched_decoy	0.4377565
length_gc_matched_decoy	0.553188
type_matched_decoy	0.23604856
length_gc_matched_decoy	0.43074566
length_gc_matched_decoy	0.13313152
type_matched_decoy	-0.1464912
type_matched_decoy	0.47312894
random_decoy	0.017670125
random_decoy	0.013987809
type_matched_decoy	0.46983632
type_matched_decoy	0.33473277
type_matched_decoy	0.33199784
random_decoy	0.17618608
type_matched_decoy	0.34563303
type_matched_decoy	0.14090362
type_matched_decoy	0.68581676
length_gc_matched_decoy	-0.023262896
random_decoy	-0.20613551
length_gc_matched_decoy	0.46339986
length_gc_matched_decoy	0.47346288
type_matched_decoy	0.52167904
random_decoy	0.00023116171
type_matched_decoy	0.28433898
random_decoy	0.103087485
random_decoy	-0.31724095
type_matched_decoy	0.83285296
length_gc_matched_decoy	0.24451187
length_gc_matched_decoy	0.77417076
type_matched_decoy	0.3615224
type_matched_decoy	0.4028689
length_gc_matched_decoy	0.18590596
random_decoy	0.018773668
random_decoy	0.19438541
random_decoy	0.0895613
length_gc_matched_decoy	-0.070002235
type_matched_decoy	0.7234906
type_matched_decoy	0.1125929
length_gc_matched_decoy	-0.032268576
type_matched_decoy	0.52225924
type_matched_decoy	0.5117492
random_decoy	-0.19147639
type_matched_decoy	-0.0022891238
random_decoy	0.3215659
type_matched_decoy	0.68994975
length_gc_matched_decoy	-0.16965728
random_decoy	-0.209625
length_gc_matched_decoy	0.2824218
type_matched_decoy	0.432326
type_matched_decoy	0.13613461
random_decoy	0.05324374
length_gc_matched_decoy	0.4229416
random_decoy	-0.051088475
length_gc_matched_decoy	0.274351
type_matched_decoy	0.00168195
type_matched_decoy	-0.10018471
random_decoy	-0.015189568
random_decoy	0.14993264
type_matched_decoy	0.40794715
type_matched_decoy	0.40475455
random_decoy	0.37821907
type_matched_decoy	0.50946337
type_matched_decoy	0.53667057
random_decoy	0.30487478
length_gc_matched_decoy	0.4233356
length_gc_matched_decoy	0.18596771
length_gc_matched_decoy	0.035724822
type_matched_decoy	0.44690496
random_decoy	0.025247686
random_decoy	0.1690084
type_matched_decoy	-0.028428547
type_matched_decoy	0.30790082
type_matched_decoy	0.30309933
random_decoy	0.037798025
type_matched_decoy	0.27981347
random_decoy	0.07383678
type_matched_decoy	0.38854253
type_matched_decoy	0.33781534
type_matched_decoy	0.32688427
type_matched_decoy	0.20623729
random_decoy	0.11278956
random_decoy	0.16543473
random_decoy	0.37386966
type_matched_decoy	0.26850504
random_decoy	0.032500617
random_decoy	0.2104764
type_matched_decoy	0.4986098
random_decoy	-0.045104638
length_gc_matched_decoy	0.15897857
type_matched_decoy	0.30690613
length_gc_matched_decoy	0.05919014
random_decoy	0.32726878
random_decoy	0.03706937
type_matched_decoy	0.52247703
length_gc_matched_decoy	0.39479083
length_gc_matched_decoy	0.40209192
random_decoy	0.0067365915
type_matched_decoy	0.82327074
random_decoy	0.050243232
type_matched_decoy	0.45697206
random_decoy	0.5994198
length_gc_matched_decoy	0.2830143
type_matched_decoy	0.44583845
type_matched_decoy	0.38643795
type_matched_decoy	0.3410006
type_matched_decoy	0.4679914
random_decoy	0.2796946
type_matched_decoy	0.41069782
random_decoy	-0.07387264
random_decoy	0.22492446
random_decoy	-0.123916306
type_matched_decoy	0.54689157
length_gc_matched_decoy	0.44769162
type_matched_decoy	0.08987782
type_matched_decoy	0.14990407
random_decoy	0.045511268
type_matched_decoy	0.75105166
length_gc_matched_decoy	0.20698594
length_gc_matched_decoy	-0.06786543
type_matched_decoy	0.43302423
type_matched_decoy	0.5148078
random_decoy	0.036873013
type_matched_decoy	0.42319798
type_matched_decoy	-0.010363206
type_matched_decoy	0.14192294
length_gc_matched_decoy	0.41928798
type_matched_decoy	0.2088204
type_matched_decoy	0.69021845
length_gc_matched_decoy	0.79812306
type_matched_decoy	0.1301977
observed_pair	0.27634478
type_matched_decoy	0.26009366
length_gc_matched_decoy	0.45382336
random_decoy	0.030787826
random_decoy	0.5157287
random_decoy	0.2690912
random_decoy	0.5347736
type_matched_decoy	0.37510666
length_gc_matched_decoy	0.14521608
length_gc_matched_decoy	0.025527865
random_decoy	0.03609433
length_gc_matched_decoy	0.8959156
type_matched_decoy	-0.0046063364
type_matched_decoy	0.53797257
length_gc_matched_decoy	0.2516982
type_matched_decoy	0.14315164
type_matched_decoy	0.28345245
length_gc_matched_decoy	0.84805834
random_decoy	0.09134666
type_matched_decoy	-0.047456965
type_matched_decoy	-0.118797414
random_decoy	0.048430637
length_gc_matched_decoy	0.36061376
type_matched_decoy	-0.07203634
length_gc_matched_decoy	0.43934628
