claim_id	layer	claim	permitted_scope	evidence_key	value	lookup_kind	source	selector	column	bundle	bundle_landing_commit	source_commit_at_pin
S2-02	L1	The numbered landmarks are reconstructable on ALIGN_000044 (66 proteins): conserved positions and gap structure beat their nulls, the block count does not.	project reconstruction, interval-level only	g2_p_block	0.6965	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=p_block	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-02	L1	The numbered landmarks are reconstructable on ALIGN_000044 (66 proteins): conserved positions and gap structure beat their nulls, the block count does not.	project reconstruction, interval-level only	g2_kill_verdict	NOT ESTABLISHED	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=kill_verdict	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-03	L1	Prior RT0-RT7 frames are not independent: 2 of 13 prior claims reproduced; RT0 is an object mismatch.	audit of prior methods, not of the biology	g3_claims	13	TABLE	results/rt07_g3_prior_method_replication/tables/g3_resolved_values.tsv	key=n_claims	raw_value	rt07_g3_prior_method_replication	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-03	L1	Prior RT0-RT7 frames are not independent: 2 of 13 prior claims reproduced; RT0 is an object mismatch.	audit of prior methods, not of the biology	g3_repro	2	TABLE	results/rt07_g3_prior_method_replication/tables/g3_resolved_values.tsv	key=n_repro	raw_value	rt07_g3_prior_method_replication	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-03	L1	Prior RT0-RT7 frames are not independent: 2 of 13 prior claims reproduced; RT0 is an object mismatch.	audit of prior methods, not of the biology	g3_circular	3	TABLE	results/rt07_g3_prior_method_replication/tables/g3_resolved_values.tsv	key=n_circular	raw_value	rt07_g3_prior_method_replication	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-03	L1	Prior RT0-RT7 frames are not independent: 2 of 13 prior claims reproduced; RT0 is an object mismatch.	audit of prior methods, not of the biology	g3_rt0_verdict	OBJECT_MISMATCH	TABLE	results/rt07_g3_prior_method_replication/tables/g3_resolved_values.tsv	key=rt0_verdict	raw_value	rt07_g3_prior_method_replication	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-03	L1	Prior RT0-RT7 frames are not independent: 2 of 13 prior claims reproduced; RT0 is an object mismatch.	audit of prior methods, not of the biology	g3_collapsing	RT5 and RT6	TABLE	results/rt07_g3_prior_method_replication/tables/g3_resolved_values.tsv	key=collapsing	raw_value	rt07_g3_prior_method_replication	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-04	L2	The conserved-state mapper transfers to one fresh lineage (UG25) under hhmake -M 50.	Endpoint A only; no transfer beyond UG25 claimed	ug25_k0_med	0.5133	TABLE	results/rt07_ug25_confirmatory/tables/ug25_component_summary.tsv	component=0	median_mapped_fraction	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-04	L2	The conserved-state mapper transfers to one fresh lineage (UG25) under hhmake -M 50.	Endpoint A only; no transfer beyond UG25 claimed	ug25_k1_med	0.5933	TABLE	results/rt07_ug25_confirmatory/tables/ug25_component_summary.tsv	component=1	median_mapped_fraction	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-04	L2	The conserved-state mapper transfers to one fresh lineage (UG25) under hhmake -M 50.	Endpoint A only; no transfer beyond UG25 claimed	t1	0.32	TABLE	results/rt07_g4b_production_mapper/control/SUPPORT_RULE_FROZEN.tsv	parameter=T1	value	rt07_g4b_production_mapper	dd9cdae3f1475d1545808ed8800e2850e5624d1a	dd9cdae3f1475d1545808ed8800e2850e5624d1a
S2-04	L2	The conserved-state mapper transfers to one fresh lineage (UG25) under hhmake -M 50.	Endpoint A only; no transfer beyond UG25 claimed	ug25_c3	26/27 = 0.9630	TABLE	results/rt07_ug25_confirmatory/tables/ug25_criteria.tsv	criterion=C3	observed	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-04	L2	The conserved-state mapper transfers to one fresh lineage (UG25) under hhmake -M 50.	Endpoint A only; no transfer beyond UG25 claimed	ug25_c4	0.0800	TABLE	results/rt07_ug25_confirmatory/tables/ug25_criteria.tsv	criterion=C4	observed	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-04	L2	The conserved-state mapper transfers to one fresh lineage (UG25) under hhmake -M 50.	Endpoint A only; no transfer beyond UG25 claimed	ug25_class	FRESH_LINEAGE	TABLE	results/rt07_ug25_confirmatory/tables/ug25_genealogy_audit.tsv	assessment=CLASSIFICATION	value	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-04	L2	The conserved-state mapper transfers to one fresh lineage (UG25) under hhmake -M 50.	Endpoint A only; no transfer beyond UG25 claimed	ug25_review	PASS_WITH_REQUIRED_REPAIRS, 7/10	DOC	docs/decisions/2026-09-17_stage2_ug25_confirmatory_closed.md	literal present verbatim		(governing record)	n/a - governing record	cd5dcac131291d3728947d24ebf48a9a2554667b
S2-05	L2	Synthetic sequence controls do not reach the commitment threshold: the maximum mapped anchors in any control is 17 against K_MIN 30.	specificity against unrelated natural proteins not claimed	ug25_mono_max	10	TABLE	results/rt07_ug25_confirmatory/tables/ug25_control_summary.tsv	control_class=MONO	max_mapped	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-05	L2	Synthetic sequence controls do not reach the commitment threshold: the maximum mapped anchors in any control is 17 against K_MIN 30.	specificity against unrelated natural proteins not claimed	ug25_di_max	13	TABLE	results/rt07_ug25_confirmatory/tables/ug25_control_summary.tsv	control_class=DI	max_mapped	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-05	L2	Synthetic sequence controls do not reach the commitment threshold: the maximum mapped anchors in any control is 17 against K_MIN 30.	specificity against unrelated natural proteins not claimed	ug25_rev_max	17	TABLE	results/rt07_ug25_confirmatory/tables/ug25_control_summary.tsv	control_class=REV	max_mapped	rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-05	L2	Synthetic sequence controls do not reach the commitment threshold: the maximum mapped anchors in any control is 17 against K_MIN 30.	specificity against unrelated natural proteins not claimed	k_min	30	TABLE	results/rt07_g4b_production_mapper/control/SUPPORT_RULE_FROZEN.tsv	parameter=K_MIN	value	rt07_g4b_production_mapper	dd9cdae3f1475d1545808ed8800e2850e5624d1a	dd9cdae3f1475d1545808ed8800e2850e5624d1a
S2-05	L2	Synthetic sequence controls do not reach the commitment threshold: the maximum mapped anchors in any control is 17 against K_MIN 30.	specificity against unrelated natural proteins not claimed	ug25_min_real_mapped	54	DERIVED	results/rt07_ug25_confirmatory/tables/ug25_sequence_results.tsv	min(n_mapped) over the 28 rows of ug25_sequence_results.tsv		rt07_ug25_confirmatory	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-06	L2	The instrument's conserved core depends on the match-state convention.	no universal architecture; valid under -M 50 only	m50_gii_all	148	TABLE	results/rt07_g4a_repaired/tables/g4a_hhmake_M_sensitivity.tsv	hhmake_M=50;family=GII	n_ALL_PARTNERS	rt07_g4a_repaired	4961588508014a42e9b80bf6fe48bb4e319f5668	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-06	L2	The instrument's conserved core depends on the match-state convention.	no universal architecture; valid under -M 50 only	a2m_gii_all	115	TABLE	results/rt07_g4a_repaired/tables/g4a_hhmake_M_sensitivity.tsv	hhmake_M=a2m;family=GII	n_ALL_PARTNERS	rt07_g4a_repaired	4961588508014a42e9b80bf6fe48bb4e319f5668	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-06	L2	The instrument's conserved core depends on the match-state convention.	no universal architecture; valid under -M 50 only	a2m_dgr_all	0	TABLE	results/rt07_g4a_repaired/tables/g4a_hhmake_M_sensitivity.tsv	hhmake_M=a2m;family=DGRs	n_ALL_PARTNERS	rt07_g4a_repaired	4961588508014a42e9b80bf6fe48bb4e319f5668	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-06	L2	The instrument's conserved core depends on the match-state convention.	no universal architecture; valid under -M 50 only	a2m_abia_all	0	TABLE	results/rt07_g4a_repaired/tables/g4a_hhmake_M_sensitivity.tsv	hhmake_M=a2m;family=AbiA	n_ALL_PARTNERS	rt07_g4a_repaired	4961588508014a42e9b80bf6fe48bb4e319f5668	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-07	L2	The catalytic state is a single frozen HMM state with 0.9857 construction agreement.	separate denominator from the 150 anchors	cat_state	262	TABLE	results/rt07_g4b_production_mapper/control/CATALYTIC_STATE_FROZEN.tsv	parameter=CAT_STATE	value	rt07_g4b_production_mapper	dd9cdae3f1475d1545808ed8800e2850e5624d1a	dd9cdae3f1475d1545808ed8800e2850e5624d1a
S2-07	L2	The catalytic state is a single frozen HMM state with 0.9857 construction agreement.	separate denominator from the 150 anchors	cat_count	207	TABLE	results/rt07_g4b_production_mapper/control/CATALYTIC_STATE_FROZEN.tsv	parameter=CAT_STATE_COUNT	value	rt07_g4b_production_mapper	dd9cdae3f1475d1545808ed8800e2850e5624d1a	dd9cdae3f1475d1545808ed8800e2850e5624d1a
S2-07	L2	The catalytic state is a single frozen HMM state with 0.9857 construction agreement.	separate denominator from the 150 anchors	cat_agree	0.9857	TABLE	results/rt07_g4b_production_mapper/control/CATALYTIC_STATE_FROZEN.tsv	parameter=CONSTRUCTION_AGREEMENT	value	rt07_g4b_production_mapper	dd9cdae3f1475d1545808ed8800e2850e5624d1a	dd9cdae3f1475d1545808ed8800e2850e5624d1a
S2-08	L2	The eligible Stage-1 catalogue is 369,381 of 501,561 exact RTs; 354,102 are inspectable.	abstention is not failure and not absence	g5a_total	501,561	TABLE	results/rt07_g5a_eligibility_census/tables/g5a_census_summary.tsv	quantity=n_total_exact_rt	value	rt07_g5a_eligibility_census	cf96dd11d6acfedabcb203777da17abf2ba7853f	6f4a7fed9466f72cb256d12e8746a6989eeb0377
S2-08	L2	The eligible Stage-1 catalogue is 369,381 of 501,561 exact RTs; 354,102 are inspectable.	abstention is not failure and not absence	g5a_eligible	369,381	TABLE	results/rt07_g5a_eligibility_census/tables/g5a_census_summary.tsv	quantity=G5_ELIGIBLE_N	value	rt07_g5a_eligibility_census	cf96dd11d6acfedabcb203777da17abf2ba7853f	6f4a7fed9466f72cb256d12e8746a6989eeb0377
S2-08	L2	The eligible Stage-1 catalogue is 369,381 of 501,561 exact RTs; 354,102 are inspectable.	abstention is not failure and not absence	g5a_short	108,439	TABLE	results/rt07_g5a_eligibility_census/tables/g5a_census_summary.tsv	quantity=n_below_min_length	value	rt07_g5a_eligibility_census	cf96dd11d6acfedabcb203777da17abf2ba7853f	6f4a7fed9466f72cb256d12e8746a6989eeb0377
S2-08	L2	The eligible Stage-1 catalogue is 369,381 of 501,561 exact RTs; 354,102 are inspectable.	abstention is not failure and not absence	g5a_nonstd	23,741	TABLE	results/rt07_g5a_eligibility_census/tables/g5a_census_summary.tsv	quantity=n_non_standard_residue	value	rt07_g5a_eligibility_census	cf96dd11d6acfedabcb203777da17abf2ba7853f	6f4a7fed9466f72cb256d12e8746a6989eeb0377
S2-08	L2	The eligible Stage-1 catalogue is 369,381 of 501,561 exact RTs; 354,102 are inspectable.	abstention is not failure and not absence	g5_inspectable	354,102	TABLE	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	quantity=n_inspectable	value	rt07_g5_catalogue_application	cf96dd11d6acfedabcb203777da17abf2ba7853f	cf96dd11d6acfedabcb203777da17abf2ba7853f
S2-08	L2	The eligible Stage-1 catalogue is 369,381 of 501,561 exact RTs; 354,102 are inspectable.	abstention is not failure and not absence	g5_abstained	15,279	TABLE	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	quantity=n_abstained	value	rt07_g5_catalogue_application	cf96dd11d6acfedabcb203777da17abf2ba7853f	cf96dd11d6acfedabcb203777da17abf2ba7853f
S2-08	L2	The eligible Stage-1 catalogue is 369,381 of 501,561 exact RTs; 354,102 are inspectable.	abstention is not failure and not absence	g5_failures	0	TABLE	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	quantity=n_tool_failures	value	rt07_g5_catalogue_application	cf96dd11d6acfedabcb203777da17abf2ba7853f	cf96dd11d6acfedabcb203777da17abf2ba7853f
S2-09	L2	Among CAT_STATE-mapped sequences, 0.9653 carry a [YF].DD residue at that state.	motif concordance at a state, not residue-level truth	g5_cat_mapped	356,229	TABLE	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	quantity=n_cat_state_mapped	value	rt07_g5_catalogue_application	cf96dd11d6acfedabcb203777da17abf2ba7853f	cf96dd11d6acfedabcb203777da17abf2ba7853f
S2-09	L2	Among CAT_STATE-mapped sequences, 0.9653 carry a [YF].DD residue at that state.	motif concordance at a state, not residue-level truth	g5_cat_conf	343,880	TABLE	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	quantity=n_cat_state_confirmed	value	rt07_g5_catalogue_application	cf96dd11d6acfedabcb203777da17abf2ba7853f	cf96dd11d6acfedabcb203777da17abf2ba7853f
S2-09	L2	Among CAT_STATE-mapped sequences, 0.9653 carry a [YF].DD residue at that state.	motif concordance at a state, not residue-level truth	g5_cat_ratio	0.9653	TABLE	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	quantity=cat_confirmed_over_cat_mapped	value	rt07_g5_catalogue_application	cf96dd11d6acfedabcb203777da17abf2ba7853f	cf96dd11d6acfedabcb203777da17abf2ba7853f
S2-10	L3	The mapper-derived descriptor shows split-half concordance among predominantly MyRT-derived family strata (0.9865, 36 strata).	descriptive concordance only; not independent family discovery (E-g6-1)	g6_rho	0.9865	TABLE	results/rt07_g6_family_architecture/tables/g6_between_family_rho.tsv	analysis_id=PRIMARY	rho	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-10	L3	The mapper-derived descriptor shows split-half concordance among predominantly MyRT-derived family strata (0.9865, 36 strata).	descriptive concordance only; not independent family discovery (E-g6-1)	g6_null1	0.9906	TABLE	results/rt07_g6_family_architecture/tables/g6_between_family_rho.tsv	analysis_id=PRIMARY	null1_p99	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-10	L3	The mapper-derived descriptor shows split-half concordance among predominantly MyRT-derived family strata (0.9865, 36 strata).	descriptive concordance only; not independent family discovery (E-g6-1)	g6_null2	0.9066	TABLE	results/rt07_g6_family_architecture/tables/g6_between_family_rho.tsv	analysis_id=PRIMARY	null2_p99	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-10	L3	The mapper-derived descriptor shows split-half concordance among predominantly MyRT-derived family strata (0.9865, 36 strata).	descriptive concordance only; not independent family discovery (E-g6-1)	g6_groups	36	TABLE	results/rt07_g6_family_architecture/tables/g6_between_family_rho.tsv	analysis_id=PRIMARY	n_groups	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-10	L3	The mapper-derived descriptor shows split-half concordance among predominantly MyRT-derived family strata (0.9865, 36 strata).	descriptive concordance only; not independent family discovery (E-g6-1)	g6_nseq	353,248	TABLE	results/rt07_g6_family_architecture/tables/g6_between_family_rho.tsv	analysis_id=PRIMARY	n_sequences	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-10	L3	The mapper-derived descriptor shows split-half concordance among predominantly MyRT-derived family strata (0.9865, 36 strata).	descriptive concordance only; not independent family discovery (E-g6-1)	myrt_match	369,370 of 369,381	DOC	docs/decisions/2026-09-19_stage2_g6_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-10	L3	The mapper-derived descriptor shows split-half concordance among predominantly MyRT-derived family strata (0.9865, 36 strata).	descriptive concordance only; not independent family discovery (E-g6-1)	g6_review	PASS_WITH_REQUIRED_REPAIRS, 6/10, 0 blockers	DOC	docs/decisions/2026-09-19_stage2_g6_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-11	L3	Concordance persists after conditioning on scalar MAPPED fraction and relatedness collapse: 6 restricted analyses exceed every sampled replicate of both nulls.	not 1%-level significance; no multiplicity control (E-g6-3, E-g6-8)	g6_ctrl_exceed_both	6	DERIVED	results/rt07_g6_family_architecture/tables/g6_between_family_rho.tsv	count(rows of g6_between_family_rho.tsv with analysis_id starting CTRL-VIS or CTRL-REL and exceeds_null1=YES and exceeds_null2=YES)		rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-11	L3	Concordance persists after conditioning on scalar MAPPED fraction and relatedness collapse: 6 restricted analyses exceed every sampled replicate of both nulls.	not 1%-level significance; no multiplicity control (E-g6-3, E-g6-8)	g6_perm_floor	1/61 ≈ 0.0164	DOC	docs/decisions/2026-09-19_stage2_g6_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-11	L3	Concordance persists after conditioning on scalar MAPPED fraction and relatedness collapse: 6 restricted analyses exceed every sampled replicate of both nulls.	not 1%-level significance; no multiplicity control (E-g6-3, E-g6-8)	g6_n_analyses	13	DOC	docs/decisions/2026-09-19_stage2_g6_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-11	L3	Concordance persists after conditioning on scalar MAPPED fraction and relatedness collapse: 6 restricted analyses exceed every sampled replicate of both nulls.	not 1%-level significance; no multiplicity control (E-g6-3, E-g6-8)	g6_vis_assoc	0.5692	DOC	docs/decisions/2026-09-19_stage2_g6_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-12	L3	Within retrons, DefenseFinder and PADLOC subtype strata show concordance (0.8917, 0.9595) on their own denominators; the label-free arm is underpowered.	tool annotations never pooled; 26 of 50 strata excluded	g6_df_rho	0.8917	TABLE	results/rt07_g6_family_architecture/tables/g6_within_retron_rho.tsv	analysis_id=DF_subtype	rho	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-12	L3	Within retrons, DefenseFinder and PADLOC subtype strata show concordance (0.8917, 0.9595) on their own denominators; the label-free arm is underpowered.	tool annotations never pooled; 26 of 50 strata excluded	g6_df_groups	10	TABLE	results/rt07_g6_family_architecture/tables/g6_within_retron_rho.tsv	analysis_id=DF_subtype	n_groups	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-12	L3	Within retrons, DefenseFinder and PADLOC subtype strata show concordance (0.8917, 0.9595) on their own denominators; the label-free arm is underpowered.	tool annotations never pooled; 26 of 50 strata excluded	g6_pl_rho	0.9595	TABLE	results/rt07_g6_family_architecture/tables/g6_within_retron_rho.tsv	analysis_id=PL_subtype	rho	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-12	L3	Within retrons, DefenseFinder and PADLOC subtype strata show concordance (0.8917, 0.9595) on their own denominators; the label-free arm is underpowered.	tool annotations never pooled; 26 of 50 strata excluded	g6_pl_groups	14	TABLE	results/rt07_g6_family_architecture/tables/g6_within_retron_rho.tsv	analysis_id=PL_subtype	n_groups	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-12	L3	Within retrons, DefenseFinder and PADLOC subtype strata show concordance (0.8917, 0.9595) on their own denominators; the label-free arm is underpowered.	tool annotations never pooled; 26 of 50 strata excluded	g6_lf_verdict	UNDERPOWERED	TABLE	results/rt07_g6_family_architecture/tables/g6_terminal_decision.tsv	arm=within_retron;rho=0.8061	terminal_verdict	rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-12	L3	Within retrons, DefenseFinder and PADLOC subtype strata show concordance (0.8917, 0.9595) on their own denominators; the label-free arm is underpowered.	tool annotations never pooled; 26 of 50 strata excluded	g6_strata_excluded	26	DERIVED	results/rt07_g6_family_architecture/tables/g6_retron_subtype_strata.tsv	count(powered=UNDERPOWERED) + [count(DefenseFinder powered=YES) - DF_subtype n_groups] + [count(PADLOC powered=YES) - PL_subtype n_groups]  (E-g6-4)		rt07_g6_family_architecture	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c	049d7ab9ece1e021e4fc6e9efa164e1bb3244d6c
S2-13	L4	On LtrA the frozen states support observable portions of the reconstructed RT3, RT4, joint RT5+RT6 and RT7 intervals.	LtrA-local interpretation-layer correspondence	rt3_obs	126-166	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT3	ltra_residue_span_supported	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-13	L4	On LtrA the frozen states support observable portions of the reconstructed RT3, RT4, joint RT5+RT6 and RT7 intervals.	LtrA-local interpretation-layer correspondence	rt4_obs	170-230	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT4	ltra_residue_span_supported	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
