extractor	design	rep	query	shuffled	true_clade_EVALUATION	best_label	best_label_lwr	best_edge_label	best_edge_lwr	pendant	edpl	n_placements	label_lwr	aligned_frac	status	correct
v3	blocked	6	n349	False	1	1	1.0	1	1.0	0.5646509889	0.0	1	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n382	False	2	2	1.0	2	1.0	0.7540692805	0.0	1	"{""2"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n463	False	2	2	1.0	2	1.0	0.7395238804	0.0	1	"{""2"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n859	True	8	Orphan	0.8883	Orphan	0.8883	8.7605095401	0.561536	2	"{""Orphan"": 0.8883, ""1"": 0.1117}"	0.7413249211356467	AMBIGUOUS	False
v3	blocked	6	SHUF_n63	True	1	Orphan	0.7854	Orphan	0.7854	11.0809827113	0.922521	2	"{""Orphan"": 0.7854, ""1"": 0.2146}"	0.7336244541484717	AMBIGUOUS	False
v3	blocked	6	n543	False	3	3	1.0	3	0.4528	0.6208270603	0.0914829	4	"{""3"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1898	True	11	1	0.9935	1	0.9935	5.8008626037	0.0	1	"{""1"": 0.9935}"	0.9558232931726908	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n802	True	4	3	0.7052	3	0.369	32.9307527522	4.94958	4	"{""3"": 0.7052, ""8"": 0.2948}"	0.7467248908296943	AMBIGUOUS	False
v3	blocked	6	SHUF_n612	True	3	1	0.8283	1	0.8283	16.5962975246	1.66688	4	"{""1"": 0.8283, ""3"": 0.1717}"	0.7945205479452054	AMBIGUOUS	False
v3	blocked	6	SHUF_n73	True	1	3	0.9979	3	0.7889	26.7480642451	2.40758	3	"{""3"": 0.9979}"	0.6506550218340611	AMBIGUOUS	False
v3	blocked	6	SHUF_n319	True	1	3	1.0	3	0.3505	8.8308429145	1.67446	5	"{""3"": 1.0}"	0.8340807174887892	AMBIGUOUS	False
v3	blocked	6	n684	False	3	3	0.9991	3	0.5823	0.6713769055	0.140018	5	"{""3"": 0.9991}"	1.0	AMBIGUOUS	True
v3	blocked	6	SHUF_n602	True	3	3	1.0	3	1.0	38.36778541	0.0	1	"{""3"": 1.0}"	0.8869565217391304	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	SHUF_n355	True	1	3	1.0	3	0.3967	56.1814716717	2.62674	4	"{""3"": 1.0}"	0.7489711934156379	AMBIGUOUS	False
v3	blocked	6	n702	False	3	3	0.9994	3	0.9994	2.3289543499	0.0	1	"{""3"": 0.9994}"	1.0	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	SHUF_n1298	True	9	3	0.7432	3	0.4104	34.4476029669	3.26281	7	"{""3"": 0.7432, ""8"": 0.1984}"	0.7857142857142857	AMBIGUOUS	False
v3	blocked	6	SHUF_n640	True	3	3	1.0	3	0.8555	9.481215229	0.622049	2	"{""3"": 1.0}"	0.8058252427184466	AMBIGUOUS	True
v3	blocked	6	SHUF_n696	True	3	3	0.9409	3	0.7979	28.775050678	1.57916	4	"{""3"": 0.9409, ""1"": 0.0591}"	0.8146341463414634	AMBIGUOUS	True
v3	blocked	6	SHUF_n987	True	8	1	0.8763	1	0.8763	7.3262475245	0.98827	2	"{""1"": 0.8763, ""3"": 0.1237}"	0.7423076923076923	AMBIGUOUS	False
v3	blocked	6	SHUF_n134	True	1	3	1.0	3	0.9797	6.3838237327	0.170602	2	"{""3"": 1.0}"	0.7668161434977578	AMBIGUOUS	False
v3	blocked	6	SHUF_n372	True	2	3	0.9322	3	0.9322	0.1053605157	0.769598	2	"{""3"": 0.9322, ""1"": 0.0654}"	0.827433628318584	AMBIGUOUS	False
v3	blocked	6	SHUF_n1224	True	8	1	0.4966	1	0.4966	45.1081033425	2.46753	4	"{""1"": 0.4966, ""Orphan"": 0.319, ""2"": 0.1728, ""3"": 0.0116}"	0.6844262295081968	AMBIGUOUS	False
v3	blocked	6	SHUF_n278	True	1	3	0.6775	3	0.5718	41.2653993334	3.69178	3	"{""3"": 0.6775, ""8"": 0.3225}"	0.6946902654867256	AMBIGUOUS	False
v3	blocked	6	n759	False	3	3	0.9988	3	0.9988	0.484656033	0.0	1	"{""3"": 0.9988}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n684	True	3	4	0.8622	4	0.8622	5.2122092315	0.676656	2	"{""4"": 0.8622, ""3"": 0.1378}"	0.8	AMBIGUOUS	False
v3	blocked	6	SHUF_n260	True	1	6	0.8043	6	0.5591	17.4557136066	1.55909	5	"{""6"": 0.8043, ""4"": 0.1798, ""9"": 0.0159}"	0.7737556561085973	AMBIGUOUS	False
v3	blocked	6	SHUF_n233	True	1	8	1.0	8	1.0	9.779448479	0.0	1	"{""8"": 1.0}"	0.8125	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	n984	False	8	8	0.9967	8	0.6495	0.4194887282	0.0411027	3	"{""8"": 0.9967}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1028	False	8	8	0.9999	8	0.9999	0.1792538601	0.0	1	"{""8"": 0.9999}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n382	True	2	8	1.0	8	1.0	9.1827350903	0.0	1	"{""8"": 1.0}"	0.7731481481481481	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n641	True	3	8	0.7483	8	0.2464	41.0625777232	3.63579	6	"{""8"": 0.7483, ""2"": 0.1984, ""3"": 0.0532}"	0.7864077669902912	AMBIGUOUS	False
v3	blocked	6	SHUF_n313	True	1	8	0.7482	8	0.366	33.5428294386	3.93226	5	"{""8"": 0.7482, ""1"": 0.2518}"	0.7557603686635944	AMBIGUOUS	False
v3	blocked	6	n1098	False	8	8	0.9997	8	0.7595	0.6679664077	0.0220028	3	"{""8"": 0.9997}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1100	False	8	8	1.0	8	1.0	0.5690986221	0.0	1	"{""8"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1178	False	8	8	1.0	8	1.0	0.6170505963	0.0	1	"{""8"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1180	False	8	8	0.9999	8	0.9999	1.8778109232	0.0	1	"{""8"": 0.9999}"	1.0	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	n1249	False	8	8	1.0	8	1.0	0.1982242267	0.0	1	"{""8"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1308	False	9	9	1.0	9	0.7913	1.0613339248	0.0805257	3	"{""9"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1894	True	11	Orphan	0.5375	Orphan	0.5375	19.2467239836	2.9628	3	"{""Orphan"": 0.5375, ""8"": 0.446, ""1"": 0.0105}"	0.8232931726907631	AMBIGUOUS	False
v3	blocked	6	n1418	False	9	9	1.0	9	0.9666	0.6953805	0.0068587	2	"{""9"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1417	False	9	9	1.0	9	1.0	1.1646942118	0.0	1	"{""9"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n166	True	1	1	0.9208	1	0.9208	11.7956402607	0.848846	3	"{""1"": 0.9208, ""8"": 0.0485, ""9"": 0.0275}"	0.6322869955156951	AMBIGUOUS	True
v3	blocked	6	n1525	False	9	9	1.0	9	1.0	0.3233189051	0.0	1	"{""9"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1603	False	9	9	1.0	9	0.97	1.1838789334	0.0492825	2	"{""9"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1621	False	10	10	1.0	10	1.0	0.2257208682	0.0	1	"{""10"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1767	False	10	10	1.0	10	1.0	0.4239880124	0.0	1	"{""10"": 1.0}"	0.9938461538461538	CONFIDENTLY_PLACED	True
v3	blocked	6	n1898	False	11	11	0.9901	11	0.9022	0.2869975254	0.0091882	4	"{""11"": 0.9901}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1913	False	11	11	1.0	11	1.0	0.2809456401	0.0	1	"{""11"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n64	False	1	1	1.0	1	1.0	0.7112336204	0.0	1	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n260	False	1	1	1.0	1	1.0	0.3207529854	0.0	1	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1649	True	10	Orphan	0.9964	Orphan	0.9964	5.1386397535	0.0	1	"{""Orphan"": 0.9964}"	0.7297297297297297	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1426	True	9	3	0.9789	3	0.9789	5.2399045823	0.130592	2	"{""3"": 0.9789, ""8"": 0.0188}"	0.8765432098765432	AMBIGUOUS	False
v3	blocked	6	n319	False	1	1	1.0	1	0.83	0.267708257	0.0200854	3	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n772	True	3	1	1.0	1	1.0	8.3050692233	0.0	1	"{""1"": 1.0}"	0.7333333333333333	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1085	True	8	Orphan	0.9996	Orphan	0.9996	6.263007046	0.0	1	"{""Orphan"": 0.9996}"	0.6452702702702703	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n398	True	2	1	1.0	1	1.0	9.0379297197	0.0	1	"{""1"": 1.0}"	0.8114035087719298	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1033	True	8	1	0.9845	1	0.9464	10.731440026	0.38171	3	"{""1"": 0.9845, ""4"": 0.0155}"	0.7076271186440678	AMBIGUOUS	False
v3	blocked	6	SHUF_n1762	True	10	8	0.5388	8	0.5388	3.8018825103	1.27708	3	"{""8"": 0.5388, ""Orphan"": 0.4511, ""1"": 0.0102}"	0.7213740458015268	AMBIGUOUS	False
v3	blocked	6	SHUF_n1234	True	8	1	0.9997	1	0.953	10.7009085685	0.314012	2	"{""1"": 0.9997}"	0.776824034334764	AMBIGUOUS	False
v3	blocked	6	SHUF_n1603	True	9	1	1.0	1	1.0	11.0576336082	0.0	1	"{""1"": 1.0}"	0.8356807511737089	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n514	True	3	1	0.7715	1	0.7715	15.0499375757	1.16007	2	"{""1"": 0.7715, ""Orphan"": 0.2282}"	0.8114035087719298	AMBIGUOUS	False
v3	blocked	6	SHUF_n1098	True	8	Orphan	0.8895	Orphan	0.8895	10.1190506826	0.826753	4	"{""Orphan"": 0.8895, ""4"": 0.0487, ""8"": 0.0542}"	0.6827586206896552	AMBIGUOUS	False
v3	blocked	6	SHUF_n1249	True	8	1	1.0	1	0.9869	7.9502093051	0.0594254	2	"{""1"": 1.0}"	0.824	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1458	True	9	3	0.9462	3	0.9462	3.9410574993	0.466189	3	"{""3"": 0.9462, ""8"": 0.0407, ""1"": 0.0132}"	0.8523809523809524	AMBIGUOUS	False
v3	blocked	6	SHUF_n157	True	1	1	0.9839	1	0.9839	12.2334528039	0.186825	2	"{""1"": 0.9839, ""3"": 0.0147}"	0.695067264573991	AMBIGUOUS	True
v3	blocked	6	n377	False	2	2	0.9988	2	0.8325	0.6572055563	0.0553857	3	"{""2"": 0.9988}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n428	False	2	2	0.9958	2	0.9611	0.4327634654	0.0066396	2	"{""2"": 0.9958}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1621	True	10	3	0.9176	3	0.9176	9.8169511622	0.703009	2	"{""3"": 0.9176, ""Orphan"": 0.081}"	0.8503937007874016	AMBIGUOUS	False
v3	blocked	6	SHUF_n675	True	3	1	1.0	1	0.5314	59.2657412231	1.63579	2	"{""1"": 1.0}"	0.8516746411483254	AMBIGUOUS	False
v3	blocked	6	SHUF_n1566	True	9	1	0.8903	1	0.8903	6.9484501215	0.469125	2	"{""1"": 0.8903, ""Orphan"": 0.1097}"	0.8898305084745762	AMBIGUOUS	False
v3	blocked	6	SHUF_n860	True	8	1	0.5404	1	0.5404	10.3871126382	1.82495	3	"{""1"": 0.5404, ""Orphan"": 0.3964, ""8"": 0.0602}"	0.6540880503144654	AMBIGUOUS	False
v3	blocked	6	n552	False	3	3	1.0	3	1.0	0.8781811028	0.0	1	"{""3"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n454	True	2	8	0.5127	8	0.5127	17.2786873051	4.54455	4	"{""8"": 0.5127, ""1"": 0.2308, ""3"": 0.2565}"	0.8138528138528138	AMBIGUOUS	False
v3	blocked	6	n620	False	3	3	1.0	3	0.5419	1.7823770632	0.0835965	2	"{""3"": 1.0}"	1.0	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	SHUF_n1570	True	9	3	1.0	3	0.5687	25.7038345415	1.58331	2	"{""3"": 1.0}"	0.7782805429864253	AMBIGUOUS	False
v3	blocked	6	SHUF_n72	True	1	3	0.6763	3	0.4793	17.4717867706	4.42591	5	"{""3"": 0.6763, ""1"": 0.211, ""4"": 0.1126}"	0.6506550218340611	AMBIGUOUS	False
v3	blocked	6	SHUF_n862	True	8	1	1.0	1	1.0	13.6858329942	0.0	1	"{""1"": 1.0}"	0.7848101265822784	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1565	True	9	Orphan	0.5756	Orphan	0.5756	58.0307130613	3.11217	2	"{""Orphan"": 0.5756, ""8"": 0.4244}"	0.7110091743119266	AMBIGUOUS	False
v3	blocked	6	SHUF_n1841	True	11	3	1.0	3	1.0	8.3107384048	0.0	1	"{""3"": 1.0}"	0.8935361216730038	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1308	True	9	3	1.0	3	1.0	6.3414520676	0.0	1	"{""3"": 1.0}"	0.8211382113821138	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1257	True	8	3	1.0	3	1.0	22.4194999129	0.0	1	"{""3"": 1.0}"	0.7931034482758621	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n161	True	1	3	1.0	3	1.0	10.3916277817	0.0	1	"{""3"": 1.0}"	0.7841409691629956	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n953	True	8	3	1.0	3	1.0	13.1129600543	0.0	1	"{""3"": 1.0}"	0.7766990291262136	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1261	True	8	8	0.7974	8	0.4221	12.1625740712	2.91206	4	"{""8"": 0.7974, ""1"": 0.1868, ""3"": 0.0108}"	0.8061674008810573	AMBIGUOUS	True
v3	blocked	6	n766	False	3	3	1.0	3	1.0	1.3030666156	0.0	1	"{""3"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n663	True	3	1	0.6058	1	0.6058	26.1563075742	2.00696	3	"{""1"": 0.6058, ""4"": 0.3627, ""9"": 0.0314}"	0.6911764705882353	AMBIGUOUS	False
v3	blocked	6	n800	False	4	4	1.0	4	1.0	0.1857728249	0.0	1	"{""4"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1601	True	9	Orphan	0.9065	Orphan	0.9065	7.5887170376	0.57214	3	"{""Orphan"": 0.9065, ""6"": 0.0761, ""1"": 0.0174}"	0.7183098591549296	AMBIGUOUS	False
v3	blocked	6	n862	False	8	8	0.9987	8	0.9987	0.2939695987	0.0	1	"{""8"": 0.9987}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n859	False	8	8	0.9934	8	0.4981	0.4318853195	0.0575599	2	"{""8"": 0.9934}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n987	False	8	8	1.0	8	0.9365	0.3512537747	0.0134046	2	"{""8"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1037	False	8	8	1.0	8	0.9774	0.3106241872	0.00266898	3	"{""8"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n913	True	8	1	0.9686	1	0.8866	9.7667567117	0.871482	3	"{""1"": 0.9686, ""8"": 0.0314}"	0.6657681940700808	AMBIGUOUS	False
v3	blocked	6	SHUF_n310	True	1	8	0.7876	8	0.7876	6.9979651079	2.21944	2	"{""8"": 0.7876, ""1"": 0.2033}"	0.8761467889908257	AMBIGUOUS	False
v3	blocked	6	SHUF_n800	True	4	3	0.8886	3	0.48	44.0051396902	5.30975	4	"{""3"": 0.8886, ""8"": 0.1114}"	0.6375545851528385	AMBIGUOUS	False
v3	blocked	6	SHUF_n1100	True	8	Orphan	0.9986	Orphan	0.9986	4.3975596325	0.0	1	"{""Orphan"": 0.9986}"	0.615916955017301	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n759	True	3	8	1.0	8	1.0	9.2756009734	0.0	1	"{""8"": 1.0}"	0.6222222222222222	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	n1234	False	8	8	1.0	8	1.0	1.4120045423	0.0	1	"{""8"": 1.0}"	1.0	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	n1261	False	8	8	1.0	8	0.9301	0.3124201214	0.0115418	3	"{""8"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1373	False	9	9	1.0	9	1.0	0.2904922246	0.0	1	"{""9"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1763	True	10	1	0.5823	1	0.5823	6.9061680157	3.21831	3	"{""1"": 0.5823, ""8"": 0.2251, ""9"": 0.1927}"	0.9122137404580153	AMBIGUOUS	False
v3	blocked	6	n1426	False	9	9	0.9943	9	0.9943	1.1236905401	0.0	1	"{""9"": 0.9943}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1445	False	9	9	1.0	9	0.4469	0.8389140075	0.123815	7	"{""9"": 1.0}"	1.0	AMBIGUOUS	True
v3	blocked	6	n1458	False	9	9	0.9976	9	0.9976	0.394522353	0.0	1	"{""9"": 0.9976}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1549	False	9	9	1.0	9	1.0	1.4696271685	0.0	1	"{""9"": 1.0}"	1.0	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	n1594	False	9	9	0.9953	9	0.9089	1.0888409805	0.0449182	3	"{""9"": 0.9953}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1649	False	10	10	1.0	10	1.0	0.5617597304	0.0	1	"{""10"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1762	False	10	10	0.9979	10	0.7379	0.581391103	0.106039	2	"{""10"": 0.9979}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n1906	False	11	11	1.0	11	0.8549	0.3762760799	0.0348703	2	"{""11"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n73	False	1	1	1.0	1	1.0	0.7972393982	0.0	1	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n157	False	1	1	1.0	1	0.5488	0.739621119	0.0825589	3	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n177	False	1	1	1.0	1	1.0	0.4517879903	0.0	1	"{""1"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1452	True	9	1	0.767	1	0.6123	4.5997374482	2.39276	3	"{""1"": 0.767, ""9"": 0.233}"	0.8476190476190476	AMBIGUOUS	False
v3	blocked	6	SHUF_n981	True	8	1	0.967	1	0.967	8.0842829194	0.455556	2	"{""1"": 0.967, ""8"": 0.033}"	0.69	AMBIGUOUS	False
v3	blocked	6	SHUF_n1371	True	9	Orphan	0.9622	Orphan	0.9622	6.3876756596	0.430918	2	"{""Orphan"": 0.9622, ""8"": 0.0378}"	0.7862903225806451	AMBIGUOUS	False
v3	blocked	6	SHUF_n98	True	1	Orphan	0.6922	Orphan	0.6922	8.5507486724	1.76132	4	"{""Orphan"": 0.6922, ""4"": 0.2105, ""3"": 0.0585, ""1"": 0.0326}"	0.7244444444444444	AMBIGUOUS	False
v3	blocked	6	SHUF_n106	True	1	1	1.0	1	1.0	6.1637922846	0.0	1	"{""1"": 1.0}"	0.7336244541484717	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	SHUF_n1102	True	8	8	0.9992	8	0.9992	8.9921051511	0.0	1	"{""8"": 0.9992}"	0.8678414096916299	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	True
v3	blocked	6	SHUF_n1557	True	9	1	1.0	1	1.0	9.3503504457	0.0	1	"{""1"": 1.0}"	0.9491525423728814	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n990	True	8	1	1.0	1	1.0	5.6892470103	0.0	1	"{""1"": 1.0}"	0.9	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n922	True	8	1	0.9996	1	0.9996	7.4093014072	0.0	1	"{""1"": 0.9996}"	0.7824675324675324	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1079	True	8	1	1.0	1	1.0	5.7567907222	0.0	1	"{""1"": 1.0}"	0.7955801104972375	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	SHUF_n1109	True	8	1	1.0	1	1.0	4.7444408573	0.0	1	"{""1"": 1.0}"	0.638095238095238	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	n398	False	2	2	1.0	2	0.9213	1.306211196	0.0285643	2	"{""2"": 1.0}"	0.9868421052631579	CONFIDENTLY_PLACED	True
v3	blocked	6	n514	False	3	3	1.0	3	1.0	0.176092138	0.0	1	"{""3"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	SHUF_n1148	True	8	3	1.0	3	1.0	41.9053973712	0.0	1	"{""3"": 1.0}"	0.7634854771784232	OUTSIDE_WELL_SUPPORTED_HISTORICAL_CLADE_SPACE	False
v3	blocked	6	n586	False	3	3	1.0	3	0.5686	0.9569362239	0.11706	5	"{""3"": 1.0}"	1.0	AMBIGUOUS	True
v3	blocked	6	n602	False	3	3	1.0	3	1.0	0.4687109093	0.0	1	"{""3"": 1.0}"	1.0	CONFIDENTLY_PLACED	True
v3	blocked	6	n641	False	3	3	0.9997	3	0.9997	0.6728816585	0.0	1	"{""3"": 0.9997}"	1.0	CONFIDENTLY_PLACED	True
