component_id	component_key	n_pairs	fold	T1	T2	T3	T4
CMP00027	Nf53dd2ef369ac41109c40e48d88471653c00d4817531cd789f5405479e17b132	128	train	128	124	123	15
CMP00028	Nd96dc14104a1c2d2a0a4781231ac5ddb3ebd7e4050fbecf8a193dee2c5ce07ed	124	val	124	122	115	51
CMP00029	Ndfda1abe25fdbc81a0b290431c5606aca793aac74166054a0c05dc373d6301d2	124	test	124	123	123	47
CMP00030	N66bc6af9a8de58da7f7ecd1855b6f49908f417cd3c4a3021a69dbfc4bc1951eb	121	train	120	111	106	10
CMP00031	Na5aa9cc3ef92ed68297039626bfd7cd6ccc45d2d0e2c45a7ba463f20d11f0006	115	val	115	114	108	56
CMP00032	Na22d546be359c9af50c4cd955ad50a8b29a11099736d4fcb518ec343427e5bd9	109	test	109	64	64	20
CMP00033	Nf92fbf7b9f208fe9522d2e28855245c821f19588e665f39726d32b0352145ea9	101	train	99	96	96	24
CMP00034	N3c9b32ac8684d54c2a20c2a7b5fbed1e1966ed35f713ec3aafc5ee64c0895850	99	val	98	90	87	31
CMP00035	N448c613504b34638bcc1a621d73fa730bff6a9ae4affce1687bde63fa917f311	90	test	90	87	65	29
CMP00036	N0b98e8396fecb51087fef41266523c21523f14acafea2a72e516b997e15e17d4	84	train	84	79	0	0
CMP00037	Nd67cd056f7e5962c811c7a7439edce90ab477534e83507ebfac0434fd5ff193c	75	test	74	73	73	25
CMP00038	Nbe498ca1bfba3e0dedf704f80ae6785b8cbbe24c5c6157e5bb7cd78747c1df72	62	val	62	60	60	22
CMP00039	N066befab09c6873ddd87c7687aeafe8a3d9536680aef13769aad69d8c7fa034f	61	train	61	59	59	23
CMP00040	Neebcf35ba896f781b63780d067b29cfbbabd2f4e3a31b2714288060728456195	61	val	60	39	36	11
CMP00041	N460688bafc90cb9fc76798fa65cf84156e8c8f613e4a7fba7ff306d17c59c349	57	test	57	55	46	19
CMP00042	N3d79216772d4f736c9306c309dc2b469d5f05e5c48a6e1f847229445e6077ce1	54	train	54	0	0	0
CMP00043	Nacf63faf6363673cb38349ea794d79f0835dc190492e6ed54030120c82912b91	52	val	52	52	52	21
CMP00044	N5113782c666207263d0a9a3bf5923a90b024871cb35038336e1cbd1ea37e4e63	50	test	50	50	50	24
CMP00045	Nd87fec31fc22c99f4106fc2466d70668e37b97820a3a5207a50ebb13a9905896	49	train	48	46	45	11
CMP00046	Nf62cae88af95193c5a7edd73066e97f72139033ecdd7bf539571a5f55bbc8e5e	48	test	48	3	3	0
CMP00047	N585fd918b4ccf3ae21d0b20b6c6e2448934d00c7f543947825ff479f1e8adde3	42	val	42	35	34	15
CMP00048	Nbbf883ae4bb9b2df7f2946565b8ac7745506ba00d53360dea674726618eb3311	42	train	42	39	17	6
CMP00049	N31b01bf00546e9fddb9982e968e1e20886dd1be5bbd0caae84c38feac9759bfc	40	val	40	0	0	0
CMP00050	N475a09d2e98e051181d6078b131e3412eeaa5dc8c0e8edd8f6de9e6d4313e84c	40	train	40	39	5	0
CMP00051	N8d0b5843c59ff8703fd8fe64c954ebe94252b9fb674840167afb8d4f3bd7d8d0	39	test	39	39	32	4
CMP00052	N94c5bd36a81e983e97186915ed813b8326184cfb90031d0dd08cd9b8e456efb4	39	val	5	4	4	1
CMP00053	Nf0a49da7ee8c9484b3689993c6d313120ef35ba19febc3689b6041d3f2af0ce5	39	train	38	38	38	15
CMP00054	Ndd72c5cf789d00810099e8ac6e6b6a2d22474f487192e500e8b9366062d7ff23	38	test	37	35	28	10
CMP00055	N32a5309838dfa45c013200486aa116245c3110f4adbcc0eef06c23cbca227dd5	37	val	37	37	35	7
CMP00056	N59e7406c1e1c373c27ba63c40db967f7641e0688750be4065a48fff8e88dbb29	36	train	36	0	0	0
CMP00057	Nc954c31fdd7691653356882936c9a11a72a35b94fe59fd80dd2e541379f2fd95	35	test	35	33	19	13
CMP00058	N05dd1552db1df398469cbb6445aa6a5eec120af236302aed94ed59db16cb78aa	33	train	33	33	33	10
CMP00059	N26d89718833127615c7adb2a51ba691b65e157e58ef85a2a19ccd789cfcb9102	33	val	33	33	0	0
CMP00060	N5b69727ccfe983a9776c5857a89026391de98eddcbe8a8c3f534b8358f74402d	33	test	33	31	28	10
CMP00061	N8905a83db4733db26fbe839bc1224f62046194a8648aa4d35c9e4d3a37a85fdb	33	train	33	31	31	8
CMP00062	N94f83cc779ab4e7bc2b8440e6cd1d289f78bd59faea0ba87bfb7cc74317eaafc	33	val	33	33	33	13
CMP00063	Nc4ee5eece2d7209cb38d1a0a7835e6db8bbbde201fa693357690b9770a9795dd	33	test	33	0	0	0
CMP00064	N1799fa604be18dd16373ae836fcf2661addd657de6ebd0aa22a81859aef2688a	32	train	30	29	29	9
CMP00065	N42f95f634a54245ef5c73cd6ecce0236a52d09b69e7dba13a935e7a53b7dd6cc	32	val	32	32	31	9
CMP00066	N8447af59bd7cda8b8257c5e4f08c507b39b431a7f3024f7068b0fe5a9091f118	32	test	32	0	0	0
CMP00067	N06f4677141248832c1d9c85575ceee47862a9f15d0a487c7116a608c93114d92	31	train	31	31	31	15
CMP00068	N36fa2a70a3e08ab1a55e67cec8ee4362ca486f889982727a935e662f8af45f9f	31	val	31	0	0	0
CMP00069	Nea4807d97fed5086f6fdc7ffe607a998b262fcfaefc25f40d0e2854d4c601129	31	test	31	31	31	5
CMP00070	N0c6cd549d50b0822665f206937bab20f253553f9588ee5cf0cc6e2aee9270a8c	30	train	30	29	29	9
CMP00071	N431144cbffbe98198a83cc169a90c319f3f7c0f83e07a06f72ef6b250fb32a90	30	val	30	1	1	0
CMP00072	N5dea0c6715f8c59691d2f0ac8e11f6967de87087172f7d463f08cb9fb5413575	30	test	28	25	25	6
CMP00073	Nf241ac3deb5f393d78a082e133f79e2659ef9543ce0a6856bd5c263ec49d8b31	30	train	30	30	19	4
CMP00074	Nf3ca79b398f3b00e94ca4de855276bf8bf51178e4163852bef4c203752abc9c1	30	val	29	29	29	8
CMP00075	N991fe5775d21eaa58bef85e3672930f883851df904aec613ad8cc412b8cecb4e	29	test	29	22	8	4
CMP00076	Na90f98fa126b1b124525e4b0e91edb2016132a55d64b8ed1ef78e67c1fa281d7	28	train	28	25	0	0
CMP00077	N87ee68054669ba7dd907379c211fd10d92e49ac3096ec2c51600fc8b3719445d	27	val	27	27	27	11
CMP00078	Na7b1082f5dc47392be45071abb86a943f5377af0afa6e28761228c2ddcb91b76	27	test	27	26	26	9
CMP00079	Ned527cd2dd68374dd02ffad7b5968e7691b1deeb1f991f8e6d0794bca7720254	27	val	27	0	0	0
CMP00080	N2871b1eaeb663862d0c75fb985b3b0347c31b203eeac8bcdd9e2b9c06a0e15c9	26	test	26	26	8	5
CMP00081	N9a7d654fb3a518402e63f53cc57cb515d533ea8c411fefd2cc1b6afef810719d	26	train	26	24	24	12
CMP00082	N1cb77a0bcea27a97ff2c05293fec1c54336011d2013fe84aa2d4cc5a68a4f02d	24	test	24	23	20	3
CMP00083	Nc9f3a988f8e6899e5bf6f76271a63dd74e3ccfedfd33d89b05c4513f6753c8b1	24	train	0	0	0	0
CMP00084	Nf3fbdab80c5b33d4da312985c8d35c8356817854a4c7c84c4e7757e07238ff49	24	val	24	24	0	0
CMP00085	N41ec31e05c1d5a5632a5e71ffd22e68d470f64b9faebe5ce0dd946060769b03a	23	test	23	0	0	0
CMP00086	N8a6e8d9daf0fd075af0b978d468199f516bf9d82d1e0afe3db11ec5cd2623b3d	23	train	23	23	23	6
CMP00087	Na9f6d88a9d64a071e66991dd564f46b374a6e5176bb287f89d8a123d969ee3e6	23	val	22	22	22	6
CMP00088	N5f4c86da11b698951e7974a2cf5ce6c9197f3815b0e73478fd152913271af64d	22	test	22	1	1	1
CMP00089	N8c32ae7fd0026f0bc080c6c59e49c1e6bcade33bc4b8064f41aac3609834e1ac	22	train	22	20	19	5
CMP00090	N144196e2c939af1a46f347ae305dc4c2610347dc2f4c5224af02c006419664ad	20	val	20	20	20	9
CMP00091	N1c22eea8e108b1947e9905b65837c3ae34f95213cbc5f06b86e9bf9d991af457	20	val	20	20	10	1
CMP00092	N3041907d5e6b5eee1c2fa6588352d52e7ebb8b2e9d4ad3b98e5bc0f1cb042906	20	test	20	11	9	1
CMP00093	N3b4585f3edb6b50900b1303fa8220bb4573f1abf49605e8c70aad606ce7fd781	20	train	20	20	12	3
CMP00094	N6c1f58795a0126a342c695bdb34ec863db4ef17fcff7b9411f11610e178f15d4	20	val	20	19	8	1
CMP00095	N9237c11e23183a13fb85d80f4a63c80fff845c8d25eb203bb772eb6cd661bbca	19	test	19	19	18	4
CMP00096	Nffcdc3702cbe7a21e20b8245c437ed3a5c18bba680f0fdb3a616d4f2971da91e	19	train	19	0	0	0
CMP00097	N1e791334c905c325237df5ae91b37adec65160c78d443589999996347d3291dc	18	val	18	8	8	5
CMP00098	N2397c94c39a180e1d9b39f2659c784b0918008e65ee4094bb44fadef11f694be	18	test	18	0	0	0
CMP00099	N30a42723435a694e040ffe86ffe0fdc002b937aa6ab77e520070f96d2fbea4bf	18	train	18	18	5	0
CMP00100	N339f7eb6ee0d53af46110da4f53259552b6cbe2328b4d6ebdbbbc350d0bed608	18	val	18	18	10	1
CMP00101	N55ed7063b5ba4bb57e0a2e60232723a9bd0985db4a572d394925d7a3d1afd768	18	test	18	18	18	6
CMP00102	Nc9e704873b6e71fdad6035c69b96b9770f8d25174876859db49614aba221d640	18	train	18	15	6	4
CMP00103	N56bcf1e13bb552a42196f2fa6c8b7afeed39929a5dfba14d0d021c473a692674	17	val	15	0	0	0
CMP00104	N5cb7116ed780f60044f29ced09863c521e5596c8dafd723806985ab711619ad5	17	test	17	17	16	3
CMP00105	N6961841b067220197ca7e2650eea25e2bb7d946e984fc281329978163d993a51	17	train	17	0	0	0
CMP00106	N6daa5f629fc06404c7be91e090164acc894d7fe0892e6e988109674b95174331	17	val	17	17	2	0
CMP00107	N98e94b7a3257ec465209b17e30f2181392e930b1713c1796007f308f3d1bbe8e	17	test	17	17	6	2
CMP00108	Na1539149364e9e87783fc4cb214aeb01c0b0e4c279e812112ba08041880b81c7	17	train	17	0	0	0
CMP00109	Nb2bb95c3b3b44af90dc371199a817c402c40c2cb93c3e56714b4ee756a08e46b	17	val	16	16	10	2
CMP00110	Ncdc386f7a6908c085e44de8bd5a1a0beedb8c38092dba430a9cd004d5f9f8300	17	test	17	9	5	0
CMP00111	Ne1dd45b679bc43922cb8811ee536e6d494e5bb3e351518f3a108db6317493694	17	train	17	17	7	1
CMP00112	N8d85831d92bd301b52d81e45c0eb17a745466171d957f4870377054fa25a8914	16	val	16	0	0	0
CMP00113	Na14a7ed1e279826f5e66b1d3e12b631c6592147fcf9838420c7eefcf2d97695e	16	test	16	16	16	4
CMP00114	Nd4e142fe31d5e5426a3e75b1347806e975eda1625c8415713edc0cdbc60e66a0	16	train	16	16	16	6
CMP00115	Ne5d6951d2e5b7f80c9279c3958aaa36177a3013c977ef16e86188fca6ae59893	16	val	15	15	14	6
CMP00116	N478679e0085c255918c85d0ecd89e8581be80caebda76805a9ea3ead2ceaf49d	15	test	15	14	11	0
CMP00117	N5017e679457e7aa72f8bd6551d79f3019fc7df9213d238108beed7f35c24fafe	15	train	15	15	15	2
CMP00118	N5114703f5d1dbac458594681a05ab52ecc09904f8b0dae66e64edf3fc2b3dd6e	15	test	15	0	0	0
CMP00119	N75a9b0d481753f9a89700dd18e6dd5f3c3110df8556d7f0e700b2901810b1b91	15	train	15	15	6	2
CMP00120	Nb544f7cc206e6320e79360f21b933a914cf7d8571c24cb8ea0ef6f3052e4db6e	15	val	15	14	9	1
CMP00121	N00ba02d855f27e8b2156946e12b3c4dbce34f1bf2e205f58251e325965564965	14	test	14	14	11	5
CMP00122	N4409a2a40928f228d41b70be6e8981d5f98410d2394a339af1e23a00c2b990f8	14	train	14	0	0	0
CMP00123	N67d20f51a1a88477f6cd88c63650e50fc419356d8861bc22ffba91ef2044c106	14	val	14	13	13	3
CMP00124	N86bb20708615d7ca25269289cfa3b6558e1487b2f3bb4fbb19cbeb2c2e20a744	14	test	14	13	13	3
CMP00125	Nb0d11df06208c4c8cf39878d052208a3bb0c90ddf12a26c54e583d026eacdd7e	14	train	14	14	12	0
CMP00126	Nb54b827cb5c3f328d5bd65c4869ded9c12b1adcc97f3bae0b04962f6f3279713	14	val	14	0	0	0
CMP00127	N0ac53ae5596b1a47d1f6805bc6e5379b2d1bfd0bd08e1699261819f897f89f36	13	test	13	13	12	3
CMP00128	N3346dba33a683874291806907bda3dd570cede30c85fe1b2444beed01cce9e78	13	train	13	11	10	2
CMP00129	N78e3fd05db672713cb458862379bcd960325bd6a94167cb2363b3ebc3441c8ac	13	val	12	12	12	1
CMP00130	N9c414a07ec92b3d3dce83da9755e9190c238f508d2f1d13b9c8bc4e114184c16	13	test	13	12	7	5
CMP00131	Na4b6c6bbf66a12ae1fcdf009788667b226cdd739f126e4c91e0d5d5387a121ea	13	train	13	13	13	0
CMP00132	Ned68216b2872284eb329d5a65684aa4587f5fe35132d30cb65e34ac0663b34ab	13	val	13	13	13	2
CMP00133	N48d3618dbcfd34414a48b8e60a71076f6afb521cb8a966f579336e9e2956702f	12	test	10	6	6	1
CMP00134	N84c67954a113fee87d98f70a4c8a04e8223c01aee776927bb9fe7156cdbf2851	12	train	12	0	0	0
CMP00135	Na6969d03c27654bf056b13d3b52686d85d706f727a2717f027d7ef983c399df2	12	val	12	12	9	1
CMP00136	Naf983a58a3828afe21122e7426e5403f5a4c87d23c6de53295a72e05541122e6	12	test	11	11	11	6
CMP00137	Nb579a16d8ed959e70191ef16b37680379abe3d8b0557f7f81abab5baa7c36f1a	12	train	12	0	0	0
CMP00138	Nc86c76af89bc6b9da7395663605acb5b4e533d30b586524cd3ddad8464faadb7	12	val	12	10	10	1
CMP00139	N08fb05aa620fd64fba3d7edaa9b18d7967d05922c8bc6529d8e12163f97038d5	11	test	11	11	1	0
CMP00140	N4e27558f46b9ffa1551d1121664084f660227b9e825b150912f65878962c1ca3	11	train	11	0	0	0
CMP00141	N515ec872ba46329d610b5dc76d8a5c15f570aac2971ddbc7ce4ab2f5d5cd9d68	11	val	11	0	0	0
CMP00142	N6f86948c9cdd0cc096e026b7318aac16c338e29cc48f8c9ecf3b06ac53f54ff2	11	test	11	10	4	0
CMP00143	N9400e96ed8fa4b618b25e03f6905835020141a6abad2ff49b3f0f43457eb4098	11	train	11	0	0	0
CMP00144	N9806a5a44a3503270edf11f2f027a898017676eadadcf58334c74239d5227bad	11	val	11	11	10	2
CMP00145	N2dcc44311c03708e43b3e5407c57c792929ee8bf1a5639bc254979349d4cc314	10	test	10	9	9	1
CMP00146	N51e1718143403b68fe42f81c4c1938b2601ee9ba4a294136b9b506e1ff296c3f	10	train	10	7	3	0
CMP00147	N60a8dc1ce33cb217f9987418a7813c432700b45c4327e1929af74eb9e604a40a	10	val	10	0	0	0
CMP00148	N88738dd2e92aa9675a19c9526bbb5d5ad109c907ae7fdf3aaab7ef76c13e6d08	10	test	10	10	3	0
CMP00149	Na3270409af7dc8a655945ce1c644326f24e2ba360cdf4d7f3f4a8107ae1984ff	10	train	10	10	2	0
CMP00150	Na49031b8a7769d6df4143d738fae08dff54f1bfecd786ce54646432ebf161d17	10	val	10	10	2	1
CMP00151	Nb27d5ce8ce84ed3e3a6024981bf287f8ea6d7cd2244ff9c9448b2dfdfe2b7ee2	10	test	10	0	0	0
CMP00152	Ne6e534d7e0fe4390713dc772ba983b8993a30a3b021593e8a594292b01c6b084	10	train	10	10	6	2
CMP00153	N0d180acad18e1f59c6bc0fdcb96bbfbf9c6b12945f24d6f7402180c277e1a776	9	val	9	8	0	0
CMP00154	N2cde548d9a7792bce4b7466fd4bc0c48699d1460ca57d7010bfab632f60aa67c	9	val	9	8	8	1
CMP00155	N46e3edf1b2e91f67e0dded9d8c6dfd9c4ee47af17670c9573515957ee849342c	9	test	9	8	8	3
CMP00156	N480b1638d7a340f79331115338f2f7a331f50c060c038211808c004e28049f1f	9	train	9	9	8	3
CMP00157	N4af1d951d1de2115b6568262bd170f4b671263f945dfe0638f0e045245b98bdd	9	val	9	9	7	2
CMP00158	N74a56649e8870f8eb51b7bc363a90123253b83c41415052e84818f1942140fbe	9	test	9	9	3	1
CMP00159	N996ab657bab7fc97b4eafa2bbbcb57e28ba4d0fdafc3314faa16358c9c3115f7	9	train	9	9	5	2
CMP00160	N9ee81e3cd4f995918542928f2abd1d3d17324b845b1be54bb900f6e66df5ad4f	9	val	9	1	0	0
CMP00161	Nbfe5ce4328a66ff4a40612f770f01ac32d6273739efba4276233a98a705a0144	9	test	9	9	9	3
CMP00162	Nd2056a27c3361b097b5db052ec0e6d918cbcde983c7da23bbc2db744b5ce4bbc	9	train	9	8	1	0
CMP00163	Nf13a416bd73af515c99f18ca221ca7ddf87b8fabc04437bb229908ea0d032c49	9	val	9	9	9	2
CMP00164	Nfb2f61059a589e76c9511a25fbe7f0f5ba6a8418dc70800ae7bc21d8f6c89ed4	9	test	9	9	9	2
CMP00165	N0d572c892d9fb2bdbca00f381fdf0285a4b0b997bbe033773fd27a25ffa1154e	8	train	8	8	8	4
CMP00166	N1155b937ad4f20e39deb8573cc9c2d82a0e891a6e640823c3108fcbf92a26b3e	8	train	8	7	7	2
CMP00167	N1a181a022d4b0fd54f806c295a1b56a96b8925d851d1f751ac2e128f4de50386	8	val	8	8	8	0
CMP00168	N2da68da2f44a4828bc18df045a895872b65875ca8fd4fc58a75509a725cd9fc1	8	test	8	8	8	3
CMP00169	N4437fb2f486224efd9dc3d0d54ab86732faf0cfd7073f12e5300b7b556a6c605	8	train	8	0	0	0
CMP00170	N444391b1f7f4ea40f35aebe64d028760033b2daa47b1c01cb6c91c9cf2e148d1	8	val	8	8	3	1
CMP00171	N49ee9416c2a5b2d4c6eb05baf1c219599ea13a890ff0c14b8825210d1a46b92a	8	test	8	7	6	1
CMP00172	N784151bb65c937c5fc5f2bb85b299c073a8129e230973ebc1293700afc46bade	8	train	8	8	7	3
CMP00173	N7a9d52aa624449f40fdbaa9c81edb809765a2fb55c986f04e4ff820b503ede74	8	val	7	6	6	0
CMP00174	N89b71fc2e74949825b779959d810d787f9b34d4767899cedb6af45f13977567f	8	test	8	7	7	1
CMP00175	N8a588549e9f52eef6f7101a0c5f105d5be0435197e0825d7c8381a20f48dd25e	8	train	8	0	0	0
CMP00176	N9e48886bd051ed5d06b60ab3415b30073f3e4a1ad3e7699307dc55d3d59e4353	8	val	8	8	8	2
CMP00177	Nafe12aad65b791c27f8e16aa56d03623cd625e35f371f018ee31fc5dd4b16d52	8	test	8	7	7	2
CMP00178	Nda516c9edcf7e2fed6c58bf0706792ca8790958e6726bcf699480bd99171305f	8	train	8	0	0	0
CMP00179	N047a6e54e279cfde5c39f8dd283864c3e1ee16f30e74e6b5a68c1c4502ab0fab	7	val	7	7	7	1
CMP00180	N0aa436da06a9e91789bbdee7c2feb7e6ac957f7503164eb176fc665fe3f47d4d	7	test	7	6	2	0
CMP00181	N0cec4c17291ec6abc6bc368bf9f8bc08a838a26982729dde5e4a7270ad6ffc70	7	val	7	7	1	0
CMP00182	N1e915fd62a7bdf81b3d564f66cb2da2accc7e731f72c5028fb4ee0ed1b8a28ae	7	test	7	7	7	3
CMP00183	N202f3c2744f6d5d1f64e69dc3631e66b04f5a847028168c5e33b420e45d458be	7	train	7	0	0	0
CMP00184	N274d9005e843d87e543aa4352ccce5103a141ab47d87ef3e1a180af67c858438	7	val	7	0	0	0
CMP00185	N2a1c53614887dc32a2718a26d1e30d4db1d592f1307ac7c7b5b82d377d8890f2	7	test	7	6	1	1
CMP00186	N30c326ae31c0422c1cebcf4e158eb25adc141274c7a11a82b2355da4d1009066	7	train	7	5	5	0
CMP00187	N3a5252ef3f4936213365c77ecf8e1eb2d9b44941ca381fd399d63c54ed9ee0d3	7	val	7	7	0	0
CMP00188	N52201f207ddd11cb0b555f20a4d8322428b4b99d600194cbecbe23538710403f	7	test	7	6	2	0
CMP00189	N5f60a50a4e10f5ffaf56a44cd7e9335c3ae3371f186f8ddce7001957fa683a6b	7	train	7	7	7	0
CMP00190	N656b67b76a7a7a735dc7924a8dadd4372e568421b48026798b552317c20269b7	7	val	7	0	0	0
CMP00191	N6b1fb3e7d80ad5b83b45d3def0764eb37e7e1c76f9a9f26f64ce52d825928160	7	test	7	6	6	3
CMP00192	N6cca95aedb2e313f7aee95b5d44c7f4f23988495601c39482a68bb5592b9f78a	7	train	7	7	1	0
CMP00193	N71d636c57a26dd12f6214ca3cec8b65e23ef32ba1dbb75a87362c4dac4a89243	7	val	7	7	7	1
CMP00194	N76f32529b7b09f6326f1c5d4ead944e72bf250dc807222993b35551f0f224204	7	test	7	0	0	0
CMP00195	N8ab535d40384cc743f694bc78d9c633ad226f25406ddbb57cf74293613a8f871	7	train	7	6	6	1
CMP00196	N9513a9278f917a850170755e59c33d38cd6392954d2e6088798a7d2d3837ac80	7	val	7	0	0	0
CMP00197	Na22a4f42f77cfd84e206cdd7a241ab90b86c3dd7f817151fa456b659a9761ffc	7	test	7	6	6	4
CMP00198	Nb2afe5bdcb38953449b9760999188f336dbe833a9127d3ed2721c19420467ef7	7	train	7	0	0	0
CMP00199	Ndc27d53ad9b6665135c7cd42b5a8eec60552e708805bc090a922da58daded6ff	7	val	7	6	3	2
CMP00200	Ndd9cfce3b92b941e864777895d43eb970682b447eb7f5466756756c8144e851a	7	test	7	7	7	2
CMP00201	Ne4bef5c9b423dd906c08b13c98867909918c2ab1cc12eaa6ba0d0dcd68e0b9f3	7	train	7	7	6	1
CMP00202	N2cd6d4bf1ed09876e27d0cdc203c6378bbfa8e1c48d04fedc25aef45e3680b09	6	val	6	6	5	1
CMP00203	N321b864fd15175793991a2dcec07b5dde11b0003970dadbb151691ed00057416	6	test	6	6	6	1
CMP00204	N35e3f416ee6547ff56857d8aa1f7bba487efd1d401b48ac47beafb98daac25d9	6	train	6	6	6	1
CMP00205	N43e0debb59613c8adb1b1cadfe7c0728c508caccf46aac6971d99a6e5d6c52a4	6	val	6	6	5	0
CMP00206	N4565f57942e566e3ee9cd98fe10a89ea71e3dcff9170c5365a885a70b0364c40	6	test	6	6	6	0
CMP00207	N5687067ffe7e56fb1d4ec7c4980f4a254a8db5041fb5d5726c41d806601c7e6c	6	train	0	0	0	0
CMP00208	N5b017153e4c1340c1d8e719a67c0e0a7fd4aa15d1290f4fbe9fcf3452406f20a	6	val	6	0	0	0
CMP00209	N8b089c0fd0ca6d00a27b3c8cc90509a6a3b42ee08dc090d123065d9716011870	6	test	6	6	1	1
CMP00210	N91a6ed4db94d511969a91c9a1b6704732996cfe113f0d42bfaa5d17585431751	6	train	6	6	1	0
CMP00211	Nba37849984778c0ee0866eb9f1c79a83b1a706a47e07e874ad02fae051345a5f	6	val	6	5	5	1
CMP00212	Nbf0663aef724f630a807a9620e45a2c9a91d82dca9cd4307bd472718aef56b33	6	test	6	0	0	0
CMP00213	Nc32179a6653de9ea059eb9474d1224d155e05642c7a51d47f41119bd94bc1298	6	train	6	0	0	0
CMP00214	Ne182533de744db19e26fbe7709e348387d97aaf54164a3abf3bb8bdb35a98fc8	6	val	6	6	4	0
CMP00215	Ne6f443be893f1720cfdea2eeac8fb59cf0c31cee411f71d26ca9f2a775d1c1fa	6	test	6	5	1	0
CMP00216	Ne7236e9e317a91c368707ea5d2341f42895bdec321ebd1a96b54bf39608471be	6	train	6	6	1	0
CMP00217	Ne8b368dec371bc989b3be60ac675c0be7f4794707b95901874de0f7145d6b148	6	val	0	0	0	0
CMP00218	N0894192c94bcd679bbcfe47c20a3ecebf104eb9a2bdebd97b9f4d92c045dfa51	5	test	5	4	4	2
CMP00219	N115e022346f062b397645f49b530f988aee74b6662d06e1622865daecd629798	5	train	5	5	5	2
CMP00220	N126f80feee70b07cb20800b50d6c4ec81cab6dfe696283cc9546b70a5b761527	5	test	5	5	2	1
CMP00221	N1b323068583dd6effbe0bf36107618d50e8721438e09da0a43b80cc64b5a298b	5	train	5	5	0	0
CMP00222	N2102571991f2a8f3345024d5a89ad16d535660c83c428b356fe2f5476bffbb49	5	val	5	5	4	1
CMP00223	N3705bff596911e1343aa7c3398341ae2c14678b8df85b0f61e3c745afe0698a1	5	test	5	5	0	0
