family	n_inspectable	mean_mapped_fraction	profile	unit	denominator
RVT-GII	175588	0.8903	0.8499;0.8554;0.8561;0.8585;0.8604;0.8656;0.8693;0.8716;0.8724;0.8725;0.8895;0.8917;0.8927;0.8950;0.8955;0.8963;0.8973;0.8956;0.8949;0.8991;0.8992;0.8997;0.9006;0.9022;0.9060;0.9061;0.9081;0.9063;0.9039;0.8999;0.8078;0.8675;0.8813;0.9332;0.9340;0.9369;0.9376;0.9380;0.9391;0.9402;0.9418;0.9423;0.9423;0.9436;0.9450;0.9460;0.9456;0.9459;0.9466;0.9475;0.9494;0.9499;0.9507;0.7764;0.7770;0.7779;0.9013;0.9031;0.9049;0.9068;0.9070;0.9072;0.7851;0.7873;0.7937;0.9536;0.9622;0.9625;0.9630;0.9638;0.9633;0.9628;0.9518;0.9493;0.9130;0.8664;0.9700;0.9704;0.9704;0.9696;0.9699;0.9703;0.9711;0.9709;0.9704;0.9567;0.9558;0.9543;0.9528;0.9509;0.9473;0.9446;0.3299;0.3881;0.3795;0.3689;0.3567;0.3421;0.4594;0.5620;0.9076;0.9622;0.9606;0.9591;0.9528;0.8888;0.8919;0.8922;0.8963;0.9184;0.9286;0.9339;0.9380;0.9410;0.9431;0.9457;0.9465;0.9472;0.9470;0.9469;0.9468;0.9462;0.9420;0.9428;0.9456;0.9471;0.9469;0.9462;0.9456;0.9446;0.9435;0.9428;0.9410;0.9392;0.9380;0.9359;0.9332;0.9301;0.9243;0.9182;0.6883;0.9253;0.9255;0.9253;0.9238;0.9226;0.9208;0.9194;0.9093;0.8961	exact RT (INSPECTABLE)	175588 inspectable in this family
RVT-UG1	1575	0.4063	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0025;0.0025;0.0546;0.0584;0.0610;0.0622;0.0629;0.1429;0.1771;0.8870;0.9479;0.9537;0.9537;0.9537;0.9537;0.9537;0.9537;0.9537;0.9537;0.9537;0.9530;0.9524;0.9517;0.9511;0.9359;0.8584;0.8432;0.8286;0.8171;0.2686;0.2349;0.2260;0.2248;0.2222;0.3790;0.3943;0.4184;0.4737;0.4794;0.4851;0.4933;0.4921;0.4946;0.5073;0.5067;0.5276;0.4527;0.3352;0.3016;0.2730;0.2476;0.2463;0.9981;0.9981;0.9981;0.9987;0.9994;0.9994;0.9994;0.9975;0.9975;0.9981;0.9981;0.9975;0.9949;0.9924;0.9854;0.9797;0.5530;0.5067;0.3854;0.2527;0.1651;0.1124;0.4578;0.4806;0.5117;0.7937;0.7384;0.6971;0.6495;0.0756;0.0648;0.0616;0.0508;0.3168;0.3410;0.3625;0.3937;0.4184;0.4159;0.4324;0.4317;0.4381;0.4337;0.3892;0.3829;0.3530;0.1035;0.1549;0.1873;0.3149;0.4095;0.4222;0.4457;0.4514;0.4514;0.4527;0.4521;0.4292;0.4114;0.2914;0.1975;0.1473;0.0648;0.0368;0.0165;0.0222;0.0229;0.0171;0.0051;0.0044;0.0044;0.0038;0.0038;0.0025	exact RT (INSPECTABLE)	1575 inspectable in this family
RVT-UG10	594	0.5073	0.0269;0.0320;0.0320;0.0320;0.0253;0.0421;0.0724;0.1010;0.1111;0.1111;0.1229;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1246;0.1145;0.1145;0.0455;0.0471;0.0471;0.0455;0.0354;0.0421;0.0842;0.8030;0.9444;0.9562;0.9562;0.9562;0.9562;0.9562;0.9562;0.9562;0.9562;0.9562;0.9360;0.9209;0.8855;0.8721;0.8872;0.7559;0.7323;0.7256;0.7205;0.2896;0.2593;0.2458;0.2710;0.2441;0.1936;0.1970;0.1902;0.1566;0.1599;0.2424;0.3148;0.3771;0.3805;0.3855;0.4074;0.3838;0.3199;0.2778;0.1869;0.2020;0.2138;0.2104;0.9933;0.9933;0.9933;0.9933;0.9949;0.9949;0.9949;0.9377;0.9074;0.7088;0.7138;0.7138;0.6919;0.6869;0.6818;0.6801;0.0438;0.0774;0.0758;0.0758;0.0808;0.0808;0.0943;0.1700;0.5572;0.9949;0.9949;0.9916;0.9899;0.9276;0.9310;0.9327;0.9327;0.9697;0.9798;0.9815;0.9815;0.9815;0.9815;0.9815;0.9815;0.9798;0.9781;0.9764;0.9764;0.9764;0.9747;0.9747;0.9714;0.9731;0.9731;0.9714;0.9697;0.9630;0.9175;0.9007;0.8721;0.8047;0.5758;0.4444;0.4411;0.4074;0.3721;0.3165;0.0185;0.0303;0.0219;0.0051;0.0067;0.0067;0.0051;0.0034;0.0034;0.0034	exact RT (INSPECTABLE)	594 inspectable in this family
RVT-UG11	621	0.4725	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1337;0.1997;0.6087;0.8502;0.8744;0.8760;0.8760;0.8760;0.8760;0.8760;0.8760;0.8760;0.8760;0.8760;0.8760;0.8325;0.8245;0.8164;0.8132;0.8100;0.8116;0.8116;0.5314;0.5282;0.5217;0.5105;0.5072;0.4895;0.4847;0.4783;0.4718;0.0290;0.0419;0.0419;0.0451;0.1449;0.1514;0.1594;0.1755;0.1820;0.1820;0.1739;0.1787;0.2013;0.1948;0.8132;0.9581;0.9581;0.9581;0.9630;0.9678;0.9646;0.8068;0.6651;0.5636;0.5781;0.5781;0.5749;0.5733;0.5636;0.5443;0.1031;0.1047;0.0998;0.1224;0.2174;0.2271;0.2576;0.5668;0.9098;1.0000;1.0000;0.9984;0.9968;0.9871;0.9839;0.9742;0.9742;0.9839;0.9839;0.9839;0.9855;0.9871;0.9839;0.9839;0.9823;0.9839;0.9823;0.9823;0.9791;0.9742;0.9662;0.9662;0.9662;0.9678;0.9646;0.9662;0.9662;0.9662;0.9565;0.9404;0.7440;0.4992;0.2110;0.1272;0.1079;0.0580;0.0467;0.0145;0.0000;0.0064;0.0064;0.0757;0.0757;0.0757;0.0757;0.0741;0.0741;0.0741	exact RT (INSPECTABLE)	621 inspectable in this family
RVT-UG12	2120	0.3936	0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0005;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0038;0.0038;0.0467;0.0575;0.0722;0.0811;0.0844;0.2156;0.3080;0.4542;0.4670;0.4807;0.4807;0.4807;0.4807;0.4802;0.4802;0.4731;0.4703;0.4632;0.2627;0.1778;0.1708;0.1698;0.1665;0.1585;0.1632;0.1693;0.1750;0.0778;0.0825;0.0835;0.0863;0.0637;0.0646;0.0675;0.0741;0.0830;0.0892;0.1236;0.1547;0.1675;0.1731;0.1802;0.1849;0.1840;0.1524;0.1325;0.0972;0.0981;0.0873;0.0741;0.6193;0.6325;0.6344;0.6778;0.6995;0.7104;0.7108;0.7104;0.7160;0.7330;0.7330;0.7292;0.7274;0.7245;0.7236;0.7198;0.0231;0.0226;0.0217;0.0203;0.0189;0.0184;0.2057;0.3005;0.4863;1.0000;1.0000;1.0000;1.0000;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9995;0.9995;0.9991;0.9991;0.9986;0.9986;0.9981;0.9981;0.9981;0.9986;0.9981;0.9976;0.9976;0.9976;0.9972;0.9972;0.9967;0.9967;0.9962;0.9962;0.9962;0.9873;0.9778;0.9495;0.7835;0.6009;0.3849;0.2368;0.1986;0.0118;0.0382;0.0415;0.0415;0.0415;0.0392;0.0373;0.0354;0.0321;0.0311	exact RT (INSPECTABLE)	2120 inspectable in this family
RVT-UG13	877	0.6250	0.3330;0.3330;0.3330;0.3330;0.3330;0.3295;0.3295;0.3295;0.3136;0.2087;0.2326;0.2258;0.1539;0.1574;0.1619;0.1574;0.1642;0.1619;0.1619;0.2018;0.2109;0.2144;0.2201;0.2258;0.1574;0.1437;0.0707;0.0707;0.0536;0.0593;0.0353;0.4960;0.6397;0.8871;0.9145;0.9270;0.9282;0.9282;0.9282;0.9282;0.9282;0.9282;0.9282;0.9282;0.9282;0.9282;0.9213;0.9213;0.9213;0.9179;0.9145;0.9111;0.9065;0.3603;0.3672;0.3535;0.3478;0.3489;0.4333;0.4675;0.5496;0.6591;0.7047;0.7936;0.8141;0.8176;0.8130;0.8119;0.8119;0.8107;0.7879;0.7400;0.6317;0.6340;0.6317;0.6351;0.6613;0.7184;0.7685;0.9236;0.9726;0.9783;0.9783;0.9761;0.9761;0.9715;0.9704;0.9692;0.9692;0.9681;0.9658;0.9635;0.0194;0.0194;0.0182;0.0171;0.0365;0.0376;0.0684;0.3854;0.7263;0.9954;0.9920;0.9920;0.9920;0.9715;0.9726;0.9749;0.9749;0.9840;0.9829;0.9829;0.9840;0.9852;0.9852;0.9852;0.9829;0.9829;0.9818;0.9818;0.9818;0.9829;0.9829;0.9829;0.9840;0.9863;0.9863;0.9863;0.9863;0.9818;0.9818;0.9806;0.9076;0.8894;0.8267;0.7777;0.7263;0.6545;0.6294;0.5770;0.1300;0.1414;0.1391;0.1174;0.0741;0.0741;0.0718;0.0650;0.0536;0.0490	exact RT (INSPECTABLE)	877 inspectable in this family
RVT-UG14	699	0.4144	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0029;0.0029;0.0029;0.0000;0.0000;0.0000;0.0000;0.0815;0.2418;0.5222;0.5351;0.5508;0.5508;0.5508;0.5508;0.5508;0.5508;0.5479;0.5393;0.5279;0.3233;0.1774;0.1445;0.1431;0.1416;0.1288;0.1230;0.1302;0.1330;0.0258;0.0343;0.0415;0.0558;0.0587;0.0930;0.0959;0.0987;0.1102;0.1030;0.2132;0.2546;0.2704;0.2847;0.2876;0.2804;0.2947;0.2461;0.2031;0.0801;0.0787;0.0658;0.0558;0.8126;0.8155;0.8155;0.8269;0.8326;0.8498;0.8526;0.8498;0.8498;0.8541;0.8555;0.8569;0.8569;0.8627;0.8627;0.8627;0.2403;0.2361;0.2089;0.1817;0.1559;0.1345;0.0372;0.0572;0.6166;1.0000;1.0000;1.0000;1.0000;0.7024;0.7067;0.8741;0.9199;0.9514;0.9771;0.9871;0.9900;0.9928;0.9928;0.9928;0.9914;0.9914;0.9914;0.9914;0.9914;0.9914;0.9928;0.9914;0.9914;0.9914;0.9900;0.9871;0.9857;0.9857;0.9785;0.9785;0.9585;0.9428;0.9127;0.7525;0.6381;0.4278;0.2847;0.2246;0.0029;0.0029;0.0629;0.0644;0.0773;0.0858;0.0858;0.0858;0.0844;0.0801	exact RT (INSPECTABLE)	699 inspectable in this family
RVT-UG15	3137	0.4387	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0003;0.0003;0.0003;0.0041;0.0045;0.0051;0.0057;0.0054;0.0338;0.1591;0.7727;0.8014;0.8161;0.8167;0.8167;0.8167;0.8167;0.8167;0.8138;0.8126;0.8081;0.0931;0.1345;0.1262;0.1243;0.1205;0.1266;0.1329;0.1326;0.1329;0.0972;0.1046;0.1113;0.1135;0.1144;0.1122;0.1125;0.1141;0.1106;0.0749;0.0832;0.0854;0.0902;0.0991;0.1052;0.1093;0.1077;0.0826;0.0704;0.1116;0.1199;0.1285;0.1399;0.8706;0.8900;0.8964;0.9391;0.9420;0.9544;0.9503;0.9464;0.9468;0.9468;0.9468;0.9464;0.9458;0.9449;0.9445;0.9420;0.0029;0.2859;0.2859;0.2863;0.2863;0.2863;0.2907;0.2949;0.7239;1.0000;1.0000;1.0000;1.0000;0.9994;0.9990;0.9990;0.9990;0.9984;0.9981;0.9968;0.9959;0.9955;0.9959;0.9959;0.9959;0.9955;0.9952;0.9949;0.9949;0.9946;0.9939;0.9939;0.9939;0.9936;0.9936;0.9933;0.9930;0.9927;0.9920;0.9920;0.9777;0.9732;0.9672;0.8846;0.4645;0.2372;0.0284;0.0201;0.0016;0.0022;0.0029;0.0038;0.0041;0.0032;0.0032;0.0029;0.0019;0.0019	exact RT (INSPECTABLE)	3137 inspectable in this family
RVT-UG16	443	0.3921	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0023;0.0045;0.0068;0.0293;0.0880;0.1512;0.0835;0.0722;0.1400;0.1354;0.1309;0.1377;0.1490;0.4379;0.4695;0.5779;0.6140;0.6524;0.6524;0.6524;0.6524;0.6524;0.6524;0.6524;0.6501;0.6456;0.5937;0.5824;0.5418;0.5237;0.5192;0.5124;0.4898;0.4650;0.4582;0.1874;0.1851;0.1648;0.1625;0.1670;0.1670;0.1625;0.1603;0.1535;0.0926;0.2551;0.2619;0.2889;0.3251;0.3273;0.3273;0.3228;0.2889;0.0542;0.0248;0.0406;0.0406;0.0406;0.3521;0.3634;0.3770;0.4650;0.4786;0.4944;0.4966;0.4402;0.4357;0.4334;0.4312;0.3702;0.2822;0.2483;0.2257;0.2077;0.0000;0.0000;0.0000;0.0000;0.0023;0.0023;0.0090;0.0609;0.6546;1.0000;0.9977;0.9977;0.9977;0.9977;0.9977;0.9977;0.9977;0.9932;0.9932;0.9932;0.9910;0.9910;0.9910;0.9932;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9842;0.7223;0.5395;0.3657;0.3160;0.0926;0.0677;0.0203;0.0068;0.0068;0.0068;0.0068;0.0068;0.0000;0.0000;0.0000;0.0000;0.0000	exact RT (INSPECTABLE)	443 inspectable in this family
RVT-UG17	3713	0.7236	0.4452;0.8171;0.8179;0.8196;0.8201;0.8255;0.8255;0.8255;0.8244;0.8239;0.7797;0.7810;0.7264;0.7048;0.6687;0.6351;0.4051;0.3604;0.2987;0.2004;0.0902;0.0504;0.0226;0.0148;0.0541;0.0593;0.6359;0.6294;0.6208;0.5979;0.4864;0.5842;0.6679;0.8705;0.8850;0.8898;0.8904;0.8915;0.8936;0.8950;0.8952;0.8958;0.8958;0.8987;0.8985;0.8998;0.8998;0.8995;0.9006;0.9009;0.9025;0.9028;0.9057;0.8699;0.8734;0.8734;0.8661;0.8640;0.8640;0.8583;0.8702;0.8688;0.8586;0.8828;0.8893;0.8866;0.8831;0.8775;0.8713;0.8540;0.7843;0.7016;0.5982;0.5386;0.4988;0.4573;0.9863;0.9865;0.9863;0.9871;0.9900;0.9917;0.9917;0.9898;0.9898;0.9895;0.9895;0.9884;0.9876;0.9752;0.9407;0.9397;0.0005;0.0008;0.0008;0.0008;0.0011;0.0011;0.0102;0.4721;0.8737;0.9117;0.9060;0.9025;0.8691;0.2117;0.2354;0.2359;0.2828;0.4371;0.5478;0.5799;0.6127;0.6491;0.6555;0.6709;0.6701;0.6760;0.6771;0.6844;0.7388;0.7466;0.7932;0.8050;0.8169;0.8241;0.8231;0.7161;0.7024;0.6507;0.4589;0.7234;0.9626;0.9583;0.8974;0.8982;0.8982;0.8977;0.8909;0.8842;0.9609;0.9884;0.9884;0.9881;0.9881;0.9871;0.9833;0.9760;0.9669;0.9138	exact RT (INSPECTABLE)	3713 inspectable in this family
RVT-UG19	908	0.6656	0.7181;0.7181;0.7181;0.7137;0.7137;0.7313;0.7467;0.7478;0.7368;0.7115;0.2720;0.2566;0.2236;0.2313;0.2401;0.2489;0.2621;0.2445;0.2280;0.2731;0.2698;0.2797;0.2974;0.3315;0.3128;0.2907;0.3172;0.3139;0.2952;0.3007;0.3029;0.8029;0.8568;0.9681;0.9736;0.9780;0.9780;0.9780;0.9791;0.9791;0.9791;0.9791;0.9791;0.9791;0.9791;0.9791;0.9747;0.9736;0.9736;0.9714;0.9703;0.9692;0.9681;0.6289;0.6211;0.5881;0.5804;0.5881;0.6795;0.7247;0.7775;0.7863;0.7610;0.8315;0.8469;0.8557;0.8623;0.8524;0.8491;0.8436;0.7996;0.6828;0.3194;0.3040;0.2555;0.2390;0.9791;0.9824;0.9868;0.9835;0.9934;0.9945;0.9945;0.9901;0.9901;0.9901;0.9934;0.9912;0.9835;0.9460;0.9416;0.9383;0.0011;0.0011;0.0011;0.0055;0.0077;0.0077;0.0518;0.2720;0.8128;0.9967;0.9945;0.9945;0.9945;0.9802;0.9802;0.9769;0.9714;0.9604;0.9460;0.9372;0.9361;0.9229;0.9130;0.9086;0.9086;0.9042;0.8822;0.8601;0.8502;0.8491;0.8998;0.8987;0.8976;0.8965;0.8855;0.8304;0.8084;0.8018;0.8007;0.7985;0.7280;0.7170;0.7070;0.6311;0.5694;0.5099;0.3888;0.3128;0.0815;0.0881;0.0870;0.0947;0.0870;0.0727;0.0661;0.0639;0.0584;0.0551	exact RT (INSPECTABLE)	908 inspectable in this family
RVT-UG2	6304	0.4188	0.0138;0.0165;0.0186;0.0186;0.0186;0.0203;0.0203;0.0208;0.0208;0.0208;0.0208;0.0209;0.0189;0.0187;0.0189;0.0197;0.0170;0.0124;0.0108;0.0098;0.0103;0.0136;0.0152;0.0186;0.0366;0.0284;0.1030;0.1042;0.1050;0.1050;0.1025;0.1309;0.1415;0.2016;0.2148;0.2207;0.2208;0.2210;0.2208;0.2208;0.2207;0.2208;0.2208;0.2208;0.2208;0.2210;0.2153;0.2138;0.2129;0.1953;0.1942;0.1929;0.1894;0.0882;0.0857;0.0803;0.0801;0.0779;0.0939;0.0971;0.1003;0.1030;0.1069;0.1231;0.1291;0.1385;0.1405;0.1409;0.1437;0.1477;0.1470;0.1445;0.1390;0.1399;0.1331;0.1309;0.9986;0.9986;0.9984;0.9984;0.9987;0.9986;0.9986;0.9984;0.9984;0.9984;0.9983;0.9975;0.9971;0.9967;0.9959;0.9944;0.0247;0.0266;0.0205;0.0154;0.0219;0.0136;0.0220;0.0522;0.1643;0.9902;0.9875;0.9832;0.9688;0.1867;0.1734;0.1892;0.2154;0.4058;0.4675;0.5305;0.6355;0.6720;0.7105;0.7348;0.7630;0.7809;0.8309;0.8336;0.8299;0.8287;0.7698;0.7792;0.8025;0.8520;0.9362;0.9572;0.9608;0.9616;0.9627;0.9651;0.9653;0.9445;0.8969;0.8826;0.8668;0.8558;0.8417;0.8115;0.9040;0.9148;0.9185;0.9185;0.9180;0.9101;0.8685;0.8366;0.7319;0.5953	exact RT (INSPECTABLE)	6304 inspectable in this family
RVT-UG20	251	0.6157	0.3745;0.3745;0.3745;0.3745;0.3745;0.3865;0.3865;0.3984;0.3984;0.3466;0.3267;0.3227;0.3108;0.3108;0.3108;0.3068;0.3068;0.2829;0.2470;0.1992;0.1514;0.0837;0.1116;0.2072;0.2231;0.2032;0.2390;0.2351;0.2351;0.2271;0.1912;0.7092;0.7849;0.9004;0.9044;0.9044;0.9044;0.9044;0.9044;0.9044;0.9044;0.9044;0.9044;0.9044;0.9044;0.9044;0.9004;0.9004;0.9004;0.9004;0.9004;0.9004;0.9004;0.6016;0.5976;0.6016;0.6056;0.6215;0.6295;0.6295;0.6335;0.6295;0.6255;0.6574;0.6574;0.6614;0.6932;0.6932;0.6932;0.6972;0.6494;0.5299;0.0239;0.0199;0.0199;0.0199;0.9323;0.9323;0.9323;0.9323;0.9323;0.9323;0.9323;0.9323;0.9323;0.9363;0.9363;0.9363;0.9363;0.9363;0.9363;0.9323;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0080;0.9283;1.0000;1.0000;1.0000;1.0000;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9960;0.9562;0.9163;0.5976;0.4263;0.3187;0.1753;0.0797;0.0040;0.0637;0.0637;0.0637;0.0637;0.0637;0.0637;0.0598;0.0598;0.0558	exact RT (INSPECTABLE)	251 inspectable in this family
RVT-UG22	447	0.5727	0.1521;0.1544;0.1544;0.1544;0.1544;0.1544;0.1544;0.1544;0.1477;0.1432;0.1387;0.1387;0.1365;0.1365;0.1320;0.1298;0.1298;0.1163;0.1051;0.0940;0.0872;0.0828;0.0738;0.0649;0.0447;0.0380;0.0515;0.0537;0.0582;0.0515;0.0537;0.3020;0.4855;0.9306;0.9418;0.9620;0.9620;0.9620;0.9642;0.9642;0.9642;0.9642;0.9642;0.9642;0.9642;0.9642;0.9642;0.9642;0.9620;0.9597;0.9597;0.9597;0.9597;0.6622;0.6600;0.6622;0.6711;0.6667;0.6644;0.6600;0.6555;0.6398;0.5369;0.6063;0.6018;0.5951;0.5861;0.5884;0.5638;0.5548;0.3512;0.2416;0.0268;0.0224;0.0246;0.0246;0.8926;0.9016;0.9016;0.9239;0.9664;0.9687;0.9642;0.9620;0.9597;0.9575;0.9553;0.9575;0.9575;0.9575;0.9575;0.9575;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0022;0.0022;0.9933;1.0000;1.0000;0.9955;0.9955;0.9955;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9978;0.9978;0.9978;0.9955;0.9955;0.9821;0.8076;0.6890;0.5280;0.4318;0.3110;0.1723;0.1029;0.0134;0.0134;0.0157;0.0179;0.0157;0.0022;0.0022;0.0000;0.0000;0.0000	exact RT (INSPECTABLE)	447 inspectable in this family
RVT-UG23	646	0.6502	0.4582;0.4582;0.4582;0.4536;0.4536;0.4644;0.4737;0.4830;0.4861;0.4845;0.4752;0.4752;0.4752;0.4752;0.4737;0.4752;0.4752;0.4768;0.4752;0.4706;0.4675;0.4675;0.4644;0.4613;0.2817;0.2523;0.0666;0.0666;0.0557;0.0542;0.0433;0.2446;0.2879;0.6548;0.8421;0.9598;0.9598;0.9598;0.9613;0.9613;0.9613;0.9613;0.9613;0.9613;0.9613;0.9551;0.9536;0.9505;0.9458;0.9241;0.9211;0.9211;0.9195;0.7028;0.6873;0.7012;0.7198;0.7229;0.7384;0.7461;0.7523;0.7539;0.6703;0.7307;0.7399;0.7539;0.7601;0.7678;0.7663;0.7508;0.6378;0.3854;0.1053;0.1115;0.1269;0.1285;0.9783;0.9799;0.9814;0.9892;0.9923;0.9938;0.9938;0.9892;0.9892;0.9892;0.9892;0.9876;0.9876;0.9876;0.9861;0.9861;0.0341;0.0356;0.0341;0.0294;0.0650;0.0619;0.1378;0.1827;0.8514;0.9706;0.9474;0.9350;0.9056;0.8793;0.8963;0.8994;0.9087;0.9087;0.9087;0.9443;0.9567;0.9659;0.9675;0.9721;0.9752;0.9768;0.9768;0.9768;0.9768;0.9768;0.9768;0.9768;0.9768;0.9768;0.9768;0.9752;0.9721;0.9598;0.9598;0.9706;0.9675;0.9412;0.8916;0.7508;0.5898;0.4861;0.4288;0.2585;0.0557;0.0557;0.0542;0.0511;0.0077;0.0077;0.0046;0.0046;0.0046;0.0046	exact RT (INSPECTABLE)	646 inspectable in this family
RVT-UG26	3548	0.7857	0.1220;0.1254;0.1161;0.1082;0.1023;0.0826;0.0888;0.1015;0.1048;0.1110;0.1979;0.2269;0.2198;0.2463;0.3148;0.7311;0.8709;0.8816;0.9002;0.9169;0.9273;0.9386;0.9431;0.9510;0.9704;0.9704;0.9693;0.9653;0.9580;0.9543;0.9315;0.9501;0.9566;0.9766;0.9831;0.9842;0.9842;0.9842;0.9842;0.9853;0.9853;0.9853;0.9853;0.9853;0.9845;0.9831;0.9822;0.9834;0.9834;0.9825;0.9820;0.9817;0.9817;0.3610;0.4171;0.4326;0.4214;0.3912;0.4656;0.5166;0.6502;0.7300;0.7351;0.8309;0.8819;0.9011;0.8980;0.8861;0.8754;0.8633;0.8019;0.7001;0.5750;0.4276;0.3653;0.3385;0.9915;0.9918;0.9918;0.9924;0.9927;0.9930;0.9930;0.9930;0.9930;0.9930;0.9930;0.9927;0.9924;0.9924;0.9921;0.9921;0.0011;0.0011;0.0011;0.0008;0.0008;0.0008;0.0008;0.0099;0.9524;0.9887;0.9856;0.9834;0.9775;0.9510;0.9591;0.9620;0.9628;0.9667;0.9721;0.9789;0.9839;0.9899;0.9935;0.9927;0.9935;0.9935;0.9935;0.9932;0.9938;0.9935;0.9932;0.9935;0.9935;0.9935;0.9932;0.9930;0.9924;0.9918;0.9904;0.9932;0.9915;0.9904;0.9884;0.9862;0.9856;0.9851;0.9845;0.9842;0.9817;0.9893;0.9893;0.9893;0.9893;0.9865;0.9704;0.9431;0.8844;0.7632	exact RT (INSPECTABLE)	3548 inspectable in this family
RVT-UG27	923	0.7919	0.9090;0.9090;0.9090;0.9090;0.9090;0.9090;0.9112;0.9112;0.9112;0.9112;0.9112;0.9112;0.9079;0.9025;0.9003;0.8992;0.8906;0.8862;0.8852;0.8852;0.8852;0.8732;0.8657;0.8570;0.8646;0.8646;0.8602;0.8516;0.8039;0.7541;0.6544;0.1343;0.1473;0.6436;0.9361;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9610;0.9372;0.6999;0.3727;0.4030;0.2795;0.4615;0.6641;0.8537;0.9231;0.9198;0.9231;0.9231;0.9242;0.9274;0.9382;0.9491;0.9567;0.9632;0.9653;0.9653;0.9675;0.9729;0.9729;0.9729;0.9718;0.9697;0.9632;0.9231;0.8765;0.4854;0.2210;0.1376;0.9978;0.9978;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.9989;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0011;0.0087;0.8754;0.9967;0.9870;0.9783;0.9404;0.1148;0.1051;0.0953;0.0748;0.0899;0.0932;0.1354;0.2882;0.4388;0.6847;0.6956;0.7129;0.7313;0.8787;0.9361;0.9816;0.9881;0.9892;0.9913;0.9957;0.9967;0.9967;0.9967;0.9967;0.9967;0.9967;0.9967;0.9924;0.9892;0.9870;0.9859;0.9859;0.9859;0.9848;0.9859;0.9881;0.9924;0.9924;0.9924;0.9913;0.9913;0.9913;0.9913;0.8191;0.1300	exact RT (INSPECTABLE)	923 inspectable in this family
