sequence_id	sequence_hash	length_aa	id_prefix	membership_class	evidence_tier	declared_source	original_identifier	selection_reason	activity_evidence_if_any	expression_tags_detected	coordinate_offset_risk	unit	denominator
RETRON_t1323	562183720324a1b7ef15bbdbaa8348ad8889921fb2bbee9fa051a56de1e2c6da	385	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1374	5337c636cc528f49d4434010af571b94620e014b9eca0b806ed27987a5a6f77d	387	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1352	9d7cabcbfbd716726cbe21ac47ebf4e6d520eb2f7c083e1e4d2d2916c28f4066	381	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1353	741702cd366cd565ff52e9876da6ed2e8bb9d9018a5562ea62c3c9988819691c	390	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1421	c8668894e2d294a130111bc89b0d3e90e9b4fad3e8f33e113b0e59126046d226	378	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1609	21db6b524ce33eece3ee3c0f3be62a9c23af2bc3d17a391842ccfe59995b487f	526	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1391	539e493139b0b9c19f6af63aebb88de1b7e6d22ef0be5b3909d4e9cc1ddde022	382	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1294	3c3b25732f5de44d42a2f0b8958661075b9d68cb3b9a92f81263ec007957464f	390	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1422	d332e6c24bc6446b3874182c05be1cad72ba8631948659cece9d7fa2fd067b04	377	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t749	21612e631f4dd845d5c962da56513098f911a76f1168f4dd1afc2fd54620522a	365	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
UNIPROT_P0DV94	e4922a230cfc05bc46c7daed52cdf63fe57b0e2e095f683be10c2bb3f8384cd2	315	UNIPROT	ANCHOR	B_characterised_protein	UniProtKB				none	no	seed member	167 sequences in all167.faa
PDB_9YFD_1	a8de6a86f445a9502fc69ba078640df05a5b96e3f0ead1e9d5beb461fb65fc21	1229	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_9WY8_1	482d429bd3b1ddfec09d746a2c08e2bd3aab04a45ba9c99c80b60a1e2b37f14f	962	PDB	ANCHOR	A_experimental_structure	RCSB PDB				His6,thrombin_LVPRGS	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_24NC_1	839ecba2ce9d21862831550a9fae643ec294d187df24b0b9191396a4734632dd	540	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_9LJE_1	4841934b1dde24cce3269749f1c7b2fe585d962513e0dbeac1fe6e68b3415616	434	PDB	ANCHOR	A_experimental_structure	RCSB PDB				His6	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_8BGJ_1	4728ce60f3c65663d320589139e3b6df2092a7ab2395e17e8487fa4a795ecd28	224	PDB	ANCHOR	A_experimental_structure	RCSB PDB				His6,thrombin_LVPRGS	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_9IOA_2	fddf38f8f59d10a6d07c1ea8f79ae2b485ea09ec618277ecc4dd42d43b4753bd	499	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_9Z6Z_1	ddef78bade1141c5c4d9fb3c9142e9f81d010be3401305705f41e76bf924286b	426	PDB	ANCHOR	A_experimental_structure	RCSB PDB				His6	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_26CZ_1	e1044f601bf1e914c540c2ee971d2d3453ff9ff6a60050e8d057e8d566baa790	775	PDB	ANCHOR	A_experimental_structure	RCSB PDB				His6	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_9Z6Z_2	363cdb83796c48b72d73b2521411b05175c78f45d1fc719ea35c577209a002ad	650	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
CAND_AbiK_16	42aed8345fb7eb47f639162008e401c6a82df518077044e3fdb068101a055a14	687	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiK_31	85e7497f1a75d93e006e7118d17ba425273dc851c2ffbafdd80d80fa46849e4c	666	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiK_51	ea45b9ca7c303f6180e66dc025733e58a2eb3108e09009bc7931d29ab3824634	659	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiK_98	f429d90dcae950ac9dcce8d4bafcc084dd668f474fba2c17ec74151d47bd6eed	596	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiP2_108	4bb8a80db6afa2516ab9c95fdf2a8bde151e30cc5b3cac1cafe175689c39ced4	574	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiP2_172	4348d77e4addae276f73b82ae686c76600f9aa32abffc46c9ca70f9dc2bb48bd	540	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiP2_208	fbe62287af4a80bd87be45685d30af060f95da1f70e460670bd555f5ef6f9bbb	530	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiP2_270	00570048fbceb07cf619392ce20c63ed170f282eaa2c91a727ad2b796a9cf410	518	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_AbiP2_81	632bf809ef81e88a25bc127d23424437967af2091f521d0e7b6360abef2635dd	603	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_CRISPR_33	2306505634712ac999518933a4ab35ec0043265c4779f40ce3f136c7a8748a74	532	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_CRISPR_47	19673b8462ec588c05d1b1a36d5131f47b09047935a24db5cd98d440a2063424	501	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_CRISPR_58	10eaaf2fc5a08b5b6c4a9831f725607dd2c2e06079f7687835f99d6c3911c35f	482	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_CRISPR_62	1de803013fb6c8499e910d3774dc94bab644f76f1b77e1f55273bef61147f7b6	473	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_DGRs_11	dc8dd11c577619e20f490a9c91695f09c2ea8c54037c315c978421e7f1d0fac9	423	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_DGRs_4	2872abaa8aacedc752776f3cb4172172437d10bbd3fbe13c9505ad0f6bcd953c	523	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_DGRs_6	a0678950d2aef8262f91c29c2939b1ab166dbbf357ae343d6954efa67e135d24	511	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_DGRs_9	0f6c62083d7534a61356d5ccb7485681caa6b90021a65138ca8689b53aac9bff	440	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_G2L4_1	478735e57d65ccdf84e0e28add7d04b80d7f981d356ceae9bdc5c93be0df6ac4	647	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_G2L4_4	75f54cc6ebee510395289166ca7f4ca36f0509e12ee5a63d4b07f237454226d3	613	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_G2L4_5	9c764ea8a960b40419a4db4fbe4965184ad60f1a83389d585c8fb93e9f306904	605	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_G2L4_68	7be01ca55b0fea374d1f23f31ad538207d0f57cea09106c68fc9ef0afcdd446b	433	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_G2L_57	66b25d8b3d749e7786f437b5f94e1bdb7a60e0348dc966b129a1aaf61027e498	448	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_G2L_87	a3ea61dee3ac08248493fbaad6db1f936c57902ce388f9396229d45d693261f3	325	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG10_12	5f01e6fb88187b68f2e92b4faa9668e592d92bae8f824edc931e7fb505d2a8a1	548	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG10_26	46473e5f06e7f38a230ec0bc33082c3df6cc130a9918978296f1a05bce8133d0	505	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG11_61	ab3a00fc2ee2d190eb2b5ebcd042037e65e8f6a043bd9778b91a4b61e21cb8e3	317	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG11_70	53218e3433416bc3294d98a22dcfb8f9d9f54f1b5c3c5af1d1c14217171fd522	302	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG12_12	9e32c2ac9d104979ccb9e74669ba8b74eb085ac9db511ba068d21181800f9298	647	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG12_147	b4bf5a0acf2cb8362273bcb7fafbf3d4f61033489300468613a3aaacbb5ed01f	516	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG12_21	e1a18be0183e23fa03a0d392078c5a4d12e1c61900fc08212013866db8fff27e	631	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG12_230	b96c08beb8bdc41d2889b55fa954564454c889f5cf244dbe719575b4b8d04e2a	419	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG12_3	fa18c5807c5527cd8bc762844b7b49c16a85b620bc894dff2a35157fd8655b19	721	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG12_37	66f957a2006df86cadf41fa6f6bb2db917d002a7d8127395cc3f105d85266ba2	605	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG13_0	8b1d7fa488effb730b2bfb0fdbf37a0b97d2424ea6bdf172e3f654c4f34a93e8	613	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG13_16	a1accf72840775597712f407e74fa672f821eda2ac7ff35f850b3633f09926b0	514	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG13_30	108658ba05fe2da42b87bf4175587d48872178ef1866ff2dd93586ec638a39c7	250	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG14_43	5cd6b26373e1d1a613d4a84750e34f235abe7f7235af4ececb335ff47166f7b8	407	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
