gid	member_id	split	locus_key	source_file	byte_offset	byte_len	rt_start	rt_end	rt_strand	file_label
NONRETRON_RVT-AbiK_2	m03	SUPPLEMENTARY_CONTROL	JBSMYN010000014.1:20355-21188:+	master_RVT-AbiK_merged_oriented.jsonl	231781441	33960	20355	21188	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m04	SUPPLEMENTARY_CONTROL	VRII01000006.1:2-958:-	master_RVT-AbiK_merged_oriented.jsonl	208215677	17987	2	958	-	RVT-AbiK
NONRETRON_RVT-AbiK_2	m05	SUPPLEMENTARY_CONTROL	CAJCGQ010000066.1:3476-4321:+	master_RVT-AbiK_merged_oriented.jsonl	32584631	9210	3476	4321	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m06	SUPPLEMENTARY_CONTROL	JAAJPH010000021.1:968-2113:+	master_RVT-AbiK_merged_oriented.jsonl	69388407	5227	968	2113	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m07	SUPPLEMENTARY_CONTROL	JAPSWC010000010.1:27750-28517:-	master_RVT-AbiK_merged_oriented.jsonl	29969689	32755	27750	28517	-	RVT-AbiK
NONRETRON_RVT-AbiK_2	m08	SUPPLEMENTARY_CONTROL	VDTM01000004.1:61565-62662:-	master_RVT-AbiK_merged_oriented.jsonl	36365661	29452	61565	62662	-	RVT-AbiK
NONRETRON_RVT-AbiK_2	m09	SUPPLEMENTARY_CONTROL	DAIPBX010000125.1:1-1167:-	master_RVT-AbiK_merged_oriented.jsonl	61831267	9237	1	1167	-	RVT-AbiK
NONRETRON_RVT-AbiK_2	m10	SUPPLEMENTARY_CONTROL	CP012410.1:1491330-1492622:-	master_RVT-AbiK_merged_oriented.jsonl	35419072	35313	1491330	1492622	-	RVT-AbiK
NONRETRON_RVT-AbiK_2	m11	SUPPLEMENTARY_CONTROL	JADPYR010000139.1:1137-1991:+	master_RVT-AbiK_merged_oriented.jsonl	210432047	4926	1137	1991	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m12	SUPPLEMENTARY_CONTROL	BCQF01000023.1:1-849:-	master_RVT-AbiK_merged_oriented.jsonl	35454386	17840	1	849	-	RVT-AbiK
NONRETRON_RVT-AbiK_2	m13	SUPPLEMENTARY_CONTROL	CP102074.1:3-899:-	master_RVT-AbiK_merged_oriented.jsonl	38763062	18551	3	899	-	RVT-AbiK
NONRETRON_RVT-AbiK_2	m14	SUPPLEMENTARY_CONTROL	BAABCK010000039.1:636-1655:+	master_RVT-AbiK_merged_oriented.jsonl	35954219	4929	636	1655	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m15	SUPPLEMENTARY_CONTROL	JAIWWD010000718.1:1-891:-	master_RVT-AbiK_merged_oriented.jsonl	36707120	5865	1	891	-	RVT-AbiK
NONRETRON_RVT-AbiP2_1	m00	SUPPLEMENTARY_CONTROL	CBCSLR010000008.1:46969-48531:-	master_RVT-AbiP2_merged_oriented.jsonl	1011499819	33191	46969	48531	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m01	SUPPLEMENTARY_CONTROL	MGYG000121089_3:113288-114859:+	master_RVT-AbiP2_merged_oriented.jsonl	201336658	33465	113288	114859	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m02	SUPPLEMENTARY_CONTROL	JAZRAL010000052.1:86575-88125:+	master_RVT-AbiP2_merged_oriented.jsonl	1066411080	25701	86575	88125	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m03	SUPPLEMENTARY_CONTROL	MGYG000092551_2:71253-72839:-	master_RVT-AbiP2_merged_oriented.jsonl	199113757	32552	71253	72839	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m04	SUPPLEMENTARY_CONTROL	SUUV01000009.1:7315-9006:-	master_RVT-AbiP2_merged_oriented.jsonl	1065848413	29607	7315	9006	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m05	SUPPLEMENTARY_CONTROL	CAYPIZ010000075.1:1-1311:-	master_RVT-AbiP2_merged_oriented.jsonl	325869567	9312	1	1311	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m06	SUPPLEMENTARY_CONTROL	CANASB010000002.1:160679-162241:+	master_RVT-AbiP2_merged_oriented.jsonl	1020016395	32233	160679	162241	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m07	SUPPLEMENTARY_CONTROL	MGYG000055704_14:21477-23039:+	master_RVT-AbiP2_merged_oriented.jsonl	226142090	22014	21477	23039	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_1	m08	SUPPLEMENTARY_CONTROL	CANDEX010000072.1:5781-7358:-	master_RVT-AbiP2_merged_oriented.jsonl	1011452557	14504	5781	7358	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m00	SUPPLEMENTARY_CONTROL	CABMIR010000061.1:10843-12342:-	master_RVT-AbiP2_merged_oriented.jsonl	64550688	30097	10843	12342	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m01	SUPPLEMENTARY_CONTROL	JAHYJX010000045.1:1520-3031:-	master_RVT-AbiP2_merged_oriented.jsonl	1075856557	7706	1520	3031	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m02	SUPPLEMENTARY_CONTROL	3300028582.a:Ga0268360_1000268:4371-5894:-	master_RVT-AbiP2_merged_oriented.jsonl	1106245372	23211	4371	5894	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m03	SUPPLEMENTARY_CONTROL	CAZCVQ010000004.1:5184-6695:-	master_RVT-AbiP2_merged_oriented.jsonl	341331045	27486	5184	6695	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m04	SUPPLEMENTARY_CONTROL	3300025587.a:Ga0208938_1005370:2578-4086:-	master_RVT-AbiP2_merged_oriented.jsonl	1102367444	10553	2578	4086	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m05	SUPPLEMENTARY_CONTROL	ABQDEW010000035.1:703-2202:+	master_RVT-AbiP2_merged_oriented.jsonl	545166630	8169	703	2202	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m06	SUPPLEMENTARY_CONTROL	MGYG000509218_55:39600-41105:+	master_RVT-AbiP2_merged_oriented.jsonl	237993537	19248	39600	41105	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m07	SUPPLEMENTARY_CONTROL	WVQZ01000019.1:7510-9012:-	master_RVT-AbiP2_merged_oriented.jsonl	84437762	24453	7510	9012	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m08	SUPPLEMENTARY_CONTROL	OY782047.1:108536-110035:-	master_RVT-AbiP2_merged_oriented.jsonl	139860329	33498	108536	110035	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m09	SUPPLEMENTARY_CONTROL	SNYP01000049.1:5514-7019:-	master_RVT-AbiP2_merged_oriented.jsonl	338478380	15257	5514	7019	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m10	SUPPLEMENTARY_CONTROL	CP194673.1:2199939-2201435:-	master_RVT-AbiP2_merged_oriented.jsonl	271953942	31400	2199939	2201435	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m11	SUPPLEMENTARY_CONTROL	JBFRBH010000001.1:1202663-1204168:+	master_RVT-AbiP2_merged_oriented.jsonl	361813478	35205	1202663	1204168	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m12	SUPPLEMENTARY_CONTROL	CAVPBK010000014.1:43328-44824:-	master_RVT-AbiP2_merged_oriented.jsonl	1072814106	36220	43328	44824	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m13	SUPPLEMENTARY_CONTROL	CABVGK010000174.1:2972-4534:+	master_RVT-AbiP2_merged_oriented.jsonl	324432573	12969	2972	4534	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m14	SUPPLEMENTARY_CONTROL	JBNKDW010000663.1:70-1566:-	master_RVT-AbiP2_merged_oriented.jsonl	361865102	9848	70	1566	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m15	SUPPLEMENTARY_CONTROL	MGYG000296059_9:3530-5026:+	master_RVT-AbiP2_merged_oriented.jsonl	236325417	24259	3530	5026	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m16	SUPPLEMENTARY_CONTROL	MPDC01000032.1:33747-35249:-	master_RVT-AbiP2_merged_oriented.jsonl	1061567139	27398	33747	35249	-	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m17	SUPPLEMENTARY_CONTROL	JBOFCO010000132.1:6139-7632:+	master_RVT-AbiP2_merged_oriented.jsonl	1066128283	26895	6139	7632	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m18	SUPPLEMENTARY_CONTROL	RPHK01000026.1:34756-36252:+	master_RVT-AbiP2_merged_oriented.jsonl	362716638	30182	34756	36252	+	RVT-AbiP2
NONRETRON_RVT-AbiP2_2	m19	SUPPLEMENTARY_CONTROL	JAFGFS010000055.1:11463-13001:+	master_RVT-AbiP2_merged_oriented.jsonl	1081973540	18780	11463	13001	+	RVT-AbiP2
