path_id	absolute_path	exists	size	what_it_is	contents	hash_state	handling
FM_SETS	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fm	YES	1.8G	FoldMason input sets (all_pdb and span90_pdb are SYMLINK farms)	7 subdirectories	see ASSET_REGISTER	read-only historical - DO NOT MODIFY
TM_MATRIX	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/foldseek	YES	106M	tm.npy (5256x5256 float32) + tm.ids	2 files	no producer, no version - RED	read-only historical - DO NOT MODIFY
FS_SHARDS	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fs_mestre	YES	501M	sharded foldseek all-vs-all, Mestre	12 shards	no producer, no version - RED	read-only historical - DO NOT MODIFY
DSSP_26	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/D_instrument/cache/d21_sse	YES	8.5M	DSSP + P-SEA per-chain output for the 26 anchors	26 .dssp + 26 .tsv	mkdssp version unrecorded - RECOMPUTE	read-only historical - DO NOT MODIFY
DINSTR_TABLES	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/D_instrument/tables	YES	47M	d2a/d2j/d21b/d21c boundary, N-terminal and SSE-agreement tables	see ASSET_REGISTER	reproducible	read-only historical - DO NOT MODIFY
DAUDIT_TABLES	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/d_instrument_audit/tables	YES	44K	a4 dyad-per-crystal and the audit arm that found the defects	10 tables	reproducible	read-only historical - DO NOT MODIFY
ID_MAP	/home/borg/RETRON_STRUCTURE_ID_MAP_2026-09-09.tsv	YES	6.4M	structure id -> exact sequence map	9965 rows	7875 sha1-verified this session; 2090 unverified	read-only historical - DO NOT MODIFY
V4T_SCRIPTS	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts	YES	380K	the 60 scripts behind the structural arm incl. Gate S and span slicing	60 files	code, reusable after inspection	read-only historical - DO NOT MODIFY
FM_MSA	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fm/*.fa,*.nw	YES	160M	FoldMason structural MSAs (aa + 3Di + guide trees), 4 runs	14 files	foldmason 4.dd3c235, command line in logs/fm_*.log	read-only historical - DO NOT MODIFY
FM_LOGS	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/logs	YES	-	run logs incl. the four FoldMason runs with version and command line	fm_all.log fm_span.log fm90.log fm_smoke.log + .time	self-describing	read-only historical - DO NOT MODIFY
