state_id	n_MAPPED	n_AMBIGUOUS	n_UNSUPPORTED	n_DELETED_STATE	n_total	mapped_fraction	denominator
182	297980	17688	9221	44492	369381	0.8067	ELIGIBLE
183	296043	17732	11145	44461	369381	0.8015	ELIGIBLE
184	294255	18367	11848	44911	369381	0.7966	ELIGIBLE
185	292803	19623	13217	43738	369381	0.7927	ELIGIBLE
186	292572	19777	14843	42189	369381	0.7921	ELIGIBLE
187	291414	20250	15741	41976	369381	0.7889	ELIGIBLE
188	290520	20696	16442	41723	369381	0.7865	ELIGIBLE
189	216613	24681	37107	90980	369381	0.5864	ELIGIBLE
190	218498	24617	42688	83578	369381	0.5915	ELIGIBLE
191	218436	25144	44956	80845	369381	0.5914	ELIGIBLE
192	243449	29461	47917	48554	369381	0.6591	ELIGIBLE
193	243209	30065	51261	44846	369381	0.6584	ELIGIBLE
194	239609	29681	56039	44052	369381	0.6487	ELIGIBLE
195	240582	29928	53635	45236	369381	0.6513	ELIGIBLE
196	241812	29721	52582	45266	369381	0.6546	ELIGIBLE
197	242577	29598	50739	46467	369381	0.6567	ELIGIBLE
198	206283	24011	42178	96909	369381	0.5585	ELIGIBLE
199	210904	25354	42185	90938	369381	0.5710	ELIGIBLE
200	213254	28948	40608	86571	369381	0.5773	ELIGIBLE
201	244006	28936	39875	56564	369381	0.6606	ELIGIBLE
202	246377	28112	41472	53420	369381	0.6670	ELIGIBLE
203	246777	29368	43230	50006	369381	0.6681	ELIGIBLE
204	246592	31514	45976	45299	369381	0.6676	ELIGIBLE
205	244238	34219	45801	45123	369381	0.6612	ELIGIBLE
206	234465	37443	51656	45817	369381	0.6348	ELIGIBLE
207	224183	40749	57000	47449	369381	0.6069	ELIGIBLE
208	203984	32384	55569	77444	369381	0.5522	ELIGIBLE
209	200805	34915	60617	73044	369381	0.5436	ELIGIBLE
210	192358	42452	67186	67385	369381	0.5208	ELIGIBLE
211	182228	48415	70238	68500	369381	0.4933	ELIGIBLE
228	341326	4378	3735	19942	369381	0.9240	ELIGIBLE
229	342711	4437	3686	18547	369381	0.9278	ELIGIBLE
230	342570	4670	3618	18523	369381	0.9274	ELIGIBLE
231	344826	3197	3074	18284	369381	0.9335	ELIGIBLE
232	346770	2859	3083	16669	369381	0.9388	ELIGIBLE
236	348110	4055	2570	14646	369381	0.9424	ELIGIBLE
237	348129	4124	2686	14442	369381	0.9425	ELIGIBLE
238	346794	4912	3111	14564	369381	0.9389	ELIGIBLE
239	346067	5377	3499	14438	369381	0.9369	ELIGIBLE
240	343609	7045	4633	14094	369381	0.9302	ELIGIBLE
241	343486	6658	5189	14048	369381	0.9299	ELIGIBLE
242	342804	6868	5667	14042	369381	0.9280	ELIGIBLE
243	342073	7180	6071	14057	369381	0.9261	ELIGIBLE
244	341272	7530	6435	14144	369381	0.9239	ELIGIBLE
245	339996	8439	6669	14277	369381	0.9204	ELIGIBLE
246	338907	9143	6727	14604	369381	0.9175	ELIGIBLE
247	70156	20106	21444	257675	369381	0.1899	ELIGIBLE
248	81063	24129	25681	238508	369381	0.2195	ELIGIBLE
249	77857	26513	27609	237402	369381	0.2108	ELIGIBLE
250	75103	28350	27458	238470	369381	0.2033	ELIGIBLE
251	74727	40599	58507	195548	369381	0.2023	ELIGIBLE
252	71203	45451	62171	190556	369381	0.1928	ELIGIBLE
253	116780	75522	45609	131470	369381	0.3162	ELIGIBLE
254	167517	72212	27772	101880	369381	0.4535	ELIGIBLE
255	279103	55223	13588	21467	369381	0.7556	ELIGIBLE
267	346891	7788	1303	13399	369381	0.9391	ELIGIBLE
268	340065	12503	2370	14443	369381	0.9206	ELIGIBLE
269	335001	12991	6265	15124	369381	0.9069	ELIGIBLE
270	330189	14279	8050	16863	369381	0.8939	ELIGIBLE
271	282369	29311	26401	31300	369381	0.7644	ELIGIBLE
272	283014	28947	27794	29626	369381	0.7662	ELIGIBLE
273	283626	31194	31662	22899	369381	0.7678	ELIGIBLE
274	283392	32239	29776	23974	369381	0.7672	ELIGIBLE
275	299727	24198	19601	25855	369381	0.8114	ELIGIBLE
276	304974	22220	17330	24857	369381	0.8256	ELIGIBLE
277	309581	19784	15384	24632	369381	0.8381	ELIGIBLE
278	314563	16934	13185	24699	369381	0.8516	ELIGIBLE
279	317957	14691	11707	25026	369381	0.8608	ELIGIBLE
280	320112	13334	10132	25803	369381	0.8666	ELIGIBLE
281	322080	11768	9464	26069	369381	0.8719	ELIGIBLE
282	323329	10875	8801	26376	369381	0.8753	ELIGIBLE
283	324367	10656	7779	26579	369381	0.8781	ELIGIBLE
284	324857	10284	7200	27040	369381	0.8795	ELIGIBLE
285	324848	10850	6332	27351	369381	0.8794	ELIGIBLE
286	325071	10537	6189	27584	369381	0.8800	ELIGIBLE
287	324944	10344	5988	28105	369381	0.8797	ELIGIBLE
288	321189	11015	7732	29445	369381	0.8695	ELIGIBLE
289	321632	10638	7079	30032	369381	0.8707	ELIGIBLE
290	321787	11120	5453	31021	369381	0.8712	ELIGIBLE
291	325113	9484	3996	30788	369381	0.8802	ELIGIBLE
292	328743	7333	2685	30620	369381	0.8900	ELIGIBLE
293	328981	6418	3005	30977	369381	0.8906	ELIGIBLE
294	328936	5977	3242	31226	369381	0.8905	ELIGIBLE
295	308349	17358	9925	33749	369381	0.8348	ELIGIBLE
296	303383	15475	6091	44432	369381	0.8213	ELIGIBLE
297	305928	19499	6832	37122	369381	0.8282	ELIGIBLE
299	307572	10866	8788	42155	369381	0.8327	ELIGIBLE
300	304685	15165	7756	41775	369381	0.8249	ELIGIBLE
301	297073	18607	9534	44167	369381	0.8042	ELIGIBLE
302	285713	23017	10733	49918	369381	0.7735	ELIGIBLE
303	274107	26659	12800	55815	369381	0.7421	ELIGIBLE
304	264708	25887	14062	64724	369381	0.7166	ELIGIBLE
305	257891	26257	13984	71249	369381	0.6982	ELIGIBLE
306	252375	26994	14354	75658	369381	0.6832	ELIGIBLE
307	211894	11230	11661	134596	369381	0.5736	ELIGIBLE
309	257210	9830	9224	93117	369381	0.6963	ELIGIBLE
310	257314	9417	9224	93426	369381	0.6966	ELIGIBLE
311	257273	9200	8350	94558	369381	0.6965	ELIGIBLE
312	257264	9632	6982	95503	369381	0.6965	ELIGIBLE
313	254680	10440	7698	96563	369381	0.6895	ELIGIBLE
314	250813	12460	8493	97615	369381	0.6790	ELIGIBLE
315	248800	13195	9032	98354	369381	0.6736	ELIGIBLE
316	243028	16454	10352	99547	369381	0.6579	ELIGIBLE
317	235166	20470	12154	101591	369381	0.6366	ELIGIBLE
