terminal	set	protein_len	status	mcc_start	mcc_end	mcc_len	N_anchor_occ	C_anchor_occ	core_occ	rt0_zone_residues	core_start_route1	core_end_route1	core_start_route2	core_end_route2	delta_start	delta_end	frac_core_blocks_agree_within_2
terminal_38	CLEAN	310	EXTRACTABLE	16	238	223	1.0	1.0	0.956	18	40	228	41	228	-1	0	0.84
terminal_39	CLEAN	310	EXTRACTABLE	21	238	218	1.0	1.0	0.962	13	40	228	41	228	-1	0	0.84
terminal_40	CLEAN	321	EXTRACTABLE	23	249	227	1.0	1.0	0.962	24	51	239	52	239	-1	0	0.84
terminal_41	CLEAN	310	EXTRACTABLE	12	238	227	1.0	1.0	0.967	17	40	228	41	228	-1	0	0.84
terminal_42	CLEAN	307	EXTRACTABLE	10	238	229	1.0	1.0	0.951	19	40	228	41	228	-1	0	0.88
terminal_43	CLEAN	310	EXTRACTABLE	25	238	214	1.0	1.0	0.967	12	40	228	41	228	-1	0	0.84
terminal_44	CLEAN	350	EXTRACTABLE	44	278	235	1.0	1.0	0.945	25	80	268	81	268	-1	0	0.92
terminal_45	CLEAN	310	EXTRACTABLE	7	238	232	1.0	1.0	0.962	21	40	228	41	228	-1	0	0.88
terminal_46	CLEAN	310	EXTRACTABLE	20	237	218	1.0	1.0	0.973	14	40	228	41	228	-1	0	0.88
terminal_47	CLEAN	310	EXTRACTABLE	23	238	216	1.0	1.0	0.962	14	40	228	41	228	-1	0	0.875
terminal_48	CLEAN	308	EXTRACTABLE	17	236	220	1.0	1.0	0.956	19	40	226	41	226	-1	0	0.92
terminal_49	CLEAN	312	EXTRACTABLE	24	242	219	1.0	1.0	0.967	13	43	232	44	232	-1	0	0.88
terminal_50	CLEAN	312	EXTRACTABLE	28	242	215	1.0	1.0	0.962	12	43	232	44	232	-1	0	0.84
terminal_51	CLEAN	315	EXTRACTABLE	27	245	219	1.0	1.0	0.973	13	46	235	47	235	-1	0	0.92
terminal_52	OTHER_SUBSTITUTE	315	EXTRACTABLE	27	241	215	1.0	1.0	0.962	13	43	232	44	232	-1	0	0.96
terminal_53	CLEAN	315	EXTRACTABLE	18	244	227	1.0	1.0	0.973	21	43	234	44	234	-1	0	0.8
terminal_54	CLEAN	312	EXTRACTABLE	22	240	219	1.0	1.0	0.984	15	40	230	41	230	-1	0	0.84
terminal_55	CLEAN	308	EXTRACTABLE	26	238	213	1.0	1.0	0.951	11	40	230	41	230	-1	0	0.833
terminal_56	CLEAN	312	EXTRACTABLE	13	238	226	1.0	1.0	0.978	21	40	230	41	230	-1	0	0.84
terminal_57	CLEAN	313	EXTRACTABLE	13	238	226	1.0	1.0	0.984	23	40	230	41	230	-1	0	0.8
terminal_58	CLEAN	313	EXTRACTABLE	20	239	220	1.0	1.0	0.978	15	41	231	42	231	-1	0	0.88
terminal_59	CLEAN	315	EXTRACTABLE	26	241	216	1.0	1.0	0.962	12	41	231	42	231	-1	0	0.96
terminal_60	CLEAN	315	EXTRACTABLE	26	240	215	1.0	1.0	0.962	12	41	231	42	231	-1	0	0.88
terminal_61	CLEAN	370	EXTRACTABLE	76	295	220	1.0	1.0	0.967	13	96	286	97	286	-1	0	0.88
terminal_62	CLEAN	315	EXTRACTABLE	16	238	223	1.0	1.0	0.989	20	39	229	40	229	-1	0	0.84
terminal_63	CLEAN	320	EXTRACTABLE	21	238	218	1.0	1.0	0.956	15	39	229	40	229	-1	0	0.8
terminal_64	CLEAN	312	EXTRACTABLE	22	238	217	1.0	1.0	0.967	14	39	229	40	229	-1	0	0.88
terminal_65	CLEAN	312	EXTRACTABLE	11	238	228	1.0	1.0	0.973	25	39	229	40	229	-1	0	0.92
terminal_66	CLEAN	314	EXTRACTABLE	22	238	217	1.0	1.0	0.973	14	39	229	40	229	-1	0	0.92
terminal_67	CLEAN	314	EXTRACTABLE	21	238	218	1.0	1.0	0.984	15	39	229	40	229	-1	0	0.84
terminal_68	CLEAN	312	EXTRACTABLE	21	239	219	1.0	1.0	0.984	15	39	229	40	229	-1	0	0.84
terminal_69	CLEAN	332	EXTRACTABLE	38	255	218	1.0	1.0	0.973	15	56	246	57	246	-1	0	0.92
terminal_70	CLEAN	312	EXTRACTABLE	22	238	217	1.0	1.0	0.973	14	39	229	40	229	-1	0	0.92
terminal_71	CLEAN	313	EXTRACTABLE	23	238	216	1.0	1.0	0.967	13	39	229	40	229	-1	0	0.88
terminal_72	CLEAN	318	EXTRACTABLE	23	237	215	1.0	1.0	0.973	13	39	229	40	229	-1	0	0.92
terminal_73	CLEAN	310	EXTRACTABLE	22	238	217	1.0	1.0	0.973	14	39	229	40	229	-1	0	0.92
terminal_74	CLEAN	306	EXTRACTABLE	19	237	219	1.0	1.0	0.962	15	41	229	42	229	-1	0	0.92
terminal_75	CLEAN	314	EXTRACTABLE	18	239	222	1.0	1.0	0.973	19	40	230	41	230	-1	0	0.92
terminal_76	CLEAN	312	EXTRACTABLE	20	239	220	1.0	1.0	0.984	17	40	229	41	229	-1	0	0.84
terminal_77	CLEAN	337	EXTRACTABLE	36	264	229	1.0	1.0	0.989	26	65	254	66	254	-1	0	0.84
terminal_78	CLEAN	339	EXTRACTABLE	49	267	219	1.0	1.0	0.984	16	68	257	69	257	-1	0	0.84
terminal_79	CLEAN	311	EXTRACTABLE	14	238	225	1.0	1.0	0.984	23	40	229	41	229	-1	0	0.88
terminal_80	CLEAN	309	EXTRACTABLE	25	239	215	1.0	1.0	0.984	12	40	229	41	229	-1	0	0.84
terminal_81	CLEAN	311	EXTRACTABLE	22	238	217	1.0	1.0	0.967	15	40	229	41	229	-1	0	0.92
terminal_82	CLEAN	311	EXTRACTABLE	16	238	223	1.0	1.0	0.951	20	40	229	41	229	-1	0	0.96
terminal_83	CLEAN	309	EXTRACTABLE	20	238	219	1.0	1.0	0.962	16	40	229	41	229	-1	0	0.92
terminal_84	CLEAN	310	EXTRACTABLE	22	240	219	1.0	1.0	0.973	15	40	230	41	230	-1	0	0.92
terminal_85	CLEAN	316	EXTRACTABLE	25	239	215	1.0	1.0	0.973	12	40	230	41	230	-1	0	0.92
terminal_86	OTHER_SUBSTITUTE	216	N_TRUNCATED	1	144	144	0.0	1.0	0.681	0	1	135	1	135			0.882
terminal_87	CLEAN	274	EXTRACTABLE	37	251	215	1.0	1.0	0.978	12	52	242	53	242	-1	0	0.88
terminal_88	CLEAN	315	EXTRACTABLE	30	244	215	1.0	1.0	0.984	11	44	234	45	234	-1	0	0.84
terminal_89	CLEAN	320	EXTRACTABLE	18	241	224	1.0	1.0	0.934	20	42	232	43	232	-1	0	0.92
terminal_90	CLEAN	320	EXTRACTABLE	21	241	221	1.0	1.0	0.967	15	42	232	43	232	-1	0	0.92
terminal_91	CLEAN	321	EXTRACTABLE	23	241	219	1.0	1.0	0.967	13	42	232	43	232	-1	0	0.8
terminal_92	CLEAN	321	EXTRACTABLE	25	241	217	1.0	1.0	0.956	14	42	232	43	232	-1	0	0.96
terminal_93	CLEAN	320	EXTRACTABLE	24	242	219	1.0	1.0	0.973	15	42	232	43	232	-1	0	0.88
terminal_94	CLEAN	316	EXTRACTABLE	23	242	220	1.0	1.0	0.962	13	42	232	43	232	-1	0	0.8
terminal_95	CLEAN	316	EXTRACTABLE	18	242	225	1.0	1.0	0.951	20	42	232	43	232	-1	0	0.88
terminal_96	CLEAN	320	EXTRACTABLE	13	241	229	1.0	1.0	0.978	25	42	232	43	232	-1	0	0.88
terminal_97	CLEAN	316	EXTRACTABLE	13	242	230	1.0	1.0	0.978	25	42	232	43	232	-1	0	0.92
terminal_98	CLEAN	313	EXTRACTABLE	22	242	221	1.0	1.0	0.956	16	42	232	43	232	-1	0	0.96
terminal_99	CLEAN	316	EXTRACTABLE	20	242	223	1.0	1.0	0.984	18	42	232	43	232	-1	0	0.84
terminal_100	CLEAN	320	EXTRACTABLE	34	249	216	1.0	1.0	0.973	12	49	239	50	239	-1	0	0.92
terminal_101	CLEAN	318	EXTRACTABLE	28	244	217	1.0	1.0	0.973	13	45	235	46	235	-1	0	0.92
terminal_102	CLEAN	310	EXTRACTABLE	17	242	226	1.0	1.0	0.962	21	42	232	43	232	-1	0	0.92
terminal_103	CLEAN	380	EXTRACTABLE	85	306	222	1.0	1.0	0.978	19	107	297	108	297	-1	0	0.88
terminal_104	CLEAN	379	EXTRACTABLE	83	305	223	1.0	1.0	0.989	20	106	296	107	296	-1	0	0.84
terminal_105	CLEAN	338	EXTRACTABLE	31	262	232	1.0	1.0	0.973	28	64	252	65	252	-1	0	0.88
terminal_106	CLEAN	342	EXTRACTABLE	49	264	216	1.0	1.0	0.973	12	64	254	65	254	-1	0	0.92
terminal_107	CLEAN	327	EXTRACTABLE	35	248	214	1.0	1.0	0.945	16	56	246	57	246	-1	0	0.84
terminal_108	CLEAN	339	EXTRACTABLE	52	265	214	1.0	1.0	0.967	12	67	256	68	256	-1	0	0.92
terminal_109	CLEAN	314	EXTRACTABLE	24	237	214	1.0	1.0	0.951	15	42	234	43	234	-1	0	0.96
terminal_110	CLEAN	318	EXTRACTABLE	23	241	219	1.0	1.0	0.951	22	48	238	49	238	-1	0	0.88
terminal_111	OTHER_SUBSTITUTE	455	EXTRACTABLE	62	308	247	1.0	1.0	0.989	39	107	299	107	299	0	0	1.0
terminal_112	CLEAN	310	EXTRACTABLE	24	236	213	1.0	1.0	0.962	12	40	227	41	227	-1	0	0.92
terminal_113	CLEAN	310	EXTRACTABLE	23	236	214	1.0	1.0	0.973	13	40	227	41	227	-1	0	0.92
terminal_114	CLEAN	310	EXTRACTABLE	24	236	213	1.0	1.0	0.956	12	40	227	41	227	-1	0	0.92
terminal_115	CLEAN	311	EXTRACTABLE	21	238	218	1.0	1.0	0.951	13	41	229	42	229	-1	0	0.96
terminal_116	RNAP_SUBSTITUTE	48	NO_HIT	27	27	1	0.0	0.0	0.0	1							
terminal_117	CLEAN	316	EXTRACTABLE	25	238	214	1.0	1.0	0.978	12	41	229	42	229	-1	0	0.88
terminal_118	CLEAN	309	EXTRACTABLE	23	238	216	1.0	1.0	0.989	14	41	229	42	229	-1	0	0.84
terminal_119	CLEAN	308	EXTRACTABLE	22	238	217	1.0	1.0	0.967	15	41	229	42	229	-1	0	0.92
terminal_120	CLEAN	308	EXTRACTABLE	16	238	223	1.0	1.0	0.973	21	41	229	42	229	-1	0	0.76
terminal_121	CLEAN	320	EXTRACTABLE	25	238	214	1.0	1.0	0.978	12	41	229	42	229	-1	0	0.84
terminal_122	CLEAN	313	EXTRACTABLE	23	238	216	1.0	1.0	0.956	14	41	229	42	229	-1	0	0.92
terminal_123	CLEAN	309	EXTRACTABLE	9	239	231	1.0	1.0	0.962	27	41	229	42	229	-1	0	0.92
terminal_124	CLEAN	307	EXTRACTABLE	22	237	216	1.0	1.0	0.973	15	41	229	42	229	-1	0	0.92
terminal_125	CLEAN	312	EXTRACTABLE	26	244	219	1.0	1.0	0.984	13	46	234	47	234	-1	0	0.88
terminal_126	OTHER_SUBSTITUTE	316	EXTRACTABLE	7	248	242	1.0	1.0	0.984	26	50	238	51	238	-1	0	0.88
terminal_127	CLEAN	315	EXTRACTABLE	27	239	213	1.0	1.0	0.973	12	42	230	44	230	-2	0	0.92
terminal_128	CLEAN	315	EXTRACTABLE	16	238	223	1.0	1.0	0.989	22	42	230	44	230	-2	0	0.84
terminal_129	CLEAN	310	EXTRACTABLE	21	239	219	1.0	1.0	0.989	13	41	229	42	229	-1	0	0.92
terminal_130	CLEAN	312	EXTRACTABLE	21	239	219	1.0	1.0	0.967	13	41	229	42	229	-1	0	0.92
terminal_131	CLEAN	310	EXTRACTABLE	19	239	221	1.0	1.0	0.962	15	41	229	42	229	-1	0	0.84
terminal_132	CLEAN	309	EXTRACTABLE	21	237	217	1.0	1.0	0.973	13	40	228	42	228	-2	0	0.92
terminal_133	CLEAN	311	EXTRACTABLE	18	238	221	1.0	1.0	0.967	16	41	229	42	229	-1	0	0.92
terminal_134	CLEAN	309	EXTRACTABLE	21	237	217	1.0	1.0	0.967	13	40	228	42	228	-2	0	0.88
terminal_135	CLEAN	313	EXTRACTABLE	25	240	216	1.0	1.0	0.951	12	41	230	42	230	-1	0	0.88
terminal_136	CLEAN	313	EXTRACTABLE	25	240	216	1.0	1.0	0.951	12	41	230	42	230	-1	0	0.88
terminal_137	CLEAN	313	EXTRACTABLE	20	239	220	1.0	1.0	0.967	15	42	230	43	230	-1	0	0.92
terminal_138	CLEAN	314	EXTRACTABLE	16	240	225	1.0	1.0	0.967	19	42	230	43	230	-1	0	0.92
terminal_139	CLEAN	315	EXTRACTABLE	19	237	219	1.0	1.0	0.984	17	41	229	42	229	-1	0	0.92
terminal_140	CLEAN	312	EXTRACTABLE	25	239	215	1.0	1.0	0.962	12	41	229	42	229	-1	0	0.96
terminal_141	CLEAN	314	EXTRACTABLE	17	238	222	1.0	1.0	0.978	19	41	229	42	229	-1	0	0.92
terminal_142	CLEAN	236	C_TRUNCATED	16	223	208	1.0	0.0	0.951	20	41	223	42	225			0.833
terminal_143	CLEAN	315	EXTRACTABLE	25	242	218	1.0	1.0	0.978	15	44	232	45	232	-1	0	0.88
terminal_144	CLEAN	313	EXTRACTABLE	26	242	217	1.0	1.0	0.973	14	44	232	45	232	-1	0	0.92
terminal_145	CLEAN	335	EXTRACTABLE	42	260	219	1.0	1.0	0.984	20	67	255	68	255	-1	0	0.84
terminal_146	CLEAN	312	EXTRACTABLE	23	238	216	1.0	1.0	0.967	14	41	229	42	229	-1	0	0.92
terminal_147	CLEAN	308	EXTRACTABLE	24	237	214	1.0	1.0	0.978	13	40	228	41	228	-1	0	0.84
terminal_148	CLEAN	308	EXTRACTABLE	24	237	214	1.0	1.0	0.973	13	40	228	41	228	-1	0	0.88
terminal_149	CLEAN	310	EXTRACTABLE	25	237	213	1.0	1.0	0.967	12	40	228	41	228	-1	0	0.88
terminal_150	CLEAN	314	EXTRACTABLE	20	241	222	1.0	1.0	0.984	16	41	232	42	232	-1	0	0.88
terminal_151	CLEAN	312	EXTRACTABLE	22	237	216	1.0	1.0	0.973	15	41	229	42	229	-1	0	0.8
terminal_152	CLEAN	312	EXTRACTABLE	16	237	222	1.0	1.0	0.962	20	41	229	42	229	-1	0	0.84
terminal_153	CLEAN	321	EXTRACTABLE	22	238	217	1.0	1.0	0.978	15	41	229	42	229	-1	0	0.84
terminal_154	CLEAN	312	EXTRACTABLE	16	237	222	1.0	1.0	0.978	18	41	229	42	229	-1	0	0.84
terminal_155	CLEAN	324	EXTRACTABLE	22	239	218	1.0	1.0	0.967	15	41	229	42	229	-1	0	0.92
terminal_156	CLEAN	310	EXTRACTABLE	22	238	217	1.0	1.0	0.962	15	41	229	42	229	-1	0	0.92
terminal_157	CLEAN	304	EXTRACTABLE	25	238	214	1.0	1.0	0.962	12	41	228	42	228	-1	0	0.917
terminal_158	CLEAN	311	EXTRACTABLE	24	236	213	1.0	1.0	0.951	13	40	227	41	227	-1	0	0.917
terminal_159	CLEAN	323	EXTRACTABLE	29	247	219	1.0	1.0	0.962	15	50	237	51	237	-1	0	0.917
terminal_160	CLEAN	318	EXTRACTABLE	32	242	211	1.0	1.0	0.951	12	47	232	48	232	-1	0	0.958
terminal_161	CLEAN	310	EXTRACTABLE	23	235	213	1.0	1.0	0.956	14	41	228	42	228	-1	0	0.75
terminal_162	CLEAN	316	EXTRACTABLE	25	236	212	1.0	1.0	0.967	12	41	228	42	228	-1	0	0.792
terminal_163	CLEAN	314	EXTRACTABLE	25	236	212	1.0	1.0	0.973	12	41	228	42	228	-1	0	0.875
terminal_164	CLEAN	323	EXTRACTABLE	33	239	207	1.0	1.0	0.973	9	46	232	47	232	-1	0	0.833
terminal_165	CLEAN	307	EXTRACTABLE	26	236	211	1.0	1.0	0.973	11	41	228	42	228	-1	0	0.833
terminal_166	CLEAN	308	EXTRACTABLE	25	230	206	1.0	1.0	0.978	12	41	228	42	228	-1	0	0.833
terminal_167	CLEAN	309	EXTRACTABLE	23	235	213	1.0	1.0	0.962	14	41	228	42	228	-1	0	0.833
terminal_168	CLEAN	307	EXTRACTABLE	25	237	213	1.0	1.0	0.962	12	40	228	41	228	-1	0	0.833
terminal_169	CLEAN	308	EXTRACTABLE	23	238	216	1.0	1.0	0.967	15	42	229	43	229	-1	0	0.833
terminal_170	CLEAN	315	EXTRACTABLE	30	241	212	1.0	1.0	0.984	12	46	233	47	233	-1	0	0.84
terminal_171	CLEAN	317	EXTRACTABLE	30	241	212	1.0	1.0	0.967	12	46	233	47	233	-1	0	0.92
terminal_172	CLEAN	319	EXTRACTABLE	30	240	211	1.0	1.0	0.962	12	46	233	47	233	-1	0	0.84
terminal_173	CLEAN	330	EXTRACTABLE	29	239	211	1.0	1.0	0.978	13	46	233	47	233	-1	0	0.76
terminal_174	CLEAN	312	EXTRACTABLE	29	234	206	1.0	1.0	0.978	13	46	234	47	234	-1	0	0.84
terminal_175	CLEAN	298	EXTRACTABLE	21	237	217	1.0	1.0	0.978	15	39	228	40	228	-1	0	0.84
terminal_176	CLEAN	296	EXTRACTABLE	21	235	215	1.0	1.0	0.984	15	39	226	40	226	-1	0	0.84
terminal_177	CLEAN	300	EXTRACTABLE	19	239	221	1.0	1.0	0.973	16	39	230	40	230	-1	0	0.88
terminal_178	OTHER_SUBSTITUTE	302	EXTRACTABLE	24	238	215	1.0	1.0	0.967	14	41	229	42	229	-1	0	0.88
terminal_179	CLEAN	307	EXTRACTABLE	25	238	214	1.0	1.0	0.962	13	41	229	42	229	-1	0	0.88
terminal_180	CLEAN	315	EXTRACTABLE	24	233	210	1.0	1.0	0.951	12	40	226	41	226	-1	0	0.72
terminal_181	CLEAN	320	EXTRACTABLE	22	238	217	1.0	1.0	0.978	15	41	230	42	230	-1	0	0.875
terminal_182	CLEAN	309	C_TRUNCATED	26	228	203	1.0	0.333	0.94	13	43	228	44	232			0.92
terminal_183	CLEAN	316	EXTRACTABLE	24	237	214	1.0	1.0	0.967	14	41	230	42	230	-1	0	0.917
terminal_184	CLEAN	317	EXTRACTABLE	26	236	211	1.0	1.0	0.951	12	41	229	42	229	-1	0	0.917
terminal_185	CLEAN	308	EXTRACTABLE	20	229	210	1.0	1.0	0.962	12	35	224	36	224	-1	0	0.833
terminal_186	CLEAN	311	EXTRACTABLE	23	237	215	1.0	1.0	0.973	15	41	229	42	229	-1	0	0.917
terminal_187	CLEAN	313	EXTRACTABLE	26	236	211	1.0	1.0	0.951	12	41	228	42	228	-1	0	0.833
terminal_188	CLEAN	327	EXTRACTABLE	24	236	213	1.0	1.0	0.967	14	41	229	42	229	-1	0	0.917
terminal_189	CLEAN	327	EXTRACTABLE	24	236	213	1.0	1.0	0.967	14	41	229	42	229	-1	0	0.917
terminal_190	CLEAN	328	EXTRACTABLE	24	236	213	1.0	1.0	0.967	14	41	229	42	229	-1	0	0.917
terminal_191	CLEAN	328	EXTRACTABLE	25	237	213	1.0	1.0	0.967	13	41	229	42	229	-1	0	0.917
terminal_192	OTHER_SUBSTITUTE	318	EXTRACTABLE	27	239	213	1.0	1.0	0.978	12	42	231	43	230	-1	1	0.75
terminal_193	CLEAN	315	EXTRACTABLE	25	238	214	1.0	1.0	0.978	13	41	230	42	229	-1	1	0.833
terminal_194	CLEAN	315	EXTRACTABLE	22	238	217	1.0	1.0	0.967	16	41	230	42	229	-1	1	0.75
terminal_195	OTHER_SUBSTITUTE	326	EXTRACTABLE	24	238	215	1.0	1.0	0.967	14	41	229	42	229	-1	0	0.917
terminal_196	CLEAN	328	EXTRACTABLE	25	238	214	1.0	1.0	0.984	13	41	229	42	229	-1	0	0.833
terminal_197	CLEAN	325	EXTRACTABLE	16	238	223	1.0	1.0	0.962	21	41	229	42	229	-1	0	0.917
terminal_198	CLEAN	328	EXTRACTABLE	27	241	215	1.0	1.0	0.984	12	43	231	44	231	-1	0	0.833
terminal_199	CLEAN	319	EXTRACTABLE	12	229	218	1.0	1.0	0.984	13	29	219	30	219	-1	0	0.917
terminal_200	CLEAN	316	EXTRACTABLE	25	238	214	1.0	1.0	0.967	13	42	230	43	230	-1	0	0.917
terminal_201	CLEAN	309	EXTRACTABLE	24	236	213	1.0	1.0	0.912	14	41	228	42	228	-1	0	0.875
terminal_202	CLEAN	310	EXTRACTABLE	24	237	214	1.0	1.0	0.94	14	41	228	42	228	-1	0	0.917
terminal_203	CLEAN	306	EXTRACTABLE	23	236	214	1.0	1.0	0.967	15	41	228	42	228	-1	0	0.917
terminal_204	CLEAN	322	EXTRACTABLE	24	237	214	1.0	1.0	0.956	14	41	230	42	229	-1	1	0.917
terminal_205	CLEAN	321	EXTRACTABLE	15	235	221	1.0	1.0	0.94	23	41	227	42	227	-1	0	0.84
terminal_206	CLEAN	321	EXTRACTABLE	16	235	220	1.0	1.0	0.978	22	41	227	42	227	-1	0	0.88
terminal_207	CLEAN	318	EXTRACTABLE	17	239	223	1.0	1.0	0.967	22	43	230	44	230	-1	0	0.84
terminal_208	CLEAN	318	EXTRACTABLE	20	238	219	1.0	1.0	0.967	15	41	229	42	229	-1	0	0.88
terminal_209	CLEAN	323	EXTRACTABLE	7	237	231	1.0	1.0	0.956	22	41	229	42	229	-1	0	0.84
terminal_210	CLEAN	337	EXTRACTABLE	16	227	212	1.0	0.833	0.934	19	40	227	41	228	-1	-1	0.84
terminal_211	CLEAN	320	C_TRUNCATED	20	222	203	1.0	0.0	0.923	15	40	222	41	228			0.958
terminal_212	CLEAN	326	C_TRUNCATED	20	222	203	1.0	0.0	0.923	15	40	222	41	228			0.958
terminal_213	CLEAN	314	EXTRACTABLE	27	241	215	1.0	1.0	0.967	12	43	233	44	232	-1	1	0.917
terminal_214	CLEAN	318	EXTRACTABLE	25	242	218	1.0	1.0	0.967	14	43	233	44	232	-1	1	0.917
terminal_215	CLEAN	311	EXTRACTABLE	27	230	204	1.0	0.667	0.94	12	42	230	43	231	-1	-1	0.958
terminal_216	CLEAN	317	EXTRACTABLE	28	240	213	1.0	1.0	0.973	12	43	232	44	232	-1	0	0.75
terminal_217	CLEAN	317	EXTRACTABLE	28	240	213	1.0	1.0	0.973	12	43	232	44	232	-1	0	0.75
terminal_218	CLEAN	317	EXTRACTABLE	28	240	213	1.0	1.0	0.956	12	43	232	44	232	-1	0	0.833
terminal_219	CLEAN	317	EXTRACTABLE	28	240	213	1.0	1.0	0.967	12	43	232	44	232	-1	0	0.833
terminal_220	CLEAN	317	EXTRACTABLE	28	240	213	1.0	1.0	0.967	12	43	232	44	232	-1	0	0.75
terminal_221	CLEAN	317	EXTRACTABLE	24	240	217	1.0	1.0	0.962	13	43	232	44	232	-1	0	0.833
terminal_222	OTHER_SUBSTITUTE	315	EXTRACTABLE	28	240	213	1.0	1.0	0.956	12	43	233	44	232	-1	1	0.792
terminal_223	CLEAN	318	EXTRACTABLE	28	240	213	1.0	1.0	0.956	12	43	232	44	232	-1	0	0.833
terminal_224	CLEAN	321	EXTRACTABLE	25	241	217	1.0	0.833	0.934	15	43	232	44	232	-1	0	0.833
