asset	identity	allowed_for_derivation	allowed_for_threshold_selection	allowed_for_validation	allowed_as_comparator	reason	circularity_risk
anchors72 - the 26 PDB sequences	the PDB_ subset	NO	NO	YES - the sequences only, and only as the structural arm of Q14, LtrA excluded	YES	their SEQUENCES are absent from the new derivation substrate, because that substrate is ALIGN_000044 alone. They are therefore clean with respect to THIS derivation, which the old design could not say. Their selection history remains conditioned and is reported.	MEDIUM - clean for this derivation, but the panel is structure-conditioned and 10 of 26 overlap the ph38 re-scan
PDB_5G2X_3 - LtrA	the one sequence shared by all167 and ALIGN_000044	YES - it is a derivation-substrate member and the coordinate carrier	YES	NO - excluded from Q14 by rule	NO	LtrA cannot be both the coordinate system and an independent structural test of that coordinate system	HIGH if it were admitted to Q14; NONE once excluded
CAND95	95 CAND_ sequences, rt_hash identifiers	NO	NO	NO	YES - audit only	minted by f3a_recruit.py from the 501k dedup corpus; kept by a structural gate over ESMFold models with at least 3 crystal donors at TM at least 0.5 and pLDDT at least 70; every member arrived carrying frozen palm-HMM boundary coordinates, an xxDD motif string and a family call	HIGH - both structure-conditioned and already boundary-annotated
prior palm-HMM frozen coordinates	palm_qs_frozen, palm_qe_frozen, palm_cov_frozen on CAND rows	NO	NO	NO	YES - audit only	prior derived region coordinates; admitting them would import the very boundaries g4 is supposed to derive	HIGH
prior RT0-RT7 HMMs - RT17_CORE, B_span17, A_span17, B_full, RETRON_SEED	g3_frame_identity.tsv; RT17_CORE and B_span17 are one file, sha256 f3ddb0b5deb5e1488027ac0e11e3b7efa66dbcf044be154b6bb766fa9cad419a	NO	NO	NO	YES - comparator in g7	RT17_CORE is the 167-sequence model and saw all 95 candidates; the prior work says so itself	HIGH
the other 483 prior profile HMMs	preg4_model_lineage.tsv; 38 built from all167, 42 from anchors72, 43 ship under a name they do not declare	NO	NO	NO	YES - comparator in g7	as above	HIGH
prior boundary and frame tables	rt0_rt7_frame.tsv and the 29-block prior frame	NO	NO	NO	YES - comparator, already audited in g3	24 of 28 prior blocks are order_interpolated rather than fixed by a published motif	HIGH
prior interpolated blocks	the 24 order_interpolated rows	NO	NO	NO	YES - audit only	interpolation between anchors is not evidence of a boundary	HIGH
structure-derived boundary products - DSSP fingers/palm/thumb assignments, d2j_boundary_crossval	prior D_instrument outputs	NO	NO	NO - not for defining any sequence region	YES - for Q14 containment only, after the sequence detector is frozen	launcher section 5d: structure may constrain or falsify a sequence-defined block but may not manufacture the seven-way sequence partition	HIGH if used before freeze; acceptable as a post-freeze comparator
GOLD171	171 unique retron proteins; 44 exact seed members	NO	NO	YES - as a challenge arm, reported in strata	YES	a retron literature challenge population with visible conditioning, not a gold standard	MEDIUM - reported in four strata so the conditioning stays visible
Stage-1 exact-RT catalogue	rt_exact_v1.faa / .parquet, 501,561 rows	NO	NO	YES - only through the bounded sampling frame	YES	no full pass in g1-g4; see bounded_sampling_plan.tsv	MEDIUM - 146 old-seed sequences are exact members and 162 are at least 90 percent identical to one, so the sample is filtered by identity against the DERIVATION set and, separately, against the old seed
Stage-1 landed metadata tables	rt_family_baseline_v1.parquet, rt_cds_recovery_v1.parquet, g4_completeness_by_family.tsv, g4_exact_rt_per_family_label.tsv	NO	NO	YES - as the sampling frame and stratum definitions	YES	eligibility and stratum variables only; no sequence analysis	LOW
myRT reference package	RVT-All.hmm, 45 models, 1988 summed NSEQ; three files checksum-unverified	NO	NO	NO	YES - g7 comparator	published comparator tier; must never seed the reconstructed frame; may not be described as the checksum-verified published package	HIGH if used for derivation
Toro 2014 742-sequence block FASTA; Toro 2026; Mestre 2020; SPIRE	references/rt0_rt7/	NO	NO	NO	YES - g7 comparator	published comparator tier under launcher section 5d	HIGH if used for derivation
Blocker 2005 LtrA RT0 M1-R85 and RT1/7 R86-R364	g1 assignment B02	NO	NO	YES - as a zone-level consistency check only	YES	a two-way zone partition on one protein, in a different partitioning scheme; it may falsify a gross placement, it may not supply per-region edges	MEDIUM - already used this way in g2 H09 and must not be escalated
