region_id	region_name	series	rt0_rt7_scope	verdict	classes_anywhere	boundary_kinds_anywhere	n_sources_naming_it	sources_naming_it	may_receive_a_boundary_later	unit	frame	stratum	denominator
domain_X	domain X	adjacent_domain	OUTSIDE_RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	3	blocker2005,simon2008,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	adjacent_domain	32 region names in scope
spacer_4_5	4/5 spacer	spacer	OUTSIDE_RT1_RT7	DERIVABLE_PROCEDURE	EXPLICIT_STATED_BOUNDARY	RELATIVE_POSITION	1	zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	spacer	32 region names in scope
spacer_7_X	7/X spacer	spacer	OUTSIDE_RT1_RT7	DERIVABLE_PROCEDURE	EXPLICIT_STATED_BOUNDARY	RELATIVE_POSITION	1	zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	spacer	32 region names in scope
motif_A	motif A	poch_motif_series	PREDECESSOR_PARTITION	DERIVABLE_PROCEDURE	MOTIF_EVIDENCE	NONE	1	poch1989	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	poch_motif_series	32 region names in scope
motif_B	motif B	poch_motif_series	PREDECESSOR_PARTITION	DERIVABLE_PROCEDURE	MOTIF_EVIDENCE	NONE	1	poch1989	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	poch_motif_series	32 region names in scope
motif_C	motif C	poch_motif_series	PREDECESSOR_PARTITION	DERIVABLE_PROCEDURE	MOTIF_EVIDENCE	NONE	1	poch1989	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	poch_motif_series	32 region names in scope
motif_D	motif D	poch_motif_series	PREDECESSOR_PARTITION	DERIVABLE_PROCEDURE	MOTIF_EVIDENCE	NONE	1	poch1989	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	poch_motif_series	32 region names in scope
motif_E	motif E	poch_motif_series	PREDECESSOR_PARTITION	NO_OPERATIONAL_BASIS	TERMINOLOGY_ONLY	NONE	1	poch1989	NO - launcher section 2: no operational basis	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	poch_motif_series	32 region names in scope
motif_F	motif F	poch_motif_series	PREDECESSOR_PARTITION	NOT_IN_HELD_EVIDENCE	NONE	NONE	0	NONE	NO - launcher section 2: no operational basis	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	poch_motif_series	32 region names in scope
regions_a_e	regions a-e	poch_motif_series	PREDECESSOR_PARTITION	DERIVABLE_PROCEDURE	MOTIF_EVIDENCE	NONE	1	xiong1990	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	poch_motif_series	32 region names in scope
struct_palm	palm	structural_partition	STRUCTURAL_NOT_SEQUENCE	STRUCTURAL_DEFINED_ELSEWHERE	TERMINOLOGY_ONLY	NONE	3	blocker2005,simon2008,zimmerly2001	NO - not a sequence block	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	structural_partition	32 region names in scope
struct_fingers	fingers	structural_partition	STRUCTURAL_NOT_SEQUENCE	STRUCTURAL_DEFINED_ELSEWHERE	TERMINOLOGY_ONLY	NONE	3	blocker2005,simon2008,zimmerly2001	NO - not a sequence block	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	structural_partition	32 region names in scope
struct_thumb	thumb	structural_partition	STRUCTURAL_NOT_SEQUENCE	STRUCTURAL_DEFINED_ELSEWHERE	TERMINOLOGY_ONLY	NONE	3	blocker2005,simon2008,zimmerly2001	NO - not a sequence block	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	structural_partition	32 region names in scope
motif_YXDD	Y/FxDD catalytic motif	catalytic_landmark	LANDMARK	DERIVABLE_PROCEDURE	MOTIF_EVIDENCE	NONE	3	poch1989,simon2008,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	catalytic_landmark	32 region names in scope
rt0_spelling	RT0 (modern spelling)	modern_spelling	RT0_SEPARATE	SPELLING_WITH_STRUCTURAL_COORDINATE_ONLY	INHERITED_WITHOUT_DEFINITION|EXPLICIT_STATED_BOUNDARY	RESIDUE_COORDINATE	1	blocker2005	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
rt1_spelling	RT1 (modern spelling)	modern_spelling	RT1_RT7	SPELLING_ONLY_NO_INDEPENDENT_DERIVATION	INHERITED_WITHOUT_DEFINITION	NONE	2	blocker2005,zimmerly2001	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
rt2_spelling	RT2 (modern spelling)	modern_spelling	RT1_RT7	SPELLING_ONLY_NO_INDEPENDENT_DERIVATION	INHERITED_WITHOUT_DEFINITION	NONE	1	blocker2005	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
rt3_spelling	RT3 (modern spelling)	modern_spelling	RT1_RT7	SPELLING_ONLY_NO_INDEPENDENT_DERIVATION	INHERITED_WITHOUT_DEFINITION	NONE	1	blocker2005	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
rt4_spelling	RT4 (modern spelling)	modern_spelling	RT1_RT7	SPELLING_ONLY_NO_INDEPENDENT_DERIVATION	INHERITED_WITHOUT_DEFINITION	NONE	1	blocker2005	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
rt5_spelling	RT5 (modern spelling)	modern_spelling	RT1_RT7	SPELLING_ONLY_NO_INDEPENDENT_DERIVATION	INHERITED_WITHOUT_DEFINITION	NONE	1	blocker2005	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
rt6_spelling	RT6 (modern spelling)	modern_spelling	RT1_RT7	SPELLING_ONLY_NO_INDEPENDENT_DERIVATION	INHERITED_WITHOUT_DEFINITION	NONE	1	blocker2005	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
rt7_spelling	RT7 (modern spelling)	modern_spelling	RT1_RT7	SPELLING_ONLY_NO_INDEPENDENT_DERIVATION	INHERITED_WITHOUT_DEFINITION	NONE	1	blocker2005	YES - as the concept it spells, not as a spelling	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	modern_spelling	32 region names in scope
