assignment_id	source_id	region_ids	evidence_class	boundary_kind	verification	page_locator	quote	note	unit	denominator
Z03	zimmerly2001	domain_0	INHERITED_WITHOUT_DEFINITION	NOT_A_BOUNDARY	VERIFIED	1	[Domain 0 was formerly called domain Z but was more recently renamed domain 0 in non-LTR RTs (7)]	The rename that makes the RT0 concept older than its name, and attributes it to a source outside the held set.	quoted passage	assignments declared in control/
Z04	zimmerly2001	domain_0|domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7|domain_X	INHERITED_WITHOUT_DEFINITION	NOT_A_BOUNDARY	VERIFIED	3	are labeled according to previous studies (7,9,32) taking into account the boundaries of conservation seen in our alignment	The labels are inherited from three earlier papers. This single sentence is why the numbering has to be traced rather than read off.	quoted passage	assignments declared in control/
Z05	zimmerly2001	domain_0|domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	3	taking into account the boundaries of conservation seen in our alignment	The same sentence also states that the inherited labels were adjusted against this paper's own alignment, which is the alignment acquired in this gate as ALIGN_000044.	quoted passage	assignments declared in control/
Z06	zimmerly2001	domain_0	EXPLICIT_STATED_BOUNDARY	SCOPE_RULE	VERIFIED	3	subdomain 0 is conserved only between group II intron and non-LTR RTs	The scope statement the launcher treats as load-bearing. Verified at the PDF in this gate rather than inherited from the prior dossier. It bounds where the concept applies; it is not a residue boundary.	quoted passage	assignments declared in control/
Z07	zimmerly2001	domain_2a	EXPLICIT_STATED_BOUNDARY	SCOPE_RULE	VERIFIED	3	subdomain 2A is weakly conserved among non-LTR, group II intron and retron RTs	The companion scope statement, and the only held Tier-1 sentence that names retron RTs and a numbered region together.	quoted passage	assignments declared in control/
Z08	zimmerly2001	spacer_4_5|spacer_7_X	EXPLICIT_STATED_BOUNDARY	RELATIVE_POSITION	VERIFIED	3	These sites are between subdomains 4 and 5 of the RT domain (the 4/5 spacer) and between subdomain 7 and domain X (the 7/X spacer)	Two named regions defined by what they lie between, with stated length ranges. Defining a gap is not defining the blocks on either side of it.	quoted passage	assignments declared in control/
Z09	zimmerly2001	domain_X|struct_thumb	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	1	Domain X (analogous to the thumb structure of HIV-RT)	Domain X named and mapped to the thumb by analogy.	quoted passage	assignments declared in control/
Z10	zimmerly2001	domain_0|domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	3	RT subdomains 0-7 are equally conserved within each of the mitochondrial and bacterial groups (90 and 94 residues respectively)	A count of conserved residues over the whole series, per group. A total for the series is not a per-block extent.	quoted passage	assignments declared in control/
Z11	zimmerly2001	motif_YXDD	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	4	The presence of a catalytic YxDD motif in subdomain 5 of the RT.	Places the catalytic motif in a named block; the single most transferable landmark in the held set.	quoted passage	assignments declared in control/
S01	simon2008	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7|struct_palm|struct_fingers	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	1	RT domains 1-7 constitute the palm and finger domains of the polymerase protein, and their sequences are generally alignable across RTs	The published sequence-to-structure mapping. Reported and testable in this track; never assumed.	quoted passage	assignments declared in control/
S02	simon2008	domain_0|domain_2a	EXPLICIT_STATED_BOUNDARY	SCOPE_RULE	VERIFIED	1	In contrast, domains 0 and 2a are shared among only a subset of RT classes	The second independent line, in a different paper, for treating 0 and 2a as scope-limited rather than as series members.	quoted passage	assignments declared in control/
S03	simon2008	domain_X|struct_thumb	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	1	Downstream of the RT domain is domain X, which corresponds to the thumb of the polymerase	Domain X mapped to the thumb, restated seven years after Zimmerly 2001.	quoted passage	assignments declared in control/
S04	simon2008	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	6	retrons have fewer alignable characters than group II introns (157 versus 177), DGRs have about the same number (179 versus 177) and five other groups have fewer alignable characters (126-167 amino acids)	The only published measurement of how far the numbered frame transfers across classes, and the external benchmark this track's per-class occupancy improves on. Retrons are the hard case.	quoted passage	assignments declared in control/
S05	simon2008	domain_1|domain_2|domain_7	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	6	domains 1, 2 and 7 are unalignable for many bacterial RTs, while obviously present in most eukaryotic RTs	Named blocks that already fail to transfer within bacteria in the published literature. A non-detection in these blocks was predicted in 2008.	quoted passage	assignments declared in control/
S06	simon2008	motif_YXDD	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	6	in the Y/FxDD motif of the catalytic site, the x is nearly always hydrophobic (A, I, V and M), whereas the bacterial group AbiP2 has a conserved R	The registered trap D10, verified at the source: the hydrophobic statement is about position 2 of the motif, and an excluded class differs elsewhere.	quoted passage	assignments declared in control/
S07	simon2008	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	6	with only 59 amino acids alignable across the entire set	The floor of transferability across all bacterial RT classes. The running text does not say which blocks those 59 characters fall in.	quoted passage	assignments declared in control/
P01	poch1989	motif_A|motif_B|motif_C|motif_D	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	1	Four consensus sequences are conserved with the same linear arrangement in RNA-dependent DNA polymerases encoded by retroid elements and in RNA-dependent RNA polymerases	The motif partition that predates the numbered one, defined by consensus sequences and linear order.	quoted passage	assignments declared in control/
P02	poch1989	motif_A|motif_B|motif_C|motif_D	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	1	These consensus sequences altogether lead to 4 strictly and 18 conservatively maintained amino acids embedded in a large domain of 120 to 210 amino acids.	Residue-level evidence and a stated span for the containing domain, not for the individual motifs.	quoted passage	assignments declared in control/
P03	poch1989	motif_E	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	3	an overall domain which encompasses four (A to D) out of the five initial RT-motifs conserved in the same linear arrangement	The fifth RT-motif exists in this paper's own vocabulary but is outside the four it establishes; this is the sentence that reconciles four motifs with the five that Xiong & Eickbush cite.	quoted passage	assignments declared in control/
P04	poch1989	motif_C	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	3	for motif C with two invariant Asp residues	The catalytic core of the motif partition, which is also the catalytic core of the numbered one.	quoted passage	assignments declared in control/
A01	align000044	rt_domain_whole	EXPLICIT_STATED_BOUNDARY	RESIDUE_COORDINATE	VERIFIED	1	a reverse transcriptase domain (residues 261-886)	The only stated coordinate boundary in the authors own alignment: the RT domain as a whole, in alignment columns, with no internal subdivision.	quoted passage	assignments declared in control/
A02	align000044	rt_domain_whole	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	1	PILEUP, CLUSTALX and manual adjustment	The stated construction method of the primary alignment, including a manual step that is not reproducible from the record.	quoted passage	assignments declared in control/
B01	blocker2005	rt0_spelling|rt1_spelling|rt2_spelling|rt3_spelling|rt4_spelling|rt5_spelling|rt6_spelling|rt7_spelling	INHERITED_WITHOUT_DEFINITION	NOT_A_BOUNDARY	VERIFIED	2	the RT domain contains conserved sequence motifs RT1-RT7 found in the fingers and palm of retroviral RTs, along with an upstream motif RT0 characteristic of the RTs of non-LTR-retroelements	The modern RT0-RT7 spelling in the held set, used with citations to the three earlier sources and no new derivation of its own.	quoted passage	assignments declared in control/
B02	blocker2005	rt0_spelling	EXPLICIT_STATED_BOUNDARY	RESIDUE_COORDINATE	VERIFIED	3	a 10-kDa N-terminal fragment containing RT0 (M1-R85)	A residue-coordinate boundary, but on one protein and from proteolysis, not from sequence conservation. It may constrain or falsify a sequence-defined edge; it may not manufacture one.	quoted passage	assignments declared in control/
B03	blocker2005	domain_2a	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	2	insertions 2a, 3a, 4a, and 7a relative to HIV-1 RT	2a appears here as one of a series of insertions relative to a reference structure, which is a different object from Zimmerly's weakly conserved subdomain 2A.	quoted passage	assignments declared in control/
Z12	zimmerly2001	domain_X	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	3	less conserved in the algal group (15 positions) and poorly conserved in the bacterial group (five positions)	Per-group conserved-position counts for domain X out of 105 positions, which is block-level conservation evidence rather than naming. It is also the sentence that shows the same region can be well conserved in one group and nearly absent in another - the pattern this track must not read as a detector failure.	quoted passage	assignments declared in control/
