source_id	evidence_tier	region_id	region_name	rt0_rt7_scope	evidence_class	all_classes_present	boundary_kinds	n_supporting_quotes	assignment_ids	n_times_named_in_text	zero_is_licensed_by_control	unit	frame	stratum	denominator
poch1989	TIER1	spacer_4_5	4/5 spacer	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	spacer_7_X	7/X spacer	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	motif_A	motif A	PREDECESSOR_PARTITION	MOTIF_EVIDENCE	MOTIF_EVIDENCE	NONE	2	P01|P02	13	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	motif_B	motif B	PREDECESSOR_PARTITION	MOTIF_EVIDENCE	MOTIF_EVIDENCE	NONE	2	P01|P02	9	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	motif_C	motif C	PREDECESSOR_PARTITION	MOTIF_EVIDENCE	MOTIF_EVIDENCE	NONE	3	P01|P02|P04	10	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	motif_D	motif D	PREDECESSOR_PARTITION	MOTIF_EVIDENCE	MOTIF_EVIDENCE	NONE	2	P01|P02	5	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	motif_E	motif E	PREDECESSOR_PARTITION	TERMINOLOGY_ONLY	TERMINOLOGY_ONLY	NONE	1	P03	1	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	motif_F	motif F	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	regions_a_e	regions a-e	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	struct_palm	palm	STRUCTURAL_NOT_SEQUENCE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	struct_fingers	fingers	STRUCTURAL_NOT_SEQUENCE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	struct_thumb	thumb	STRUCTURAL_NOT_SEQUENCE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	motif_YXDD	Y/FxDD catalytic motif	LANDMARK	NAMED_UNCLASSIFIED	NONE	NONE	0	NONE	4	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt0_spelling	RT0 (modern spelling)	RT0_SEPARATE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt1_spelling	RT1 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt2_spelling	RT2 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt3_spelling	RT3 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt4_spelling	RT4 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt5_spelling	RT5 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt6_spelling	RT6 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt7_spelling	RT7 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_0	domain/subdomain 0	RT0_SEPARATE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_1	domain/subdomain 1	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	5	X01|X02|X03|X04|X07	11	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_2	domain/subdomain 2	RT1_RT7	ALIGNMENT_BLOCK	MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	5	X01|X02|X03|X04|X06	9	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_3	domain/subdomain 3	RT1_RT7	ALIGNMENT_BLOCK	MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	6	X01|X02|X03|X04|X05|X06	15	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_4	domain/subdomain 4	RT1_RT7	ALIGNMENT_BLOCK	MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	6	X01|X02|X03|X04|X05|X06	9	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_5	domain/subdomain 5	RT1_RT7	ALIGNMENT_BLOCK	MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	6	X01|X02|X03|X04|X05|X06	9	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_6	domain/subdomain 6	RT1_RT7	ALIGNMENT_BLOCK	MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	6	X01|X02|X03|X04|X05|X08	10	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_7	domain/subdomain 7	RT1_RT7	ALIGNMENT_BLOCK	MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	5	X01|X02|X03|X04|X05	4	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt_domain_whole	RT domain (whole)	CONTAINER	NAMED_UNCLASSIFIED	NONE	NONE	0	NONE	8	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_2a	domain/subdomain 2a	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	domain_X	domain X	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	spacer_4_5	4/5 spacer	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	spacer_7_X	7/X spacer	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	motif_A	motif A	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	motif_B	motif B	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	motif_C	motif C	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	motif_D	motif D	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	motif_E	motif E	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	motif_F	motif F	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	regions_a_e	regions a-e	PREDECESSOR_PARTITION	MOTIF_EVIDENCE	MOTIF_EVIDENCE	NONE	1	X05	1	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	struct_palm	palm	STRUCTURAL_NOT_SEQUENCE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	struct_fingers	fingers	STRUCTURAL_NOT_SEQUENCE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	struct_thumb	thumb	STRUCTURAL_NOT_SEQUENCE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	motif_YXDD	Y/FxDD catalytic motif	LANDMARK	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt0_spelling	RT0 (modern spelling)	RT0_SEPARATE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt1_spelling	RT1 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt2_spelling	RT2 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt3_spelling	RT3 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt4_spelling	RT4 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt5_spelling	RT5 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt6_spelling	RT6 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
xiong1990	TIER1	rt7_spelling	RT7 (modern spelling)	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_0	domain/subdomain 0	RT0_SEPARATE	EXPLICIT_STATED_BOUNDARY	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK|EXPLICIT_STATED_BOUNDARY	SCOPE_RULE	6	Z02|Z03|Z04|Z05|Z06|Z10	25	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_1	domain/subdomain 1	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	4	Z01|Z04|Z05|Z10	12	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_2	domain/subdomain 2	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	4	Z01|Z04|Z05|Z10	8	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_3	domain/subdomain 3	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	4	Z01|Z04|Z05|Z10	8	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_4	domain/subdomain 4	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	4	Z01|Z04|Z05|Z10	17	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_5	domain/subdomain 5	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	4	Z01|Z04|Z05|Z10	17	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_6	domain/subdomain 6	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	4	Z01|Z04|Z05|Z10	10	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_7	domain/subdomain 7	RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	4	Z01|Z04|Z05|Z10	11	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	rt_domain_whole	RT domain (whole)	CONTAINER	NAMED_UNCLASSIFIED	NONE	NONE	0	NONE	8	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_2a	domain/subdomain 2a	OUTSIDE_RT1_RT7	EXPLICIT_STATED_BOUNDARY	EXPLICIT_STATED_BOUNDARY	SCOPE_RULE	1	Z07	1	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	domain_X	domain X	OUTSIDE_RT1_RT7	ALIGNMENT_BLOCK	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK	NONE	3	Z04|Z09|Z12	21	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	spacer_4_5	4/5 spacer	OUTSIDE_RT1_RT7	EXPLICIT_STATED_BOUNDARY	EXPLICIT_STATED_BOUNDARY	RELATIVE_POSITION	1	Z08	7	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	spacer_7_X	7/X spacer	OUTSIDE_RT1_RT7	EXPLICIT_STATED_BOUNDARY	EXPLICIT_STATED_BOUNDARY	RELATIVE_POSITION	1	Z08	9	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	motif_A	motif A	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	motif_B	motif B	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	motif_C	motif C	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	motif_D	motif D	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	motif_E	motif E	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	motif_F	motif F	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	regions_a_e	regions a-e	PREDECESSOR_PARTITION	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	struct_palm	palm	STRUCTURAL_NOT_SEQUENCE	TERMINOLOGY_ONLY	TERMINOLOGY_ONLY	NONE	1	Z01	1	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	struct_fingers	fingers	STRUCTURAL_NOT_SEQUENCE	TERMINOLOGY_ONLY	TERMINOLOGY_ONLY	NONE	1	Z01	3	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	struct_thumb	thumb	STRUCTURAL_NOT_SEQUENCE	TERMINOLOGY_ONLY	TERMINOLOGY_ONLY	NONE	1	Z09	2	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	motif_YXDD	Y/FxDD catalytic motif	LANDMARK	MOTIF_EVIDENCE	MOTIF_EVIDENCE	NONE	1	Z11	5	n/a - the region is named here	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
zimmerly2001	TIER1	rt0_spelling	RT0 (modern spelling)	RT0_SEPARATE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
