root	substrate	control_type	blocking	expectation	observed	state	note
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-stage3c	content	positive	YES	/retron/i recoverable on this substrate of this root	747 hit(s) over 1565 unit(s)	PASS	
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-stage3c	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 3 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-stage3c	dirname	positive	YES	/retron/i recoverable on this substrate of this root	2 hit(s) over 198 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB	content	positive	YES	/retron/i recoverable on this substrate of this root	115 hit(s) over 1063 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 15 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-RETRON-DB	dirname	positive	YES	/retron/i recoverable on this substrate of this root	4 hit(s) over 353 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V2	content	positive	YES	/retron/i recoverable on this substrate of this root	374 hit(s) over 1681 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V2	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 77 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-RETRON-DB_V2	dirname	positive	YES	/retron/i recoverable on this substrate of this root	3 hit(s) over 490 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V3	content	positive	YES	/retron/i recoverable on this substrate of this root	1922 hit(s) over 5111 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V3	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 82 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-RETRON-DB_V3	dirname	positive	YES	/retron/i recoverable on this substrate of this root	11 hit(s) over 1474 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V4	content	positive	YES	/retron/i recoverable on this substrate of this root	5772 hit(s) over 7510 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V4	header	positive	YES	/retron/i recoverable on this substrate of this root	4 hit(s) over 54 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V4	dirname	positive	YES	/retron/i recoverable on this substrate of this root	6 hit(s) over 16370 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V5	content	positive	YES	/retron/i recoverable on this substrate of this root	496 hit(s) over 748 unit(s)	PASS	
RESEARCH-in-sleep-RETRON-DB_V5	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 10 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-in-sleep-RETRON-DB_V5	dirname	positive	YES	/retron/i recoverable on this substrate of this root	2 hit(s) over 95 unit(s)	PASS	
RESEARCH-retron-db	content	positive	YES	/retron/i recoverable on this substrate of this root	2909 hit(s) over 5680 unit(s)	PASS	
RESEARCH-retron-db	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 30 unit(s)	FAIL	substrate searched but known-present term not recovered
RESEARCH-retron-db	dirname	positive	YES	/retron/i recoverable on this substrate of this root	1 hit(s) over 895 unit(s)	PASS	
RETRONS_january_2026	content	positive	YES	/retron/i recoverable on this substrate of this root	278982 hit(s) over 667603 unit(s)	PASS	
RETRONS_january_2026	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 22 unit(s)	FAIL	substrate searched but known-present term not recovered
RETRONS_january_2026	dirname	positive	YES	/retron/i recoverable on this substrate of this root	31 hit(s) over 561648 unit(s)	PASS	
RETRON_STAGES	content	positive	YES	/retron/i recoverable on this substrate of this root	28 hit(s) over 28 unit(s)	PASS	
RETRON_STAGES	header	positive	YES	/retron/i recoverable on this substrate of this root	0 hit(s) over 0 unit(s)	NOT_EVALUABLE	substrate is empty on this root
RETRON_STAGES	dirname	positive	YES	/retron/i recoverable on this substrate of this root	1 hit(s) over 1 unit(s)	PASS	
