rt_seq_hash	n_distinct_ncrna	n_placements	n_loci	n_genomes	n_species	n_models	n_databases	median_abs_distance_bp	n_such_rts	unit	denominator
2930f6ecdf3273e5cb3a056abf8e980513cd4b134e11a0952cc3ab635e24704f	4	6	5	5	6	1	3	25.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
298c7893c25a67840b51fcf4267f03a767d422e74ff35f554d29ce1d65b861f7	4	75	67	67	8	1	3	25.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
3bf10faa489b3e44ff961a44354598a76ec6c5fe98fb03d392ea6290454e8e33	4	9	7	7	3	1	2	4300.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
69e96200ffc05a40ac70bc536ccbe389b3e54a0d7eda602bd9b72cb71bdf3317	4	11	11	11	4	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7d08e0ad3c304e5c4e56498f3f1132aa21d2b7d02d7294ca208dcb1502ee7425	4	124	124	124	3	1	3	18.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
c395b0131d06d1433a2ecaa86a9de7bc67e9b0044d2bc58a45a7ae6b1510088c	4	38	20	20	4	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
683ee04d86b5db80fb831218e921369a03253ffc59e9e82c0c6783cee9d19157	4	20	20	20	1	1	2	27.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7aa8589e6aad410ab6bdb4eef2850c3e759d19081cc828549a26ca7b7050fb97	4	17	17	17	2	1	3	714.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
2e9261a8447558753460aa8ee700ab6f0cc8d4cb574d031ec775b219683f9252	4	5	4	4	1	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
4cfb6414f1e845b50ed83d0f61c3b3a8d8badc6eb3bda562da069011c74066ab	4	30	29	29	10	1	2	146.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a1612f8364152178e088f98caa0663b9ce1f04923fcb5cba58e1ed7e1da0664a	4	122	113	113	13	1	4	70.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
9aa576db12dc2d741cd4d31b57f93b2e26054f53c7e2646c917766372eb3bb5f	4	7	6	6	4	1	2	932.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
ab86f2d58d04229bbc67e25f78cd648b889c7da77fca0c1b9edc7617bcae5b91	4	9	6	6	4	1	2	28.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b4dcdebfd8d7bcf95b73737030be3912d8a5d7c54f70cc1a62441c9eca42d466	4	34	34	34	3	1	1	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
0f8ee46f555a3041238684067223678f918b20206e67cd913bc19f2848796f5d	4	16	16	16	1	1	2	27.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b6bf51c6a149ab663d2c40b51dd5d7b0a7070ba84e12686d4e538839e34b723c	4	64	57	57	5	1	3	26.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
882b4482917330600396086eb017d493dfe85df8044df0ab00e75ec92adf9dc5	4	95	84	84	17	1	3	22.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
57985ba1dbd8efa33279a96cffede8edda035dd6ad13acfee6e051648f0e0dea	4	15	12	12	5	1	4	954.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b9d5c3d898b2e9852cc0595ca712c3add4955bd2bf7eae7c0fae9f183db0ace6	4	7	7	7	2	1	3	23.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
135ddfa084d3756103aa136958142165740a9b7be609eefa9abc0d1e6fc13be0	4	685	684	684	6	1	4	49.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
f246197deba063929711a6925d37ede05a607e8a6b9b2bb8bb1a6abf8bc26e05	4	119	118	116	7	1	4	24.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
64eeaba5e1966184b83eb3817ccfdea02c33cb28130c0c4ede85314e5a08d911	4	84	46	46	4	1	2	29.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
0b8c6e6475d2c9a3c9583be2e3831a16caaf03a0782c5992bfec15f83273206a	3	14	7	7	2	1	2	5285.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
0bf18735d93ecb59f9f1d58434016160c56da98e1ff15fa4f26634464c033258	3	24	19	19	5	1	3	31.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
3500293303c03c027b62e2ee654d29ef53e99887db164d9ab0de0d50111e1734	3	92	53	53	5	1	2	4750.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7894c6feb809e2f6274624041120774928ff2735d6f04db80493d5a620a1d572	3	5	3	3	1	1	2	1037.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b490d68dbb4f29e74d176a35078fc4ba4d519fcfff5a496062b2cf5f1a701fff	3	5	4	4	5	1	3	23.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a5036b54137c2d02a3eec41f03b2119786f8fd3b85e8f5e267bcd72c01522ed7	3	54	54	54	1	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
77e104e93214bf222116f73bb9904225590d53d7352ddea06b9b6f3b88272810	3	51	47	47	1	1	2	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
0bf36354d8084319186ecc321fd103705832b63907cf647139b27fe2ec6eeee8	3	20	20	20	2	1	1	35.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
4ddb60312da2bac423402680e1d7a09bf860d815dd401871a56c4b26922d1a1e	3	19	19	19	2	1	2	24.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
36f3fd2eeb51435fe3b6b3580eb9ada5de3e0dc3c92663b0d6926327d74b28fa	3	18	18	18	2	1	1	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
8a7402d1e692be7d91f1567a53460d9e771a147fd7ca4f4e0dad53abc9362e9a	3	38	37	37	11	1	4	70.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
34c2b03bbc290dade61fec97e066f58521e8b8a8242143226a200394351ebf1c	3	9	6	6	1	1	2	1027.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
d55354b5b19c4be72e9f93712bcc923f5694b4bff3a359828fa071fc361b0f46	3	106	106	106	1	1	2	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a3ffbc143b7ef698fcb2c184376809e748b1fdad5aaa4de6ab767149f0fd5b06	3	13	13	13	3	1	2	27.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a57c39c1d1a6e7778febe60ce73d99fae87eb5dba0d00c926dac3d9805d80605	3	5	5	5	3	1	1	21.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
f2a42567428f949e0a72e09b6e78d18c664e83b872d57b7858cffb1f1286c173	3	91	82	82	7	1	4	116.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
c206af6d69e14d122a3d1d2cb593df6c9f6b9a1aac877c63c1c43c7059df09c6	3	77	71	71	19	1	3	283.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
5ea5f99789e93b5b7bbb54c07d81b445aaabf1cfe754c16d2fa9596fb80c5388	3	29	29	29	1	1	3	140.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
f14abd4efc0dbe9bcc5f6187a071743fa1d834a6e9ae0eb9e407f5ae8941899b	3	7	4	4	3	1	2	72.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7a889a9a65d0ecd89713eb16a6e4c3c68a1f8707ffe94e9fc05c7f85d30049b9	3	391	389	327	2	1	2	120.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
0e4f25d3b2fd7802fb6d92686d7a33d8bdb8e13db4b6c15ec99f5e5cdc31d512	3	163	149	149	4	1	4	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b985c0ca7aa8c71867c3395e283fe5e037507cd77a0e9dc97c006181945b42fe	3	54	52	52	4	1	4	20.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7ac3b67f7b359ba2e76dcfbb12d234c8af014eea861cdb1621993dfe099f30bc	3	12	12	12	1	1	1	177.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6264df930b8c1062d1813ae9568840bf01845a603dfb69d3ee394d23f7d0ff9e	3	49	49	49	1	1	2	26.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
30192b6494e08fcd696f0bf5679fb258472750980d39ebd02727fb4b355eece6	3	3	3	3	1	1	1	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7b40dd16955934d029a3ae7cceeb1a1df82e38f6e103814bded93e1ffb2e3979	3	54	53	53	2	1	4	20.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
89c7aa865a919e4ebb1f9770e247f004a30a065f446113c5dba249db224b6cc0	3	3	2	2	1	1	1	7674.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
070b7a171c6c7b74e90facb80736522824814d8b6e23a80e8f13546727904fef	3	293	286	272	6	1	4	19.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
379aa1e80fcc11e4ad5f604e366b2d26152a435744fb5af0c36368046ba17c64	3	14	14	14	1	1	2	27.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
f055873ee6883c6e5a18c4002c1f7d2de1ac60461661efaae6429a77ddc85e27	3	386	385	385	3	1	2	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
45150f4b74fb00b9be3444f69444163070f69a3a0bf8d9c14c7f2cfb52e9b81d	3	80	80	80	2	1	2	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
479682ac04ae602f3326cf7c9b2363e1269bb10dfe50127141ec23a58bd884b8	3	12	12	12	2	1	2	910.5	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
c7ce18a107eed2fd105409947d101adf38f8f657b457417efa8d65edcc57f0c9	3	1234	1233	1232	3	1	2	49.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6e17c1f0b1b993f834906148974cb284a6bbc283121776a559f961bb9bb20ed9	3	259	252	252	10	1	4	24.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6dea30e6a18cde6e9e711781745ca49313000fa7259bc5ff2905502517504468	3	16	16	16	1	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
43b30555b37ff602a64b444047ebac289c4953700d995c9eac14e865dba100fb	3	13	13	13	2	1	2	31.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
43b07e61bdc7ccc85cdda4a96d416582f171b23da7db1fdd79f0bf6da48c533f	3	32	31	30	5	1	3	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
494d0feca3a4fb1e7a636b90aeaf857f78842899fe0c0add1ed55caa2655625d	3	13	13	13	1	1	1	19.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
fe57a8d178c2cb4f15a51921ebacc83cbbbf8c40988f8b337be968a1b7a9b39b	3	23	23	23	1	1	2	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6cfc50134ff62dc856121aebb3dd4a7a2d6a998987fbe3b74ca3e982b087c01e	3	6	4	4	3	1	2	49.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
fe14d6028d33d941b5ccecbe40c0853d1edb96c38d57bbed641da2c3f5a353f7	3	16	16	16	1	1	2	8.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b58ae8fa3881e58ebae71a8d5020b342cd2e19a31e8a59c731fc0e4ed44d6502	3	24	15	15	8	1	4	16.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
fdc743f2249ba939d56616e1f4330037d63bff2dfdd33128d4f32752e8747f83	3	320	320	318	7	1	3	2.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
fda267bab3f4b28b7c2bd71a0477d5709fe0ec0e2f2d79bd6cdf045913a53c01	3	23	23	23	2	1	2	25.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
49953a94107800e411db3eb9549fea020ece0c51e6696018edffe92db6daa473	3	27	26	26	5	1	4	256.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
ca3430583060aeda55e23c53cf3edcb69bebc0de381f470f2ab5e59ab904a969	3	168	165	158	7	1	3	107.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
3f7a06eb186cdaa567551b7230bb5808f814248530f05a57813c8607609bb962	3	12	10	10	1	1	1	107.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
75bfc0b2c30a05ba9a62326dfad5ca8f64140c831657bea283cd9b113a6ed63a	3	10	10	10	1	1	2	49.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
3ebdfa77865e8e7281138601f2862d4f052ff8b60b8bcd4041bf7f54cc01d534	3	329	325	325	11	1	3	54.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
cdb8e55d90b2fb7133be3b4b88f91ef048fd683bac18c39eb93b4cec4a21f2cb	3	531	525	525	4	1	4	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
4b93e74e7917669321aa50b2bf1bc9b4b6a72f04f29eb153c2cbf587e898bbb4	3	11	7	7	5	1	3	32.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6ac39c9e401d36bda0a38e0e08aab1f7fb7c8126aae585a08bcccb25e91fcb84	3	510	506	505	8	1	4	42.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7612cbcaafb462165935cbd1eec1dd65d413091c88cd4e4b55107dc5827e4bc8	3	70	69	67	14	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b70ff8286dc92c1c320e0c2afcf26eb493423cb7544c1d44b529168745fa839f	3	39	39	39	3	1	1	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
af2baf2c81a0bc5b41136977d182b158254816de940279141c702de72a0e8def	3	19	19	19	2	1	2	25.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6a06d5af5be4b0e3a4bbffe60475f5159448180308740bebc4c0812c20e9e86a	3	52	45	45	6	1	4	39.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
8bbd1659ea3a33f41e84ba6bc92e824ecca59087c78cae7f819563844d1f0021	3	9	5	5	5	1	2	93.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a626b66220851a277157287e9f3303495fc40b3ee9e3c04d62b85b2cb1df7f0c	3	195	193	184	2	1	2	19.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
