claim_id	claim	status	estimate	ci_95	inference_unit	n_units	primary_source	scope_limit
X2.C16	Generalisation varies with relatedness to training RTs	SUPPORTED	R-T: Q1 -0.00584 -> Q4 -0.03193	Q1 [-0.01288, +0.00136] SPANS ZERO	component	371/378/447/473	tables/SENSITIVITY_STRATA.tsv	Effect NOT demonstrated in least-similar quartile. R-G is flat across quartiles, localising the gradient to arm T.
X2.C17	The effect is not an artefact of repeated database deposition	SUPPORTED	present at all adjudicable n_physical_loci levels; weaker at >=21 (-0.01070)	[-0.02115, -0.00069]	component	59	tables/SENSITIVITY_STRATA.tsv	Also present in recurrence class multiple_species (-0.02507, 364 components).
X2.C18	The effect holds for the largest RT homolog groups (>100 members)	UNDETERMINED	-0.01319	[-0.02743, +0.00022]	component	22	tables/SENSITIVITY_STRATA.tsv	Below the 30-component threshold. NOT a null.
X2.C19	The effect holds for the largest ncRNA clusters (>100 members)	UNDETERMINED	-0.01536	[-0.03803, +0.00582]	component	14	tables/SENSITIVITY_STRATA.tsv	Below threshold; the 21-100 bin also spans zero. NOT a null.
X2.C20	RT and ncRNA are biochemically compatible / bind / physically interact	NOT SUPPORTED					X2_CLOSURE.md 6	No biochemical or structural assay exists in this work.
X2.C21	Non-observed RT-ncRNA combinations are incompatible or non-functional	NOT SUPPORTED					COUNTERFACTUAL_RULES.md	Counterfactuals are conditioning CONTROLS. Absence from the corpus is NON-OBSERVATION.
X2.C22	RT and ncRNA co-evolved / the result demonstrates co-evolution	NOT SUPPORTED					X2_CLOSURE.md 6	No phylogenetic or causal analysis was performed.
X2.C23	Retron systems are orthogonal / RTs are functionally interchangeable or not	NOT SUPPORTED					X2_CLOSURE.md 6	No functional or interchangeability assay.
X2.C24	The model identifies the cognate RT of an ncRNA at the individual-pair level	NOT SUPPORTED	52.5% of pairs at C3		pair	30922	tables/COUNTERFACTUAL_EFFECTS.tsv	Near chance under the strongest controls. No per-pair biological inference is supported.
X2.C25	Retron type explains all, or none, of the observed signal	NOT SUPPORTED	R-T < 0 and G-T < 0 and P-T < 0		component	1075	RESULTS.md 2	Signal exists beyond type, AND most of it is lineage-level. Neither extreme holds.
X2.C26	These results constitute external validation	NOT SUPPORTED					DESIGN.md 5	INTERNAL cross-fitted confirmation on the same 30,924-pair population as X1.
X2.C27	Component-weighted and pair-weighted counterfactual aggregates agree in direction at C1/C2/C4 but differ in sign at C3	SUPPORTED	C1 +0.017664/+0.009894; C2 +0.015434/+0.007951; C3 +0.003974/-0.000205; C4 +0.001683/+0.002391 (component/pair)	component-level CIs in COUNTERFACTUAL_EFFECTS.tsv	component vs pair	1019/832/1073/451 components	tables/X2_COMPONENT_LEVEL_EXPORT.tsv; tables/X2_PAIR_LEVEL_EFFECTS.tsv.gz	Weighting effect, not an inconsistency. The component-level estimate is the preregistered endpoint.
