set_id	member_id	cohort	stratum	win_from	win_to	physical_locus_key	record_key	rt_seq_hash	contig	rt_start	rt_end	rt_strand	tax_phylum	rt50	rt90
CTRL_GII_HARD_2	m00	CTRL_GII_HARD	RVT-GII	-300	-1	JUEC02000054.1:3888-5273:-	master_RVT-GII_merged_oriented.jsonl:1523061	1643069b7e9ab1cbb3f155c66c5f5f5cde0763ddac248121587b8c212ed71d51	JUEC02000054.1	3888	5273	-		f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	1643069b7e9ab1cbb3f155c66c5f5f5cde0763ddac248121587b8c212ed71d51
CTRL_GII_HARD_2	m01	CTRL_GII_HARD	RVT-GII	-300	-1	CAJAZV010000725.1:636-1883:+	master_RVT-GII_merged_oriented.jsonl:1440787	54e819774339f3a4d266a243f831cb03588aaa63f527627997ca348fce5bb63f	CAJAZV010000725.1	636	1883	+		f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	54e819774339f3a4d266a243f831cb03588aaa63f527627997ca348fce5bb63f
CTRL_GII_HARD_2	m02	CTRL_GII_HARD	RVT-GII	-300	-1	JBBASS010000052.1:5230-6603:-	master_RVT-GII_merged_oriented.jsonl:210976	e0da83deb5ebd58b11d9d734396e4deb210e2f190bd9ef2b05a545c87289e265	JBBASS010000052.1	5230	6603	-	Pseudomonadota	f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	e0da83deb5ebd58b11d9d734396e4deb210e2f190bd9ef2b05a545c87289e265
CTRL_GII_HARD_2	m03	CTRL_GII_HARD	RVT-GII	-300	-1	PWJB01000172.1:8645-9895:+	master_RVT-GII_merged_oriented.jsonl:1554554	f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	PWJB01000172.1	8645	9895	+		f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a
CTRL_GII_HARD_2	m04	CTRL_GII_HARD	RVT-GII	-300	-1	CANNBF010000033.1:429-1820:+	master_RVT-GII_merged_oriented.jsonl:1531353	e1dd11920df72a825dd2fe18da7917e601766cce8f9949d8da2ba1125acb377d	CANNBF010000033.1	429	1820	+		f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	e1dd11920df72a825dd2fe18da7917e601766cce8f9949d8da2ba1125acb377d
CTRL_GII_HARD_2	m05	CTRL_GII_HARD	RVT-GII	-300	-1	OZ156465.1:424853-426187:+	master_RVT-GII_merged_oriented.jsonl:245700	884f2558301374844b4a2402f4eedce5b726ec03c3634c2b19ac66b28347f3fc	NZ_OZ156465.1	424853	426187	+	Pseudomonadota	f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	884f2558301374844b4a2402f4eedce5b726ec03c3634c2b19ac66b28347f3fc
CTRL_GII_HARD_2	m06	CTRL_GII_HARD	RVT-GII	-300	-1	CAIMUX010000116.1:1582-2916:+	master_RVT-GII_merged_oriented.jsonl:1570573	a0526ded243cc71cc7f1be87e62c48fce6283d4f39dbd98b5bb280b3aa43d98f	CAIMUX010000116.1	1582	2916	+		f1fbe5e0bfaf3011c95782ce48709732204015f7c98b92d48a885ce6f1641a8a	a0526ded243cc71cc7f1be87e62c48fce6283d4f39dbd98b5bb280b3aa43d98f
CTRL_GII_HARD_3	m00	CTRL_GII_HARD	RVT-GII	-300	-1	LR962326.1:1776883-1778097:-	master_RVT-GII_merged_oriented.jsonl:433978	dbe6132332d01d2fee2be82c7b93a2855eb3be9294dcc584d544445049385f80	LR962326.1	1776883	1778097	-		03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d	4d7ebb65b235404770495be2802775a5c2287734b99408260ea168006b1a57d4
CTRL_GII_HARD_3	m01	CTRL_GII_HARD	RVT-GII	-300	-1	DBBSLR010000052.1:1208-2629:+	master_RVT-GII_merged_oriented.jsonl:1369792	c1fc999dafe8ebd30651ed449a8a40074c2b0d0eeddafdeb4b9234e09e4de181	DBBSLR010000052.1	1208	2629	+		03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d	c1fc999dafe8ebd30651ed449a8a40074c2b0d0eeddafdeb4b9234e09e4de181
CTRL_GII_HARD_3	m02	CTRL_GII_HARD	RVT-GII	-300	-1	VLYW01000007.1:66578-67741:-	master_RVT-GII_merged_oriented.jsonl:571617	03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d	VLYW01000007.1	66578	67741	-		03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d	03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d
CTRL_GII_HARD_3	m03	CTRL_GII_HARD	RVT-GII	-300	-1	JAQFUD010000037.1:1352-2770:+	master_RVT-GII_merged_oriented.jsonl:1351295	e27e10183091118ec4edc19b9edd27909a6da55276a0257fe0d65dc42b34788d	JAQFUD010000037.1	1352	2770	+		03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d	e27e10183091118ec4edc19b9edd27909a6da55276a0257fe0d65dc42b34788d
CTRL_GII_HARD_3	m04	CTRL_GII_HARD	RVT-GII	-300	-1	JAQFRT010000014.1:27748-29049:-	master_RVT-GII_merged_oriented.jsonl:1592695	66ad3d412642bd79275874358d3079ce0f3739c7eb8d5d7d4f843e5631b06046	JAQFRT010000014.1	27748	29049	-		03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d	66ad3d412642bd79275874358d3079ce0f3739c7eb8d5d7d4f843e5631b06046
CTRL_GII_HARD_3	m05	CTRL_GII_HARD	RVT-GII	-300	-1	DBGPBF010000013.1:19296-20516:+	master_RVT-GII_merged_oriented.jsonl:1341237	a6b30e8bf210f542177f5a2bf024587c51daae42e39994f59056d95ca03fee29	DBGPBF010000013.1	19296	20516	+		03eb6ffb647d187caf6c9bad5389e411dcaa1fa2d9d177ba825edee8f05f1a5d	a6b30e8bf210f542177f5a2bf024587c51daae42e39994f59056d95ca03fee29
