cls	set_id	member_id	physical_locus_key	rt_seq_hash	rt50	type_label	f	t	model	cid	matches_existing_ncrna
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_4	m07	3300028532.a:Ga0233363_1003934:2800-3999:-	d0bf89de97c99a0e17523a6b2d3b3768f709fc871d859bd42a4335ed9af1f09a	c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	IV	-118	-24	TypeIV	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_4|m07	False
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m07	JBALXO010000059.1:15636-16586:-	4b2fa67c7410dda4d485a8a72e66bb6de8bfdf47484eabac6512a140e688db66	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-139	-6	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m07	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_1	m10	JAPJEA010000002.1:340263-341225:-	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	IX	-134	-5	TypeIX	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_1|m10	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_5	m06	JBHIXT010000122.1:6021-7610:-	99d5f4cb91d529a98fc7885a93c781d19cbb88d0557a40390a243481191900ce	115ec50ab90f1b5a25ef96d8f1c3be500e63433c7625c5616d89b9e6b9137405	XIII	-299	-97	TypeXIIIC_Mx162	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_5|m06	False
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_2	m08	JAPMXW010000001.1:2161305-2162441:+	a72fc521f56f5d60989f6326a513f1115e87a9018a23fd41bba459e08752ef5c	52c6d134f8abe7a007aa341b579fdb52d2b5fa6d940b2911e12178623a5156a6	III-A	-236	-1	TypeIIIA3	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_2|m08	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_2	m07	SAQH01000043.1:4222-5370:+	f6a308a3e6d872c02dad919b69c916b061c89a9d81cebe4cf2d35d8c24d72c37	52c6d134f8abe7a007aa341b579fdb52d2b5fa6d940b2911e12178623a5156a6	III-A	-235	-1	TypeIIIA3	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_2|m07	True
CM_WINDOW_RESCUE	PIL_S3_FUSED_4	m00	JAXKBJ010000240.1:190-2151:-	32732ef935741a4290c32c6f1ba5a826e749196d9a2b102b64f178b51dd50bfb	a6f15dab5abadb3d49610a9e172c2d9f846848abe6b189137efbaa04c694d530	I-C	-205	-23	TypeIC1_IC2	CM_WINDOW_RESCUE|PIL_S3_FUSED_4|m00	True
CM_WINDOW_RESCUE	PIL_S3_FUSED_4	m02	CP150847.1:1584844-1586838:-	f06c81dc794237209f0f47b08469e3b221c6e2e0ed1e2e1e50a6bcaa48e4a6e9	a6f15dab5abadb3d49610a9e172c2d9f846848abe6b189137efbaa04c694d530	I-C	-207	-25	TypeIC1_IC2	CM_WINDOW_RESCUE|PIL_S3_FUSED_4|m02	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_2	m00	CALOPG020000115.1:5989-7113:+	9efa47c0610cdd1cee18aa1da4008cf1dcdebb3bd8eb7126606f3f7e7417de5e	52c6d134f8abe7a007aa341b579fdb52d2b5fa6d940b2911e12178623a5156a6	III-A	-264	-6	TypeIIIA3	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_2|m00	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_4	m01	DALZLF010000079.1:12825-14009:+	aa3112afa2c4bf2605640d847989d43f43e8321ec2a7cb3cee193fed1fb040df	c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	IV	-105	-10	TypeIV	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_4|m01	True
CM_WINDOW_RESCUE	PIL_S5_SEQONLY_2	m02	JBGAHJ010000006.1:261093-261893:-	2e96f2bc4c5fbba00713742a61972cc00b08837b09b62d144887e10e8a2b68cd	c4e13606ba0cfd3bae121a1048200ddcd41afb354d64d8182ba815132841c3a1	UNLABELLED	-151	-19	OutgroupA	CM_WINDOW_RESCUE|PIL_S5_SEQONLY_2|m02	False
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_4	m10	MGYG000478301_77:444-1616:-	3e27f762741b3784de3f0a2cdd4a9b4a23d44a4cfa1a1ca07e7596d5da104dbc	c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	IV	-114	-31	TypeIV	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_4|m10	True
CM_WINDOW_RESCUE	PIL_S12_HOMOLOG_HAS_CM_3	m06	JAIPIQ010000092.1:4571-5527:-	8ef104cef3575c0cb5d65af94b56f0bbd16858f202ca5af3579f4cebc3537ec9	558fddf0b814896262cf851fe8170495c1fdc3537da83dc12c473ef4a5357b01	II-A	-236	-12	TypeXIIIC_Mx162	CM_WINDOW_RESCUE|PIL_S12_HOMOLOG_HAS_CM_3|m06	False
DENOVO_WEAK	PIL_S3_FUSED_3	m00	CAVJNJ010000040.1:7845-9452:+	ea34a0cf92fd5ae11bec3c7e34a92cbef61ef5b44cbf3a6ae623824aeaa4313f	375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	XII	-172	-136	none	DENOVO_WEAK|PIL_S3_FUSED_3|m00	False
DENOVO_WEAK	PIL_S3_FUSED_3	m01	DFGD01000013.1:193120-194577:-	73b166e24d2ddf6b0b0061065eaa2b2709f144dd8b2b80eae9f80e18f8a581e1	375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	XII	-137	-107	none	DENOVO_WEAK|PIL_S3_FUSED_3|m01	False
DENOVO_WEAK	PIL_S3_FUSED_3	m03	JBGULY010000057.1:20890-22398:+	36fd7a9f9dbc28b9d74878e39a00d360a058e6a803a0a4d1e019a05415e4f950	375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	XII	-153	-132	none	DENOVO_WEAK|PIL_S3_FUSED_3|m03	False
DENOVO_WEAK	PIL_S3_FUSED_3	m04	CAVGMB010000056.1:10065-11489:+	b0f4c681a81d8a39c02c0f1f3868f52a425425d6ac1d3abbec3488563f391c3e	375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	XII	-160	-128	none	DENOVO_WEAK|PIL_S3_FUSED_3|m04	False
DENOVO_WEAK	PIL_S3_FUSED_3	m05	CAVEXR010000006.1:27568-29103:-	cf77d91e86b0ffd6805a8f88506516eb8f719a69355b99b240f7f2e922da4036	375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	XII	-174	-138	none	DENOVO_WEAK|PIL_S3_FUSED_3|m05	False
DENOVO_WEAK	PIL_S12_ORPHAN_1	m01	CANMIT010000002.1:64868-65707:+	adb839c65e5d7c53d7cf85e3d21d3d8072448b8a2122f3b794004bd27f72af9e	f875b1a5f032dff00d1fd9416d6244592757e69f7032d1758736f1f275ff86fd	III-A	-187	-145	none	DENOVO_WEAK|PIL_S12_ORPHAN_1|m01	False
DENOVO_WEAK	PIL_S12_ORPHAN_1	m02	3300024309.a:Ga0222427_100019:73404-74243:+	88b21ae4a3eb8713240004eef21faa51c528450851123e6087cf155be60bcdae	f875b1a5f032dff00d1fd9416d6244592757e69f7032d1758736f1f275ff86fd	III-A	-208	-176	none	DENOVO_WEAK|PIL_S12_ORPHAN_1|m02	False
DENOVO_WEAK	PIL_S12_ORPHAN_1	m04	OW818654.1:3025359-3026198:+	3b128754882e753f2f706f96054bf2a72651cf2ac5032d8bb23e44c4de766c14	f875b1a5f032dff00d1fd9416d6244592757e69f7032d1758736f1f275ff86fd	III-A	-202	-167	none	DENOVO_WEAK|PIL_S12_ORPHAN_1|m04	False
