claim_id	claim	status	evidence	inferential_unit	denominator	confounders	supporting_files	commit	safe_thesis_wording	prohibited_overclaim
C-16	Region Y is enriched for RNA-contacting residues and could contribute to pairing specificity.	PRELIMINARY / hypothesis	retron contact-concentration ratio 1.34x its chain-length fraction (median over 15 chains from FIVE groups; range 0.59-1.86); non-retron median 1.06 over THREE RNA-contacting chains	RT chain	15 retron chains with a defined Y	this is a LOCATION ratio, not enrichment evidence for specificity; the structural observations and the aggregate ratio are NOT independent strands (E-3C-7); contacts counted against whatever nucleic acid each entry contains	analysis/stage3c_architecture_integration/tables/D_region_y_rna_enrichment.tsv; errata E-3C-7	34000ee + eeaf0ae	Region Y coincides with the structurally defined thumb and carries a modest, variable excess of RNA-contacting residues in a small retron panel. The classical reciprocal fragment-binding experiment covers exactly TWO retrons.	Do not call this specificity, enrichment evidence, or three independent strands.
C-17	Mestre's published tree and table are reproducible as a reference object.	SUPPORTED_WITH_LIMITATIONS	18/18 scientific tables and 3/3 PNGs byte-identical after one declared root remap	tree tip / table row	1,928 tips / 1,928 rows	the inputs manifest is NOT reproducible; s00 passes vacuously on a missing root; env.lock is an export of conda base	analysis/mestre_audit/REPORT.md	b05934f	Mestre's published objects can be re-joined and re-plotted as a comparator.	This is not validation of the classification itself.
C-18	Mestre's classification can be independently re-inferred from sequence.	FAILED	<=3 of 11 clades recovered; the trees contain 91 of 112 substitute proteins, 3 of them RNA polymerase subunits; the same rule applied to the PUBLISHED tree gives 10/11	RT sequence / clade	11 clades	Mestre's alignment and RT0-RT7 extracts are NOT published and NOT on disk; no positive control was run in the prior attempt	analysis/mestre_audit/REPORT.md	b05934f	Independent re-inference of the historical classification failed, and the material needed to diagnose why (the original alignment) does not exist locally.	Do not describe the historical classification as reproduced or independently validated.
C-19	Phylogenetic PLACEMENT into the historical 11-clade system works with a validated discriminator.	FAILED	control gate K3 FAILED: shuffled queries confidently placed at 7.9% (59/746, MCC-v3.1) and 19.8% (170/860, v2) against a <=1% limit; LWR shuffled median 0.998; Codex review FAIL 4.5/10	query sequence	746 shuffled queries (v3.1) / 860 (v2)	the non-retron panel 'PASS' (0/1,083) is 1,080 extraction failures - the confidence rule was never exercised on the negatives	results/m2a_reference_reconstruction/tables/CONTROLS_v3_K3.json; docs/decisions 2026-09-19 m2a outcome; closure 033bfcb	b05934f / 033bfcb	The placement confidence rule is not a validated discriminator of non-homologous input; M2a is closed as a stopped, failed validation attempt.	Do not report the non-retron panel as a passed specificity control.
C-20	A modern, label-independent de novo retron RT phylogeny fails.	NOT_YET_TESTED	no such analysis has been run in this project	RT sequence or structure	-	the five 'failed tree routes' are PRIOR-PROJECT, UNVERIFIED here, and targeted different questions	idea-stage/programme/06_tree_and_structural_route.md (planning only)	94a1a78	Reproducing Mestre, placing sequences into the historical clade system, and inferring a modern de novo phylogeny are three different questions; only the first two have been attempted and failed.	Do not cite C-18 or C-19 as evidence that a modern phylogeny would fail.
C-21	Retron ncRNAs can be discovered de novo by comparative covariation.	FAILED	ROUND2_FAIL_STOP on a frozen held-out split: G1 enrichment 343 vs 118.9 expected = 2.88x against a required >=3x; G7 - a fixed positional interval finds 901 against the method's 343	locus group	HELDOUT 85 groups (81 evaluable)	truth coordinates are production-CM calls; covariation is non-specific (88% of distal windows, 100% of group II intron sets)	analysis/spire_ncrna_audit/ROUND2/RESULTS.md	ed4a663	De novo comparative covariation did not outperform a fixed positional prior on held-out retron loci and was closed on its own predeclared criteria.	'No novel retron ncRNA exists' is NOT claimable - the source states it is not evidence of absence.
C-22	The SPIRE post-mortem yields reusable positional features for boundary work.	PRELIMINARY (as features)	retron-enriched ~90-nt submotif: 1,793 instances, retron 140/164 (85%) vs non-retron 42/80 (52.5%), Fisher p = 1.0e-7, OR 5.3; per-type positional prior 969 (92.2%) at IoU>=0.5	locus / instance	164 retron and 80 non-retron panel loci	the submotif overlaps the locus's own CM call 97.9% of the time, and the 21 CMs were themselves built by CMfinder - same-paradigm rediscovery	analysis/spire_ncrna_audit/POSTMORTEM/RESULTS.md	ed4a663	A retron-enriched upstream submotif and a type-conditioned positional prior are available as PRIORS for a future boundary model.	These are not a discovery of ncRNA families and may never be evaluated against CM-derived truth.
C-23	Retron RT-ncRNA geometry is stereotyped.	ESTABLISHED as a description of detector output	94.5% upstream, median gap 55 bp (IQR 27-1,037), 99.8% same strand, 94.41% zero CDS between	canonical placement	344,154 canonical placements	the covariance models were trained on msr-msd in this position - the bundle itself concedes the upstream and same-strand figures are partly circular	results/dbchar_g3_pair_geometry	2b13a9e	Detected retron ncRNAs sit immediately upstream of the RT on the same strand in the overwhelming majority of calls.	Do not present this geometry as an independent biological discovery.
C-24	About half of retron loci carry no ncRNA.	SUPPORTED_WITH_LIMITATIONS (detector-defined)	zero-ncRNA class 298,850 of 630,741-632,688 Retron loci = 47.24%	physical locus	630,741 Retron loci (Z6) / 632,688 (g3)	carriage swings 6.6-fold with tool combination (89.23% -> 13.50%) and by subtype from 90.1% to 0%; 17 of 18 PADLOC retron rules score ON the ncRNA; upstream context length drives it (87.27% unmatched with <200 bp vs 42.91% with >=1 kb)	results/dbchar_g3_pair_geometry/tables/g3_zero_class_by_family.tsv; results/dbchar_g6_tool_calls	2b13a9e / ab50f34	Among retron-labelled loci, 47.24% carry no detected ncRNA; this rate is a property of the detector combination and the available upstream context.	Do not present 47% as the biological fraction of retrons lacking an ncRNA.
C-25	Frozen protein and RNA representations identify the observed partner above chance.	SUPPORTED_WITH_LIMITATIONS	MRR 0.4407 [0.4039, 0.4772] vs chance 0.0900; permutation p = 0.0005; reverse direction 0.4738; near-duplicate-excluded change -0.008	bipartite component	4,638 test pairs / 357 components (n_eff 14.1)	82.46% of held-out RTs have a >=0.50-identity training relative; 100% of held-out pairs are reachable from training by one modality	results/embed_g2_frozen_baseline	2c9127b	Cross-modal representations recover RT-ncRNA correspondence far above chance at the level of retron type / system class.	Does not establish generalisation to evolutionarily unrelated RT or ncRNA sequences.
C-26	That retrieval signal is partner-specific beyond retron type.	UNDERPOWERED	rung 3 (type-matched decoys) +0.0298, 95% CI [-0.0048, +0.0633] - the predeclared margin is not cleared; escalation to g3 NOT AUTHORISED	bipartite component	357 test components; rung 3	'retron type' IS the ncRNA's own covariance model, so the decoy control is an ncRNA-derived label	results/embed_g2_frozen_baseline/tables/g2_test_ladder.tsv; docs/decisions/2026-09-18_embed_g2_closure.md	2c9127b	Matching decoys on retron type removes the retrieval advantage; the result is consistent with a true difference of zero and with an improvement of up to +0.063.	This is not equivalence and not a demonstrated null. Two of the five trivial baselines were inert by construction.
C-27	Broad RT-lineage information predicts the cognate ncRNA.	ESTABLISHED (within this population)	G - U = -0.04256 [-0.04619, -0.03893], 86.0% of components favour G; G - T = -0.01919 [-0.02339, -0.01498]	bipartite component	1,075 components / 30,924 pairs (5-fold component-blocked cross-fit)	this IS the lineage effect, measured deliberately	results/embed_x2_rt_specificity_confirmation; X2_CLOSURE.md	fdf0872	Conditioning on RT lineage (a 50%-identity homolog representative) substantially improves prediction of the cognate ncRNA over both no conditioning and the broad type label.	Do not present this as pair-specific information.
C-28	The exact RT carries information beyond its own 50%-identity homolog group.	SUPPORTED_WITH_LIMITATIONS - sign replicated, magnitude undetermined	R - G = -0.00551 [-0.00797, -0.00312], 55.3% of components; same sign on 3/3 seeds but range -0.0055 to -0.0156 (sd 0.0051 ~= the point estimate); holds in T4 (-0.00499 [-0.00945, -0.00055], 247 components); near-duplicate sensitivity arm SPANS ZERO (-0.00210 [-0.00601, +0.00196])	bipartite component	1,075 components	G - T = -0.019 of R - T = -0.025, so the homolog group explains ~77% of the advantage over the type label; the permutation arm is NOT flat (P - T = -0.00590)	results/embed_x2_rt_specificity_confirmation/tables/LINEAGE_CONTROL.tsv; X2_CLOSURE.md section 2	fdf0872	Specific RT sequence information provides a reproducible improvement beyond broad retron type AND beyond a coarse 50%-identity homolog representation; most of the gain is at the lineage level and the additional specific-RT effect is small and uncertain in magnitude across seeds.	Never report X2 as PASS/FAIL or quote a magnitude from one seed. The conclusion of record is the qualified paragraph, not the label X2-A.
C-29	The model discriminates the observed RT from close alternatives at pair level.	UNDERPOWERED / not demonstrated	counterfactual decay C1 +0.01766 -> C2 +0.01543 -> C3 +0.00397 -> C4 +0.00168 (~10-fold); at C3 only 52.5% of PAIRS favour the observed RT and the RAW PAIR-LEVEL MEAN is -0.000205 (median +0.000187)	bipartite component (pairs are NOT independent)	C3: 30,922 pairs / 1,073 components; C4: 29,186 / 451	alternatives at C3 are the 8 nearest RTs by frozen ESM-C cosine within the same fold	results/embed_x2_rt_specificity_confirmation/tables/COUNTERFACTUAL_EFFECTS.tsv; X2_CLOSURE.md section 4	fdf0872	Under the strongest counterfactual controls the model does not cleanly separate the observed RT from its nearest sequence neighbours on a per-pair basis.	No per-pair biological inference whatsoever. A counterfactual RT is a conditioning control, never a negative pair; an absent combination is a NON-OBSERVED pairing.
C-30	RT-ncRNA biochemical compatibility, interchangeability or orthogonality.	NOT_YET_TESTED	nothing in any arm measures binding, msDNA production or interchangeability; no local asset contains a swap, cross-reactivity or orthogonality experiment	RT-ncRNA pair	-	-	X2_CLOSURE.md section 6 (explicitly NOT supported); EXPERIMENTAL_EVIDENCE_REGISTER.tsv	fdf0872	Biochemical compatibility and orthogonality between retron RTs and non-cognate ncRNAs have not been tested by this project and cannot be tested with the assets currently held.	Do not convert a likelihood difference into a compatibility label, an interaction probability or a pair score, and do not report an AUROC against artificial mismatches.
C-31	RT and ncRNA co-evolve beyond shared ancestry.	NOT_YET_TESTED	no phylogeny exists anywhere in this project; the contract's 'phylogenetically matched' control rung was never built	RT-ncRNA pair	-	the prior co-variation result was V = 1.0000 BY CONSTRUCTION (msr_msd nested inside clade)	idea-stage/docs/research_contract.md C6	94a1a78	Co-evolution has not been tested: there is no null for shared ancestry.	Do not use the word co-evolution for any current result. Mantel tests are ruled out by prior decision; use a PP-style block-constrained permutation.
C-32	The 175-element experimental panel is an independent validation set for this project's models.	FAILED (measured)	exact-hash join: 58 TRAIN_EXPOSED, 33 VAL_TEST_EXPOSED, 56 CATALOGUE_ONLY, 12 SEQUENCE_NEAR, only 16 FULLY_EXTERNAL; 145/175 RTs are in the 501,561 catalogue; 175/175 carry a Mestre accession	retron element	175 panel rows	X2 cross-fits ALL folds, so every split-present element is X2-exposed; the panel is 174/175 inside Mestre's own reference set	EXPERIMENTAL_EVIDENCE_REGISTER.tsv; ../analysis/project_synthesis/PANEL_LEAKAGE_MAP.tsv	48f9e1b	The experimental panel is an assay layer on the same prediction set the project analyses, not an independent benchmark; only 16 of 175 elements are fully external by sequence.	Do not call the panel independent validation. Do not call the 16 external elements a compatibility or orthogonality set - they carry FUNCTIONAL measurements, not exchangeability labels.
C-33	The panel could support prospective external FUNCTIONAL validation.	NOT_YET_TESTED (preserved opportunity)	81 empirically determined RT-DNA sequences; RT-DNA production measured for 103 with 67 > 0; human editing > 0 for 100, bacterial 27, phage 16; 31 elements tested with outcome undetermined	retron element	175 panel rows; 16 fully external + 56 catalogue-only usable with care	exposure classes are measured by exact hash, so a non-exposed subset can be declared in advance	EXPERIMENTAL_EVIDENCE_REGISTER.tsv	48f9e1b	A prospective analysis could test whether sequence-derived predictions of RT-DNA production or editing hold on elements outside a model's training exposure - a different endpoint from pairing specificity.	This endpoint is not orthogonality and must not be presented as evidence about RT-ncRNA pairing specificity.
C-34	A 977-element experimentally validated retron ncRNA set exists.	FAILED (the asset does not exist)	two independent searches found no file with 977 records; nearest candidates hold 1,216 and 936 ncRNAs whose 'validated' flag means the RT protein matches Mestre 2020 (validated_ncrna true for only 165); no filter of the Mestre table yields 977	ncRNA	-	-	analysis/spire_ncrna_audit/docs/BLOCKED.md	ed4a663	No 977-element experimentally validated ncRNA set exists locally, and no local document attributes one to Mestre 2020.	This set must not be cited, used as boundary truth, or used as a positive control.
C-35	Neighbourhood composition discriminates retron loci from other RT loci.	FAILED (prior project, UNVERIFIED here)	retrons rank 27th of 41 RT families on Tier-A defence-accessory carriage; 53.50% vs 45.36% neighbour-matched; fold 1.179 [1.161, 1.198], inside a predeclared DEAD band	locus	41 RT families	not re-derived in this project	idea-stage/programme/07_neighbourhood_and_operon.md	94a1a78	Genomic neighbourhood composition is a poor discriminator of retron loci and cannot be used as an identification criterion.	This says nothing about whether neighbourhood architecture is biologically informative - that was never tested. All 41,250,531 accessory CDS lack sequences.
C-36	Effector, fusion and operon architecture around retron RTs.	NOT_YET_TESTED	all 41,250,531 accessory CDS carry has_sequence = False; effector information exists only as PADLOC RULE DEFINITIONS; operon figures are illustrative examples supporting no rate	accessory CDS / locus	41,250,531 accessory CDS	local InterProScan/Pfam is a STUB (3-4 profiles); a clean run against it is DATA_INADEQUATE, not a negative	docs/dbchar_workbench_snapshot/exports_v2/RT_NCRNA_DATASET_HANDOVER.md	12ea561	Accessory and fusion architecture has not been measured in this project.	Do not infer effector prevalence from PADLOC rule definitions, and do not read the illustrative operon figures as rates.
C-37	OpenCRISPR is a methodological precedent for this project's conditional modelling, not a source of evidence.	ESTABLISHED (as a design statement)	the released implementation was audited at code and checkpoint level (85/85 tensors load byte-identically; SpCas9 conditioning 16/16 well-formed; MalE 0/64); published methods were unretrievable (403/429) and recorded as an access limit	design lineage	-	-	analysis/embedding_rt_ncrna/OPENCRISPR_METHOD_COMPARISON.md	4f56519	OpenCRISPR trained a protein-conditioned gRNA decoder and used conditional RNA likelihood to study Cas9-RNA exchangeability. This project audited that implementation and adapted reusable causal-decoder / cross-attention components; X1/X2 are an OpenCRISPR-inspired retron ADAPTATION, not a replication. The component-blocked split, the G/P arms and the C1-C4 hierarchy were introduced here to address retron sequence relatedness and lineage confounding.	Their training split, performance claims and biological negatives were NOT reused and must not be cited as this project's evidence.
