asset_id	audit_scope	path	kind	sha256	bytes	mtime	producer	inputs	n_records	identity_group	identity_group_size	reuse_grade	reuse_decision	notes
V4:mestre_tofold_faa	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_tofold.faa	fasta	6ec9d267641a37e732099503798a494240feba7a5dd99e56e7642184bd8eb443	821959	2026-08-23 17:37:48	UNKNOWN (no script writes it; all four frame files share mtime to the ms -> one ad-hoc inline run)	../rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_proteins.faa (inferred)	1919 seqs	G0346	1	RED	as reference: contains the rescued substitutes; producer/params partial	1919 full-length proteins sent to ESMFold (7 of 1926 not folded); also cd-hit input for v4_and_paper/mestre_clust
V4:mestre_tree_fftnsi_iqtree	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/fftnsi.iqtree	report	b173b72e44f323c37b7e13a5b712eae05397e492a434d56aecf13db9926ab916	1417490	2026-08-22 22:30:16	UNKNOWN - iqtree 3.1.3 run outside any surviving script/log; .log (Command: line) not kept	out/fftnsi_occ50.afa (relative path; NOT ON DISK anywhere under /home/borg)	1843 seqs x 290 sites	G0231	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	IQ-TREE 3.1.3; ModelFinder BIC over {LG,WAG,JTT,VT,Dayhoff} (no Q.pfam despite prereg); best LG+F+R10; UFBoot 1000 + SH-aLRT (label a/b)
V4:mestre_tree_fftnsi_treefile	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/fftnsi.treefile	tree	1aeff1b62b5b08d089f80aa2b7b893fa5f69e4d95e2f878949807d4f42f3040c	89027	2026-08-22 22:30:16	UNKNOWN (same run as .iqtree)	out/fftnsi_occ50.afa (lost)	1843 tips	G0232	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	1843 tips terminal_N; 1840 internal labels 'SH-aLRT/UFBoot'; unrooted (arbitrary IQ-TREE root)
V4:mestre_tree_linsi_iqtree	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/linsi.iqtree	report	6b0495bee296b5a3201f045de3b7225fa29d1fbd9ac4c728f0090a0f3d35ccd7	1221450	2026-08-22 22:58:56	UNKNOWN - iqtree 3.1.3 run outside any surviving script/log; .log (Command: line) not kept	out/linsi_occ50.afa (relative path; NOT ON DISK anywhere under /home/borg)	1843 seqs x 303 sites	G0275	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	IQ-TREE 3.1.3; ModelFinder BIC over {LG,WAG,JTT,VT,Dayhoff} (no Q.pfam despite prereg); best LG+F+I+R10; UFBoot 1000 + SH-aLRT (label a/b)
V4:mestre_tree_linsi_treefile	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/linsi.treefile	tree	33648c5d62220418f5fb67e91df6097a4cdfc1df5623797b04fa95cc5c32b47d	89043	2026-08-22 22:58:55	UNKNOWN (same run as .iqtree)	out/linsi_occ50.afa (lost)	1843 tips	G0276	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	1843 tips terminal_N; 1840 internal labels 'SH-aLRT/UFBoot'; unrooted (arbitrary IQ-TREE root)
V4:mestre_tree_narrow_iqtree	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/narrow.iqtree	report	96104b9954d16e56a19f7f04df9d55778f40a390fb158859eda27b8c8c68890a	1384035	2026-08-22 18:48:46	UNKNOWN - iqtree 3.1.3 run outside any surviving script/log; .log (Command: line) not kept	out/narrow_occ50.afa (relative path; NOT ON DISK anywhere under /home/borg)	1843 seqs x 219 sites	G0351	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	IQ-TREE 3.1.3; ModelFinder BIC over {LG,WAG,JTT,VT,Dayhoff} (no Q.pfam despite prereg); best LG+F+R10; UFBoot 1000 + SH-aLRT (label a/b)
V4:mestre_tree_narrow_treefile	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/narrow.treefile	tree	f8c382b9bf08e39eaa88b07941a8f942fa98f28315b8d0da21386ab1eb777761	88961	2026-08-22 18:48:46	UNKNOWN (same run as .iqtree)	out/narrow_occ50.afa (lost)	1843 tips	G0352	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	1843 tips terminal_N; 1840 internal labels 'SH-aLRT/UFBoot'; unrooted (arbitrary IQ-TREE root)
V4:mestre_tree_ours_iqtree	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/ours.iqtree	report	0416addd827bc7d56a8fd3e83bd0d98fa7dbdad209cdf292f9bad49aa6867a25	1228258	2026-08-22 01:57:24	UNKNOWN - iqtree 3.1.3 run outside any surviving script/log; .log (Command: line) not kept	out/ours_occ50.afa (relative path; NOT ON DISK anywhere under /home/borg)	1843 seqs x 297 sites	G0358	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	IQ-TREE 3.1.3; ModelFinder BIC over {LG,WAG,JTT,VT,Dayhoff} (no Q.pfam despite prereg); best LG+F+R10; UFBoot 1000 + SH-aLRT (label a/b)
V4:mestre_tree_ours_treefile	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/ours.treefile	tree	829dd12826632a1dd647f0a87b1e46c9478cdcd67f607e29dbaef300383642ca	89051	2026-08-22 01:57:24	UNKNOWN (same run as .iqtree)	out/ours_occ50.afa (lost)	1843 tips	G0359	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	1843 tips terminal_N; 1840 internal labels 'SH-aLRT/UFBoot'; unrooted (arbitrary IQ-TREE root)
V4:mestre_tree_toro_iqtree	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/toro.iqtree	report	247c68314bac549f22f59387deb966504e844ca6aeb6ea28be98f2e13b4f813a	1204602	2026-08-21 21:02:49	UNKNOWN - iqtree 3.1.3 run outside any surviving script/log; .log (Command: line) not kept	out/toro_occ50.afa (relative path; NOT ON DISK anywhere under /home/borg)	1843 seqs x 231 sites	G0495	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	IQ-TREE 3.1.3; ModelFinder BIC over {LG,WAG,JTT,VT,Dayhoff} (no Q.pfam despite prereg); best LG+F+R10; UFBoot 1000 + SH-aLRT (label a/b)
V4:mestre_tree_toro_treefile	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/toro.treefile	tree	d655f970f6a7d00d67782ce3140623e09d3cd311bcd5cc4f5fcca126f6bbeadd	89036	2026-08-21 21:02:49	UNKNOWN (same run as .iqtree)	out/toro_occ50.afa (lost)	1843 tips	G0496	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	1843 tips terminal_N; 1840 internal labels 'SH-aLRT/UFBoot'; unrooted (arbitrary IQ-TREE root)
V4:mestre_tree_wide_iqtree	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/wide.iqtree	report	8df892489f23d9a8e3b7d47cca00e026fd4410254ae6648005a343b8d71c1f27	1349883	2026-08-22 20:15:04	UNKNOWN - iqtree 3.1.3 run outside any surviving script/log; .log (Command: line) not kept	out/wide_occ50.afa (relative path; NOT ON DISK anywhere under /home/borg)	1843 seqs x 295 sites	G0512	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	IQ-TREE 3.1.3; ModelFinder BIC over {LG,WAG,JTT,VT,Dayhoff} (no Q.pfam despite prereg); best LG+F+R10; UFBoot 1000 + SH-aLRT (label a/b)
V4:mestre_tree_wide_treefile	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees/wide.treefile	tree	7c3715f067f7d41932c95930eb9eece55fd4ad31496c620b2f023728afd1e128	89030	2026-08-22 20:15:04	UNKNOWN (same run as .iqtree)	out/wide_occ50.afa (lost)	1843 tips	G0513	1	AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	1843 tips terminal_N; 1840 internal labels 'SH-aLRT/UFBoot'; unrooted (arbitrary IQ-TREE root)
V4:mestre_trees_dir	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees	cache	dir:adc3adf905a38ddd6341eaab2e8c03caf9ae2c3debdbc950e3c62df1e2c3ecf8	8339866	2026-08-22 22:58:56	UNKNOWN	-	12 files			AMBER	COMPARATOR ONLY: 1843 tips incl. 91 substitutes (3 RNAP); input alignments lost (4/6 rebuilt); support-based '<=3/11'	12 files: 6 .iqtree + 6 .treefile; no .log/.ckp/.afa/.contree/.splits
V4:fold_mestre	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fold/mestre	structure_dir	dir:f6f9af39f35c7e9dc9fe8b9878631cd6935acffb0e77c92ad1c7dd7d1d99f249	517502140	2026-08-24 00:18:17	scripts/s5a_fold_esmfold.py via slurm/fold_retrons.sbatch-style array on Ibex (8 tasks, logs/task_00*.log 2026-08-23); exact submission not preserved	cache/mestre_tofold.faa	1935 files			AMBER	ESMFold structures, named ids without hash check; 112 are substitutes	ESMFold full-length PDBs + pLDDT summaries
V4:fm_mestre_span	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fm/mestre_span	structure_dir	dir:d052954862d2ddc30d97fc72d523de565b8bfe40ed213a47f2066e559fb46c68	391498677	2026-08-24 01:52:56	UNKNOWN (ad-hoc variant of scripts/s6g_span_pdbs.py; no script names mestre_span)	cache/fold/mestre/*.pdb	1902 files			RED	derived from the 1926 set incl. substitutes; frame/profile provenance partial	span-sliced PDBs (window -220..+120)
V4:fs_mestre	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fs_mestre	cache	dir:3220aefccda785843c692eac88c6e1ce6edd342ef50e9b816f5e2ffc3c994aed	524329430	2026-08-24 03:22:21	foldseek (MMseqs Version 10.941cd33) createdb/search/convertalis; command in logs/fs_mestre.log; wrapper sh only under tmp/	cache/fm/mestre_span	30 files			RED	foldseek shards: no recorded command/version (consistent with prior-asset-audit)	ava.tsv = all-vs-all alntmscore; 1902 structures in db.source
V4:fs_mestre_log	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/logs/fs_mestre.log	report	d610660bdaa0cd509b134a875e7cef30ab79ff0cfbda6bc475e8aaa1d8f6c4d8	8401	2026-08-24 03:22:21	foldseek	cache/fm/mestre_span	180 lines	G0246	1	RED	foldseek shards: no recorded command/version (consistent with prior-asset-audit)	ends FS_MESTRE_DONE
V4:tbl_s2b_mestre_clade_monophyly	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s2b_mestre_clade_monophyly.tsv	table	7205bea908bc0d32a675e35d7190dbbd2f8a318627f810a54fe60fd86fe1443c	315	2026-08-24 11:56:54	s2b_mestre_clade_monophyly.py	see producer	12 rows	G0053	3	AMBER	prior table; re-derive before use	byte-identical to verify_orig & verify_all
V4:tbl_s2c_mestre_intruder_identity	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s2c_mestre_intruder_identity.tsv	table	e1cdec58618d7102dbe1d49ea78bdf75d5ec03cc1e05702521dd707da603a734	482	2026-08-19 15:26:20	UNKNOWN (PROVENANCE.tsv: UNKNOWN)	see producer	11 rows	G0094	2	AMBER	prior table; re-derive before use	
V4:tbl_s5b_E4a_ruleD_surface	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s5b_E4a_ruleD_surface.tsv	table	15defa96a983c5313cff439301df05415875f4299f9eeafc0b2cb1d0ad2928c8	379	2026-08-24 12:13:14	s5b_E4a_rule_D_on_mestre.py	see producer	15 rows	G0054	3	AMBER	prior table; re-derive before use	byte-identical to verify_orig & verify_all
V4:tbl_s5d_mestre_landmark_audit	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s5d_mestre_landmark_audit.tsv	table	c821774f9b6848ae6e7876f326c710418b9e008c752f8f6881679efc0eeb69f1	582	2026-08-20 14:38:07	UNKNOWN (PROVENANCE.tsv: UNKNOWN)	see producer	17 rows	G0095	2	AMBER	prior table; re-derive before use	
V4:tbl_s5e_E4b_ruleD_our_trees	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s5e_E4b_ruleD_our_trees.tsv	table	a074a2e396c95a57bd6f5808679ca0080657e9837dbda8755720068d84d0053e	809	2026-08-24 12:13:32	s5e_E4b_ruleD_on_our_trees.py	see producer	27 rows	G0055	3	AMBER	prior table; re-derive before use	on OUR E1 trees; byte-identical to verify dirs
V4:tbl_s5f_mestre_msr_msd_audit	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s5f_mestre_msr_msd_audit.tsv	table	7e68195754825bcae15382b36b4968d7dd884358a549af627c8ae7458c47aefa	1454	2026-08-20 16:21:02	UNKNOWN (PROVENANCE.tsv: UNKNOWN)	see producer	32 rows	G0096	2	AMBER	prior table; re-derive before use	
V4:tbl_s5h_mestre_unmatched_groups	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s5h_mestre_unmatched_groups.tsv	table	b2bce74e42389627874cf4e662c541bf84c4b5c274f23ae8b9f659bc45faf546	534	2026-08-20 16:30:51	orphan; regenerated by s5h_regen_unmatched_groups.py	see producer	8 rows	G0097	2	AMBER	prior table; re-derive before use	
V4:tbl_s5h_mestre_unmatched_groups_REGEN	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s5h_mestre_unmatched_groups_REGEN.tsv	table	08a358ec1629743e083272b0c398e436e583f63a455f7dca753dab1eb0b5148a	688	2026-08-24 12:14:54	s5h_regen_unmatched_groups.py	see producer	8 rows	G0452	1	AMBER	prior table; re-derive before use	
V4:tbl_s8b_mestre_clade_structure	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s8b_mestre_clade_structure.tsv	table	b3c87f18d2154ff9262af3749ec9a5a1217c5088a9e503a0f88734bc5ac71e9c	204	2026-08-24 03:22:44	s8b_mestre_clade_structure.py	see producer	2 rows	G0098	2	AMBER	prior table; re-derive before use	
V4:verify_orig	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/verify_orig	cache	dir:a9db52ab77b65f65c64d36abcd77d66964026c776366aa2f0e050db74cbf4834	5229	2026-08-24 11:54:54	UNKNOWN (snapshot of 4 original tables before re-run)	tables/	4 files			AMBER	prior self-verification copies; comparator only	s2b,s5b,s5e,s5g originals
V4:verify_all	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/verify_all	cache	dir:0e79eed3c9d710f6956a888e22b8c60ea6d0a3597783a2b0bffc3f629be29d41	72816	2026-08-24 11:55:46	scripts/s8f_verify_all_tables.sh	tables/	73 files			AMBER	prior self-verification copies; comparator only	73 re-run tables; no s7h/s7i output (they print only)
V4:prereg_s3	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/prereg/s3_tree_and_mestre_reconstruction.md	report	42a5f8fca60db8902ae0721ae24fa1dde0f0b92cd6329918ea3a777c624f76d3	28157	2026-08-19 17:34:05	-	-	467 lines	G0440	1	CLAIM-ONLY	prose; claims must be re-derived before citation	E4a/b/c. No re-inference-of-Mestre-sequences arm; E4c says 'against 10 clades, never 11' + AU test; mset includes Q.pfam; L-INS-i single alignment
V4:FINDINGS	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/FINDINGS.md	report	083ce7728ed2e57f8a3f65726dc532ac19bb94137cfac1eda175b779911c61e3	250265	2026-08-26 02:28:15	-	-	4350 lines			CLAIM-ONLY	prose; claims must be re-derived before citation	G67 (s7h), G69 (s7i), G74 (6 trees; corrected RF range)
V4:MESTRE_EVIDENCE	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/MESTRE_EVIDENCE.md	report	b00cb288740a20b59df40d90e4d5b84c26b5579b72b9fe8e1abc18c892256bf1	9062	2026-08-20 14:52:23	-	-	164 lines	G0134	1	CLAIM-ONLY	prose; claims must be re-derived before citation	2026-08-20; predates all six re-inferences; no G67/G69/G74
V4:resp13	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/responses/13_2026-08-20_mestre_msr_msd_missing_data.md	report	5a38d11c3e06d393930b16974998bde76761aa69db79e776b754623b608e0afe	4619	2026-08-20 16:21:55	-	-	88 lines	G0108	1	CLAIM-ONLY	prose; claims must be re-derived before citation	msr/msd missing-data; no tree re-inference
V4:resp14	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/responses/14_2026-08-20_landmarks_mestre_audit_E4b.md	report	caf83a7a438115ff78d475d72539653c369af0dd94aa6825b40561d8beea75a3	4898	2026-08-20 16:48:31	-	-	89 lines	G0109	1	CLAIM-ONLY	prose; claims must be re-derived before citation	G52/G54 E4b; no tree re-inference
V4:s06_mestre_unit_reconciliation	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/scripts/s06_mestre_unit_reconciliation.py	script	a978bce15e14d5b1fcb3f7292418e8c8851f3a98dc0c7fb6f107c49168073fda	5315	2026-08-16 17:00:58	-	MELISSA_DATA/supporting_material/Supp_material_T1_R1_systematic_prediction.csv; cache/mestre_from_V3/mestre_1926_proteins.faa; published nwk	143 lines	G0428	1	REFERENCE	prior code: read for method, re-implement; never evidence	writes tables/mestre_unit_reconciliation|discrepant_ids|faa_duplicates + cache/mestre_usable_index.tsv
V4:s09_mestre_in_toro_frame	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/scripts/s09_mestre_in_toro_frame.py	script	bddf48ff878d913816c994cd6a591cd67f9e32d68688677fa5729049d19464f8	6151	2026-08-16 17:07:35	-	cache/frame/mestre1926_in_toro_frame.sto; tables/rt0_rt7_frame.tsv	155 lines	G0430	1	REFERENCE	prior code: read for method, re-implement; never evidence	writes tables/mestre_in_toro_frame_occupancy.tsv, mestre_rt0_summary.tsv
V4:rt_mestre_clade_counts	V4	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/tables/mestre_clade_counts.tsv	table	3224132e811c913af54599e85b2bc8f5e457b681ef394be40e3e00bf3e57747d	79	2026-08-16 15:29:26	UNKNOWN	-	12 rows	G0326	1	AMBER	prior table; re-derive before use	
