buffington_id	accession	organism	retron_id	rt_name	overlap_class	rt_raw_hash_hit	rt_stopstripped_hash_hit	rt_is_retron_family	msr_forward_hit	msr_revcomp_hit	msr_orientation	pair_exact_present	experimental_status	experimental_source	operator_nominated_as
NRT-12	MGYG000064910_6-6754-7693	Gemmiger sp	Retron-Gsp1	Gsp1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-13	MGYG000065195_135-1830-2496	Roseburia faecis	Retron-Rfa1	Rfa1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-14	MGYG000082543_32-3919-5773	Eubacteriales bacterium	Retron-Eba1	Eba1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-15	MGYG000091433_127-845-1559	Cloacibacillus porcorum	Retron-Cpo2	Cpo2-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-16	MGYG000105690_19-117678-118437	Clostridium sp. CAG:264	Retron-Csp2	Csp2-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-17	MGYG000109918_25-32102-32723	Roseburia sp	Retron-Rsp2	Rsp2-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-18	MGYG000142913_32-30309-31317	Klebsiella pneumoniae	Retron-Kpn2	Kpn2-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-19	MGYG000183105_44-22894-23920	Cloacibacillus porcorum	Retron-Cpo3	Cpo3-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-20	MGYG000248108_8-1098811-1099456	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921	Retron-Sen15	Sen15-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-21	MGYG000056323_65-43765-45211	uncultured Prevotella sp	Retron-Pap3	Psp3-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-22	MGYG000157252_114-113271-114231	Escherichia coli	Retron-Eco19	Eco19-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-23	MGYG000165972_35-7108-8569	Bacteroidaceae	Retron-Bac1	Bac1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-24	MGYG000169474_4-126828-127779	Hafnia paralvei	Retron-Hpa1	Hpa1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-25	MGYG000175909_172-9226-10201	Clostridia bacterium	Retron-Cba1	Cba1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-26	MGYG000182691_16-8962-9814	Escherichia coli	Retron-Eco20	Eco20-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-27	MGYG000229049_1-8049-9030	Ruminococcus bromii	Retron-Rbr1	Rbr1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-28	MGYG000267465_7-164328-165288	Escherichia coli	Retron-Eco21	Eco21-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-29	MGYG000271330_14-9094-10330	Bacilli bacterium	Retron-Bba1	Bba1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-30	MGYG000076807_32-219-1125	Clostridiales bacterium	Retron-Cba2	Cba2-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-31	MGYG000097028_11-91674-92607	Escherichia coli	Retron-Eco22	Eco22-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-32	MGYG000163752_51-109156-110053	Vibrio cholerae O1 biovar El Tor str. N16961	Retron-Vco1	Vco1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-33	MGYG000198075_22-64371-66129	Salmonella enterica	Retron-Sen16	Sen16-RT	PAIR_EXACT_PRESENT	False	True	True	True	False	FORWARD	True	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-34	MGYG000248997_2-3914-5000	Candidatus Fimenecus excrementavium	Retron-Cfi1	Cfi1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-35	MGYG000269260_1-4256050-4256521	Salmonella enterica	Retron-Sen17	Sen17-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-36	AP018689.1-1528883-1529843	Vibrio aphrogenes	Retron-Vap1	Vap1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	OPERATOR_NOMINATED_UNTRACED		Vap1
NRT-37	CAAGXM010000002.1-498049-498955	Klebsiella quasipneumoniae	Retron-Kqu1	Kqu1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-38	CABHNY010000014.1-77627-78524	Kosakonia radicincitans	Retron-Kra1	Kra1-RT	PAIR_EXACT_PRESENT	False	True	True	True	False	FORWARD	True	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-39	CP034105.1-3807920-3808880	Proteus sp. GOKU	Retron-Psp1	Psp1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	OPERATOR_NOMINATED_UNTRACED		Psp1
NRT-40	JVBY01000030.1-63471-64368	Enterobacter cloacae	Retron-Ecl1	Ecl1-RT	PAIR_EXACT_PRESENT	False	True	True	True	False	FORWARD	True	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-41	LEDG01000023.1-49128-50034	Enterobacter hormaechei subsp. steigerwaltii	Retron-Est1	Est1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-42	PZOB01000007.1-49956-50916	Vibrio rotiferianus	Retron-Vro1	Vro1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	OPERATOR_NOMINATED_UNTRACED		Vro1
NRT-43	QIYB01000012.1-147749-148709	Klebsiella variicola	Retron-Kva1	Kva1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-44	RJCW01000013.1-371414-372383	Aeromonas dhakensis	Retron-Adh1	Adh1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-45	UFVY01000003.1-1181704-1182664	Citrobacter koseri	Retron-Cko1	Cko1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	OPERATOR_NOMINATED_UNTRACED		Cko1
NRT-46	AAWQPW010000019.1-56262-57222	Organism not found	Retron-Eco8	Eco8-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-47	AAXELM010000020.1-29552-30512	Organism not found	Retron-Onf2	Onf2-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-48	CP031231.1-59755-60319	Escherichia coli	Retron-Eco9	Eco9-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-49	CP057918.1-4518082-4519042	Escherichia fergusonii	Retron-Efe1	Efe1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	OPERATOR_NOMINATED_UNTRACED		Efe1
NRT-50	NLGM01000055.1-2-1022	Escherichia coli	Retron-Eco10	Eco10-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-51	PDIH01000062.1-144132-145095	Escherichia sp. E2586	Retron-Esp1	Esp1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-52	UFZI01000001.1-147466-148618	Escherichia coli	Retron-Eco11	Eco11-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-53	UIIM01000019.1-63203-63686	Escherichia coli	Retron-Eco12	Eco12-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-54	CP002830.1-1909184-1910642	Corallococcus macrosporus	Retron-Cma1	Cma1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-55	CP003969.1-3185711-3187187	Sorangium cellulosum So0157-2	Retron-Sce1	Sce1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-56	JAAIYA010000005.1-274472-275924	Pyxidicoccus caerfyrddinensis	Retron-Pca1	Pca1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-57	JAAIYB010000034.1-24820-26278	Myxococcus vastator	Retron-Mva2	Mva2-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-58	JABELA010000134.1-8905-10351	Corallococcus exiguus	Retron-Cex1	Cex1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-59	JABUMS010000007.1-136401-137859	Corallococcus exiguus	Retron-Cex2	Cex2-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-60	JAERRD010000046.1-194087-195542	Corallococcus exiguus	Retron-Cex3	Cex3-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-61	JAFIMU010000007.1-2506185-2507634	Corallococcus exiguus	Retron-Cex4	Cex4-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-62	JPMI01000131.1-8950-10375	Archangium violaceum Cb vi76	Retron-Avi1	Avi1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-63	RAVZ01000142.1-14851-16309	Corallococcus terminator	Retron-Cte1	Cte1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-64	RAWM01000137.1-8700-10146	Corallococcus interemptor	Retron-Cte2	Cte2-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-65	SRLW01000044.1-35100-36561	Myxococcus sp. AB025B	Retron-Msp1	Msp1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-66	AADRXE010000003.1-75739-76696	Salmonella enterica strain PNUSAS069868	Retron-Sen3	Sen3-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-67	AASGGO010000013.1-745-1696	Escherichia coli strain CVM	Retron-Eco13	Eco13-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-68	AAXMUJ010000014.1-46053-47025	Vibrio parahaemolyticus	Retron-Vpa2	Vpa2-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-69	AQOE01000180.1-5684-6320	Salinivibrio socompensis S10B	Retron-Sso2	Sso1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-70	AQXX01000109.1-64591-65038	Hahella ganghwensis DSM 17046	Retron-Hga1	Hga1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-71	AUQN01000032.1-33280-34291	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC_2009K1283	Retron-Sen4	Sen4-RT	EXTERNAL_NEW	False	False	False	True	False	FORWARD	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-72	CAADIU010000012.1-76390-76711	Salmonella enterica subsp. enterica serovar Typhimurium	Retron-Sen5	Sen5-RT	EXTERNAL_NEW	False	False	False	True	False	FORWARD	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-73	CABHNY010000014.1-77627-78524	Kosakonia radicincitans	Retron-Kra1	Kra1-RT	PAIR_EXACT_PRESENT	False	True	True	True	False	FORWARD	True	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-74	CACYNO010000002.1-124869-125817	uncultured Lachnospiraceae bacterium	Retron-Lba1	Lba1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-75	CP002582.1-3047327-3048323	Cellulosilyticum lentocellum DSM 5427	Retron-Cle1	Cle1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-76	CP003552.1-6373538-6374555	Nostoc sp. PCC 7524	Retron-Nsp1	Nsp1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-77	CP014774.1-4607461-4608508	Aeromonas veronii	Retron-Ave1	Ave1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-78	CP033219.1-2424575-2425634	Parasedimentitalea marina	Retron-Pma1	Pma1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-79	CP064917.1-3918423-3919299	Salmonella enterica subsp. enterica serovar Typhimurium	Retron-Sen6	Sen6-RT	EXTERNAL_NEW	False	False	False	True	False	FORWARD	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-80	CU207211.1-6020-7040	Herminiimonas arsenicoxydans	Retron-Har1	Har1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-81	DACAOH010000019.1-61450-62413	Escherichia coli	Retron-Eco14	Eco14-RT	EXTERNAL_NEW	False	False	False	True	False	FORWARD	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-82	DQHL01000007.1-131724-132741	Serratia liquefaciens isolate	Retron-Sli1	Sli1-RT	PAIR_EXACT_PRESENT	False	True	True	True	False	FORWARD	True	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-83	JAAIYB010000035.1-23385-24669	Myxococcus vastator	Retron-Mva1	Mva1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	OPERATOR_NOMINATED_UNTRACED		Mva1
NRT-84	JAAVLQ010000003.1-1102214-1103210	Myxococcus vastator	Retron-Mva3	Mva3-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-85	JABAGT010000013.1-42768-43794	Cloacibacillus porcorum strain	Retron-Cpo1	Cpo1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-86	JACEWB010000038.1-3458-4448	Avibacterium paragallinarum	Retron-Apa1	Apa1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-87	JACHJJ010000023.1-88832-90302	Planomonospora venezuelensis strain CECT 3303	Retron-Pve1	Pve1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-88	JACJSI010000011.1-84069-85086	Nostoc flagelliforme FACHB-838	Retron-Nfl1	Nfl1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-89	JAELVU010000001.1-582727-584041	Pelomonas sp. OAE585	Retron-Psp2	Psp2-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-90	JAFUEQ010000014.1-6487-7495	Fibrobacter sp	Retron-Fsp1	Fsp1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-91	JFKE01000009.1-57115-58069	Actibacterium mucosum KCTC 23349	Retron-Amu1	Amu1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-92	KI911784.1-2310685-2311639	Chloroflexus sp. Y-396-1	Retron-Csp1	Csp1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-93	LFDW01000010.1-842448-842847	Salmonella enterica subsp. enterica serovar Typhimurium	Retron-Sen7	Sen7-RT	EXTERNAL_NEW	False	False	False	True	False	FORWARD	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-94	LJIB01000039.1-12632-13661	Rhizobium sp. AAP116	Retron-Rsp1	Rsp1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-95	LVGK01000047.1-32940-33405	Salmonella enterica subsp. enterica serovar Typhimurium	Retron-Sen8	Sen8-RT	EXTERNAL_NEW	False	False	False	True	False	FORWARD	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-96	LWMI01000007.1-382654-383686	Candidatus Arsenophonus triatominarum	Retron-Car1	Car1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-97	LZQD01000001.1-1420614-1421631	Trichormus sp. NMC-1	Retron-Tsp1	Tsp1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-98	MCWA01000032.1-4134-5109	Vibrio splendidus	Retron-Vsp1	Vsp1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-99	MDSU01000018.1-1247093-1248554	Desulfurella amilsii	Retron-Dam1	Dam1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-100	PKCA01000161.1-132561-132876	Escherichia coli	Retron-Eco15	Eco15-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-101	RJMK01000005.1-55109-56102	Streptococcus sanguinis	Retron-Ssa1	Ssa1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-102	SSXT01000007.1-71118-72075	Halomonas sp. 15WGF	Retron-Hsp1	Hsp1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-103	UFZI01000001.1-147466-148618	Escherichia coli	Retron-Eco16	Eco16-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-104	UGXU01000001.1-98017-98716	Salmonella enterica subsp. enterica	Retron-Sen9	Sen9-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-105	WUUZ01000006.1-7727-8681	Serratia marcescens	Sma1	Sma1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
